Nome: IAUARETE
Codigo Estacao: 82067
Latitude: 0.60222222
Longitude: -69.19277777
Altitude: 107.73
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-08-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;192.5;32.651613;26.272258;21.993548;86.395161;
2008-02-29;20;281.8;32.727586;25.789655;21.458621;87.568966;
2008-03-31;20;206.9;32.805556;25.732222;21.990323;86.927419;
2008-04-30;18;365.7;null;null;21.906667;87.783333;
2008-05-31;21;416.3;null;null;21.870968;89.895161;
2008-06-30;23;366.4;null;null;21.666667;90.875;
2008-07-31;22;427.9;null;null;21.680645;88.58871;
2008-08-31;14;129.2;null;null;21.716129;86.193548;
2008-09-30;17;204.8;null;null;21.636667;85.9;
2008-10-31;22;297.1;null;null;21.870968;86.637097;
2008-11-30;18;224.7;null;null;22.633333;87.15;
2008-12-31;null;null;null;null;null;null;
2009-01-31;20;331.2;null;null;21.974194;86.814516;
2009-02-28;17;159;null;null;21.707143;88.589286;
2009-03-31;22;339.9;null;null;22.058065;89.209677;
2009-04-30;16;246.9;null;null;22.19;89.366667;
2009-05-31;18;321.8;null;null;21.880645;88.362903;
2009-06-30;23;451.7;31.65;25.530667;21.763333;91.216667;
2009-07-31;22;304.2;31.993548;25.717419;21.43871;89.5;
2009-08-31;21;264.1;32.593548;26.3;21.93871;88.370968;
2009-09-30;12;109.7;34.273333;27.154;22.12;84.441667;
2009-10-31;12;199;33.809677;26.531613;21.880645;86.596774;
2009-11-30;null;null;null;null;null;null;
2009-12-31;6;null;null;null;21.8625;null;
2010-01-31;14;216.6;33.996774;27.220645;22.209677;82.725806;
2010-02-28;12;185.8;34.132143;27.580714;23.092857;84.026786;
2010-03-31;21;369.2;33.909677;27.256774;22.651613;84.419355;
2010-04-30;17;191.6;32.98;27.065333;22.843333;85.541667;
2010-05-31;13;256.8;32.019355;26.304516;22.583871;88.233871;
2010-06-30;23;308.3;31.93;26.101333;22.216667;87.116667;
2010-07-31;18;282.6;31.148387;25.442581;20.867742;86.629032;
2010-08-31;22;232.4;31.9;25.948387;21.151613;85.943548;
2010-09-30;12;163.8;33.916667;27.161333;21.64;84.233333;
2010-10-31;null;null;null;null;null;null;
2010-11-30;10;159.5;33.133333;26.678667;21.553333;85.891667;
2010-12-31;15;282.7;32.629032;25.966452;21.074194;87.91129;
2011-01-31;18;188;32.56129;26.20129;21.554839;87.806452;
2011-02-28;19;211.9;32.814286;26.274286;21.207143;86.875;
2011-03-31;16;284.5;32.848387;null;null;85.841667;
2011-04-30;14;296.5;32.443333;null;null;85.575;
2011-05-31;20;465.9;31.329032;null;null;88.306452;
2011-06-30;22;401.1;31.283333;null;null;88.741667;
2011-07-31;20;233.2;31.806452;null;null;87.887097;
2011-08-31;18;150;32.893548;null;null;84.024194;
2011-09-30;16;214.1;33.486667;26.578;22.19;83.341667;
2011-10-31;17;171.1;33.641935;26.832258;22.319355;84.266129;
2011-11-30;8;90.2;33.533333;26.822667;22.213333;83.25;
2011-12-31;22;503.6;32.625806;26.434839;22.287097;85.741935;
2012-01-31;23;280.4;32.551613;26.066452;22.032258;87.387097;
2012-02-29;20;523.3;31.914286;25.958621;22.027586;87.681034;
2012-03-31;21;532.5;31.732258;25.883871;22.03871;87.435484;
2012-04-30;23;342.7;32.403333;26.097333;22.11;88.016667;
2012-05-31;26;550.3;31.564516;25.660645;22.009677;89.217742;
2012-06-30;20;387.3;32.12;26.046;22.006667;86.183333;
2012-07-31;18;208.2;30.958065;25.698065;22.058065;86.217742;
2012-08-31;18;276.6;32.877419;26.454839;21.890323;82.967742;
2012-09-30;15;145.7;33.216667;26.47;21.823333;83.85;
2012-10-31;14;130.5;34.290323;27.397419;22.558065;81.854839;
