Nome: SAO GABRIEL DA CACHOEIRA(UAUPES)
Codigo Estacao: 82106
Latitude: -0.12527777
Longitude: -67.06111111
Altitude: 79.71
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;25;417.8;33.203226;25.966452;21.196774;88.08871;
2008-02-29;20;247.2;33.641379;25.902069;21.006897;87.025862;
2008-03-31;15;268.4;34.345161;26.254194;20.916129;86.266129;
2008-04-30;18;119.3;34.346667;26.540667;21.213333;86.475;
2008-05-31;26;334.9;31.590323;25.014194;20.341935;90.201613;
2008-06-30;21;242.7;32.506667;25.512;20.57;89.008333;
2008-07-31;24;264.1;32.974194;25.2;19.929032;89.08871;
2008-08-31;20;176.3;34.093548;25.948387;19.929032;86.475806;
2008-09-30;15;221.9;34.666667;26.378;20.173333;86.491667;
2008-10-31;18;191;34.7;26.368387;19.983871;86.362903;
2008-11-30;22;292.5;33.596667;26.115333;20.2;88.166667;
2008-12-31;23;340.2;33.280645;25.92;20.116129;89.233871;
2009-01-31;25;383.7;32.551613;25.54;19.790323;89.870968;
2009-02-28;22;315.3;33.557143;25.717143;19.507143;88.446429;
2009-03-31;21;305.6;33.564516;25.968387;20.645161;87.669355;
2009-04-30;18;252.9;33.996667;26.258667;20.923333;85.875;
2009-05-31;21;302.1;33.235484;25.937419;20.4;87.435484;
2009-06-30;22;391.7;31.88;25.029333;19.74;90.625;
2009-07-31;24;129.4;33.467742;25.630968;19.632258;87.645161;
2009-08-31;20;244.2;33.86129;25.762581;19.580645;87.209677;
2009-09-30;19;154.6;35.126667;26.468667;19.743333;84.441667;
2009-10-31;17;271.7;34.674194;26.756774;21.729032;87.25;
2009-11-30;10;133.7;35.793333;27.628;22.633333;84.116667;
2009-12-31;7;null;35.017647;27.0825;22.458824;85.65625;
2010-01-31;21;294.1;34.729032;27.257419;22.464516;83.596774;
2010-02-28;15;259.6;34.403571;27.106429;22.360714;85.964286;
2010-03-31;20;226.6;34.654839;27.054839;22.377419;86.467742;
2010-04-30;23;360.2;32.93;26.236;21.8;89.216667;
2010-05-31;23;368.5;32.870968;26.470968;22.76129;89.048387;
2010-06-30;19;324.3;33.136667;26.164138;22.242857;88.05;
2010-07-31;18;151.9;32.658065;25.585806;21.367742;87.556452;
2010-08-31;16;100.9;33.774194;26.308667;21.96;84.258065;
2010-09-30;14;165.9;35.18;27.238667;22.643333;84.291667;
2010-10-31;15;176.6;35.474194;27.156129;22.074194;83.403226;
2010-11-30;16;328.4;34.293333;26.785333;22.17931;85.041667;
2010-12-31;21;223.7;33.941935;26.533548;22.106452;86.362903;
2011-01-31;22;459.8;32.993548;26.107097;22;88.241935;
2011-02-28;15;242.8;33.657143;26.102857;21.414286;88.116071;
2011-03-31;17;276.9;33.219355;26.234839;21.46129;86.741935;
2011-04-30;15;329;33.480769;26.146667;21.657143;87.855769;
2011-05-31;20;474.2;31.919355;25.500645;21.109677;89.443548;
2011-06-30;16;191.6;32.9;25.966316;21.421053;88.815789;
2011-07-31;18;119.3;33.712903;26.113548;21.235484;87.330645;
2011-08-31;13;118.1;35.193548;26.636129;21.477419;84.903226;
2011-09-30;20;192.6;34.373333;26.486667;22.623333;85.433333;
2011-10-31;9;209.8;34.422581;27.065161;23.06129;85.16129;
2011-11-30;15;156.3;34.23;26.846;23.296667;86.566667;
2011-12-31;24;266.5;33.632258;26.50129;23.048387;86.290323;
2012-01-31;25;368;33.029032;26.097419;22.967742;88.403226;
2012-02-29;23;393.1;32.331034;25.444138;22.541379;90.689655;
