Nome: BARCELOS
Codigo Estacao: 82113
Latitude: -0.97416666
Longitude: -62.9286111
Altitude: 30.65
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;14;207;32.277419;27.149032;23.745161;80.677419;
2008-02-29;23;199.8;31.110345;26.403448;23.606897;85.939655;
2008-03-31;14;198.3;31.774194;26.687097;23.606452;82.774194;
2008-04-30;16;398.7;32.03;27.043333;24.216667;84.075;
2008-05-31;26;441;29.864516;25.610968;23.019355;88.903226;
2008-06-30;23;216.3;30.393333;25.914667;23.363333;88.483333;
2008-07-31;23;236.8;31.496774;26.221935;22.993548;84.83871;
2008-08-31;14;60.3;32.667742;27.185161;23.580645;83.5;
2008-09-30;14;99.1;32.74;26.840667;23.66;88.491667;
2008-10-31;17;145.9;32.368;27.056;23.4;84.330645;
2008-11-30;12;119.1;32.353333;26.93;23.25;84.291667;
2008-12-31;19;387.8;31.148387;26.473548;23.445161;87.120968;
2009-01-31;23;177.6;30.977419;26.285806;23.274194;88.612903;
2009-02-28;18;228.9;32.185714;26.867857;23.053571;83.8125;
2009-03-31;26;354.3;31.522581;25.871613;21.754839;88.862903;
2009-04-30;17;376.8;31.746667;26.587333;22.283333;86.341667;
2009-05-31;21;199;31.5;26.412903;22.322581;86.943548;
2009-06-30;null;null;null;null;null;null;
2009-07-31;20;219.5;32.129032;26.490323;21.867742;85.153226;
2009-08-31;18;200.3;32.832258;27.191613;22.6;83.209677;
2009-09-30;9;72.5;34.023333;28.023333;23.52;78.533333;
2009-10-31;13;105.6;33.548387;27.432258;23.083871;83.048387;
2009-11-30;12;218.2;34.213333;28.133333;23.066667;79.291667;
2009-12-31;11;84.8;33.803226;28.069032;23.193548;76.935484;
2010-01-31;17;61.8;34.180645;28.176129;23.706452;76.798387;
2010-02-28;18;148;32.732143;27.597143;24.157143;83.160714;
2010-03-31;24;155.4;33.53871;27.776774;24.2;84.532258;
2010-04-30;26;513;31.436667;26.742667;23.803333;89.558333;
2010-05-31;21;232.7;31.445161;26.94;24.067742;89.701613;
2010-06-30;19;150.4;32.386667;27.049333;23.766667;87.141667;
2010-07-31;14;155;31.354839;26.396129;23.196774;86.532258;
2010-08-31;14;91.1;32.587097;26.674839;23.212903;84.548387;
2010-09-30;9;70;33.753333;27.694667;23.65;82.875;
2010-10-31;10;123.3;34.067742;27.805161;23.6;80.959677;
2010-11-30;14;245.1;32.99;27.106667;23.536667;84.9;
2010-12-31;19;147.2;32.877419;26.872258;23.312903;85.572581;
2011-01-31;16;152.6;32.219355;26.784516;23.512903;84.677419;
2011-02-28;22;313.7;31.7;26.015;22.8;87.776786;
2011-03-31;24;257.8;31.364516;26.162581;23.009677;87.806452;
2011-04-30;24;274.1;31.216667;26.14;23.233333;88.55;
2011-05-31;25;443.2;30.883871;26.133548;23.435484;89.596774;
2011-06-30;18;226.7;31.763333;26.454;23.47;87.533333;
2011-07-31;18;244.1;32.093548;26.485806;23.077419;85.177419;
2011-08-31;11;114;33.090323;26.983871;22.925806;82.209677;
2011-09-30;16;123.1;33.443333;27.072;23.046667;82.683333;
2011-10-31;6;87.5;32.958065;27.197419;23.254839;82.854839;
2011-11-30;15;76.8;32.623333;27.135333;23.643333;85.441667;
2011-12-31;12;147.6;33.183871;27.374194;23.777419;84.266129;
2012-01-31;22;260.8;31.735484;26.290968;23.296774;87.153226;
2012-02-29;20;464.7;30.631034;25.773103;22.858621;88.775862;
2012-03-31;25;319.3;31.154839;26.746452;23.812903;86.524194;
2012-04-30;24;479.8;30.456667;25.696;22.916667;90.716667;
2012-05-31;28;474.2;31.141935;25.940645;22.967742;89.741935;
2012-06-30;23;306.7;31.873333;26.322667;22.846667;86.933333;
2012-07-31;20;299.9;31.548387;26.076774;22.887097;86.33871;
2012-08-31;12;132;32.706452;26.578065;22.687097;83.733871;
2012-09-30;19;122;33;26.485333;22.42;85.583333;
2012-10-31;16;129.1;33.693548;27.189677;23.26129;83.919355;
2012-11-30;13;162;33.926667;27.644;23.676667;83.983333;
2012-12-31;19;237.2;32.548387;26.690323;23.409677;86.701613;
2013-01-31;12;78;33.6;27.885161;24.045161;79.540323;
2013-02-28;24;397.4;31.25;25.93;23.067857;90.026786;
2013-03-31;24;271.9;32.348387;26.827742;23.658065;85.895161;
2013-04-30;21;223.8;32.723333;27.167333;24.096667;85.358333;
2013-05-31;22;335.1;31.745161;26.422581;23.490323;88.241935;
2013-06-30;16;267.1;31.933333;26.542;23.353333;87.483333;
2013-07-31;24;232.2;30.996774;25.531613;22.280645;87.08871;
2013-08-31;17;251.8;31.716129;26.030323;22.851613;92.193548;
2013-09-30;13;79.5;33.26;26.906667;23.173333;89.7;
2013-10-31;12;87.8;33.722581;27.416129;23.322581;88.032258;
2013-11-30;21;180.2;32.036667;26.596;23.243333;90.933333;
2013-12-31;12;43.9;33.758065;27.903871;24.022581;85.068966;
2014-01-31;4;180.3;32.554839;26.974839;23.432258;87.741935;
2014-02-28;null;221.1;32.010714;26.492857;23.314286;89.75;
2014-03-31;null;302.2;31.854839;26.447097;23.535484;93.689655;
2014-04-30;null;210.5;32.1;26.632;23.733333;91.166667;
2014-05-31;null;null;31.645161;26.471613;23.66129;93.214286;
2014-06-30;null;0;31.496667;26.537931;23.706897;91.833333;
