Nome: SOURE
Codigo Estacao: 82141
Latitude: -0.72777777
Longitude: -48.51583333
Altitude: 12.6
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;532.1;29.912903;26.726452;24.612903;86.177419;
2008-02-29;23;273.4;30.37931;26.984828;24.417241;84.543103;
2008-03-31;24;653.4;29.816129;26.326452;24.003226;86.395161;
2008-04-30;25;370.7;30.863333;26.684667;24.113333;87.725;
2008-05-31;22;235.3;31.390323;27.276129;24.783871;85.766129;
2008-06-30;21;264.1;31.75;27.48;24.723333;82;
2008-07-31;22;135.3;31.741935;27.740645;25.332258;79.379032;
2008-08-31;10;35.7;31.770968;28.294194;25.845161;77.483871;
2008-09-30;3;12.3;32.106667;28.748667;26.823333;74.55;
2008-10-31;4;20.7;32.406452;28.971613;26.864516;73.217742;
2008-11-30;1;.7;32.64;29.17;27.14;73.066667;
2008-12-31;10;125.1;32.070968;28.678065;26.612903;76.862903;
2009-01-31;23;367.8;31.009677;27.363871;25.212903;85.064516;
2009-02-28;24;642.3;30.117857;26.257857;24;89.928571;
2009-03-31;28;917;30.325806;26.726452;24.667742;87.620968;
2009-04-30;27;915.4;30.196667;26.488667;24.36;89.066667;
2009-05-31;29;577.4;30.612903;26.763226;24.558065;88.693548;
2009-06-30;25;368.7;31.533333;27.236;24.903333;85.575;
2009-07-31;15;27.9;32.412903;28.396774;26.158065;77.887097;
2009-08-31;7;34.3;32.46129;28.712258;26.554839;75.806452;
2009-09-30;0;0;32.43;28.79;26.703333;73.291667;
2009-10-31;2;.8;32.590323;28.894839;26.896774;72.540323;
2009-11-30;1;.2;32.556667;28.962;26.96;73.1;
2009-12-31;7;27.1;32.577419;28.865161;26.780645;75.991935;
2010-01-31;24;236;31.493548;27.826452;25.567742;82.08871;
2010-02-28;15;438.5;31.742857;28.219286;25.9;83.080357;
2010-03-31;20;214.6;32.66129;28.713548;26.341935;80.846774;
2010-04-30;26;465.5;31.95;27.326;22.64;86.408333;
2010-05-31;27;254.2;32.658065;27.972258;23.474194;84.766129;
2010-06-30;17;234.4;32.61;27.641333;23.156667;82.083333;
2010-07-31;20;114;32.319355;27.645161;23.141935;81.354839;
2010-08-31;20;221;32.203226;27.792258;23.619355;79.669355;
2010-09-30;3;55.1;32.303333;28.66;26.103333;75.691667;
2010-10-31;4;21.4;32.835484;29.042581;26.477419;74.177419;
2010-11-30;8;94.2;32.666667;28.964667;26.476667;75.341667;
2010-12-31;13;87.2;33.96087;28.605217;25.525806;81.016129;
2011-01-31;26;667.6;null;null;23.816129;88.032258;
2011-02-28;22;493.1;29.292857;26.173571;24.003571;89.446429;
2011-03-31;26;597.1;29.73871;26.415484;24.296774;89.782258;
2011-04-30;23;555.2;29.466667;26.236667;24.153333;89.3;
2011-05-31;27;359.7;30.416129;27.150323;25.067742;87.395161;
2011-06-30;17;89.3;31.05;27.799333;25.656667;80.275;
2011-07-31;19;131;31.277419;27.623871;25.293548;81.032258;
2011-08-31;13;118.6;31.212903;28.151613;25.8;77.217742;
2011-09-30;4;13.9;31.166667;28.495333;26.726667;76.383333;
2011-10-31;2;106.7;31.525806;28.635172;26.212903;74.83871;
2011-11-30;8;68.4;31.403333;28.456667;26.073333;75.416667;
2011-12-31;2;95.7;31.06129;28.312903;26.109677;77.41129;
2012-01-31;16;114.8;30.596774;27.654839;24.993548;82.225806;
2012-02-29;21;579.1;29.551724;26.335172;23.462069;87.646552;
2012-03-31;29;808.2;29.567742;26.309032;23.280645;89.669355;
2012-04-30;29;432.8;30.38;27.132;23.83;88.208333;
2012-05-31;18;155.9;31.222581;27.79871;24.380645;81.290323;
2012-06-30;16;134.8;30.94;27.452;23.796667;81.275;
2012-07-31;13;82.5;30.970968;27.579355;24.132258;79.846774;
2012-08-31;9;132.6;30.787097;27.540645;24.003226;79.298387;
2012-09-30;3;12.6;30.96;27.86;24.776667;76.675;
2012-10-31;0;0;31.348387;28.091613;24.867742;75.290323;
2012-11-30;0;0;31.546667;28.162667;24.716667;76.066667;
2012-12-31;3;47;31.593548;28.285161;24.864516;77.540323;
2013-01-31;25;331;30.487097;27.160645;23.283871;84.951613;
2013-02-28;21;230.3;30.264286;26.965;22.760714;85.321429;
2013-03-31;4;555.3;30.332258;27.276129;24.396774;86.895161;
2013-04-30;null;510.1;30.633333;27.220667;24.373333;89.833333;
2013-05-31;null;338.8;30.967742;27.451613;24.632258;89.774194;
2013-06-30;null;86.6;31.383333;27.906667;24.953333;80.875;
2013-07-31;null;203.8;30.890323;27.001333;23.387097;82.125;
2013-08-31;null;125.1;30.951613;27.54129;24.1;81.790323;
2013-09-30;null;48.6;31.163333;28.186;25.37;78.25;
2013-10-31;null;7.9;31.529032;28.440645;25.558065;75.903226;
2013-11-30;null;18;31.39;28.182667;25.203333;76.466667;
2013-12-31;null;34.8;31.419355;28.281935;25.358065;77.290323;
2014-01-31;null;221.9;29.887097;26.585806;23.180645;84.145161;
2014-02-28;null;507.4;28.878571;25.729286;22.146429;90.241071;
2014-03-31;null;497;29.112903;25.769677;22.058065;91.08871;
2014-04-30;null;652.3;29.523333;26.072667;22.133333;90.366667;
2014-05-31;null;437;30.109677;26.351613;22.332258;90.032258;
2014-06-30;null;226;30.72;27.004;22.43;86.675;
2014-07-31;null;214.4;30.603226;26.832258;21.9;83.370968;
2014-08-31;null;50.2;30.641935;27.187097;22.493548;79.572581;
2014-09-30;null;5.1;31.163333;27.666667;23.29;75.725;
2014-10-31;null;39;31.4;27.898;23.254839;76.830645;
2014-11-30;null;0;31.536667;27.894667;23.263333;75.141667;
2014-12-31;null;10.5;31.666667;27.953333;23.13871;76.096774;
2015-01-31;null;97.5;null;null;22.380645;79.193548;
2015-02-28;null;268.7;null;null;21.160714;85;
2015-03-31;null;567.2;null;null;20.43871;89.395161;
2015-04-30;null;424.3;null;null;22.433333;86.675;
2015-05-31;null;202.1;null;null;23.16129;82.653226;
2015-06-30;null;155.5;null;null;23.146667;79.725;
2015-07-31;null;173.3;31.087097;27.806;23.083871;78.693548;
2015-08-31;null;39.7;31.180645;27.98129;23.496774;76.048387;
2015-09-30;null;0;31.696667;28.425333;24.083333;72.2;
2015-10-31;null;5.7;32.083871;28.678065;24.316129;73.41129;
2015-11-30;null;7.2;32.203333;28.669333;24.15;72.383333;
2015-12-31;null;8.7;32.277419;28.765161;24.074194;73.048387;
2016-01-31;null;195.1;30.951613;27.673548;22.56129;80.177419;
2016-02-29;null;450.5;30.148276;26.953103;21.72069;86.137931;
2016-03-31;null;552.1;30.377419;26.906452;21.37931;87.016129;
2016-04-30;null;368.1;30.843333;26.989333;21.363333;88.4;
2016-05-31;null;null;31.914286;27.974444;21.8;82.666667;
2016-06-30;null;null;31.87;27.521;21.54;81.1;
2016-07-31;null;null;31.733333;27.274286;21.719048;80.25;
2016-08-31;null;null;31.491304;27.673913;22.426087;77.228261;
2016-09-30;null;null;32.009524;28.081905;22.957143;74.416667;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;32.368421;28.514737;23.636842;74.013158;
2016-12-31;null;null;31.604762;27.64;22.395238;79.166667;
2017-01-31;null;602.9;29.75;26.053333;20.418182;89.556818;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;604.9;29.361905;25.490526;20.56;92.142857;
2017-04-30;null;291.7;30.225;26.172;21.035;90.0625;
2017-05-31;null;188.6;31.75;27.114737;21.65;85.225;
2017-06-30;null;231.2;31.922727;26.84381;21.313636;86.806818;
2017-07-31;null;74.1;32.590476;null;null;76.595238;
2017-08-31;null;11.2;31.978261;null;null;76.163043;
