Nome: TRACUATEUA
Codigo Estacao: 82145
Latitude: -1.06361111
Longitude: -46.86527777
Altitude: 24.68
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;23;394.6;30.36129;null;null;87.330645;
2008-02-29;20;251.8;30.875862;null;null;87.87069;
2008-03-31;29;672.7;29.445161;null;null;91.185484;
2008-04-30;28;418;30.41;25.639333;22.556667;90.666667;
2008-05-31;28;456;31.167742;25.97871;22.616129;88.830645;
2008-06-30;25;278;31.656667;26.016667;22.243333;86.425;
2008-07-31;25;272.7;31.932258;25.826452;21.46129;86.104839;
2008-08-31;11;76.8;32.445161;26.379355;21.56129;81.790323;
2008-09-30;5;16.6;32.936667;null;null;77.4;
2008-10-31;4;31.8;33.445161;null;null;74.66129;
2008-11-30;0;0;34.073333;27.926667;22.92;73.175;
2008-12-31;7;27.7;33.896774;27.774194;22.522581;75.427419;
2009-01-31;15;173;32.241935;null;null;82.354839;
2009-02-28;25;603.2;30.235714;null;null;88.633929;
2009-03-31;29;527.4;30.270968;null;null;89.104839;
2009-04-30;25;507.8;29.933333;null;null;89.933333;
2009-05-31;31;849.7;30.303226;null;null;91.782258;
2009-06-30;26;292.6;30.953333;25.63;21.076667;88.141667;
2009-07-31;25;227.4;31.567742;25.805161;20.664516;84.5;
2009-08-31;9;54.2;32.051613;26.422581;20.951613;80.120968;
2009-09-30;1;1;32.686667;26.736667;21.063333;75.716667;
2009-10-31;0;0;33.490323;27.043871;20.735484;73.693548;
2009-11-30;0;0;33.43;27.396;21.49;71.858333;
2009-12-31;4;48;33.612903;27.705161;22.551613;74.145161;
2010-01-31;16;118.2;32;26.910323;22.319355;81.709677;
2010-02-28;15;208.2;32.078571;27.144286;22.621429;83.973214;
2010-03-31;16;132.3;33.290323;27.516774;22.241935;83.080645;
