Nome: OBIDOS
Codigo Estacao: 82178
Latitude: -1.905
Longitude: -55.5236111
Altitude: 54.72
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;441.6;30.219355;25.992258;23.180645;86.790323;
2008-02-29;19;242.9;30.617241;26.009655;23.113793;85.586207;
2008-03-31;25;382;29.677419;25.412903;22.806452;88.685484;
2008-04-30;26;460.1;30.023333;25.744667;22.84;88.191667;
2008-05-31;20;302.2;30.076667;26.073548;23.148387;87.112903;
2008-06-30;10;119;31.306667;26.824;23.37;82.608333;
2008-07-31;3;45.3;32.306452;27.390968;23.354839;77.354839;
2008-08-31;2;14.3;33.367742;28.197419;24.119355;74.790323;
2008-09-30;9;49.7;33.683333;28.062;24.056667;75.391667;
2008-10-31;10;126.1;32.883871;27.879355;23.916129;76.798387;
2008-11-30;8;158.1;32.81;28.179333;24.453333;77.816667;
2008-12-31;18;282.8;31.122581;26.774194;23.754839;83.572581;
2009-01-31;20;158.9;31.316129;26.736774;23.76129;84.548387;
2009-02-28;23;394.5;30.428571;26.132143;23.378571;86.901786;
2009-03-31;26;343.7;30.16129;26.08;23.590323;88.564516;
2009-04-30;23;234.4;30.54;26.486667;23.81;87.541667;
2009-05-31;21;392.9;30.041935;25.874194;23.367742;89.298387;
2009-06-30;14;118.2;30.82;26.452667;23.33;85.458333;
2009-07-31;3;17.1;32.393548;27.405806;23.525806;79.33871;
2009-08-31;2;6.7;34.080645;28.512258;24.019355;76.016129;
2009-09-30;0;0;34.676667;29.052;24.47;71.891667;
2009-10-31;5;18.4;34.867742;29.274839;24.706452;71.645161;
2009-11-30;5;52.3;34.65;29.240667;24.946667;72.291667;
2009-12-31;16;159.7;33.609677;28.291613;24.541935;77.290323;
2010-01-31;18;216.9;32.077419;27.414839;24.035484;83.870968;
2010-02-28;18;211.4;32.010714;27.494286;24.428571;84.607143;
2010-03-31;22;226.4;32.593548;27.912258;24.409677;84.096774;
2010-04-30;24;356;30.986667;26.957333;24.036667;88.233333;
2010-05-31;16;369.4;31.322581;27.456129;24.429032;86.459677;
2010-06-30;11;102.8;31.953333;27.52;24.186667;82.675;
2010-07-31;13;177.4;31.677419;27.009032;23.73871;82.435484;
2010-08-31;6;51;32.896774;28.073548;24.335484;78.733871;
2010-09-30;7;57.9;34.176667;28.582667;24.57;76.091667;
2010-10-31;9;64.9;34.683871;29.02;24.83871;72.717742;
2010-11-30;13;186.4;33.12;28.027333;24.396667;78.633333;
