Nome: MONTE ALEGRE
Codigo Estacao: 82181
Latitude: -2
Longitude: -54.07638888
Altitude: 100.52
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;199;30.219355;26.145806;22.909677;80.733871;
2008-02-29;14;119.8;29.975862;26.047586;22.9;80.560345;
2008-03-31;21;400.1;29.190323;25.515484;22.735484;85.508065;
2008-04-30;23;313.4;29.616667;25.892;23.196667;84.916667;
2008-05-31;24;481.3;31.270968;26.386452;23.141935;84.669355;
2008-06-30;12;91.5;30.55;26.626;23.386667;79.266667;
2008-07-31;8;84.6;31.570968;27.275484;23.612903;74.064516;
2008-08-31;2;9;32.4;28.198065;24.509677;71.129032;
2008-09-30;5;23.6;32.946667;28.454;24.226667;69.366667;
2008-10-31;5;41;32.996774;28.231613;24.083871;70.629032;
2008-11-30;2;18;33.253333;28.561333;24.49;69.075;
2008-12-31;11;211.9;31.212903;27.134194;23.83871;77.685484;
2009-01-31;21;126.4;30.348387;26.367742;23.554839;82.41129;
2009-02-28;21;298.6;29.9;26.078571;23.171429;83.303571;
2009-03-31;23;310;30.174194;26.167742;23.425806;84.782258;
2009-04-30;19;338.6;30.136667;26.420667;23.643333;83.4;
2009-05-31;25;673.6;29.687097;26.054194;23.183871;84.435484;
2009-06-30;15;162.8;30.163333;26.404667;23.473333;82.275;
2009-07-31;10;57.9;30.976667;27.002581;23.625806;75.798387;
2009-08-31;4;11;32.193333;28.066;24.33;71.7;
2009-09-30;2;.4;32.846667;28.467333;24.156667;68.858333;
2009-10-31;1;.4;33.680645;29.007742;24.690323;65.935484;
2009-11-30;2;22.9;33.103333;28.515333;24.22;69.033333;
2009-12-31;12;236.6;31.554839;27.376774;23.906452;75.209677;
2010-01-31;12;14.8;31.325806;26.997419;23.690323;79.096774;
2010-02-28;14;177.6;31.067857;27.204286;24.182143;80.160714;
2010-03-31;10;114.7;32.048387;27.876129;24.529032;78;
2010-04-30;26;355.2;30.23;26.77;23.92;86.125;
2010-05-31;18;267.5;31.196774;27.402581;24.451613;83.709677;
2010-06-30;15;84.6;31.436667;27.425333;24.046667;78.85;
2010-07-31;17;223.8;31.154839;27.056774;23.53871;77.075;
2010-08-31;5;69.8;32.467742;28.103871;24.493548;72.983871;
2010-09-30;3;16.6;33.143333;28.544667;24.413333;70.375;
2010-10-31;4;22.5;34.058065;28.92;24.548387;68.016129;
2010-11-30;5;85.7;32.95;28.418;24.466667;71.9;
2010-12-31;14;193.6;31.835484;27.346452;23.941935;77.104839;
2011-01-31;22;351.8;30.026667;25.840645;23.051613;84.233871;
2011-02-28;19;274;29.735714;25.847143;23.042857;84.5625;
2011-03-31;25;453.5;29.883871;25.971613;23.077419;84.572581;
2011-04-30;25;512.3;30;25.974;23.196667;84.933333;
2011-05-31;20;429.3;30.112903;26.501935;23.616129;82.959677;
2011-06-30;15;117.3;30.89;26.996;23.66;79.8;
2011-07-31;10;70.4;30.967742;27.018065;23.748387;77.5;
2011-08-31;2;5.3;32.648387;28.223226;24.406452;70.306452;
2011-09-30;1;12.4;33.43;28.588667;24.363333;69.358333;
2011-10-31;6;106.5;33.245161;28.449677;24.396774;70.879032;
2011-11-30;5;41.9;32.476667;28.076;24.32;72.958333;
2011-12-31;3;9.4;33.332258;28.624516;24.329032;67.862903;
2012-01-31;17;223.9;31.177419;26.859355;23.474194;77.201613;
2012-02-29;19;326.6;29.671429;25.796429;22.817857;83.446429;
2012-03-31;25;361.9;30.041935;26.071333;23.054839;82.951613;
2012-04-30;21;234.6;30.753333;26.731333;23.48;82.133333;
2012-05-31;18;213.8;30.829032;27.027097;23.370968;79.241935;
2012-06-30;18;174.8;30.56;26.779333;23.246667;78.466667;
2012-07-31;16;181.5;30.958065;26.863226;23.23871;76.846774;
2012-08-31;4;10.3;32.293548;27.881935;23.941935;72.395161;
2012-09-30;2;1.4;32.993103;28.381379;24.010345;69.465517;
2012-10-31;3;5.6;33.496774;28.603871;24.335484;68.822581;
2012-11-30;2;46.4;34.216667;28.972667;24.406667;67.85;
2012-12-31;12;185.1;31.380645;27.166452;23.487097;79.217742;
2013-01-31;18;166.9;31.245161;26.896129;23.477419;81.790323;
2013-02-28;17;145.5;30.371429;26.153571;22.864286;83.839286;
2013-03-31;20;151.7;30.935484;26.721935;23.664516;83.177419;
2013-04-30;19;228.9;30.64;26.703333;23.356667;84.675;
2013-05-31;10;216.1;30.525806;26.565161;23.087097;83.612903;
2013-06-30;null;102.5;31.05;27.004667;23.173333;81.45;
2013-07-31;null;141.5;30.951613;26.603871;22.56129;80.274194;
2013-08-31;null;114.8;31.974194;27.407097;23.035484;79.048387;
2013-09-30;null;47.4;32.226667;27.676667;23.066667;75.658333;
2013-10-31;null;11.1;33.212903;28.337419;23.248387;69.75;
2013-11-30;null;75;32.006667;27.530667;22.96;74.908333;
2013-12-31;null;70.8;32.390323;27.686452;23.019355;74.056452;
2014-01-31;null;130;30.803226;26.308387;22.267742;78.387097;
2014-02-28;null;334;29.682143;25.477143;21.767857;86.116071;
2014-03-31;null;199.1;30.122581;25.822581;22.129032;85.008065;
2014-04-30;null;275.9;30.173333;26.318;22.373333;83.3;
2014-05-31;null;183.5;30.267742;26.429677;22.554839;84.741935;
2014-06-30;null;229.7;30.59;26.372;22.223333;83.783333;
2014-07-31;null;108.1;30.941935;26.472903;22.035484;81.016129;
2014-08-31;null;90.9;31.929032;27.205161;22.325806;76.274194;
2014-09-30;null;6.2;32.363333;27.68;22.32;72.716667;
2014-10-31;null;7.2;33.241935;28.329032;22.822581;71;
2014-11-30;null;0;33.6;28.405333;22.87;68.858333;
2014-12-31;null;0;33.425806;28.237419;22.590323;68.532258;
2015-01-31;null;151;31.219355;26.490323;21.251613;77.403226;
2015-02-28;null;140.7;30.446429;25.986429;21.328571;83.321429;
2015-03-31;null;289.6;29.903226;25.656774;21.190323;85.427419;
2015-04-30;null;347;30.796667;26.301333;21.523333;83.433333;
2015-05-31;null;189.4;30.596774;26.238065;21.429032;83.959677;
2015-06-30;null;211.5;30.523333;26.172;21;82.166667;
2015-07-31;null;105;31.029032;26.612903;21.212903;78.862903;
2015-08-31;null;37.7;31.825806;27.584516;22.058065;74.854839;
2015-09-30;null;1.8;33.063333;28.382;22.866667;70.225;
2015-10-31;null;1;33.793548;28.81871;22.93871;68.129032;
2015-11-30;null;8.2;34.273333;28.900667;22.863333;66.633333;
2015-12-31;null;2.6;33.929032;28.397419;22.612903;68.854839;
2016-01-31;null;41.5;33.245161;27.847742;22.445161;71.822581;
2016-02-29;null;107.5;31.782759;26.777931;21.531034;78.775862;
