Nome: BREVES
Codigo Estacao: 82188
Latitude: -1.68027777
Longitude: -50.47805554
Altitude: 9.8
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;27;484.8;31.8;null;null;89.91129;
2008-02-29;22;210.4;31.372414;null;null;89.103448;
2008-03-31;28;459.8;31.432258;null;null;89.596774;
2008-04-30;29;238.6;31.36;null;null;88.791667;
2008-05-31;25;277.9;31.858065;null;null;87.741935;
2008-06-30;14;140.4;32.006667;null;null;85.266667;
2008-07-31;8;37.6;33.329032;27.772941;23.0125;79.701613;
2008-08-31;11;154.5;33.625806;27.421935;21.883871;79.895161;
2008-09-30;16;76.6;33.666667;27.458;23.203333;81.525;
2008-10-31;3;11.9;33.406452;27.435484;23.319355;82.572581;
2008-11-30;5;60.8;32.96;27.324;23.226667;83.241667;
2008-12-31;19;196.4;32.529032;27.019355;23.251613;85.91129;
2009-01-31;27;342.8;31.767742;26.403871;22.825806;88.072581;
2009-02-28;25;341.3;31.057143;26.024286;22.65;90.276786;
2009-03-31;19;297.2;31.612903;26.553548;22.870968;88.112903;
2009-04-30;8;153;32.486667;27.047333;22.963333;85.225;
2009-05-31;15;234.1;32.422581;27.007097;22.870968;84.862903;
2009-06-30;12;146.5;32.533333;27.23;23.453571;84.558333;
2009-07-31;11;29.7;33.658065;27.919355;23.46129;81.217742;
2009-08-31;10;42.9;34.335484;28.107097;23.458065;80.008065;
2009-09-30;1;.2;34.16;28.080667;23.116667;79.808333;
2009-10-31;0;0;34.090323;27.972258;23.112903;80.733871;
