Nome: BELEM
Codigo Estacao: 82191
Latitude: -1.43583333
Longitude: -48.43722221
Altitude: 7.13
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;29;532.2;29.754839;25.524516;22.648387;91.701613;
2008-02-29;27;450.8;30.268966;25.728276;22.7;89.991379;
2008-03-31;28;457.4;29.970968;25.884516;23.083871;88.403226;
2008-04-30;27;505.1;30.503333;26.054667;23.063333;88.933333;
2008-05-31;23;308.1;31.519355;26.636667;23.366667;85.846774;
2008-06-30;22;299;31.493333;26.694;23.143333;83.975;
2008-07-31;16;108.9;32.63871;27.091613;23.093548;78.806452;
2008-08-31;8;151.5;33.46129;27.577419;23.280645;78.153226;
2008-09-30;17;109.6;33.406667;27.521333;23.186667;78.15;
2008-10-31;13;110.6;33.429032;27.727097;23.196774;76.209677;
2008-11-30;12;135.2;33.25;27.744;23.29;77.533333;
2008-12-31;20;171.2;32.651613;27.423226;23.590323;81.677419;
2009-01-31;29;354.5;31.287097;26.374194;23.064516;88.16129;
2009-02-28;28;422;29.967857;25.663571;22.85;91.883929;
2009-03-31;29;582.3;30.23871;25.93871;23.083871;91.403226;
2009-04-30;25;469.9;30.21;26.126667;23.206667;89.983333;
2009-05-31;28;456.6;30.112903;25.928387;23.080645;91.129032;
2009-06-30;23;317.3;31.56;26.678667;23.246667;85.216667;
2009-07-31;16;193.1;32.722581;27.279355;23.122581;79.83871;
2009-08-31;14;92.7;33.8;27.932258;23.425806;77.048387;
2009-09-30;18;134.1;33.656667;27.620667;23.106667;77.066667;
2009-10-31;15;142.3;33.674194;27.665806;22.912903;77.129032;
2009-11-30;9;45.1;34.083333;28.072;23.253333;75.058333;
2009-12-31;25;253.7;32.474194;27.236774;23.632258;83.774194;
