Nome: BELTERRA
Codigo Estacao: 82246
Latitude: -2.64222221
Longitude: -54.94388888
Altitude: 164.3
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;213.7;29.854839;25.209032;21.877419;89.258065;
2008-02-29;17;164.9;30.127586;25.491034;21.937931;87.560345;
2008-03-31;27;737.1;29.277419;24.90129;21.767742;91.330645;
2008-04-30;19;335.6;30.036667;25.36;21.823333;90.441667;
2008-05-31;23;347.4;29.958065;25.374839;21.912903;91.314516;
2008-06-30;13;167.8;31.24;25.819333;21.896667;89.533333;
2008-07-31;12;60.2;31.9;26.121935;21.841935;87.814516;
2008-08-31;7;35.6;33.129032;26.767742;22.193548;85.862903;
2008-09-30;6;20.4;33.193333;27.090667;22.433333;84.3;
2008-10-31;7;68.6;33.190323;27.258065;22.654839;82.258065;
2008-11-30;8;82.7;33.353333;27.213333;22.64;82.933333;
2008-12-31;19;171.9;30.974194;25.922581;22.122581;88.604839;
2009-01-31;18;177.6;30.629032;25.672903;21.954839;89.451613;
2009-02-28;23;490.8;30.196429;25.418571;21.946429;90.678571;
2009-03-31;28;468.8;30.041935;25.396774;21.922581;91.370968;
2009-04-30;17;251.5;30.386667;25.754;22.233333;89.725;
2009-05-31;22;407.5;29.935484;25.458065;22.122581;90.798387;
2009-06-30;17;214.8;30.366667;25.522667;21.966667;90.108333;
2009-07-31;12;87.1;31.103226;25.860645;21.793548;87.798387;
2009-08-31;7;33;32.348387;26.665806;22.206452;84.330645;
2009-09-30;1;2.5;33.336667;27.522;22.586667;79.358333;
2009-10-31;4;134.2;34.3;27.873548;22.96129;78.080645;
2009-11-30;4;115;33.046667;27.414667;22.943333;78.783333;
2009-12-31;7;52.9;31.890323;26.789032;22.490323;81.774194;
