Nome: PARNAIBA
Codigo Estacao: 82287
Latitude: -3.08668
Longitude: -41.783139
Altitude: 52.11
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-09-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;14;95;32.648387;null;null;null;
2008-02-29;14;157.2;31.993103;null;null;null;
2008-03-31;27;389.9;30.148387;null;null;null;
2008-04-30;27;366.2;30.29;null;null;null;
2008-05-31;15;151.6;30.8;null;null;null;
2008-06-30;9;76.5;31.176667;null;null;null;
2008-07-31;7;51.5;32.470968;null;null;null;
2008-08-31;5;44.6;33.080645;null;null;null;
2008-09-30;0;0;34.223333;null;null;null;
2008-10-31;0;0;34.967742;null;null;null;
2008-11-30;0;0;34.06;null;null;null;
2008-12-31;1;47.5;33.654839;null;null;null;
2009-01-31;13;207.4;31.603226;null;null;null;
2009-02-28;22;159.8;30.910714;null;null;null;
2009-03-31;24;361.1;30.296774;null;null;null;
2009-04-30;25;420.7;29.946667;null;null;null;
2009-05-31;28;366.7;29.980645;null;null;null;
2009-06-30;17;74.6;30.916667;null;null;null;
2009-07-31;9;42.4;31.225806;null;null;null;
2009-08-31;4;3.1;33.067742;null;null;null;
2009-09-30;0;0;33.826667;null;null;null;
2009-10-31;0;0;33.167742;null;null;null;
2009-11-30;0;0;33.87931;null;null;null;
2009-12-31;1;2.8;33.290323;null;null;null;
2010-01-31;10;28.8;33.093548;null;null;null;
2010-02-28;9;25.2;34.175;null;null;null;
2010-03-31;14;145;33.487097;null;null;null;
2010-04-30;21;175.4;32.273333;null;null;null;
2010-05-31;10;49.4;32.467742;null;null;null;
2010-06-30;6;45.1;33;null;null;null;
2010-07-31;6;60.8;33.335484;null;null;null;
2010-08-31;0;0;34.987097;null;null;null;
2010-09-30;0;0;35.473333;null;null;null;
2010-10-31;2;12.1;34.229032;null;null;null;
2010-11-30;1;3.5;34.87037;null;null;null;
2010-12-31;8;92.6;33.035484;null;null;null;
2011-01-31;14;82.9;31.019355;null;null;null;
2011-02-28;21;224.1;30.782143;null;null;null;
2011-03-31;20;196.6;30.854839;null;null;null;
2011-04-30;25;264.7;30.463333;null;null;null;
2011-05-31;21;74.5;31.090323;null;null;null;
2011-06-30;10;63.7;31.196667;null;null;null;
2011-07-31;8;60.9;31.706452;null;null;null;
2011-08-31;5;5.3;33.535484;null;null;null;
2011-09-30;0;0;34.6;null;null;null;
2011-10-31;4;44.4;33.380645;null;null;null;
2011-11-30;0;0;33.796667;null;null;null;
2011-12-31;0;0;33.551613;null;null;null;
2012-01-31;6;17;33.554839;null;null;null;
2012-02-29;14;163.8;32.534483;null;null;null;
2012-03-31;22;228.9;31.26129;null;null;null;
2012-04-30;12;47.9;32.033333;null;null;null;
2012-05-31;4;27.7;33.487097;null;null;null;
2012-06-30;12;101;32.73;null;null;null;
2012-07-31;6;38.5;33.632258;null;null;null;
2012-08-31;0;0;34.432258;null;null;null;
2012-09-30;0;0;34.436667;null;null;null;
2012-10-31;0;0;35.032258;null;null;null;
2012-11-30;0;0;34.143333;null;null;null;
2012-12-31;0;0;34.274194;null;null;null;
2013-01-31;10;115.8;32.916129;null;null;null;
2013-02-28;10;66.5;33.182143;null;null;null;
2013-03-31;null;139.5;33.329032;null;null;null;
2013-04-30;null;186.1;31.41;null;null;null;
2013-05-31;null;152.4;31.603226;null;null;null;
2013-06-30;null;32.4;32.163333;null;null;null;
2013-07-31;null;114;32.290323;null;null;null;
2013-08-31;null;10;34.022581;null;null;null;
2013-09-30;null;0;35.12;null;23.893333;null;
2013-10-31;null;0;35.096774;null;24.022581;null;
2013-11-30;null;20.8;34.426667;null;24.096667;null;
2013-12-31;null;15.7;34.06129;null;24.141935;null;
2014-01-31;null;70.9;32.270968;null;23.719355;null;
2014-02-28;null;121.7;32.017857;null;23.475;null;
2014-03-31;null;180.1;31.277419;null;23.435484;null;
2014-04-30;null;211.1;31.153333;null;23.234483;null;
2014-05-31;null;369.7;31.235484;null;22.66129;null;
2014-06-30;null;9;32.516667;null;22.353333;null;
2014-07-31;null;3.8;34.032258;null;22.029032;null;
2014-08-31;null;0;34.716129;null;22.36129;null;
2014-09-30;null;8.5;34.71;null;22.643333;null;
2014-10-31;null;.1;35.374194;null;23.36129;null;
2014-11-30;null;3.9;34.36;null;23.573333;null;
2014-12-31;null;0;33.858065;null;23.919355;null;
2015-01-31;null;14.4;33.835484;null;23.870968;null;
2015-02-28;null;190.9;33.139286;null;23.65;null;
2015-03-31;null;127.3;31.335484;null;23.735484;null;
2015-04-30;null;268.8;30.906667;null;23.67;null;
2015-05-31;null;7.9;32.093548;null;23.832258;null;
2015-06-30;null;16;32.746667;null;22.796667;null;
2015-07-31;null;56.6;33.054839;null;22.648387;null;
2015-08-31;null;0;34.909677;null;22.590323;null;
2015-09-30;null;0;35.166667;null;23.86;null;
2015-10-31;null;0;35.33871;null;24.235484;null;
2015-11-30;null;0;34.45;null;24.303333;null;
2015-12-31;null;14.6;34.658065;null;24.929032;null;
2016-01-31;null;226;31.703226;null;24.167742;null;
2016-02-29;null;59.4;31.875862;null;23.848276;null;
2016-03-31;null;86.7;32.187097;null;24.474194;null;
2016-04-30;null;122.9;31.823333;null;23.827586;null;
2016-05-31;null;151.6;32.509677;null;23.754839;null;
2016-06-30;null;121.2;33.05;null;22.66;null;
2016-07-31;null;36.3;34.009677;null;22.193548;null;
2016-08-31;null;0;34.983871;null;22.86129;null;
2016-09-30;null;0;35.233333;null;23.836667;null;
2016-10-31;null;0;35.835484;null;24.3;null;
2016-11-30;null;0;35.666667;null;24.643333;null;
2016-12-31;null;74.8;34.312903;null;24.635484;null;
2017-01-31;null;98.6;32.632258;null;24.093548;null;
2017-02-28;null;161.8;31.632143;null;23.482143;null;
2017-03-31;null;295.9;30.951613;null;23.277419;null;
2017-04-30;null;178.7;31.64;null;23.293333;null;
2017-05-31;null;79.1;31.877419;null;23.303226;null;
2017-06-30;null;21.4;32.536667;null;22.34;null;
2017-07-31;null;33;33.483871;null;21.719355;null;
2017-08-31;null;12.7;35.087097;null;22.290323;null;
