Nome: LUZILANDIA(LAG.DO PIAUI)
Codigo Estacao: 82296
Latitude: -3.46972221
Longitude: -42.26805554
Altitude: 44.13
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;285.8;33.732258;27.868387;22.880645;79.895161;
2008-02-29;17;213.7;32.748276;27.181429;22.735714;82.215517;
2008-03-31;26;367.8;31.280645;26.256774;22.225806;87.145161;
2008-04-30;23;415.9;31.55;26.662;22.806667;86.575;
2008-05-31;16;229.4;31.922581;27.231613;22.854839;null;
2008-06-30;8;105.9;32.05;27.228;22.533333;null;
2008-07-31;5;82.6;33.2;27.339333;22.025806;null;
2008-08-31;5;26;34.829032;27.509677;21.706452;null;
2008-09-30;0;0;36.663333;28.461333;22.126667;68.916667;
2008-10-31;4;13.3;37.848387;29.145806;22.693548;65.483871;
2008-11-30;0;0;37.59;29.194667;23.24;null;
2008-12-31;4;134.6;36.516129;28.637241;23.351613;71.032258;
2009-01-31;9;null;null;null;null;null;
2009-02-28;13;153.5;31.853571;26.555714;22.467857;83.017857;
2009-03-31;15;null;31.723529;26.325882;22.176471;87.029412;
2009-04-30;22;386.9;30.983333;25.904667;22.123333;88.008333;
2009-05-31;22;285.2;31.080645;26.027097;22.174194;87.433333;
2009-06-30;17;132.2;31.783333;26.263333;21.823333;85.711538;
2009-07-31;9;44.9;32.590323;26.389032;21.287097;80.413793;
2009-08-31;4;14.3;34.667742;27.02;21.183871;75.225;
2009-09-30;0;0;36.57;28.028276;21.536667;71.133333;
2009-10-31;2;9;36.519355;27.954194;21.793548;67.806452;
2009-11-30;1;25.6;37.04;28.675862;22.71;63.844828;
2009-12-31;3;11.8;35.887097;28.409032;23.177419;67.666667;
2010-01-31;13;null;null;null;null;null;
2010-02-28;9;170.4;35.135714;27.694286;22.828571;75.214286;
2010-03-31;5;null;36.325;28.33375;22.9375;74.71875;
2010-04-30;24;260.5;33.046667;26.993333;22.7;88.925;
2010-05-31;12;108.4;33.406452;27.507097;22.729032;86.475;
2010-06-30;8;94.4;33.133333;27.252;21.71;82.225;
2010-07-31;1;3;34.629032;27.778065;21.306452;77.274194;
2010-08-31;2;4;36.545161;28.125806;20.854839;70.358333;
2010-09-30;1;1.4;38.193333;28.860667;20.8;65.108333;
2010-10-31;4;110.4;37.664516;28.741935;21.825806;66.169355;
2010-11-30;3;15.5;37.333333;28.730667;22.23;68.508333;
2010-12-31;10;106.1;34.906452;27.438065;21.577419;74.958333;
2011-01-31;10;null;31.233333;25.948;20.726667;82.916667;
2011-02-28;19;222.4;32.035714;26.068571;20.975;86.910714;
2011-03-31;9;null;31.7375;26.0525;20.7;85.71875;
2011-04-30;22;193.6;32.03;26.056667;21.05;87.083333;
2011-05-31;16;211.3;31.96129;26.232903;21.477419;87.120968;
2011-06-30;11;50.7;32.343333;26.201333;20.593333;84.586207;
2011-07-31;8;64.9;33.032258;26.275484;20.03871;81.709677;
2011-08-31;3;17.7;35.006452;27.012903;20.006452;75.65;
2011-09-30;1;3.4;37.09;27.876;20.406667;69.175;
2011-10-31;6;33.2;36.570968;28.006667;21.153333;72.072581;
2011-11-30;2;1.4;36.036667;27.967333;21.09;72.266667;
2011-12-31;0;0;36.619355;28.367097;21.087097;76.403226;
2012-01-31;null;null;null;null;null;null;
2012-02-29;15;166.5;33.448276;26.386207;20.186207;82.646552;
2012-03-31;13;216.6;32.4375;26.101667;20.1375;85.215909;
2012-04-30;13;93.2;33.09;26.678667;21.24;82.55;
2012-05-31;5;55.5;34.325806;27.674839;22.270968;70.677419;
2012-06-30;6;90.6;34.706667;28.015333;22.15;68.508333;
2012-07-31;null;0;35.7;28.231538;22.215385;66.24;
2012-08-31;0;0;37.625806;28.554194;21.077419;64.66129;
2012-09-30;0;0;38.306667;28.730667;21.42;62.1;
