Nome: TEFE
Codigo Estacao: 82317
Latitude: -3.38027777
Longitude: -64.72527777
Altitude: 56
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;25;215.8;32.119355;26.689677;23.187097;88.5;
2008-02-29;20;224;32.241379;26.789655;22.893103;86.956897;
2008-03-31;22;239;32.625806;26.877419;22.832258;87.524194;
2008-04-30;17;174.4;32.983333;27.05;23.106667;90.075;
2008-05-31;23;261.6;31.429032;26.250968;22.8;90.685484;
2008-06-30;12;123.9;31.42;26.506667;22.653333;86.866667;
2008-07-31;15;145.7;32.932258;26.914194;22.448387;86.491935;
2008-08-31;11;74.2;34.135;28.089;22.858065;82.524194;
2008-09-30;16;162.8;null;null;22.69;85.475;
2008-10-31;15;243.9;null;null;22.906452;85.887097;
2008-11-30;13;139.9;null;null;23.606667;85.8;
2008-12-31;22;181;null;null;23.380645;87.177419;
2009-01-31;23;396.7;null;null;23.2;89.330645;
2009-02-28;21;411.8;null;null;23.371429;87.446429;
2009-03-31;26;364.7;null;null;23.209677;86.443548;
2009-04-30;20;259;null;null;23.686667;87.316667;
2009-05-31;23;280.8;null;null;23.219355;86.225806;
2009-06-30;16;139;null;null;23.02;88.016667;
2009-07-31;18;68.9;33.506452;27.207742;23.119355;84.112903;
2009-08-31;14;167.9;34.816129;27.908387;23.441935;81.491935;
2009-09-30;2;null;null;null;null;null;
2009-10-31;18;261.8;34.154839;null;null;86.322581;
2009-11-30;17;102.1;34.69;null;null;85.15;
2009-12-31;21;213.5;32.787097;27.147742;23.751613;88.508065;
2010-01-31;20;234.5;33.483871;27.502581;24.429032;86.169355;
2010-02-28;18;180.5;33;27.412857;24.664286;87.625;
2010-03-31;24;199.2;33.706452;27.762581;24.535484;87.008065;
2010-04-30;22;387.5;31.99;27.100667;23.98;89.016667;
2010-05-31;17;226.9;32.3;27.190323;24.258065;88.330645;
2010-06-30;20;167.7;33.04;27.19;23.763333;86.183333;
2010-07-31;11;139;32.574194;26.611613;22.86129;84.040323;
2010-08-31;6;50.5;34.348387;27.451613;23.135484;82.983871;
2010-09-30;12;50.2;35.07;28.238;23.783333;81.366667;
2010-10-31;14;130.5;35.045161;27.874194;23.467742;82.096774;
2010-11-30;11;171.9;33.976667;27.54;23.78;83.575;
2010-12-31;15;304.8;32.954839;26.751613;23.13871;84.491935;
2011-01-31;23;281.4;32.354839;26.385161;23.212903;84.306452;
2011-02-28;19;228.2;32.292857;26.316429;22.732143;85.330357;
2011-03-31;22;243.1;32.435484;26.567742;22.912903;83.75;
2011-04-30;23;300.3;32.476667;26.279333;22.53;85.283333;
2011-05-31;22;308.8;32.274194;26.6;23.064516;87.362903;
2011-06-30;16;197.2;32.423333;26.563333;22.43;86.391667;
2011-07-31;9;70.9;33.9;27.015484;22.058065;80.766129;
2011-08-31;6;52.5;34.877419;27.455484;21.893548;76.604839;
2011-09-30;1;null;null;null;null;null;
2011-10-31;15;181.7;33.919355;27.068387;22.36129;82.733871;
2011-11-30;13;275.4;33.426667;26.704;22.14;84.05;
2011-12-31;14;144;32.887097;26.41871;21.690323;86.225806;
2012-01-31;24;637.2;32.280645;25.711613;21.122581;88;
2012-02-29;25;364.3;32.17931;25.588276;20.758621;86.913793;
2012-03-31;27;302.7;32.274194;25.77871;20.570968;86.854839;
2012-04-30;23;338.6;32.436667;25.938;20.866667;89.016667;
2012-05-31;22;370.3;32.019355;25.770323;20.477419;87.693548;
2012-06-30;16;111;32.91;26.8272;22.5;83.6;
2012-07-31;14;121.5;32.632258;26.54;22.993103;83.693548;
2012-08-31;7;120.6;34.270968;27.119355;22.741935;80.620968;
2012-09-30;1;109.3;34.86;27.521333;23.166667;80.883333;
2012-10-31;15;196.4;34.593548;27.704516;23.864516;82.629032;
2012-11-30;13;108.6;34.566667;27.82;23.98;81.658333;
2012-12-31;19;344.1;32.787097;26.745161;23.358065;86.129032;
2013-01-31;20;268.4;33.225806;27.127097;24.041935;85.072581;
2013-02-28;22;401.8;32.375;26.503571;23.396429;86.633929;
2013-03-31;4;391.6;32.719355;27.008387;23.880645;85.620968;
