Nome: CODAJAS
Codigo Estacao: 82326
Latitude: -3.8411111
Longitude: -62.05527777
Altitude: 30.31
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;25;354.6;32.519355;26.912258;23.929032;87.16129;
2008-02-29;20;421.7;31.813793;25.970345;21.468966;89.672414;
2008-03-31;27;352.4;31.748387;25.607097;20.583871;88.798387;
2008-04-30;20;307.8;32.133333;26.004667;20.736667;90.966667;
2008-05-31;25;365.3;30.896774;25.526452;20.729032;90.395161;
2008-06-30;17;182.3;31.826667;25.947333;21.076667;89.641667;
2008-07-31;8;56.7;33.029032;26.003226;20.3;88.056452;
2008-08-31;9;91;33.232258;26.415172;20.978571;88.701613;
2008-09-30;17;152;32.51;26.545926;22.848148;88.741667;
2008-10-31;14;187.3;32.145161;26.69871;22.73871;86.048387;
2008-11-30;16;247.8;31.91;26.562;23.23;90.808333;
2008-12-31;22;391.6;31.745161;26.7;23.216129;89.467742;
2009-01-31;24;393;30.603226;25.991613;23.383871;91.596774;
2009-02-28;23;482.7;30.839286;25.935;22.975;92.071429;
2009-03-31;21;329;31.509677;26.196774;23.183871;89.790323;
2009-04-30;23;462.4;30.59;26.219333;23.44;90.708333;
2009-05-31;24;391;30.535484;26.154839;23.170968;90.362903;
2009-06-30;21;292;30.126667;26.129333;23.473333;88.958333;
2009-07-31;10;34.2;32.222581;27.030968;23.606452;83.362903;
2009-08-31;8;51.3;33.596774;27.621935;23.506452;82.491935;
2009-09-30;7;85.5;34.293333;27.996667;23.446667;81.25;
2009-10-31;10;82.1;33.851613;28.005806;24.012903;83.854839;
2009-11-30;14;174.9;34.103333;28.38;24.173333;84.666667;
2009-12-31;24;519.3;30.574194;26.347742;23.854839;90.491935;
2010-01-31;22;337.9;31.776667;26.718065;23.823333;88.346774;
2010-02-28;22;186.5;31.642857;26.881429;24.146429;88.901786;
2010-03-31;22;416.1;32.732258;27.392258;24.277419;87.725;
2010-04-30;26;509.7;31.043333;26.604667;23.993333;90.058333;
2010-05-31;18;246.4;31.26;26.703871;23.886667;88.862903;
2010-06-30;19;224.9;31.62;26.624667;23.316667;89.341667;
2010-07-31;13;134.6;31.554839;25.611613;21.245161;84.419355;
2010-08-31;4;23.3;33.754839;26.833548;21.741935;84.814516;
2010-09-30;11;164.4;33.95;27.392667;23.043333;85.108333;
2010-10-31;18;124.6;null;null;23.106667;86.691667;
2010-11-30;19;299.4;32.148;26.6152;23.186667;88.175;
2010-12-31;22;557.1;31.674194;26.201935;22.932258;90.733871;
2011-01-31;23;469.4;30.980645;25.723226;22.909677;90.774194;
2011-02-28;22;415.1;30.528571;25.367143;22.278571;90.925926;
2011-03-31;21;326.3;30.825806;25.663226;22.787097;91.145161;
2011-04-30;22;393.5;30.283333;25.462667;22.563333;92.583333;
2011-05-31;18;189.1;31.158065;26.216774;23.064516;91.58871;
2011-06-30;18;142.8;31.73;26.362667;22.733333;92.025;
2011-07-31;10;57.7;32.516129;26.094194;21.919355;88.58871;
2011-08-31;11;80.5;33.36129;26.679355;22.432258;84.556452;
2011-09-30;15;113.7;33.133333;26.489333;22.713333;88.625;
2011-10-31;16;246.2;32.848387;26.903226;23.258065;87.153226;
2011-11-30;20;310.2;31.956667;26.271333;22.996667;90.283333;
2011-12-31;22;239.5;32.187097;26.566452;23.66129;90.435484;
2012-01-31;25;436.1;30.483871;25.567742;23.03871;92.991935;
2012-02-29;19;374.5;30.324138;25.271724;22.327586;92.224138;
2012-03-31;26;497.1;30.677419;25.375484;22.358065;92.854839;
2012-04-30;21;249.7;31.326667;25.991333;22.766667;91.016667;
2012-05-31;18;241.4;31.129032;26.293548;22.735484;90.814516;
2012-06-30;11;144.2;31.446667;26.321333;22.743333;89.85;
