Nome: ITACOATIARA
Codigo Estacao: 82336
Latitude: -3.13694444
Longitude: -58.44277777
Altitude: 19.16
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;27;467.8;29.667742;25.670323;22.487097;89.354839;
2008-02-29;16;299.9;30.510345;26.354483;22.813793;85.137931;
2008-03-31;25;328.3;30.116129;25.663871;22.306452;88.032258;
2008-04-30;21;347.6;30.933333;26.305333;22.61;85.925;
2008-05-31;23;246.7;30.825806;26.279355;22.909677;87.870968;
2008-06-30;14;235.9;31.355172;26.686207;23.251724;83.965517;
2008-07-31;11;113.7;32.816129;27.483226;23.374194;79.129032;
2008-08-31;12;80.4;33.203226;27.851613;23.835484;78.782258;
2008-09-30;11;216.5;33.223333;27.776667;23.61;79.016667;
2008-10-31;17;225.4;32.858065;27.737419;23.822581;79.854839;
2008-11-30;14;282.2;32.54;27.474;23.803333;82.658333;
2008-12-31;15;229.5;32.129032;27.036129;23.864516;83.870968;
2009-01-31;19;329.9;31.267742;26.613548;23.554839;86.266129;
2009-02-28;24;530.3;30.603571;26.150714;23.185714;87.303571;
2009-03-31;19;429.1;31.393548;26.68129;23.322581;85.16129;
2009-04-30;18;181.4;31.546667;26.991333;23.87;84.816667;
2009-05-31;18;398.8;30.774194;26.656129;23.580645;84.741935;
2009-06-30;15;205;31.256667;26.761333;23.46;84.466667;
2009-07-31;10;74.8;32.903226;28.030323;24.564516;78.806452;
2009-08-31;4;35.7;34.348387;29.239355;25.312903;73.596774;
2009-09-30;2;1.4;35.863333;30.116;25.483333;66.108333;
2009-10-31;6;63.9;35.964516;29.905806;25.23871;67.258065;
2009-11-30;2;49.4;35.536667;30.131333;25.59;66.65;
2009-12-31;18;344.9;32.535484;27.939355;24.73871;79.225806;
2010-01-31;22;167.1;31.577419;27.254194;24.129032;83.532258;
2010-02-28;16;172.6;31.671429;27.577143;24.453571;83.598214;
2010-03-31;15;161.2;33.422581;28.466452;24.858065;78.895161;
2010-04-30;20;391.5;31.66;27.158;24.45;86.483333;
2010-05-31;16;213.9;32.503226;27.917419;24.919355;83.653226;
2010-06-30;14;147.5;33.08;27.961333;24.393333;80.35;
2010-07-31;10;116.1;33.067742;27.654839;24.003226;78.508065;
2010-08-31;6;50.8;34.354839;28.852903;24.451613;72.040323;
2010-09-30;5;29.1;35.02;29.398667;24.786667;70.633333;
2010-10-31;8;43.2;35.170968;28.969032;24.641935;71.862903;
2010-11-30;9;86.3;33.903333;28.208667;24.286667;77.383333;
2010-12-31;18;361.3;32.019355;27.022581;23.474194;83.419355;
2011-01-31;20;416.7;31.235484;26.408387;23.380645;84.548387;
2011-02-28;19;409;30.860714;26.120714;22.942857;85.571429;
2011-03-31;17;587.6;30.974194;26.654194;23.222581;83.467742;
2011-04-30;25;501.7;31.19;26.815333;23.15;82.458333;
2011-05-31;25;512.7;31.32;26.994;23.96129;84.403226;
2011-06-30;15;132.7;32.863333;27.854;23.993333;79.458333;
2011-07-31;9;88.9;33.245161;28.14129;23.677419;75.483871;
2011-08-31;6;150.3;33.874194;28.571613;23.851613;73.427419;
2011-09-30;8;53.9;33.373333;28.643333;24.45;74.016667;
2011-10-31;10;217.8;32.696774;27.956774;24.254839;77.104839;
2011-11-30;10;150.1;32.46;27.781333;24.093333;79.008333;
2011-12-31;14;211.5;31.890323;27.531613;24.374194;81.903226;
2012-01-31;20;339.4;30.048387;26.150323;23.670968;86.758065;
2012-02-29;22;322;29.603448;26.02;23.572414;87.034483;
2012-03-31;24;501.7;30.13871;26.533548;23.825806;85.637097;
2012-04-30;19;355.8;30.703333;27.053333;24.35;84.45;
2012-05-31;16;228;31.090323;27.394839;24.458065;82.193548;
2012-06-30;11;107.5;31.87;27.734667;24.596667;78.941667;
2012-07-31;17;214.6;31.187097;27.300645;24.148387;80.225806;
2012-08-31;7;69.8;32.954839;28.219355;24.341935;74.483871;
2012-09-30;1;49;33.18;28.71;24.57;73.133333;
2012-10-31;3;20.6;34.032258;29.291613;25.451613;72.354839;
2012-11-30;6;155.3;33.993333;29.093333;25.446667;74.433333;
2012-12-31;14;461.6;31.025806;26.905161;23.854839;84.314516;
2013-01-31;19;367.8;30.396774;26.887742;24.216129;84.903226;
2013-02-28;18;418.4;30.182143;26.704286;24.075;85.401786;
2013-03-31;18;454.8;30.212903;26.807097;24.280645;85.58871;
2013-04-30;19;293.3;30.903333;27.187333;24.646667;85.308333;
2013-05-31;18;195.4;31.016129;27.299355;24.416129;84.330645;
2013-06-30;10;109;31.963333;28.092;25.27;79.641667;
2013-07-31;18;139.3;31.180645;27.28;24.219355;80.16129;
2013-08-31;6;127.7;31.903226;27.899355;24.567742;78.475806;
2013-09-30;8;113;32.56;28.325333;24.833333;77.25;
2013-10-31;3;98.9;33.929032;28.929032;25.329032;73.951613;
2013-11-30;11;174.1;31.99;27.636667;24.666667;80.816667;
2013-12-31;13;222.3;31.987097;27.987097;24.993548;80.064516;
2014-01-31;null;150.3;31.1;27.22129;24.341935;82.048387;
2014-02-28;null;474.4;30.353571;26.592857;23.989286;85.383929;
2014-03-31;null;605;30.541935;26.879355;24.132258;84.693548;
2014-04-30;null;337.8;31.063333;27.227333;24.613333;85.233333;
2014-05-31;null;259.8;31.322581;27.243871;24.56129;85.177419;
2014-06-30;null;235.1;31.543333;27.858667;24.95;80.15;
2014-07-31;null;114.5;31.548276;27.617241;24.487097;81.681034;
2014-08-31;null;79.3;33.19;28.752143;24.906667;74.658333;
2014-09-30;null;20.1;34.07;29.528667;25.626667;70.591667;
2014-10-31;null;264.5;32.653333;28.506207;24.696667;76.091667;
2014-11-30;null;272.3;32.511111;28.172593;25.12;79.62037;
2014-12-31;null;207.8;31.709677;28.034;25.096667;82.620968;
2015-01-31;null;246.6;30.513333;26.807586;24.05;85.166667;
2015-02-28;null;245.9;31.045833;27.094783;24.2;81.625;
2015-03-31;null;446.9;30.519355;26.816552;24.209677;88.225806;
2015-04-30;null;309.7;30.73;27.096667;24.453333;88.5;
2015-05-31;null;401.9;31.235484;27.485806;24.445161;86.403226;
2015-06-30;null;225;31.953333;28.115862;24.8;83.433333;
2015-07-31;null;71.5;32.893333;28.378667;24.890323;83.533333;
2015-08-31;null;36.2;33.796774;29.122581;24.983871;81.548387;
2015-09-30;null;3.9;35.566667;null;null;78.133333;
2015-10-31;null;110.6;35.487097;30.015172;25.386207;77.806452;
2015-11-30;null;52.8;34.68;29.634667;25.266667;79.6;
2015-12-31;null;88.9;34.190323;29.527742;25.183871;78.096774;
2016-01-31;null;187.4;33.262069;28.965714;25.193333;75.362069;
2016-02-29;null;402.4;31.746429;27.879286;24.713793;81.419643;
2016-03-31;null;628.9;31.473333;27.522667;24.316129;84.458333;
2016-04-30;null;353.2;31.673333;27.806897;24.6;84.383333;
2016-05-31;null;308.3;32.093548;27.940645;24.609677;83.395161;
2016-06-30;null;96.7;32.776667;28.252;24.236667;79.1;
2016-07-31;null;132.7;33.123333;28.361379;23.873333;77.075;
2016-08-31;null;79.3;33.758065;28.748667;24.326667;75.112903;
2016-09-30;null;73.2;33.751724;28.702069;24.39;76.224138;
2016-10-31;null;143.2;33.393548;28.723226;24.370968;75.362903;
2016-11-30;null;115.8;33.303448;28.642143;24.303448;77.224138;
2016-12-31;null;467.4;31.53871;27.242857;23.675;82.201613;
2017-01-31;null;326.5;30.993548;26.946452;23.177419;85.669355;
2017-02-28;null;377.5;30.525;26.667143;23.560714;83.866071;
2017-03-31;null;584.9;30.787097;27.017333;23.793333;84.524194;
2017-04-30;null;386.9;30.896667;26.994;23.986667;85.266667;
2017-05-31;null;144;32.258065;28.44;24.932258;79.298387;
2017-06-30;null;166.7;32.356667;28.264667;24.586667;78.291667;
2017-07-31;null;181.1;32.28;28.087586;23.945161;75.416667;
2017-08-31;null;14;34.723333;29.413793;24.743333;70.266667;
2017-09-30;null;85.7;33.472414;28.789286;24.537931;75.086207;
2017-10-31;null;270.4;32.948387;28.334;23.763333;76.5;
2017-11-30;null;40.6;32.796429;28.45037;24.562069;78.294643;
2017-12-31;null;253.2;31.378571;27.516923;23.809677;81.357143;
2018-01-31;null;241.5;30.82;26.995172;23.586667;85.3;
2018-02-28;null;225.4;30.832143;26.894286;23.453571;83.151786;
2018-03-31;null;285.6;31.036667;27.268571;23.606667;81.616667;
2018-04-30;null;513.2;30.710714;26.502222;23.13;84.214286;
2018-05-31;null;227.9;30.851613;26.676667;23.33871;85.185484;
2018-06-30;null;302.1;31.540741;27.186154;23.273333;80.101852;
2018-07-31;null;100.6;32.082759;27.438621;23.23871;79.836207;
2018-08-31;null;25;33.196296;28.356296;23.887097;72.148148;
2018-09-30;null;85.8;33.934483;28.898571;24.058621;72.974138;
2018-10-31;null;52.9;34.99;29.87;24.664516;68.275;
2018-11-30;null;164.9;32.572414;28.124828;24.023333;77.353448;
2018-12-31;null;231.6;30.783871;26.565517;22.796552;82.766129;
2019-01-31;17;366.9;30.796774;26.710968;22.735484;85.55;
2019-02-28;null;424;30.35;26.547857;23.039286;86.366071;
2019-03-31;null;239.9;32.03871;27.76129;23.696774;78.330645;
2019-04-30;null;380.8;31.52;27.471333;23.516667;81.558333;
2019-05-31;null;447;31.164516;27.107742;23.187097;84.725806;
2019-06-30;null;158.5;32.113333;27.662667;23.386667;80.75;
2019-07-31;null;83.9;32.877419;28.192903;23.474194;75.040323;
2019-08-31;null;40.6;33.719355;28.674194;23.632258;72.379032;
2019-09-30;5;66.7;34.503333;29.34069;24.09;72.241379;
2019-10-31;14;181;33.116129;28.285161;24.03871;76.024194;
2019-11-30;null;170.1;32.293333;28.151724;24.393333;79.293103;
2019-12-31;null;405.8;30.796774;27.10129;23.835484;84.5;
2020-01-31;null;273.9;31.83871;27.78069;23.941935;83.524194;
2020-02-29;13;206.9;31.348276;27.568966;24.434483;81.724138;
2020-03-31;null;176.3;32.123333;27.933793;24.126667;81.241379;
2020-04-30;15;274.6;31.296154;26.970833;23.488462;87.8;
2020-05-31;14;318.4;31.15;27.414167;24.057692;87.192308;
2020-06-30;11;226;32.330769;28.023333;24.065385;82.4;
2020-07-31;5;36.7;33.644444;28.838519;24.396296;78.423077;
2020-08-31;3;67.4;34.092308;29.043077;24.276923;76.923077;
2020-09-30;4;82.2;33.919231;28.888;24.05;78.192308;
2020-10-31;9;184.7;33.6;28.370769;23.688889;81.851852;
2020-11-30;8;115.1;32.522222;27.845385;23.703704;80.163462;
2020-12-31;11;250.1;31.896774;27.448;23.264516;80.58871;
2021-01-31;20;565.3;null;null;23.022222;null;
2021-02-28;14;357.1;null;null;23.276923;null;
2021-03-31;23;500.5;30.876923;26.8968;23.26129;82.701923;
2021-04-30;15;256.4;31.33;27.306667;23.693333;82.1;
2021-05-31;15;194.4;31.748387;27.677419;23.893548;80.306452;
2021-06-30;11;95.4;31.87;27.620769;23.653333;79.958333;
2021-07-31;13;165;31.9;27.334286;22.922581;79.266667;
2021-08-31;7;130;33.003226;28.298667;23.619355;78.241667;
2021-09-30;8;106.2;33.024138;28.43;23.683333;75.75;
2021-10-31;9;81.6;33.451613;28.495333;23.870968;78.216667;
