Nome: ALTAMIRA
Codigo Estacao: 82353
Latitude: -3.21416666
Longitude: -52.21305555
Altitude: 101.51
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;28;218.7;30.903226;26.098065;23.032258;83.653226;
2008-02-29;25;333.2;31.6;26.274483;22.737931;82.327586;
2008-03-31;30;528.9;30.929032;25.943871;22.877419;85.064516;
2008-04-30;25;447.3;31.313333;26.188;22.923333;84.525;
2008-05-31;24;257.7;31.46129;26.445161;23.048387;84.548387;
2008-06-30;13;97;32.706667;27.023333;22.87;79.5;
2008-07-31;5;54.4;34.090323;27.569032;22.451613;74.846774;
2008-08-31;8;50.2;35.419355;28.383871;22.974194;71.645161;
2008-09-30;8;41.4;35.46;28.76;23.62;69.241667;
2008-10-31;11;128.5;34.374194;28.470968;24.577419;74.379032;
2008-11-30;7;55.7;34.986667;28.931333;24.653333;71.225;
2008-12-31;18;265.2;32.832258;27.490968;23.770968;78.814516;
2009-01-31;26;276.4;31.741935;26.748387;23.4;83.08871;
2009-02-28;25;305.8;31.353571;26.425;23.2;84.098214;
2009-03-31;28;401;32.167742;26.761935;23.219355;82.370968;
2009-04-30;23;560.5;31.373333;26.413333;23.146667;84.191667;
2009-05-31;30;428.7;31.529032;26.545806;23.193548;84.346774;
2009-06-30;18;237.8;32.913333;27.108667;23.24;81.175;
2009-07-31;12;58.5;34.109677;28.082581;23.322581;74.596774;
2009-08-31;5;4.8;35.670968;29.08;23.393548;68.991935;
2009-09-30;2;6.9;36.396667;29.464;23.836667;65.7;
2009-10-31;7;31.8;36.741935;29.803871;23.670968;63.120968;
2009-11-30;4;20.8;35.726667;29.356667;24.166667;66.091667;
2009-12-31;21;291.2;32.970968;27.550968;23.406452;79.427419;
2010-01-31;25;340.6;32.125806;26.911613;22.909677;81.919355;
2010-02-28;20;265.3;32.110714;27.206429;23.275;84.517857;
2010-03-31;22;212.6;34.309677;28.113548;23.541935;79.758065;
2010-04-30;26;338.7;33.206667;27.502667;23.333333;83.041667;
2010-05-31;19;294.1;33.309677;28.169677;23.680645;80.282258;
2010-06-30;12;77.7;34.01;27.999333;22.976667;77.283333;
2010-07-31;10;53.5;34.729032;28.291613;22.916129;73.822581;
2010-08-31;6;45.2;35.270968;28.204516;22.558065;74.346774;
2010-09-30;6;21.8;35.306667;28.609333;23.453333;73.5;
2010-10-31;2;14.4;35.974194;28.832903;23.419355;71.137097;
2010-11-30;9;127.2;34.826667;28.332;23.756667;74.916667;
2010-12-31;17;168.6;32.693548;27.029032;23.012903;82.145161;
2011-01-31;27;411.8;31.083871;25.648387;21.932258;87.774194;
2011-02-28;23;322.9;31.553571;25.747857;22.053571;87.696429;
2011-03-31;25;272.9;31.716129;25.94129;22.429032;86.766129;
2011-04-30;23;392.9;31.59;26.017333;22.566667;88.833333;
2011-05-31;18;223;32.406452;26.751613;23.164516;87.33871;
2011-06-30;13;78.2;33.446667;27.013333;22.643333;84.441667;
2011-07-31;8;41.3;33.63871;26.916129;22.183871;81.145161;
2011-08-31;6;39.2;35.477419;28.091613;22.73871;75.548387;
2011-09-30;4;3.4;36.04;28.802;23.24;71.15;
2011-10-31;3;43.3;35.380645;28.555484;23.541935;72.379032;
2011-11-30;11;90;33.76;27.715333;23.13;78.708333;
2011-12-31;3;8.6;34.767742;28.362581;23.251613;73.532258;
2012-01-31;26;222.4;31.26129;26.047097;22.5;86.483871;
2012-02-29;27;288.9;30.882759;25.451724;21.396552;87.896552;
2012-03-31;28;521.8;31.754839;25.970968;22.009677;87.129032;
2012-04-30;22;194.9;32.12;26.611333;22.706667;86.308333;
2012-05-31;21;162.6;32.929032;26.946452;22.683871;85.854839;
2012-06-30;11;57;32.973333;26.858;22.36;83.641667;
2012-07-31;10;33.3;33.874194;27.215484;22.141935;79.758065;
2012-08-31;5;10.8;35.309677;27.964516;22.13871;73.508065;
2012-09-30;5;28.8;35.326667;28.257333;22.803333;74.066667;
2012-10-31;5;127.8;34.451613;28.235484;22.816129;73.604839;
2012-11-30;3;13.8;35.516667;28.779333;23.536667;72.366667;
2012-12-31;20;251.8;32.687097;26.776129;22.296774;83.822581;
2013-01-31;25;363.2;31.46129;26.112903;22.519355;88.879032;
2013-02-28;25;240.5;31.626923;26.02;21.953846;87.153846;
2013-03-31;28;478.3;31.56129;26.293548;22.625806;88.766129;
2013-04-30;26;442;31.82;26.571333;22.813333;87.466667;
