Nome: TUCURUI
Codigo Estacao: 82361
Latitude: -3.76
Longitude: -49.66666666
Altitude: 27.83
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;342.9;31.451613;26.78;23.709677;82.5;
2008-02-29;23;306.6;31.765517;26.786897;23.52069;82.051724;
2008-03-31;28;574.7;31.364516;26.374839;23.145161;85.040323;
2008-04-30;26;356.2;31.81;26.739333;23.65;84.191667;
2008-05-31;20;247.3;32.416129;27.454194;24.035484;81.532258;
2008-06-30;11;86.8;32.81;27.737333;23.636667;75.291667;
2008-07-31;3;18.7;34.016667;28.100645;23.453333;68.290323;
2008-08-31;6;121.4;34.33871;28.125806;23.919355;72.580645;
2008-09-30;11;28.7;34.37;28.507333;24.523333;72;
2008-10-31;6;94.8;34.554839;28.689677;24.906452;71.508065;
2008-11-30;10;97.9;34.093333;28.713333;24.91;73.666667;
2008-12-31;21;283.7;32.916667;27.867097;24.306667;80.298387;
2009-01-31;25;354.7;32.412903;27.26;23.651613;81.798387;
2009-02-28;26;301.6;32.467857;27.014286;23.517857;82.598214;
2009-03-31;28;590.9;32.693548;27.023871;23.687097;83.604839;
2009-04-30;27;709;32.053333;26.955333;23.65;84.108333;
2009-05-31;28;393.4;32.032258;26.845806;23.690323;84.927419;
2009-06-30;17;172.4;33.31;27.714667;23.886667;79.516667;
2009-07-31;8;44.4;34.467742;28.190323;23.912903;74.669355;
2009-08-31;7;27.4;35.777419;28.86;24.248387;70.379032;
2009-09-30;4;4.3;35.636667;29.152;24.646667;71.025;
2009-10-31;6;21.8;36.529032;29.749032;25.187097;67.483871;
2009-11-30;8;26.8;35.22;29.428667;25.436667;69.758333;
2009-12-31;20;327.5;33.209677;28.184516;24.622581;77.330645;
2010-01-31;27;468.5;32.858065;27.616129;23.854839;80.645161;
2010-02-28;19;344.8;33.589286;28.267857;24.525;81.178571;
2010-03-31;24;232.9;34.132258;28.652258;24.919355;79.33871;
2010-04-30;29;392.1;33.072414;27.787333;24.486207;84.316667;
2010-05-31;16;236.1;34.403226;28.670323;24.945161;79.943548;
2010-06-30;10;31;34.573333;28.452;24.12;74.941667;
2010-07-31;9;16.8;35.058065;28.678065;24.025806;71.75;
2010-08-31;5;9.5;36.235484;28.918065;24.048387;67.540323;
2010-09-30;3;5.5;35.913333;29.092;24.793333;68.708333;
2010-10-31;11;99.3;35.216129;28.969032;24.86129;71.806452;
2010-11-30;14;141.3;34.283333;28.329333;24.49;75.775;
2010-12-31;18;244.4;33.132258;27.614194;24.180645;80.774194;
2011-01-31;24;444.7;31.480645;26.336774;22.73871;84.169355;
2011-02-28;25;289.3;31.307143;26.357143;22.892857;85.258929;
2011-03-31;28;318.4;31.764516;26.583226;23.206452;85.556452;
2011-04-30;26;497.2;31.493333;26.458;23.4;88.2;
2011-05-31;22;375;32.26129;27.38129;24.206452;84.016129;
2011-06-30;8;116.6;33.12;27.924667;24.036667;76.733333;
2011-07-31;10;77.7;33.209677;27.572903;23.167742;73.435484;
2011-08-31;3;20.5;34.293548;28.077419;23.780645;72.629032;
2011-09-30;4;43.5;34.656667;28.600667;24.436667;71.158333;
2011-10-31;10;128.2;34.406452;28.629677;24.493548;72.048387;
2011-11-30;11;122.3;32.906667;27.724;24.086667;78.625;
2011-12-31;9;26.6;33.019355;28.211613;24.777419;75.314516;
2012-01-31;26;427.1;30.932258;26.614839;23.145161;83.16129;
2012-02-29;21;343.5;30.817241;26.012414;22.637931;84.655172;
2012-03-31;29;499;31.541935;26.292903;23.006452;86.467742;
2012-04-30;24;219.1;32.516667;27.224;23.826667;83.4;
2012-05-31;16;58.1;33.064516;27.767097;23.893548;78.629032;
2012-06-30;13;62.6;33.263333;27.637333;23.3;76.825;
2012-07-31;13;96.7;33.258065;27.650323;23.474194;75.564516;
2012-08-31;null;0;34.367742;28.048387;23.422581;68.33871;
2012-09-30;2;.4;35.1;28.938667;24.526667;67.166667;
2012-10-31;2;106;34.422581;28.801935;24.912903;70.048387;
2012-11-30;6;53.6;34.673333;29.173333;25.16;70.908333;
2012-12-31;24;321.5;32.729032;27.612903;23.977419;79.548387;
2013-01-31;26;442.8;31.645161;27.203871;23.906452;83.427419;
2013-02-28;22;403.7;32.560714;27.226429;23.710714;82.196429;
2013-03-31;22;297.2;32.716129;27.754839;24.125806;82.354839;
2013-04-30;23;375.5;33.123333;27.686667;24.33;83.191667;
2013-05-31;11;204;33.409677;27.94;24.080645;80.201613;
2013-06-30;null;113.2;33.36;27.923333;23.863333;77.275;
2013-07-31;null;110.4;33.280645;27.417419;23.312903;76.830645;
2013-08-31;null;28.1;33.767742;27.876129;23.787097;76.556452;
2013-09-30;null;31.4;34.32;28.438;24.323333;73.95;
2013-10-31;null;100.8;34.783871;28.813548;24.5;71.427419;
2013-11-30;null;145.1;32.913333;27.699333;24.023333;77.6;
2013-12-31;null;69.9;34.019355;28.46129;24.309677;73.91129;
2014-01-31;null;448.8;31.741935;26.752903;22.764516;81.685484;
2014-02-28;null;433.2;31.264286;26.218571;22.485714;86.910714;
2014-03-31;null;371.2;31.577419;26.476774;23.041935;86.58871;
2014-04-30;null;546.2;31.826667;26.588;23.14;87.066667;
2014-05-31;null;260.7;32.312903;27.313548;23.664516;83.25;
2014-06-30;null;81.9;33.35;27.867333;23.536667;77.95;
2014-07-31;null;41;33.270968;27.535484;22.948387;75.145161;
2014-08-31;null;42.6;33.587097;27.486452;22.770968;75.048387;
2014-09-30;null;36.2;34.07;28.041333;23.29;73.125;
2014-10-31;null;140.3;33.767742;28.086452;23.309677;75.25;
2014-11-30;null;40;33.69;28.198667;23.686667;74.558333;
2014-12-31;null;204.9;33.119355;27.772258;23.235484;76.983871;
2015-01-31;null;440.7;32.277419;26.954839;22.080645;80.951613;
2015-02-28;null;412.2;31.625;26.4456;22.344;83.160714;
2015-03-31;null;554.8;31.951613;27.066667;24.535484;83.967742;
2015-04-30;null;323.4;32.683333;27.649333;25.04;82.516667;
2015-05-31;null;242.8;33.374194;28.109286;25.641935;79.959677;
2015-06-30;null;44.7;33.546667;28.522143;25.523333;75.175;
2015-07-31;null;63.6;33.664516;27.554194;21.748387;74.564516;
2015-08-31;null;48.7;34.248387;27.305806;19.319355;70.5;
2015-09-30;null;20.2;34.706667;27.829333;20.043333;69.691667;
2015-10-31;null;92.6;35.432258;28.656129;20.777419;67.233871;
