Nome: SOBRAL
Codigo Estacao: 82392
Latitude: -3.74833333
Longitude: -40.34583333
Altitude: 91.8
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2020-08-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;118.3;33.177419;26.84129;22.929032;77.572581;
2008-02-29;16;133.2;33.068966;26.752414;22.658621;78.146552;
2008-03-31;24;309.1;30.877419;25.143226;22.03871;87.83871;
2008-04-30;26;302.8;30.71;25.586;22.476667;88.491667;
2008-05-31;18;200.5;30.877419;25.526452;22.090323;84.451613;
2008-06-30;4;2.9;31.84;25.662667;20.976667;75.075;
2008-07-31;5;5.5;33.774194;26.811613;21.132258;68.669355;
2008-08-31;2;24.5;35.667742;27.421935;21.167742;61.556452;
2008-09-30;0;0;36.88;28.456667;21.86;62.7;
2008-10-31;0;0;37.667742;28.851613;22.529032;54.427419;
2008-11-30;1;9.8;37.213333;28.665333;22.433333;55.916667;
2008-12-31;2;.7;36.996774;28.849032;23.106452;66.483333;
2009-01-31;14;175.7;34.777419;27.852903;23.254839;69.177419;
2009-02-28;20;150.9;31.878571;26.253571;22.596429;82.0625;
2009-03-31;25;306.2;30.774194;25.653548;22.767742;87.032258;
2009-04-30;20;326.9;30.663333;25.577333;22.77;86.666667;
2009-05-31;24;268.8;30.406452;25.434839;22.512903;86.056452;
2009-06-30;12;86.1;30.613333;25.3;21.563333;82.908333;
2009-07-31;11;40;31.419355;25.160645;20.86129;84.1;
2009-08-31;4;18.8;34.290323;26.317419;20.348387;67.556452;
2009-09-30;1;.3;36.473333;27.742667;21.15;58.333333;
2009-10-31;null;0;36.893333;27.780667;21.413333;60.1;
2009-11-30;0;0;36.976667;28.297333;21.843333;56.783333;
2009-12-31;3;1.9;36.474194;28.72129;22.96129;64.177419;
2010-01-31;12;174.7;34.887097;27.761935;22.787097;66.709677;
2010-02-28;8;67.4;34.692857;27.959286;23.007143;66.991071;
2010-03-31;8;79.6;36.090323;28.41871;23.567742;65.870968;
2010-04-30;16;131.4;32.86;26.99;23.203333;77.933333;
2010-05-31;8;40.8;34.816129;27.704516;22.751613;69.233871;
2010-06-30;4;73.1;34.936667;27.696;21.616667;60.175;
2010-07-31;1;8.8;36.051613;28.405806;21.793548;64.548387;
2010-08-31;0;0;36.809677;28.310968;21.674194;63.120968;
2010-09-30;0;0;37.476667;28.674667;21.796667;56.25;
2010-10-31;1;9.9;37.519355;28.595484;22.703226;55.33871;
2010-11-30;0;0;37.743333;29.076667;23.006667;54.116667;
2010-12-31;8;59.2;35.270968;28.009032;22.954839;69.991935;
2011-01-31;20;197;31.770968;25.846452;22.067742;78.798387;
2011-02-28;16;135;31.660714;25.897857;22.425;81.883929;
2011-03-31;21;204.1;31.190323;25.608387;22.070968;85.395161;
2011-04-30;23;339.9;30.873333;25.432667;22.183333;83.933333;
2011-05-31;14;120.6;30.832258;25.909032;22.667742;81;
2011-06-30;11;54.9;31.506667;25.566;21.026667;77.183333;
2011-07-31;7;50.7;31.929032;25.884516;21.006452;76.491071;
2011-08-31;3;7.1;35.109677;27.116129;20.774194;59.362903;
2011-09-30;0;0;36.71;28.063333;21.256667;65.966667;
2011-10-31;2;41;36.203226;27.970968;22.545161;61.032258;
2011-11-30;1;.2;36.306667;27.986;21.686667;58;
2011-12-31;0;0;36.835484;28.351613;22.122581;67.65;
2012-01-31;8;105.4;35.145161;27.803226;22.767742;63.854839;
2012-02-29;12;95.4;33.851724;26.884138;22.365517;69.603448;
2012-03-31;14;190.1;33.058065;26.600645;22.270968;75.524194;
2012-04-30;14;50.2;33.3;26.813333;22.343333;75.2;
2012-05-31;4;7.1;35.567742;27.621935;21.9;61.056452;
2012-06-30;1;.1;35.606667;27.737333;21.596667;60.208333;
2012-07-31;0;0;35.716129;27.881935;21.53871;61.274194;
2012-08-31;0;0;36.177419;28.005161;21.36129;54.637097;
2012-09-30;0;0;36.673333;28.23;21.783333;65.733333;
2012-10-31;1;1;37.146667;28.398;22.613333;58.875;
2012-11-30;0;0;36.966667;28.492667;22.763333;57.258333;
2012-12-31;0;0;37.006452;28.938065;23.445161;68.653226;
2013-01-31;7;101.6;34.922581;27.945161;23.177419;68.362903;
2013-02-28;10;116.6;34.910714;28.072143;23.139286;67.035714;
2013-03-31;null;110.3;35.035484;28.218065;23.412903;67.25;
2013-04-30;null;103.2;32.933333;26.914667;22.903333;72.933333;
2013-05-31;null;78.5;32.264516;26.291613;22.022581;76.322581;
2013-06-30;null;60.2;33.026667;26.481333;21.6;70.475;
2013-07-31;null;51.4;33.367742;26.368387;20.725806;73.066667;
