Nome: ITAITUBA
Codigo Estacao: 82445
Latitude: -4.27694443
Longitude: -55.99305555
Altitude: 24.5
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;287.2;30.680645;26.494194;24.074194;87.475806;
2008-02-29;19;239.3;31.141379;26.686207;24.065517;87.543103;
2008-03-31;26;492.5;30.596774;26.091613;23.829032;88.209677;
2008-04-30;24;214.6;30.84;26.546667;24.083333;88.6;
2008-05-31;23;204.1;31.112903;26.807097;24.241935;88.572581;
2008-06-30;17;144.4;32.56;27.252;23.983333;83.883333;
2008-07-31;11;81.5;33.687097;27.63871;23.577419;80.112903;
2008-08-31;6;75.2;34.664516;28.438065;24.380645;79.387097;
2008-09-30;11;95.9;34.14;28.468667;24.826667;78.441667;
2008-10-31;11;41.4;34.826667;28.600645;24.99;75.846774;
2008-11-30;18;262.4;33.193333;28.019333;24.52;82.066667;
2008-12-31;21;179.3;31.764516;26.994839;24.222581;84.040323;
2009-01-31;22;194.8;31.580645;27.042581;24.409677;84.709677;
2009-02-28;24;314.7;31.271429;26.626429;24.139286;86.669643;
2009-03-31;29;335.5;31.332258;26.694194;24.090323;86.330645;
2009-04-30;23;368.9;31.68;26.872667;24.143333;84.825;
2009-05-31;20;295.1;31.280645;26.757419;24.23871;87.274194;
2009-06-30;18;165.3;31.823333;26.903333;24.16;87.516667;
2009-07-31;14;83.9;33.674194;27.734194;24.087097;83.080645;
2009-08-31;6;10.8;35.635484;29.12129;24.980645;76.75;
2009-09-30;8;41.8;35.93;29.180667;24.84;79.208333;
2009-10-31;11;52.1;35.945161;29.492903;25.6;73.548387;
2009-11-30;4;9.2;36.34;30.225333;25.866667;70.116667;
2009-12-31;12;177.5;33.412903;28.267742;25.125806;79.346774;
2010-01-31;17;155.9;32.367742;27.621935;24.967742;82.862903;
2010-02-28;21;349.7;32.517857;27.819286;24.760714;84.669643;
2010-03-31;24;186;33.2;28.142581;25.077419;82.846774;
2010-04-30;27;494.7;31.963333;27.242;24.653333;88.358333;
2010-05-31;22;145.1;32.219355;27.674839;25.106452;86.935484;
2010-06-30;14;98.7;33.146667;27.612667;24.196667;83.941667;
2010-07-31;13;93.7;33.058065;27.5;24.209677;82.354839;
2010-08-31;4;6.6;35.316129;28.523226;23.906452;77.266129;
2010-09-30;7;54.4;35.276667;28.977333;24.116667;81.208333;
2010-10-31;13;201.5;35.341935;28.819355;24.5;76.806452;
2010-11-30;13;144.6;33.563333;28.179333;24.85;81.85;
2010-12-31;21;238.3;32.012903;27.135484;24.070968;86.354839;
2011-01-31;22;440.7;31.106452;26.185806;23.096774;88.806452;
2011-02-28;22;430.5;31.792857;26.423571;23.425;88.375;
2011-03-31;22;274.1;32.093548;26.871613;24.064516;86.16129;
2011-04-30;21;382.7;31.643333;26.788;24.03;86.991667;
2011-05-31;21;346.7;32.106452;27.109032;24.4;86.572581;
2011-06-30;14;70.1;33.736667;27.83;24.26;82.25;
2011-07-31;14;54;33.912903;27.735484;23.680645;81.580645;
2011-08-31;7;128;35.319355;28.992903;24.383871;76.814516;
2011-09-30;9;83.5;35.07;29.017333;24.573333;76.325;
2011-10-31;14;160;34.116129;28.24129;24.503333;78.266129;
2011-11-30;12;172.1;33.143333;27.726667;null;80.6;
2011-12-31;15;176.5;32.85;28.162581;null;81.080645;
2012-01-31;24;348.4;30.822581;26.375484;null;87.056452;
2012-02-29;21;323.7;30.710345;26.072414;null;86.12931;
2012-03-31;21;340;31.419355;26.465161;null;85.395161;
2012-04-30;25;201.7;32;27.058;null;84.233333;
2012-05-31;23;223.1;32.512903;27.367742;null;84.298387;
2012-06-30;19;92.2;32.793333;27.375333;null;84.283333;
2012-07-31;13;77.3;33.180645;27.159333;null;83.241935;
2012-08-31;11;73.8;34.883871;27.834194;null;74.620968;
2012-09-30;12;71;35.013333;28.884;null;73.708333;
2012-10-31;12;176.3;34.435484;28.74129;null;76.370968;
2012-11-30;10;218;34.343333;28.836552;null;79.125;
2012-12-31;18;127.2;32.474194;27.503448;null;84.112903;
2013-01-31;22;398.9;31.054839;26.810323;null;88.120968;
2013-02-28;18;338.8;31.075;26.619286;null;88.071429;
2013-03-31;23;372.5;31.93871;27.146452;null;86.201613;
2013-04-30;19;236.8;32.656667;27.613333;null;83.575;
2013-05-31;10;223.7;31.916129;27.079355;null;87.306452;
2013-06-30;null;136.2;33.35;27.634667;null;83.2;
2013-07-31;null;75.2;33.174194;27.310968;23.583871;82.604839;
2013-08-31;null;58.6;33.964516;28.054194;24.064516;77.637097;
2013-09-30;null;120.6;34.66;28.704667;24.57;75.6;
2013-10-31;null;70.7;34.722581;28.859355;24.76129;75.58871;
2013-11-30;null;272.7;32.41;27.584;24.226667;82.8;
2013-12-31;null;135.4;33.164516;28.2;24.751613;81.314516;
2014-01-31;null;281.5;31.906452;27.062581;24.051613;83.024194;
2014-02-28;null;424.6;31.392857;26.387857;23.560714;86.508929;
2014-03-31;null;283.1;32.129032;26.983226;24.277419;84.443548;
2014-04-30;null;181.8;32.403333;27.326667;24.416667;84.475;
2014-05-31;null;269.8;32.570968;27.350323;24.425806;85.991935;
2014-06-30;null;66.1;33.883333;27.817333;24.15;82.533333;
2014-07-31;null;59.1;34.025806;27.773548;23.796774;80.846774;
2014-08-31;null;69.4;35.348387;28.645806;23.745161;74.887097;
2014-09-30;null;27.7;36.05;29.524667;24.94;72.325;
2014-10-31;null;185.1;35.219355;28.605806;24.680645;79.645161;
2014-11-30;null;141.8;34.593333;28.444667;24.57;81.608333;
2014-12-31;null;257.6;33.809677;28.452258;24.835484;81.274194;
2015-01-31;null;197.4;32.316129;27.217419;23.964516;85.701613;
2015-02-28;null;224.7;32.660714;27.329286;24.407143;84.321429;
2015-03-31;null;330.8;32.2;26.832903;23.980645;86.701613;
2015-04-30;null;165.2;null;null;24.513333;82.758333;
2015-05-31;null;73;null;null;24.341935;83.798387;
2015-06-30;null;98.8;null;null;24.04;82.858333;
2015-07-31;null;53.8;null;null;23.848387;79.548387;
2015-08-31;null;28.6;null;null;24.306452;71.258065;
2015-09-30;null;4.5;null;null;25.786667;64.641667;
2015-10-31;null;43.4;null;null;25.858065;67.395161;
2015-11-30;null;76.8;null;null;25.506667;72.741667;
2015-12-31;null;69.7;null;null;26.025806;71.725806;
2016-01-31;null;95.5;null;null;25.558065;78.782258;
2016-02-29;null;226;null;null;25.189286;80.189655;
2016-03-31;24;607.7;32.712903;27.720645;24.854839;86.201613;
2016-04-30;null;223.8;32.903333;27.98;25.25;84.991667;
2016-05-31;null;192.6;34.048387;28.220645;24.741935;84.096774;
2016-06-30;null;157.1;34.406667;27.826;23.853333;83.225;
2016-07-31;null;56.1;35.4;28.532258;23.845161;78.080645;
2016-08-31;null;41.2;36.103226;29.320645;24.570968;74.91129;
2016-09-30;null;112.1;35.053333;28.429333;24.5;76.333333;
2016-10-31;null;140.3;35.012903;28.92;24.764516;76.870968;
2016-11-30;null;122.8;35.476667;29.136;25.02;77.416667;
2016-12-31;null;391.8;32.777419;27.552903;24.36129;83.306452;
2017-01-31;null;338.8;32.164516;27.090968;23.9;83.112903;
2017-02-28;null;399;31.625;26.655714;23.842857;85.633929;
2017-03-31;null;394.1;32.287097;26.967097;24.119355;85.370968;
2017-04-30;null;473.6;32.54;27.238667;24.44;86.308333;
2017-05-31;null;152;34.548387;28.383226;24.935484;81.112903;
2017-06-30;null;108.2;35.05;28.577241;24.333333;79.516667;
2017-07-31;null;17.8;36.516129;28.720645;23.348387;73.548387;
2017-08-31;null;80.9;37.067742;29.695484;24.509677;71.782258;
2017-09-30;null;34.8;36.52;29.742;24.916667;71.641667;
2017-10-31;null;109.6;36;29.620645;25.280645;72.717742;
2017-11-30;null;87.2;34.796667;29.136667;24.993333;76.483333;
2017-12-31;null;274.2;32.219355;27.562581;24.464516;83.120968;
2018-01-31;null;214.1;31.490323;26.999355;24.029032;85.959677;
2018-02-28;null;427;30.710714;26.382857;23.75;89.285714;
2018-03-31;null;347;32.129032;27.343871;24.393548;84.943548;
2018-04-30;null;380;31.276667;26.587333;23.886667;87.658333;
2018-05-31;null;368;32.103226;26.930323;23.977419;86.822581;
