Nome: CALDEIRAO
Codigo Estacao: 82474
Latitude: -4.328706
Longitude: -41.721691
Altitude: 183.51
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-02-26
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;16;181.3;33;26.514839;21.432258;79.564516;
2008-02-29;15;378.7;32.02069;25.827143;21.22069;81.448276;
2008-03-31;27;564.9;28.977419;24.482581;20.822581;91.580645;
2008-04-30;23;473.9;29.783333;25.180667;21.383333;90.075;
2008-05-31;10;130.3;30.432258;25.695484;21.570968;null;
2008-06-30;2;5;33.413333;26.64;21.136667;77.767241;
2008-07-31;3;4.9;33.277419;26.881935;20.580645;70.806452;
2008-08-31;4;27.1;34.629032;27.392903;20.764516;66.846774;
2008-09-30;0;0;36.576667;28.531333;20.776667;59.8;
2008-10-31;1;8;37.551613;29.551613;21.029032;54.508065;
2008-11-30;2;1.2;37.696667;29.699333;21.07;52.931034;
2008-12-31;4;16.8;37.019355;28.987742;19.93871;56.806452;
2009-01-31;12;202.6;34.493548;27.056774;20.325806;72.572581;
2009-02-28;19;414.6;31.478571;25.455;20.125;83.758929;
2009-03-31;26;518.9;30.245161;24.926452;20.425806;89.145161;
2009-04-30;27;705.6;29.643333;24.832;19.893333;90.058333;
2009-05-31;19;277;29.690323;25.042581;19.522581;87.314516;
2009-06-30;7;68.4;30.996667;25.892667;21.263333;80.708333;
2009-07-31;3;54.1;32.264516;26.243871;21.135484;77.733333;
2009-08-31;1;5.8;34.303226;27.396774;20.764516;71.508065;
2009-09-30;0;0;36.976667;28.901333;21.43;63.183333;
2009-10-31;2;74.4;37.470968;28.925806;20.567742;61.451613;
2009-11-30;4;24.9;36.8;28.852;21.136667;61.663793;
2009-12-31;6;47.9;34.990323;28.360645;20.709677;63.604839;
2010-01-31;10;134.7;32.390323;26.458065;19.658065;73.33871;
2010-02-28;7;106;34.371429;27.668571;20.167857;67.25;
2010-03-31;16;346.1;33.416129;26.609677;19.845161;71.451613;
2010-04-30;14;235.2;32.163333;26.45;19.67;72.784483;
2010-05-31;10;139.6;32.948387;26.796129;20.132258;75.137097;
2010-06-30;5;58.3;32.92;26.995333;20.483333;69.175;
2010-07-31;0;0;35.012903;27.954839;20.325806;62.846774;
2010-08-31;0;0;36.53871;28.572258;20.277419;57.233871;
2010-09-30;1;1.5;37.623333;29.381333;20.786667;52.05;
2010-10-31;4;75.7;37.529032;28.979355;20.770968;56.717742;
2010-11-30;3;21.7;36.666667;29.027333;21.273333;59.423077;
2010-12-31;17;364.4;33.454839;26.892903;20.1;74.258065;
2011-01-31;14;342.6;31.503226;25.587097;20.048387;82.370968;
2011-02-28;17;169;31.064286;25.437143;19.45;83.964286;
2011-03-31;20;409.7;30.616129;25.173548;19.870968;87.459677;
2011-04-30;21;343.4;30.02;24.917333;19.863333;89.558333;
2011-05-31;12;219;31.36129;25.774194;19.574194;83.293103;
2011-06-30;1;4.2;32.346667;26.218;19.693333;74.525;
2011-07-31;3;15;32.903226;26.623871;20.177419;72.693548;
2011-08-31;1;18.1;34.987097;27.809032;20.916129;63.666667;
2011-09-30;0;0;36.21;28.796667;21.01;55.583333;
2011-10-31;6;99.6;35.832258;28.281935;20.883871;62.895161;
2011-11-30;4;65.8;35.351724;28.330345;21.544828;64.336207;
2011-12-31;7;70.7;36.941935;28.789032;21.041935;59.008065;
2012-01-31;8;78.1;34.751613;27.507097;21.345161;68.774194;
2012-02-29;13;150.5;32.427586;26.294483;20.724138;75.577586;
2012-03-31;19;298;31.829032;26.070323;20.554839;79.419355;
2012-04-30;10;130.3;32.76;27.193333;20.883333;74.491667;
2012-05-31;3;41.6;34.229032;27.905806;20.954839;68.733333;
2012-06-30;2;8.7;34.62;27.863333;20.856667;65.166667;
2012-07-31;0;0;35.525806;27.946452;19.945161;62.5;
2012-08-31;0;0;36.716129;28.475484;20.364516;59.145161;
2012-09-30;0;0;37.563333;29.154;20.303333;56;
2012-10-31;1;1;38.635484;29.343226;21.151613;54.959677;
2012-11-30;2;3.6;38.31;29.219333;20.74;54.891667;
2012-12-31;5;40.9;37.616129;29.154194;21.196774;55.024194;
2013-01-31;6;135.8;33.745161;27.49871;21.370968;65.941667;
2013-02-28;null;156.7;34.817857;27.405;21.175;70.75;
2013-03-31;null;159.5;33.854839;27.445161;21.551613;69.112903;
2013-04-30;null;331.2;31.966667;26.623333;21.266667;75;
2013-05-31;null;91.5;32.490323;26.802581;20.670968;75.758065;
2013-06-30;null;33.3;33.313333;26.678667;20.456667;71.925;
2013-07-31;null;16.2;33.722581;26.994839;20.358065;66.629032;
2013-08-31;null;0;34.5;28.605161;21.925806;57.908333;
2013-09-30;null;0;38.323333;29.763333;22.066667;52.558333;
2013-10-31;null;11.1;39.648387;30.192258;22.219355;51.306452;
2013-11-30;null;23.4;37.523333;29.617333;22.656667;54.566667;
2013-12-31;null;44.8;37.929032;30.28;22.670968;51.612903;
2014-01-31;null;149.7;36.229032;28.358065;22.5;65.782258;
2014-02-28;null;180;32.864286;26.761481;22.525926;79.076923;
2014-03-31;null;278.1;32.980645;27.14;22.541935;71.830645;
2014-04-30;null;290.6;31.77;26.596;22.413333;73.327586;
2014-05-31;null;117.9;32.519355;27.239355;22.712903;71.258065;
2014-06-30;null;35.7;33.41;27.813333;22.373333;65.866667;
2014-07-31;null;0;34.967742;27.947097;22.032258;64.879032;
2014-08-31;null;0;36.735484;29.151613;21.683871;58.933333;
2014-09-30;null;0;38.543333;30.080667;21.846667;55.333333;
2014-10-31;null;21.7;39.180645;30.466452;23.125806;53.653226;
2014-11-30;null;19.4;38.223333;29.709333;22.906667;57.25;
2014-12-31;null;3.2;37.125806;29.545161;22.867742;57.693548;
2015-01-31;null;63.2;35.674194;28.598065;22.425806;61.308333;
2015-02-28;null;null;null;null;null;null;

