Nome: JAGUARUANA
Codigo Estacao: 82493
Latitude: -4.85361111
Longitude: -37.77722221
Altitude: 16.57
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;37.9;34.332258;28.476774;24.435484;69.895161;
2008-02-29;1;.2;34.972414;28.643448;23.965517;66.793103;
2008-03-31;22;301.6;31.464516;26.741935;23.487097;83.475806;
2008-04-30;19;314.2;30.956667;26.642667;23.523333;84.958333;
2008-05-31;17;125.7;30.925806;26.559355;23.329032;81.766129;
2008-06-30;10;54.2;30.5;25.742;22.166667;77.741667;
2008-07-31;6;40.2;31.46129;25.866452;21.5;73.032258;
2008-08-31;5;38.7;33.429032;26.599355;21.366667;69.048387;
2008-09-30;0;0;34.626667;27.612;21.9;64.908333;
2008-10-31;0;0;35.093548;28.287742;22.73871;63.354839;
2008-11-30;1;.6;34.936667;28.278;23.263333;65.141667;
2008-12-31;1;.5;34.893548;28.374839;23.580645;66.870968;
2009-01-31;8;172.3;33.7;27.907742;23.664516;72.822581;
2009-02-28;12;137.4;32.075;27.088571;23.432143;79.151786;
2009-03-31;20;256.8;31.26129;26.703226;23.125806;85.419355;
2009-04-30;27;347.5;30.063333;26.14;23.153333;89.9;
2009-05-31;23;304.2;30.129032;26.276129;23.445161;87.677419;
2009-06-30;15;97.1;30.523333;26.154667;23.01;82.758333;
2009-07-31;10;33.5;30.970968;25.754194;21.990323;79.862903;
2009-08-31;3;17.9;32.445161;26.055484;21.232258;73.908333;
2009-09-30;0;0;33.82;27.26;22.07;69.566667;
2009-10-31;0;0;34.019355;27.443871;22.623333;68.725806;
2009-11-30;1;1.4;34.366667;28.022;22.92;67.358333;
2009-12-31;2;1.6;34.667742;28.535484;24.129032;68.225806;
2010-01-31;9;32.1;34.335484;28.364516;24.112903;71.282258;
2010-02-28;3;9.4;35.467857;29.255;24.803571;69.169643;
2010-03-31;6;38.5;35.441935;29.310968;24.987097;70.5;
2010-04-30;14;182;34.013333;28.558667;24.563333;76.683333;
2010-05-31;4;40.3;34.216129;28.427742;24;73.967742;
2010-06-30;2;17.8;34.546667;28.151333;23.176667;66.416667;
2010-07-31;2;7.4;34.351613;27.88129;23.096667;62.693548;
2010-08-31;0;0;34.919355;27.765161;22.064516;58.887097;
2010-09-30;0;0;35.53;28.123333;22.458621;58.108333;
2010-10-31;4;10;35.196774;28.317419;23.429032;64.903226;
2010-11-30;1;.4;35.166667;28.67;23.8;62.891667;
2010-12-31;9;48.5;34.077419;28.190323;23.935484;70.056452;
2011-01-31;13;278.7;32.074194;27.203871;23.596774;77.08871;
2011-02-28;12;111.5;31.707143;27.142143;23.614286;80.464286;
2011-03-31;15;152.2;31.609677;26.989677;23.477419;83.080645;
2011-04-30;18;336.8;31.196667;26.507333;23.193333;85.083333;
2011-05-31;16;151.1;30.935484;26.44129;23.045161;83.572581;
2011-06-30;5;11.6;31.833333;26.344;22.106667;77.591667;
2011-07-31;8;70.1;31.629032;26.245161;21.948387;72.645161;
2011-08-31;2;4.2;33.754839;26.555484;21.167742;67.66129;
2011-09-30;0;0;35.25;27.571333;21.653333;61.366667;
2011-10-31;3;14.1;34.264516;27.845806;23.180645;66.798387;
2011-11-30;2;2.8;34.346667;28.098;23.603333;67.733333;
2011-12-31;3;39.4;33.96129;27.849032;23.241935;67.354839;
2012-01-31;7;21.9;33.735484;27.934839;23.693548;69.782258;
2012-02-29;11;198.8;33.213793;27.46069;23.137931;73.698276;
2012-03-31;13;81.6;32.874194;27.348387;23.445161;77.443548;
2012-04-30;8;96.1;34.336667;28.039333;23.566667;75.441667;
2012-05-31;3;7.6;34.56129;28.122581;23.145161;67.935484;
2012-06-30;2;1.4;34.306667;27.761333;23.066667;67.758333;
2012-07-31;4;19;33.754839;27.329032;22.5;65.637097;
2012-08-31;0;0;34.858065;27.494839;21.96129;60.975806;
2012-09-30;0;0;35.066667;27.698667;21.97;61.016667;
2012-10-31;0;0;35.345161;28.17871;22.922581;61.669355;
2012-11-30;0;0;34.26;27.992667;23.346667;66.416667;
2012-12-31;1;1.7;34.851613;28.566452;24.277419;67.564516;
2013-01-31;3;35.6;34.693548;28.690968;24.509677;68.354839;
2013-02-28;5;27.3;35.489286;28.999286;24.185714;67.071429;
2013-03-31;8;50.5;34.893548;29.101935;24.93871;70.475806;
2013-04-30;15;209.6;33.673333;28.222;24.29;74.883333;
2013-05-31;8;26.9;33.154839;27.723871;23.648387;75.354839;
2013-06-30;8;87.3;32.72;27.167333;23.076667;76.183333;
2013-07-31;3;78.9;32.46129;26.669032;22.306452;73.604839;
2013-08-31;null;0;34.248387;27.43871;22.074194;66.16129;
2013-09-30;null;0;34.826667;28.098;22.83;63.691667;
2013-10-31;2;5.2;34.787097;28.120645;22.748387;65.645161;
2013-11-30;4;7.8;34.06;28.126667;23.503333;67.375;
2013-12-31;3;22.5;33.935484;28.112258;23.709677;70.048387;
2014-01-31;null;1.8;34.629032;28.540645;24.077419;68.548387;
2014-02-28;null;61;34;28.305714;23.989286;71.705357;
2014-03-31;null;65.1;34.345161;28.458065;24.287097;73.443548;
2014-04-30;null;183.8;32.876667;27.908;24.306667;80.05;
2014-05-31;null;135.4;32.56129;27.377419;23.503226;79.129032;
2014-06-30;null;21.8;33.613333;27.508667;22.83;70.966667;
2014-07-31;null;2.4;33.935484;27.145806;21.364516;65.879032;
2014-08-31;null;0;35.035484;27.567097;21.496774;62.604839;
2014-09-30;null;4.6;34.696667;27.908667;22.626667;66.366667;
2014-10-31;null;28;35.109677;28.489032;23.270968;64.379032;
2014-11-30;null;11.6;34.053333;27.974667;23.31;69.283333;
2014-12-31;null;1.3;34.258065;28.392903;23.893548;68.951613;
2015-01-31;null;27.6;34.483871;28.263871;23.806452;70.25;
2015-02-28;null;20.5;34.542857;28.562857;24.089286;71.258929;
2015-03-31;null;149.9;33.445161;27.905806;24.232258;77.524194;
2015-04-30;null;107.9;32.586667;27.552667;24.106667;80.808333;
2015-05-31;null;28.8;34.674194;28.43871;23.870968;72.596774;
2015-06-30;null;59.3;34.023333;27.846;23.05;71;
2015-07-31;null;19.3;33.367742;27.312903;22.974194;71.346774;
2015-08-31;null;4.8;34.619355;27.469032;21.922581;66.540323;
2015-09-30;null;4.4;34.91;28.061333;23.08;65.691667;
2015-10-31;null;0;35.029032;28.26129;23.332258;65.959677;
2015-11-30;null;0;34.933333;28.458;23.67;67.625;
2015-12-31;null;5.8;35.13871;28.871613;24.229032;67.403226;
