Nome: TERESINA
Codigo Estacao: 82578
Latitude: -5.03472221
Longitude: -42.80138888
Altitude: 75.73
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;295.2;32.548387;26.309677;22.132258;80.475806;
2008-02-29;14;220.5;31.934483;25.996552;21.627586;80.62069;
2008-03-31;21;297.2;31.367742;25.44129;21.525806;85.298387;
2008-04-30;22;506.8;31.566667;25.800667;21.89;87.808333;
2008-05-31;9;166.4;32.154839;26.094194;21.506452;83.096774;
2008-06-30;2;6.5;32.21;25.81;20.65;72.875;
2008-07-31;0;0;33.080645;null;null;68.169355;
2008-08-31;2;1.6;35.080645;null;null;61.991935;
2008-09-30;3;14.4;36.643333;null;null;58.783333;
2008-10-31;2;8.5;37.667742;null;null;52.354839;
2008-11-30;4;14.6;37.556667;29.926;23.746667;53.15;
2008-12-31;12;192;33.912903;27.881935;23.43871;74.064516;
2009-01-31;13;210.6;32.383871;26.695484;22.677419;78.951613;
2009-02-28;20;197.6;31.889286;26.192143;22.360714;81.848214;
2009-03-31;25;355.1;31.758065;26.010968;22.354839;84.516129;
2009-04-30;23;546.5;31.33;25.810667;22.417241;85.075;
2009-05-31;23;401.4;31.090323;25.895484;22.286667;84.806452;
2009-06-30;8;20.7;31.926667;25.952;21.013333;78.691667;
2009-07-31;6;46.9;32.609677;25.765806;20;75.725806;
2009-08-31;1;2.8;33.945161;26.474839;19.787097;66.193548;
2009-09-30;0;0;36.406667;28.146;20.83;58.358333;
2009-10-31;4;13;36.532143;28.86;22.018519;58.12037;
2009-11-30;4;6.7;null;null;null;null;
2009-12-31;9;226.7;null;null;null;null;
2010-01-31;13;164;null;null;null;null;
2010-02-28;7;95.9;33.325;27.482857;22.085714;76.848214;
2010-03-31;15;109.5;33.635484;27.315484;22.396774;78.16129;
2010-04-30;20;254.5;32.783333;27.074667;22.29;84.558333;
2010-05-31;10;115.2;33.296774;27.495484;23.270968;82.975806;
2010-06-30;7;74.7;32.923333;26.674;21.696667;75.683333;
2010-07-31;2;1.8;34.196774;26.766452;20.977419;67.580645;
2010-08-31;0;0;35.983871;27.715484;21.296774;60.33871;
