Nome: QUIXERAMOBIM
Codigo Estacao: 82586
Latitude: -5.17305554
Longitude: -39.28722221
Altitude: 227.33
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;12;83.6;33.622581;27.649032;23.8;56.451613;
2008-02-29;13;47.2;33.048276;27.497241;23.196552;58.603448;
2008-03-31;21;250.4;30.3;25.387742;21.493548;68.604839;
2008-04-30;18;139.6;29.523333;24.843333;20.783333;65.966667;
2008-05-31;15;132.4;29.941935;24.87871;20.970968;66.056452;
2008-06-30;4;17.6;29.606667;24.33;20.036667;63.775;
2008-07-31;4;49;30.809677;25.288387;20.748387;59.612903;
2008-08-31;4;5.4;33.229032;26.43871;21.316129;51.879032;
2008-09-30;0;0;35.156667;28.159333;22.656667;46.55;
2008-10-31;0;0;35.664516;28.519355;23.377419;48.846774;
2008-11-30;2;1.8;35.983333;28.6;23.403333;53.175;
2008-12-31;2;7.6;35.66129;28.868387;24.074194;54.637097;
2009-01-31;8;30.8;34.306452;28.102581;23.758065;59.556452;
2009-02-28;14;100.7;31.853571;26.738571;22.971429;69.223214;
2009-03-31;24;163.6;30.564516;25.836774;22.693548;75.5;
2009-04-30;22;320.7;29.536667;25.256667;22.133333;74.916667;
2009-05-31;23;225.5;28.816129;24.909032;21.854839;77.612903;
2009-06-30;15;93.7;29.24;24.67;21.243333;76.641667;
2009-07-31;12;74;30.270968;24.80129;21.248387;73.620968;
2009-08-31;4;54.1;32.022581;25.690968;21.012903;64.91129;
2009-09-30;1;.2;33.973333;27.067333;22.036667;61.866667;
