Nome: MOSSORO
Codigo Estacao: 82591
Latitude: -5.213412
Longitude: -37.312164
Altitude: 37.99
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2008-10-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;6;56.4;34.403333;28.628387;24.529032;71.669355;
2008-02-29;4;8.7;35.186207;29.016552;24.251724;68.931034;
2008-03-31;21;318.9;32.332258;27.198667;23.596667;78.775;
2008-04-30;20;239.4;31.323333;26.549655;23.253333;81.931034;
2008-05-31;12;47.2;31.26129;26.29;22.89;82.040323;
2008-06-30;7;46.3;31.007407;25.8224;21.348148;75.722222;
2008-07-31;1;null;32;26.583529;20.786957;75.25;
2008-08-31;3;5.2;33.733333;27.848148;21.325;68.546296;
2008-09-30;1;null;null;null;null;null;
2008-10-31;null;null;null;null;null;null;

