Nome: MACAU
Codigo Estacao: 82594
Latitude: -5.15103
Longitude: -36.573131
Altitude: 17.34
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;2;8.4;32.245161;28.534194;25.283871;70.233871;
2008-02-29;1;5.6;32.406897;28.787586;25.841379;70.258621;
2008-03-31;20;280.3;30.774194;27.929032;25.387097;77.959677;
2008-04-30;4;null;null;null;null;null;
2008-05-31;4;null;null;null;24.176471;null;
2008-06-30;9;79.8;null;null;23.126667;null;
2008-07-31;5;47.4;31.774194;null;22.367742;null;
2008-08-31;6;43.6;32.380645;null;22.503226;null;
2008-09-30;1;2;33.58;null;23.246667;null;
2008-10-31;0;0;33.929032;null;23.735484;null;
2008-11-30;1;2.8;33.073333;null;24.306667;null;
2008-12-31;0;0;32.251613;null;24.819355;null;
2009-01-31;6;74.6;31.703226;null;null;null;
2009-02-28;8;144.2;31.178571;null;null;null;
2009-03-31;21;217.7;31.173333;null;null;null;
2009-04-30;22;303.5;30.84;null;null;null;
2009-05-31;18;274.4;30.62963;null;null;null;
2009-06-30;6;null;null;null;null;null;
2009-07-31;10;40;31.274194;null;null;null;
2009-08-31;6;27.4;31.877419;null;null;null;
2009-09-30;1;1;32.3;null;null;null;
2009-10-31;2;2.2;31.245161;null;null;null;
2009-11-30;1;.2;32.213333;null;null;null;
2009-12-31;0;0;31.735484;null;null;null;
2010-01-31;2;4;32.167742;null;null;null;
2010-02-28;3;10.6;32.857143;null;null;null;
2010-03-31;2;13.2;32.641935;null;null;null;
2010-04-30;10;179;33.546667;null;null;null;
2010-05-31;2;2.6;33.503226;null;null;null;
2010-06-30;4;16;32.924138;null;null;null;
2010-07-31;5;21.6;32.693333;null;null;null;
2010-08-31;0;0;33.380645;null;null;null;
2010-09-30;0;0;33.966667;null;null;null;
2010-10-31;1;2.4;32.025;null;null;null;
2010-11-30;0;0;32.286667;null;null;null;
