Nome: CEARA MIRIM
Codigo Estacao: 82596
Latitude: -5.65333333
Longitude: -35.42583332
Altitude: 62.2
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;10;46.2;31.906452;26.943871;22.225806;79.395161;
2008-02-29;8;27.6;32.103448;27.022759;22.193103;79.344828;
2008-03-31;19;191.8;31.8;26.850323;22.316129;79.548387;
2008-04-30;24;289;30.276667;25.916;22.013333;83.791667;
2008-05-31;16;151.6;30.390323;25.798065;21.8;83.822581;
2008-06-30;14;237.2;29.283333;25.138667;20.896667;84.033333;
2008-07-31;13;254.7;29.4;24.961935;20.36129;83.620968;
2008-08-31;12;209.4;29.441935;24.883871;19.803226;83.056452;
2008-09-30;13;24.9;30.173333;25.494;20.65;82.2;
2008-10-31;15;26;30.622581;25.569091;21.213636;80.967742;
2008-11-30;3;4.9;31.396667;25.665333;21.743333;79.875;
2008-12-31;0;0;32.483871;26.849548;22.464516;76.217742;
2009-01-31;8;103.5;32.174194;27.063871;22.43871;84.516129;
2009-02-28;12;216.7;30.642857;26.168571;22.164286;87.714286;
2009-03-31;18;237.5;30.96129;26.115484;22.296774;83.927419;
2009-04-30;24;288.6;30.566667;25.948;22.423333;84.925;
2009-05-31;20;328.5;30.380645;25.766452;22.206452;86.66129;
2009-06-30;12;289.9;29.86;25.175333;21.513333;87.583333;
2009-07-31;20;260.3;29.045161;24.656774;20.974194;87.717742;
2009-08-31;19;181.9;29.683871;24.549677;20.812903;86;
2009-09-30;11;57.8;30.01;25.063333;21.11;86.896552;
2009-10-31;0;0;30.887097;25.393548;20.725806;83.433333;
