Nome: NATAL
Codigo Estacao: 82598
Latitude: -5.83722221
Longitude: -35.20777777
Altitude: 47.68
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;69.2;30.625806;27.665806;25.503226;75.806452;
2008-02-29;8;22.4;31.2;28.156552;25.782759;73.715517;
2008-03-31;20;275.5;30.774194;27.571613;24.812903;77.387097;
2008-04-30;23;409.3;29.841379;26.744;23.686667;81.475;
2008-05-31;17;212.3;29.645161;26.553548;23.580645;81.419355;
2008-06-30;19;542.3;28.9;25.366667;22.326667;81.375;
2008-07-31;21;473.3;28.322581;24.818065;21.683871;81.620968;
2008-08-31;19;401.3;28.4;24.947742;21.667742;81.008065;
2008-09-30;15;37.8;29.293333;25.997333;22.853333;78.141667;
2008-10-31;18;31.8;29.8;26.647097;23.925806;75.766129;
2008-11-30;7;9.5;30.346667;27.245333;24.966667;74.658333;
2008-12-31;1;.4;30.870968;27.788387;25.541935;73.669355;
2009-01-31;10;162.1;30.658065;27.685161;25.258065;74.983871;
2009-02-28;16;245.4;30.642857;27.59;25.121429;76.928571;
2009-03-31;16;220.6;30.445161;27.643871;24.967742;77.693548;
2009-04-30;22;364.3;30.366667;27.312;24.373333;80.591667;
2009-05-31;27;372.3;29.774194;26.649032;23.851613;83.217742;
2009-06-30;21;304.7;28.926667;25.814667;22.953333;82.991667;
2009-07-31;25;347.9;28.619355;25.387097;22.6;82.298387;
2009-08-31;22;229.2;28.883871;25.569032;22.6;78.91129;
2009-09-30;15;76.7;29.353333;26.464;24.1;77.266667;
2009-10-31;4;1;29.96129;27.004516;24.93871;74.709677;
2009-11-30;8;6.7;30.82;27.46;25.486667;74.525;
2009-12-31;13;9.5;30.948387;27.702581;25.577419;77.475806;
2010-01-31;11;70.9;30.993548;27.985806;25.664516;76.967742;
2010-02-28;11;81.4;31.385714;28.312857;26.157143;79.178571;
2010-03-31;10;69.9;32.535484;28.943871;26.46129;76.306452;
2010-04-30;17;191;31.926667;28.273333;25.453333;80.116667;
2010-05-31;11;262.6;31.290323;27.774839;24.467742;78.508065;
2010-06-30;18;155.2;30.34;26.564667;23.39;79.925;
2010-07-31;22;151.5;29.090323;25.292258;22.267742;82.104839;
2010-08-31;16;95.3;29.303226;25.057419;21.429032;79.129032;
2010-09-30;13;38.5;29.2;25.568;22.04;78.058333;
2010-10-31;3;8.2;30.129032;27.048387;24.622581;77.758065;
2010-11-30;6;4.2;30.48;27.38;25.16;76.725;
2010-12-31;12;54.7;30.464516;27.454839;25.164516;77.435484;
2011-01-31;19;326.1;29.858065;26.918065;23.996774;81.298387;
2011-02-28;15;76.5;30.628571;27.732857;24.957143;79.5;
2011-03-31;15;146.7;30.858065;27.834839;24.509677;79.354839;
2011-04-30;27;371.6;30.06;26.970667;23.753333;83.341667;
2011-05-31;22;413;29.283871;26.243871;23.251613;84.612903;
2011-06-30;23;445.4;28.706667;25.43;22.336667;84.958333;
2011-07-31;16;170.4;28.303226;24.879355;21.66129;83.041667;
