Nome: EIRUNEPE
Codigo Estacao: 82610
Latitude: -6.66166666
Longitude: -69.86777777
Altitude: 123.42
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;306;31.925806;25.926452;22.316129;89.580645;
2008-02-29;19;356.2;32.421429;26.005517;22.311111;87.387931;
2008-03-31;18;192.4;32.990323;26.16129;22.019355;87.669355;
2008-04-30;15;220.4;33.093333;26.321333;22.006667;87.116667;
2008-05-31;13;269;31.777419;25.33871;21.177419;87.5;
2008-06-30;5;30.6;31.586667;24.422667;19.293333;85.975;
2008-07-31;4;74.4;34.319355;25.88;19.935484;82.637097;
2008-08-31;6;151.8;35.726667;27.002581;21.233333;81.217742;
2008-09-30;13;247.8;34.22;26.544667;21.063333;83.233333;
2008-10-31;15;249.8;34.66129;27;22.303226;84.443548;
2008-11-30;20;308.4;33.7;26.645333;22.686667;87.858333;
2008-12-31;20;407.6;33.274194;26.228387;22.593548;88.596774;
2009-01-31;22;449;32.687097;26.000645;22.419355;90.379032;
2009-02-28;22;458.2;32.814286;26.012143;22.164286;88.491071;
2009-03-31;21;305.4;32.996774;26.030968;22.174194;89.604839;
2009-04-30;23;409.4;32.853333;26.117333;22.28;89.1;
2009-05-31;18;176;32.483333;26.097419;22.306667;87.806452;
2009-06-30;11;102;32.52;25.293333;20.913333;86.625;
2009-07-31;9;112.2;33.580645;25.650968;20.43871;84.935484;
2009-08-31;9;69.4;34.309677;26.269677;20.9;83.032258;
2009-09-30;5;65.8;35.286667;27.031333;21.603333;81.366667;
2009-10-31;8;201.4;35.196774;27.319355;22.6;83.66129;
2009-11-30;20;181.8;34.228571;26.988;22.635714;86.758333;
2009-12-31;20;585.6;32.764516;26.192258;22.393548;89.830645;
2010-01-31;15;280.6;33.048387;26.741935;22.367742;88.120968;
2010-02-28;16;451.4;33.267857;26.970714;22.914286;87.517857;
2010-03-31;16;291.4;34.43871;27.234194;22.83871;86.903226;
2010-04-30;10;204.6;34.253333;26.685333;22.166667;87.083333;
2010-05-31;11;402.2;32.287097;25.538065;21.013333;86.66129;
2010-06-30;10;106.6;32.933333;26.019333;21.236667;86.408333;
2010-07-31;4;36.6;31.770968;24.345161;18.9;84.467742;
2010-08-31;3;25.2;35.183871;25.985806;19.277419;79.096774;
2010-09-30;10;114.4;35.2;27.053333;21.68;81.866667;
2010-10-31;14;232.8;34.506452;26.814194;22.03871;84.145161;
2010-11-30;15;354.8;33.94;26.154667;21.313333;87.458333;
2010-12-31;14;222.4;33.054839;26.117419;21.619355;87.983871;
2011-01-31;20;316.2;33.029032;25.927097;21.26129;89.306452;
2011-02-28;17;259.2;31.778571;25.338571;20.614286;89.517857;
2011-03-31;20;361;32.480645;25.505161;20.654839;89.620968;
2011-04-30;19;511.6;32.810345;25.788;20.848276;89.116667;
2011-05-31;11;200.8;31.78;25.923226;21.75;88.548387;
2011-06-30;6;88.8;32.753333;25.639333;20.75;87.066667;
2011-07-31;7;134.4;32.758065;25.174839;20.022581;86.274194;
2011-08-31;4;65.4;34.206452;25.60129;19.603226;82.483871;
2011-09-30;10;132.2;35.396552;26.461333;21.482759;84.316667;
2011-10-31;16;271.8;34.087097;26.266452;21.703333;88.241935;
2011-11-30;13;193.6;33.993333;26.750667;22.05;86.483333;
2011-12-31;18;369;33.183871;25.963871;21.283871;89.16129;
2012-01-31;21;360;32.074194;25.540645;21.522581;91.419355;
2012-02-29;19;502.6;32.244828;25.355172;20.855172;88.991379;
2012-03-31;21;499.6;32.764516;25.616774;21.051613;88.346774;
2012-04-30;15;157.2;32.973333;26.186667;21.973333;88.266667;
2012-05-31;17;192;33.196774;25.787742;21.367742;87.733871;
2012-06-30;13;226.4;32.216667;25.144667;19.953333;87.808333;
2012-07-31;3;26;33.132258;24.995484;19.216129;83.556452;
2012-08-31;4;47.2;34.441935;26.064516;20.046667;81.040323;
2012-09-30;7;98.2;35.683333;27.204667;22.386667;77.6;
2012-10-31;12;145;34.73871;27.009677;22.845161;84.782258;
2012-11-30;15;189.8;34.372414;27.273793;23.458621;85.516667;
2012-12-31;18;316.8;null;null;22.329032;88.298387;
2013-01-31;20;357.8;null;null;22.683871;89.83871;
2013-02-28;17;334.4;32.4625;26.125;22.632143;88.026786;
2013-03-31;18;352.1;32.890323;26.516129;23.012903;87.427419;
2013-04-30;10;149.6;33.524138;26.753333;23.02069;85.808333;
2013-05-31;11;130;32.276667;26.301935;22.962069;87.717742;
2013-06-30;11;102;33.473333;26.220667;22.366667;86.175;
2013-07-31;8;107.8;32.832258;25.000645;20.209677;84.975806;
2013-08-31;7;59.6;33.277419;25.28;20.232258;81.895161;
2013-09-30;8;85;34.966667;26.728667;22.096667;81.658333;
2013-10-31;15;158;34.16129;26.794839;23.206452;86.008333;
2013-11-30;13;283.6;33.675862;26.56;22.953333;88.133333;
2013-12-31;19;404.8;34.119355;26.77871;23.006452;87.153226;
2014-01-31;5;356.2;32.006452;26.072258;22.722581;89.758065;
2014-02-28;null;246.4;32.778571;26.245714;22.485714;87.723214;
2014-03-31;null;371;32.690323;26.03871;22.167742;89.564516;
2014-04-30;null;291.2;32.856667;26.449333;22.666667;85.975;
2014-05-31;null;127.8;32.616129;25.94;22.025806;88.612903;
2014-06-30;null;68.8;33.359259;25.854;21.366667;88.933333;
2014-07-31;null;46.2;32.36;24.975862;20.263333;85.9;
2014-08-31;null;143;34.212903;26.295484;21.129032;86.935484;
2014-09-30;null;130.4;35.896552;27.415714;22.3;86.344828;
2014-10-31;null;89.4;35.38;27.040667;22.741935;84.341667;
2014-11-30;null;257.6;33.36;26.705333;23.22;88.341667;
2014-12-31;null;221.8;33.754839;26.727742;22.896774;87.782258;
2015-01-31;null;269.6;32.126667;25.727586;22.396552;91.008333;
2015-02-28;null;351.8;34.037037;26.551538;22.855556;86.537037;
2015-03-31;null;510.8;33.480645;26.368387;22.76129;86.846774;
2015-04-30;null;330.6;33.937931;26.615172;22.682759;88.672414;
2015-05-31;null;260;33.058065;26.322581;22.309677;88.08871;
2015-06-30;null;136;33.48;26.046897;21.303448;84.658333;
2015-07-31;null;81.4;33.766667;26.044;20.941935;83.683333;
2015-08-31;null;97;35.753333;27.081379;21.58;82.45;
2015-09-30;null;96.2;36.16;27.429333;21.68;82.391667;
2015-10-31;null;181.4;36.029032;27.450968;21.941935;82.532258;
2015-11-30;null;242.4;35.72;27.218;22.113333;86.375;
2015-12-31;null;412;34.077419;26.461333;21.7;88.346774;
2016-01-31;null;187.2;34.765517;27.490714;22.566667;89.9375;
2016-02-29;null;316.8;34.431034;26.935862;21.993103;86.913793;
2016-03-31;null;278;33.651613;26.765161;21.974194;88.008065;
2016-04-30;null;186.4;33.613333;26.270667;21.233333;87.341667;
2016-05-31;null;106.8;33.374194;26.023871;20.687097;86.790323;
2016-06-30;null;235.4;32.253333;25.142667;19.426667;85.208333;
2016-07-31;null;19.6;34.729032;26.142581;19.36129;82.233871;
2016-08-31;null;15.2;35.348387;26.574839;19.583871;79.41129;
2016-09-30;null;83.8;34.97;26.195333;19.753333;81.05;
2016-10-31;null;326.2;34.587097;26.987742;21.016129;85.104839;
2016-11-30;null;194;34.703333;26.72;20.796667;87.025;
2016-12-31;null;289.2;32.732258;25.689677;20.354839;91.120968;
2017-01-31;null;617.4;32.451613;25.4;20.064516;93.120968;
2017-02-28;null;392.8;32.45;25.435714;20.1;90.625;
2017-03-31;null;353.6;33.116129;26.140645;20.606452;88.814516;
2017-04-30;null;261.8;33.056667;26.258;20.613333;87.316667;
2017-05-31;null;293.6;32.296667;25.966207;20.726667;89.575;
2017-06-30;null;21.6;31.51;25.21;19.16;87.041667;
2017-07-31;null;16.2;32.689655;24.676429;17.2;80.543103;
2017-08-31;null;56.2;34.406667;26.492;19.832258;81.625;
2017-09-30;null;99.6;33.744444;26.396923;20.396552;83.796296;
2017-10-31;null;349.8;33.135484;26.122581;20.36129;84.66129;
2017-11-30;null;439.6;31.95;25.756552;20.755172;89.475;
2017-12-31;null;287.8;31.796667;25.791333;20.553333;88.008333;
2018-01-31;null;566.6;31.767742;25.485161;19.845161;90.91129;
2018-02-28;null;240.6;30.7;25.192857;20.035714;89.857143;
2018-03-31;14;363.6;31.890323;25.78129;20.145161;87.266129;
2018-04-30;null;503.6;31.343333;25.368667;20.11;88.208333;
2018-05-31;null;271.6;31.412903;25.29871;19.758065;87.580645;
2018-06-30;null;31.4;30.72069;24.254483;17.853333;83.198276;
2018-07-31;null;84.2;32.254839;25.022667;18.01;82.58871;
2018-08-31;null;99.8;31.887097;24.854194;17.887097;82.225806;
2018-09-30;null;166.4;33.910345;25.982069;19.006667;81.818966;
2018-10-31;null;227.8;33.02;26.373333;20.9;84.483871;
2018-11-30;null;363.8;32.403333;27.042;23.813333;83.983333;
2018-12-31;null;315;31.070968;25.948387;23.03871;87.733871;
2019-01-31;null;438.4;31.670968;26.042581;22.529032;88.91129;
2019-02-28;null;528.4;32.278571;26.704286;23.628571;86.285714;
2019-03-31;null;276.2;32.84;26.855484;23.580645;86.669355;
2019-04-30;null;289;32.573333;26.552;23.46;87.991667;
2019-05-31;null;214;31.546667;26.291613;22.696774;86.427419;
2019-06-30;null;121.6;32.383333;26.368667;22.673333;86.325;
2019-07-31;null;71.8;32.174194;25.425161;20.819355;84.685484;
2019-08-31;null;27;33.406452;25.743871;20.425806;79.790323;
2019-09-30;null;61;34.706667;27.216;22.766667;81.55;
2019-10-31;16;305.4;32.364516;26.350968;22.625806;87.314516;
2019-11-30;null;139.6;32;26.584;23.16;87.066667;
2019-12-31;21;471.6;32.57;26.312903;22.76129;88.548387;
2020-01-31;null;253;33.009677;27.051333;22.832258;89.433333;
2020-02-29;14;222.6;32.406897;26.706897;23.006897;86.853448;
2020-03-31;18;334;32.841935;26.749655;23.109677;86.048387;
2020-04-30;13;219.8;32.196667;26.586429;22.806667;85.669643;
2020-05-31;null;116.2;31.841935;25.837857;21.709677;85.391667;
2020-06-30;8;60.4;32.223333;26.126923;21.92;84.922414;
2020-07-31;10;112.6;32.509677;26.052258;21.63871;84.701613;
2020-08-31;5;90.6;33.59;25.881379;20.419355;82.427419;
2020-09-30;8;121.8;33.676667;26.678;22.16;84.183333;
2020-10-31;8;150.6;33.222581;26.892903;22.464516;84.379032;
2020-11-30;14;267.4;33.65;26.96069;22.766667;85.125;
2020-12-31;16;307.4;31.764516;26.286897;22.445161;87.441667;
2021-01-31;15;398.2;null;null;22.328571;null;
2021-02-28;16;335.6;null;null;22.6;null;
2021-03-31;21;529.4;31.413043;25.661818;22.070968;89.416667;
2021-04-30;17;162.2;32.51;26.406207;22.633333;86.575;
2021-05-31;10;112.8;31.196774;25.625714;21.696774;86.75;
2021-06-30;9;98;31.15;25.056667;20.976667;85.583333;
2021-07-31;1;6;32.253333;25.277857;19.533333;82.283333;
2021-08-31;4;32.8;33.811538;26.554615;21;72.192308;
2021-09-30;12;190.8;34.161538;26.612308;21.615385;87.192308;
2021-10-31;14;71.6;33.626923;26.690769;22.430769;89.346154;
2021-11-30;16;459.4;32.792308;26.435385;22.353846;92.038462;
2021-12-31;19;498.6;32.722222;26.685185;22.548148;91.037037;
2022-01-31;17;373;32.864;26.253846;22.107692;91.461538;
2022-02-28;16;null;32.013043;25.912;21.916667;92.363636;
2022-03-31;null;null;null;null;null;null;
2022-04-30;15;265.8;31.719231;25.8936;21.651852;91.230769;
2022-05-31;10;170.2;31.428;25.3384;21.088889;89.32;
2022-06-30;7;50.4;31.496154;25.281538;20.523077;86.961538;
2022-07-31;6;70.2;33.466667;26.610769;21.169231;84.592593;
2022-08-31;5;31.2;32.859259;25.899231;20.403846;85.481481;
2022-09-30;7;124.6;34.319231;26.6904;21.008;84.692308;
2022-10-31;14;323;33.692308;26.5952;21.653846;89;
2022-11-30;10;267;33.02;26.493333;21.456;86.923077;
2022-12-31;16;212.8;32.807407;26.357037;21.740741;90.148148;

