Nome: SAO FELIX DO XINGU
Codigo Estacao: 82668
Latitude: -6.63083332
Longitude: -51.9761111
Altitude: 195.98
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;26;371.3;29.316129;25.09871;22.406452;89.854839;
2008-02-29;23;332.6;29.782759;25.144828;22.32069;89.465517;
2008-03-31;25;377.7;29.8;25.406452;22.793548;87.959677;
2008-04-30;19;206.4;30.413333;25.589333;22.88;87.458333;
2008-05-31;12;242.1;30.612903;25.565806;22.416129;86.717742;
2008-06-30;0;0;32.546667;25.621333;20.453333;78.241667;
2008-07-31;0;0;34.596774;26.078065;18.948387;66.25;
2008-08-31;3;58.2;35.996774;27.524516;21.13871;63.66129;
2008-09-30;12;133.7;33.996667;27.136;22.693333;76.416667;
2008-10-31;11;116.6;32.687097;26.490323;22.580645;80.282258;
2008-11-30;20;144.5;31.226667;26.212;23.106667;85.983333;
2008-12-31;23;277.3;30.448387;25.538065;22.509677;88.653226;
2009-01-31;22;234.7;30.596774;25.830323;22.322581;86.475806;
2009-02-28;20;397.1;29.814286;25.102857;21.507143;88.848214;
2009-03-31;24;490.5;30.487097;25.670323;21.86129;87.677419;
2009-04-30;19;249.6;30.03;25.292667;21.74;89.366667;
2009-05-31;16;278;29.877419;25.195484;21.425806;88.032258;
2009-06-30;7;39.1;31.743333;25.584667;20.176667;82.2;
2009-07-31;0;0;33.712903;26.143226;19.070968;73.233871;
2009-08-31;6;81.6;35.196774;26.731613;19.209677;71.080645;
2009-09-30;12;155.9;33.343333;26.549333;20.88;80.603448;
2009-10-31;13;224.8;32.119355;26.190968;21.06129;84.935484;
2009-11-30;11;46.4;32.29;26.397333;21.123333;84.391667;
2009-12-31;21;179.8;30.629032;24.925806;20.574194;89.612903;
2010-01-31;24;213.6;30.596774;25.327742;20.803226;88.846774;
2010-02-28;17;154.3;31.514286;25.939286;21.067857;87.026786;
2010-03-31;22;183.3;31.803226;26.001935;20.922581;86.096774;
2010-04-30;18;262;31.243333;25.942;21.086667;88.758333;
2010-05-31;10;43.9;32.641935;26.62;20.964516;84.483871;
2010-06-30;5;22.6;32.706667;25.586;18.913333;81.3;
2010-07-31;0;0;34.8;26.310323;17.680645;70.782258;
2010-08-31;4;12.2;35.925806;26.143871;16.406452;64.701613;
2010-09-30;9;53.4;35.58;27.227333;18.833333;70.575;
2010-10-31;11;46.4;33.593548;26.449032;19.067742;80.201613;
2010-11-30;12;139.2;32.696667;26.095333;19.143333;82.65;
2010-12-31;17;105.4;30.909677;25.29871;18.912903;86.83871;
2011-01-31;8;null;null;null;null;null;
2011-02-28;22;322.1;30.028571;24.465714;18.792857;89.633929;
2011-03-31;18;258.2;30.532258;25.156129;19.403226;87.354839;
2011-04-30;19;209.9;30.7;25.078;19.48;89.125;
2011-05-31;13;59.1;31.087097;25.383871;19.616129;86.814516;
2011-06-30;4;29.4;32.563333;25.495333;18.143333;80.883333;
2011-07-31;4;10;33.541935;25.230968;16.951613;81.967742;
2011-08-31;7;64.8;34.548387;26.267097;18.312903;83.516129;
2011-09-30;3;null;null;null;null;null;
2011-10-31;16;132.4;32.177419;25.652903;19.119355;87.451613;
2011-11-30;17;316.9;31.133333;null;19.783333;null;
2011-12-31;16;158.8;31.383871;null;19.777419;null;
2012-01-31;26;455.9;30.451613;null;19.258065;null;
2012-02-29;15;205.1;30.958621;null;19.189655;null;
2012-03-31;25;333.8;31.596774;null;18.658065;null;
2012-04-30;11;138.4;32.16;null;18.616667;null;
2012-05-31;11;81.4;32.33871;null;19.33;null;
2012-06-30;2;null;null;null;null;null;
2012-07-31;2;55;33.809677;null;19.141935;null;
2012-08-31;3;28.8;35.580645;null;18.229032;null;
2012-09-30;9;139.4;34.09;null;20.816667;null;
2012-10-31;13;117.9;33.370968;null;20.967742;null;
2012-11-30;13;194.8;32.386667;null;21.736667;null;
2012-12-31;20;142.6;31.335484;null;21.035484;null;
2013-01-31;16;143.1;31.319355;null;21.767742;null;
2013-02-28;20;258;30.746429;null;21.292857;null;
2013-03-31;20;224;31.56129;null;21.983871;null;
2013-04-30;12;59.2;32.216667;null;22.153333;null;
2013-05-31;18;350.8;31.980645;null;21.793548;null;
2013-06-30;null;null;null;null;null;null;
2013-07-31;null;35.6;32.583871;null;21.090323;null;
2013-08-31;null;21.2;33.622581;null;20.187097;null;
2013-09-30;null;142.5;32.883333;null;21.103333;null;
2013-10-31;null;210.5;32.012903;null;21.467742;null;
2013-11-30;null;159.8;31.946667;null;21.916667;null;
2013-12-31;null;184.9;31.890323;null;21.922581;null;
2014-01-31;null;164.3;31.69;null;21.887097;null;
2014-02-28;null;371;31.253571;null;22.375;null;
2014-03-31;null;369;30.906452;null;22.512903;null;
2014-04-30;null;192.2;31.55;null;23.113333;null;
2014-05-31;null;119.5;32;null;22.722581;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;1.4;33.7;null;21.241935;null;
2014-08-31;null;8;35.470968;null;21.096774;null;
2014-09-30;null;136.6;34.903333;null;22.446667;null;
2014-10-31;null;317.8;32.864516;null;22.425806;null;
2014-11-30;null;272.2;32.49;null;22.606667;null;
2014-12-31;null;113.2;31.532258;null;22.367742;null;
2015-01-31;null;260.5;31.877419;null;22.229032;null;
2015-02-28;null;370.3;30.992857;null;22.025;null;
2015-03-31;null;400.3;31.190323;null;22.883871;null;
2015-04-30;null;146.1;31.68;null;23.123333;null;
2015-05-31;null;106.8;32.106452;null;22.887097;null;
2015-06-30;null;0;33.666667;null;22.403333;null;
2015-07-31;null;11;33.925806;null;22.03871;null;
2015-08-31;null;1;36.341935;null;22.141935;null;
2015-09-30;null;10.8;36.37;null;23.686667;null;
2015-10-31;null;56.3;35.458065;null;23.864516;null;
2015-11-30;null;80;33.336667;null;23.666667;null;
2015-12-31;null;38.4;33.164516;null;23.587097;null;
2016-01-31;null;236;30.835484;null;23.729032;null;
2016-02-29;null;60.5;33.02069;null;23.907692;null;
2016-03-31;null;220.6;31.651613;null;23.148387;null;
2016-04-30;null;82.4;33.02;null;23.356667;null;
2016-05-31;null;26;33.238095;null;23.613333;null;
2016-06-30;null;null;33.609091;null;null;null;
2016-07-31;null;null;35.009524;null;22.728571;null;
2016-08-31;null;14.6;36.547826;null;22.834783;null;
2016-09-30;null;null;33.038095;null;22.795238;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;71;33.375;27.237;23.2;80.8125;
2016-12-31;null;203;31.96087;25.996364;22.718182;84.152174;
2017-01-31;null;null;31.759091;25.841818;22.568182;84.590909;
2017-02-28;null;null;30.845;25.478;22.03;85.425;
2017-03-31;null;394.6;31.991304;26.206087;22.665217;85.663043;
2017-04-30;null;null;31.868421;26.57;22.78;84.97619;
2017-05-31;null;62;33.743478;27.569565;23.317391;79.673913;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;0;34.44;null;null;null;
2017-08-31;null;57;null;null;null;null;
2017-09-30;null;25.2;null;null;null;null;
2017-10-31;null;152;null;null;null;null;
2017-11-30;null;133.2;null;null;null;null;
2017-12-31;null;285.6;null;null;null;null;
2018-01-31;null;250.8;null;null;null;null;
2018-02-28;null;490.1;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;273.4;31.161905;25.299048;21.180952;85.928571;
2018-05-31;null;null;32.409091;25.749091;21.740909;84.897727;
2018-06-30;null;null;34.071429;26.046667;20.014286;77.821429;
2018-07-31;null;14.8;35.836364;25.808571;18.636364;75.261364;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;123.8;null;null;20.947368;77.425;
2018-10-31;null;201.8;null;null;21.426087;78.880435;
2018-11-30;null;308.2;null;null;21.08;79.475;
2018-12-31;null;230.4;null;null;21.04;80.7125;
2019-01-31;null;376.2;null;null;20.881818;80.204545;
2019-02-28;null;267.9;null;null;20.895;80.675;
2019-03-31;null;403.6;null;null;20.835;81.8;
2019-04-30;null;274.7;null;null;22.361905;84.809524;
2019-05-31;7;106;null;null;21.890909;80.75;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;14.6;null;null;19.617391;75.521739;
2019-08-31;null;44.8;null;null;20.104545;73.511364;
2019-09-30;null;115.6;null;null;21.747619;75.369048;
2019-10-31;null;331.7;null;null;21.713043;82.271739;
2019-11-30;null;136.1;null;null;22.01;82.45;
2019-12-31;null;160.6;32.4875;26.505;22.514286;83.833333;
2020-01-31;20;317.7;31.790909;26.030909;22.495455;85.681818;
2020-02-29;19;221.8;31.98;26.038;22.705;87.8;
2020-03-31;16;244.3;31.86;26.1672;22.524;85.8;
2020-04-30;15;374.2;31.620833;25.890833;22.433333;86.364583;
2020-05-31;11;226.2;32.86;26.33913;22.656;84.836957;
2020-06-30;3;21.4;33.392;26.1725;20.988;85.71875;
2020-07-31;0;0;35.081481;26.497778;19.625926;79.185185;
2020-08-31;1;7.2;36.446154;27.879231;19.8;72.615385;
2020-09-30;5;95;36.673077;28.289231;20.938462;74.269231;
2020-10-31;9;166.1;34.237037;27.483077;21.914815;82.962963;
2020-11-30;10;162.6;33.048;26.5296;22.46;88;
2020-12-31;9;122.2;32.385185;26.222222;22.207407;88.333333;
2021-01-31;9;198.1;32.480769;26.188462;21.892308;89.038462;
2021-02-28;12;289.1;30.875;25.825;22.504167;91;
2021-03-31;18;263;31.285185;25.543704;21.581481;89.666667;
2021-04-30;9;175.7;32.107692;26.0728;22.496;92.076923;
2021-05-31;7;44.7;33.257692;26.156154;21.384615;90.384615;
2021-06-30;3;30.4;34.796429;26.441429;20.6;76.758929;
2021-07-31;1;9.4;35.55;27.010435;20.447826;72.239583;

