Nome: COLINAS
Codigo Estacao: 82676
Latitude: -6.03305554
Longitude: -44.23333333
Altitude: 175.56
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;190.3;30.848387;25.72129;22.187097;83.524194;
2008-02-29;12;236.8;31.372414;25.873103;22.037931;83.62931;
2008-03-31;24;274.8;30.435484;25.280645;22.23871;86.16129;
2008-04-30;22;276.7;31.226667;25.672;22.243333;84.383333;
2008-05-31;9;52.8;31.8;26.041935;21.66129;78.459677;
2008-06-30;0;0;32.583333;25.178;18.9;68.375;
2008-07-31;0;0;33.141935;25.419355;18.296774;63.283333;
2008-08-31;1;6.1;34.829032;26.886452;19.009677;54.830645;
2008-09-30;3;47.1;36.55;28.543333;21.343333;51.216667;
2008-10-31;2;8.3;37.145161;29.554194;22.848387;51.183333;
2008-11-30;10;100.6;35.336667;28.622;23.596667;65.516667;
2008-12-31;13;116.3;32.4;26.925161;23.019355;77.298387;
2009-01-31;17;248.3;31.651613;26.202581;22.435484;83.25;
2009-02-28;22;253;31.096429;25.499286;21.953571;87.133929;
2009-03-31;17;202.3;31.677419;25.933548;22.290323;86.274194;
2009-04-30;23;415.2;31.013333;25.730667;22.386667;87.291667;
2009-05-31;20;221.7;30.7;25.642581;22.229032;86.741935;
2009-06-30;5;4.4;32.183333;25.675333;20.416667;76.55;
2009-07-31;3;1.9;33.274194;25.690968;19.322581;70.758065;
2009-08-31;3;8;34.493548;26.284516;19.164516;64.096774;
2009-09-30;3;.9;36.09;27.966;21.186667;61.041667;
2009-10-31;9;171.9;34.341935;27.713548;23.109677;71.145161;
2009-11-30;4;39.7;33.803333;27.406667;22.623333;76.075;
2009-12-31;19;175.1;31.006452;25.8;22.167742;86.362903;
2010-01-31;17;98.9;31.983871;26.279355;22.193548;85.177419;
2010-02-28;16;216;32.032143;26.775;22.946429;85.633929;
2010-03-31;14;271.8;32.667742;26.849032;22.932258;86.266129;
2010-04-30;16;228.5;32.78;26.947333;22.75;83.191667;
2010-05-31;8;18.7;33.641935;26.959355;22.26129;82.08871;
2010-06-30;4;25.2;33.366667;26.01;20.396552;74.383333;
2010-07-31;2;8.9;34.245161;26.143871;19.56129;65.040323;
2010-08-31;0;0;35.451613;26.581935;18.596774;56.387097;
2010-09-30;1;6.8;36.836667;28.852667;21.586667;50.841667;
2010-10-31;7;101.8;36.6;29.068387;23.56129;63.16129;
2010-11-30;7;89.4;35.09;28.192667;22.823333;68.783333;
2010-12-31;13;66.3;33.177419;27.27871;22.977419;75.346774;
2011-01-31;17;259.2;31.783871;26.132903;22.351613;82.185484;
2011-02-28;20;343.4;30.821429;25.465;22.053571;86.5;
2011-03-31;22;307.4;31.925806;26.018065;22.280645;86.564516;
2011-04-30;15;104.9;31.946667;26.000667;22.043333;85.141667;
2011-05-31;9;161.1;31.845161;26.239355;21.925806;81.790323;
2011-06-30;0;0;33.153333;25.863333;19.816667;72.991667;
2011-07-31;3;50.7;33.254839;25.260645;18.73871;67.540323;
2011-08-31;1;1.7;35.674194;26.501935;18.719355;60.66129;
2011-09-30;0;0;37.076667;28.305333;20.42;53.325;
2011-10-31;9;163.6;35.341935;28.170968;22.706452;68.685484;
2011-11-30;5;152;32.256667;26.440667;21.996667;79.158333;
2011-12-31;7;105.6;33.309677;27.009032;22.106452;76.991935;
2012-01-31;15;253.3;31.077419;25.676129;21.845161;83.427419;
2012-02-29;15;183.4;31.472414;25.616552;21.544828;83.224138;
2012-03-31;18;203.8;31.635484;25.825806;22.009677;85.354839;
2012-04-30;8;40.4;32.976667;26.570667;22.17;82.791667;
2012-05-31;5;99.5;33.580645;26.65871;21.667742;78.854839;
2012-06-30;1;9;34.596667;26.497333;20.91;73.991667;
2012-07-31;0;0;35.787097;26.744828;19.145161;59.629032;
2012-08-31;0;0;36.16129;27.680645;20.074194;49.927419;
2012-09-30;1;.4;38.176667;29.293;20.805;48.833333;
2012-10-31;2;14.4;38.364516;null;null;50.645161;
2012-11-30;6;62.5;34.343333;null;null;71.066667;
2012-12-31;10;149.5;33.290323;null;null;81.633333;
2013-01-31;13;246.6;31.929032;26.475484;null;85.258065;
2013-02-28;7;119.5;33.014286;26.791429;null;86.107143;
2013-03-31;null;114.7;32.770968;26.775333;null;87.935484;
2013-04-30;null;138.2;32.98;26.715862;null;89.233333;
2013-05-31;null;63.2;33.006452;26.345161;null;85.677419;
2013-06-30;null;118;33.156667;25.943333;null;83.833333;
2013-07-31;null;3.8;34.735484;26.360645;null;72.225806;
2013-08-31;null;14;36.290323;27.69871;null;56.612903;
2013-09-30;null;null;null;null;null;null;
2013-10-31;null;69.8;36.206452;29.027097;23.374194;64.290323;
2013-11-30;null;177.1;33.063333;26.899333;22.623333;82.733333;
2013-12-31;null;149.5;32.754839;26.947097;22.796774;84.935484;
2014-01-31;null;146.2;31.548387;26.069032;22.116129;87.290323;
2014-02-28;null;159.1;31.192857;25.776429;22.364286;88;
2014-03-31;null;181.2;31.629032;26.163226;22.419355;90.677419;
2014-04-30;null;160.8;31.856667;26.184138;22.36;89.3;
2014-05-31;null;119.2;32.080645;26.353548;21.932258;86.870968;
2014-06-30;null;0;33.09;25.968;19.873333;80.9;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;30;35.016129;26.897419;18.880645;61.16129;
2014-09-30;null;24.6;36.09;28.505333;21.313333;62.75;
2014-10-31;null;67.5;35;28.428387;22.212903;68.533333;
2014-11-30;null;19;33.98;27.881333;22.36;74.266667;
2014-12-31;null;92;32.416129;27.126452;22.058065;77.645161;
2015-01-31;null;49;31.73871;26.107097;21.3;85.870968;
2015-02-28;null;57.2;30.532143;25.790714;21.078571;89.071429;
2015-03-31;null;220.8;30.548387;25.512903;21.287097;90.612903;
2015-04-30;null;34.2;31.623333;26.155333;21.293333;89.033333;
2015-05-31;null;65.4;32.009677;26.039355;20.787097;88.354839;
2015-06-30;null;0;33.603333;25.974667;18.766667;78.931034;
2015-07-31;null;1.8;34.945161;26.866452;18.825806;68.225806;
2015-08-31;null;0;35.712903;27.326452;18.290323;58.903226;
2015-09-30;null;0;37.866667;29.462667;21.096667;57.933333;
2015-10-31;null;28.4;37.451613;30.134194;24.041935;60.709677;
2015-11-30;null;3;37.436667;29.904;24.096667;62.166667;
2015-12-31;null;36.2;36.574194;29.766452;24.441935;59.483871;
2016-01-31;null;168.5;31.809677;26.816129;23.06129;82.645161;
2016-02-29;null;59.4;33.510345;27.424138;23.058621;79.327586;
2016-03-31;null;145.4;32.848387;26.97;23.093548;85.435484;
2016-04-30;null;69;33.1;27.287333;23.1;81.691667;
2016-05-31;null;141.6;33.403226;26.680645;22.235484;82.822581;
2016-06-30;null;7.6;33.666667;26.102069;20.88;73.841667;
2016-07-31;null;26.4;35.33871;26.391613;19.106452;61.830645;
2016-08-31;null;0;37.251613;28.290968;20.309677;54.362903;
2016-09-30;null;51;37.32;29.500667;23.233333;56.15;
2016-10-31;null;32;37.254839;29.032258;22.974194;62.822581;
2016-11-30;null;103.4;36.696667;29.333333;23.603333;66.208333;
2016-12-31;null;77.2;35.096774;27.925161;23.274194;74.645161;
2017-01-31;null;209.4;32.990323;26.602581;22.083871;82.362903;
2017-02-28;null;228.1;32.460714;26.217857;22.364286;85.741071;
2017-03-31;null;129;31.625806;25.866452;21.954839;87.435484;
2017-04-30;null;141.8;32.566667;26.316;22.19;86.125;
2017-05-31;null;42.2;33.06129;26.394194;21.548387;82.846774;
2017-06-30;null;59.2;33.19;25.714;19.85;75.408333;
2017-07-31;null;0;33.758065;26.337419;19.919355;62.604839;
2017-08-31;null;36;36.790323;28.096774;20.306452;61.258065;
2017-09-30;null;0;37.542857;29.933333;22.938095;57.416667;
2017-10-31;null;54;38.409091;31.01;23.25;57.556818;
2017-11-30;null;48.2;35.522727;28.690909;22.968182;68.738636;
2017-12-31;null;59.4;33.980952;27.374286;22.233333;78.142857;
2018-01-31;null;125.6;32.222581;25.933548;21.219355;83.572581;
2018-02-28;null;222.9;31.539286;25.977143;22.596429;85.410714;
2018-03-31;null;138.2;32.032258;26.660645;23.854839;85.314516;
2018-04-30;null;183.3;32.013333;26.560667;24.08;82.766667;
2018-05-31;null;52.6;33.26129;26.625806;23.183871;78.241935;
2018-06-30;null;1.4;34.43;26.712667;22.513333;67.783333;
2018-07-31;null;0;35.3;27.276552;22.817241;58.344828;
2018-08-31;null;0;36.546429;28.187857;20.317857;55.214286;
2018-09-30;null;65;36.9125;29.42;22.65;57.708333;
2018-10-31;null;51.4;36.280645;29.345806;24.090323;64.508065;
2018-11-30;null;125.4;33.686667;27.764;23.403333;77.35;
2018-12-31;null;103.4;32.503226;26.575484;22.145161;78.524194;
2019-01-31;null;72.6;33.325806;26.757419;22.53871;80.508065;
2019-02-28;null;139;32.867857;26.536429;22.389286;84.580357;
2019-03-31;null;177.6;32.312903;26.212258;22.545161;86.580645;
2019-04-30;null;160.4;32.456667;26.4;22.613333;86.1;
2019-05-31;null;70;33.112903;26.334839;21.719355;83.677419;
2019-06-30;null;.6;33.853333;26.064138;20.203333;74.333333;
2019-07-31;null;2;34.128571;26.183571;19.646429;68.125;
2019-08-31;null;0;36.125806;27.58129;19.590323;56.379032;
2019-09-30;null;0;37.944444;29.588571;22.135714;53.830357;
2019-10-31;null;26;36.928;29.826667;23.7;58.629032;
2019-11-30;null;6;36.45;29.540667;24.233333;63.466667;
2019-12-31;7;80.8;36.04;29.284516;24.03871;65.685484;
2020-01-31;16;386;32.487097;26.773548;22.335484;81.41129;
2020-02-29;19;304;32.568966;26.542857;22.875862;85.198276;
2020-03-31;16;366.4;31.317391;26.036522;22.561538;86.576087;
2020-04-30;14;84;32.257143;26.655;22.913793;84.625;
2020-05-31;2;3.4;33.867742;27.273793;22.567742;76.85;
2020-06-30;2;4.2;34.54;26.726667;20.743333;68.075;
2020-07-31;0;0;35.041935;26.314;18.735484;60.241667;
2020-08-31;0;0;36.33871;27.545161;19.26129;54.290323;
2020-09-30;0;0;37.713333;29.465333;21.906667;48.583333;
2020-10-31;4;89.4;37.729032;29.885333;23.896774;57.733871;
2020-11-30;11;239.6;33.806667;27.51;23.146667;75.541667;
2020-12-31;9;31.6;33.796774;27.385161;22.964516;75.41129;
2021-01-31;10;70;32.309677;26.145161;22.387097;81.645161;
2021-02-28;17;323.4;32.010714;26.177778;22.514286;82.6875;
2021-03-31;15;180;31.953333;25.872667;22.323333;86.275;
2021-04-30;11;151.8;32.896154;26.62;22.373913;87.287037;
2021-05-31;3;13.2;34.448387;26.652258;21.258065;77.032258;
2021-06-30;2;28.2;34.75;26.328667;20.21;71.341667;
2021-07-31;1;5;35.593548;26.727097;19.5;61.927419;
2021-08-31;0;0;37.203226;28.06;20.258065;50.032258;
2021-09-30;4;23;37.483333;29.669333;23.213333;56.216667;
2021-10-31;9;171.8;null;null;null;null;
2021-11-30;8;140;33.288;27.125217;23.336;82.27;
2021-12-31;15;365.3;33.093548;26.65871;22.709677;84.669355;
2022-01-31;17;274;31.96129;25.918;21.787097;85.637097;
2022-02-28;9;148.8;33.5;26.602857;21.964286;83.714286;
2022-03-31;20;379.4;32.596774;25.793548;21.519355;86.637097;
2022-04-30;10;81;null;null;21.632143;84.973214;
2022-05-31;3;23.8;null;null;20.989655;79.698276;
2022-06-30;4;76.8;null;null;19.733333;76.633333;
2022-07-31;1;8.4;null;null;18.735714;68.660714;
2022-08-31;1;18;null;null;18.764516;58.040323;
2022-09-30;1;2.1;null;null;20.6;58.15;
2022-10-31;3;79.2;null;null;21.94;59.858333;
2022-11-30;6;null;null;null;22.108696;78.545455;
2022-12-31;10;292.2;null;null;22.031818;83.636364;

