Nome: TAUA
Codigo Estacao: 82683
Latitude: -6.00638888
Longitude: -40.29972221
Altitude: 401.89
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;14;81.5;32.445161;27.065806;22.729032;62.548387;
2008-02-29;10;131.7;32.224138;26.121379;21.737931;65.715517;
2008-03-31;26;318.5;30.164516;24.863226;21.5;81.064516;
2008-04-30;20;191.3;30;24.972;21.383333;80.733333;
2008-05-31;11;59.9;29.767742;24.631613;20.712903;77.370968;
2008-06-30;1;1;30.796667;24.600667;18.94;61.983333;
2008-07-31;1;1.3;31.283871;25.349677;19.777419;53.395161;
2008-08-31;2;8.3;32.764516;26.50129;20.216129;null;
2008-09-30;0;0;34.553333;28.234667;21.876667;null;
2008-10-31;0;0;35.132258;29.00129;23.154839;40.322581;
2008-11-30;1;.3;35.57;29.435333;23.393333;39.175;
2008-12-31;2;1.3;34.841935;29.144516;23.890323;42.540323;
2009-01-31;12;128.8;33.541935;27.829032;23.258065;55.104839;
2009-02-28;5;8.8;32.457143;26.957857;22.910714;63.160714;
2009-03-31;18;91.4;31.954839;26.309677;22.46129;72.967742;
2009-04-30;27;244.3;29.636667;24.984667;22.173333;83.125;
2009-05-31;21;104.6;29.416129;25.072903;22.06129;80.104839;
2009-06-30;6;9.2;30.19;24.711333;20.073333;68.85;
2009-07-31;9;56.1;31.125806;24.873548;19.306452;61.935484;
2009-08-31;2;10.8;32.03871;25.834839;20.648387;null;
2009-09-30;0;0;34.03;27.506;22.313333;null;
2009-10-31;1;.1;34.690323;28.404516;22.819355;49.708333;
2009-11-30;1;.8;35.456667;29.192667;23.36;47.433333;
2009-12-31;3;35.5;34.145161;28.792903;23.967742;52.551724;
2010-01-31;9;151.5;31.970968;26.827742;22.619355;71.903226;
2010-02-28;5;27.8;33.696429;28.335;24.078571;62.857143;
2010-03-31;7;50.5;35.222581;28.949677;23.848387;61.225806;
2010-04-30;10;60.2;32.276667;26.968667;22.753333;74.333333;
2010-05-31;6;8.1;34.064516;27.689677;22.290323;66.16129;
2010-06-30;5;92.6;32.31;26.434;21.203333;62;
2010-07-31;0;0;33.245161;27.114194;21.109677;50.612903;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;34.736667;28.471333;22.81;46.482759;
2010-10-31;4;38;35.13871;28.898065;23.545161;54.225806;
2010-11-30;2;1;35.136667;29.038667;23.84;51.689655;
2010-12-31;12;97.4;32.219355;26.945806;22.622581;67.806452;
2011-01-31;14;160.9;31.635484;25.963226;21.883871;75.056452;
2011-02-28;12;180.3;30.464286;25.54;21.725;79.071429;
2011-03-31;17;94.3;31.16129;25.693548;21.612903;79.935484;
2011-04-30;17;129.8;31.01;25.697333;21.66;81.016667;
2011-05-31;11;108.3;29.983871;25.130323;21.190323;79.677419;
2011-06-30;2;47.5;30.953333;25.052;19.77;71.833333;
2011-07-31;3;29.6;31.167742;24.978065;19.558065;62.8;
2011-08-31;7;32.2;32.816129;26.276774;20.245161;59.032258;
2011-09-30;1;.4;34.23;27.644;21.376667;49.266667;
2011-10-31;4;35.7;34.441935;27.936129;22.374194;57.935484;
2011-11-30;4;18.3;33.06;27.092667;22.143333;61.433333;
2011-12-31;0;0;34.754839;28.357419;22.722581;53.83871;
2012-01-31;6;79;33.358065;27.582581;22.377419;61.709677;
2012-02-29;9;180.6;31.7;26.277241;21.506897;69.655172;
2012-03-31;5;36.6;32.025806;26.526452;21.574194;70.064516;
2012-04-30;6;13.3;33.6;26.93;21.3;66.633333;
2012-05-31;2;5;33.854839;27.452903;21.745161;58.645161;
2012-06-30;5;23.3;33.176667;26.923333;20.956667;57.566667;
2012-07-31;null;null;null;null;null;null;
2012-08-31;0;0;33.683871;27.210323;20.309677;44.903226;
2012-09-30;1;6.2;34.673333;28.117333;21.08;46.733333;
2012-10-31;0;0;35.312903;28.907097;22.022581;51.903226;
2012-11-30;1;.2;34.903333;28.844667;22.036667;53.833333;
2012-12-31;0;0;34.793548;28.952258;22.53871;55.387097;
