Nome: IGUATU
Codigo Estacao: 82686
Latitude: -6.39638888
Longitude: -39.26888888
Altitude: 221.58
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;114;33.709677;27.7;22.835484;65.024194;
2008-02-29;15;260.5;31.548276;26.215172;21.996552;77.810345;
2008-03-31;24;389.4;31.016129;25.589032;21.496774;81.258065;
2008-04-30;17;248.6;30.606667;25.586;21.983333;82.825;
2008-05-31;12;123.9;30.125806;25.183226;21.093548;80.395161;
2008-06-30;2;.9;30.403333;24.566667;19.37;68.433333;
2008-07-31;3;12.8;30.929032;25;19.593548;62.354839;
2008-08-31;2;20.2;33.174194;26.753548;21.206452;49.919355;
2008-09-30;0;0;35.123333;28.41;22.173333;43.066667;
2008-10-31;1;.3;35.919355;29.365806;23.4;43.298387;
2008-11-30;0;0;36.196667;29.783333;23.366667;45.491667;
2008-12-31;4;7.2;35.670968;29.677419;24.296774;54.137097;
2009-01-31;14;193;34.141935;28.116129;22.974194;63.274194;
2009-02-28;17;197.8;30.946429;26.148571;22.367857;79.607143;
2009-03-31;14;137.7;31.56129;26.445161;22.709677;78.758065;
2009-04-30;24;474;30.316667;25.456;21.816667;85.333333;
2009-05-31;14;125.4;30.06129;25.500645;22.022581;82.370968;
2009-06-30;7;15.9;30.4;25.244;20.66;75.525;
2009-07-31;7;36.5;31.364516;25.172258;20.041935;75.266129;
2009-08-31;6;91.4;32.609677;25.985161;20.335484;60.032258;
2009-09-30;3;12.7;34.02;27.28;21.686667;54.916667;
2009-10-31;1;.3;35.090323;28.362581;22.509677;50.540323;
2009-11-30;0;0;36.05;29.478;23.386667;48.716667;
2009-12-31;4;8.5;35.267742;29.362581;23.867742;52.959677;
2010-01-31;16;119.6;33.103226;27.425161;23.009677;66.096774;
2010-02-28;8;105.4;33.596429;28.055714;23.310714;65.473214;
2010-03-31;13;185.2;35.135484;28.863871;23.770968;62.008065;
