Nome: SERIDO (CAICO)
Codigo Estacao: 82690
Latitude: -6.46749999
Longitude: -37.08499999
Altitude: 171.26
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;69.5;36.358065;29.412258;24.190323;59.483871;
2008-02-29;11;78.6;36.448276;29.166207;23.513793;61.706897;
2008-03-31;19;338.5;33.893548;27.347097;23.058065;76.983871;
2008-04-30;20;269.5;32.276667;26.52;22.726667;84.275;
2008-05-31;12;94.6;31.751613;26.224516;22.164516;80.024194;
2008-06-30;3;41.7;31.44;25.928667;21.113333;70.225;
2008-07-31;3;10.2;32.025806;26.080645;20.883871;61.895161;
2008-08-31;2;.5;33.709677;27.185806;21.5;57.41129;
2008-09-30;0;0;35.12;28.226667;21.913333;52.208333;
2008-10-31;0;0;36.674194;29.14;23.029032;49.959677;
2008-11-30;0;0;37.27;29.812;23.546667;48.933333;
2008-12-31;0;0;37.619355;30.224516;24.103226;50.129032;
2009-01-31;6;23.6;36.987097;29.589677;24.045161;57.685484;
2009-02-28;15;204.5;34.067857;27.568571;23.175;72.258929;
2009-03-31;16;185.2;33.722581;27.243871;22.780645;79.290323;
2009-04-30;26;322.3;32.903333;26.72;23.136667;84.725;
2009-05-31;25;169;31.741935;26.390323;23.119355;85.137097;
2009-06-30;7;39.6;31.68;25.977333;21.586667;77.25;
2009-07-31;8;19.5;32.603226;26.197419;21.187097;69.580645;
2009-08-31;7;24.5;33.667742;26.82;20.845161;63.508065;
2009-09-30;0;0;35.65;28.296667;22.06;61.275;
2009-10-31;1;7.6;36.967742;29.157419;22.93871;61.137097;
2009-11-30;0;0;36.91;29.586667;23.5;53.533333;
2009-12-31;6;50.5;36.654839;29.419355;23.9;58.435484;
2010-01-31;11;107.9;33.880645;27.952903;23.303226;68.701613;
2010-02-28;7;51.3;35.292857;29.019286;23.853571;64.6875;
2010-03-31;11;108.7;36.845161;29.372903;24.145161;66.145161;
2010-04-30;18;175.1;34.306667;28.072;23.503333;74.141667;
2010-05-31;6;46.2;35.212903;28.890968;23.46129;61.83871;
2010-06-30;7;56.4;32.576667;26.818;22.146667;68.083333;
2010-07-31;2;3.7;32.790323;26.889032;21.409677;61.096774;
