Nome: FLORANIA
Codigo Estacao: 82691
Latitude: -6.12388888
Longitude: -36.81194444
Altitude: 324.45
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2018-05-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;110.5;34.870968;27.705806;23.106452;68.387097;
2008-02-29;10;31.5;35.106897;27.895862;22.627586;67.793103;
2008-03-31;23;349.5;32.087097;25.914194;21.990323;84;
2008-04-30;20;302.3;30.526667;25.331333;21.673333;85.066667;
2008-05-31;19;137.3;30.067742;24.925161;21.093548;82.290323;
2008-06-30;7;68.6;29.463333;24.295333;20.266667;77.766667;
2008-07-31;null;null;null;null;null;null;
2008-08-31;3;7.7;31.625806;25.361935;20.867742;69.033333;
2008-09-30;1;15;33.036667;26.205333;20.956667;67.033333;
2008-10-31;0;0;34.635484;27.153548;21.693548;65.258065;
2008-11-30;1;.2;35.433333;27.781333;22.076667;58.225;
2008-12-31;2;3.8;35.551613;28.007742;22.283871;54.064516;
2009-01-31;7;85.8;34.722581;27.662581;22.574194;59.637097;
2009-02-28;11;88.7;32.703571;26.445;22.207143;71.741071;
2009-03-31;17;410.2;31.683871;25.990323;21.819355;78.717742;
2009-04-30;25;354.1;30.536667;25.377333;21.96;85.383333;
2009-05-31;21;194.1;29.806452;24.98;21.822581;85.040323;
2009-06-30;10;73.6;29.49;24.502;20.71;77.741667;
2009-07-31;10;27.3;29.73871;24.423226;20.325806;78.491935;
2009-08-31;6;46.1;31.296774;24.962581;19.909677;64.524194;
2009-09-30;1;1.2;33.306667;26.124;20.676667;60.9;
2009-10-31;2;.6;35.435484;27.176774;21.06129;58.201613;
2009-11-30;2;.6;34.806667;27.421333;21.9;55.125;
2009-12-31;8;68.6;34.893548;27.77871;22.377419;64.548387;
2010-01-31;9;138;33.151613;26.845806;22.680645;70.096774;
2010-02-28;6;7.8;34.542857;28.149286;23.557143;63.616071;
2010-03-31;10;128;35.303226;28.131613;23.190323;68.112903;
2010-04-30;10;125.2;32.99;27.363333;23.366667;73.475;
2010-05-31;4;27.6;33.974194;27.614839;23.016129;67;
2010-06-30;9;150;30.976667;25.555333;21.696667;71.883333;
2010-07-31;5;2.2;31.109677;25.434839;21.074194;71.096774;
2010-08-31;1;.4;32.183871;25.678065;20.790323;60.419355;
2010-09-30;1;.4;33.73;26.474;21.223333;57.9;
2010-10-31;3;90;34.954839;27.599355;22.280645;60.814516;
2010-11-30;0;0;35.316667;27.746;22.286667;62.310345;
2010-12-31;8;48.1;33.703226;27.105806;22.487097;66.870968;
2011-01-31;15;108.5;32.280645;26.52129;22.535484;75.798387;
2011-02-28;11;69.1;32.146429;26.627143;22.767857;72.026786;
2011-03-31;20;176.1;31.745161;26.012903;22.167742;78.217742;
2011-04-30;20;260.7;30.973333;25.407333;21.616667;82.6;
2011-05-31;17;157.9;29.680645;25.019355;21.958065;81.596774;
2011-06-30;6;12.3;30.573333;25.244;21.64;72.058333;
2011-07-31;10;68.2;29.664516;24.348387;20.751613;72.620968;
2011-08-31;1;.6;31.451613;25.23871;20.729032;63.733871;
2011-09-30;0;0;33.146667;26.192;20.863333;59.533333;
2011-10-31;4;12.8;34.519355;27.187742;21.877419;55.846774;
2011-11-30;2;1.1;34.753333;27.507333;22.176667;54.758333;
2011-12-31;1;.4;34.951613;27.563226;21.622581;54.862903;
2012-01-31;8;52.3;34.109677;27.29871;22.141935;69.883929;
2012-02-29;10;96.4;33.196552;26.711724;21.837931;70.810345;
2012-03-31;9;22.8;33.929032;27.222581;22.267742;69.040323;
2012-04-30;5;4;35.093333;28.010667;22.96;64.275;
2012-05-31;3;.7;34.06129;27.416129;22.370968;66.685484;
2012-06-30;2;1.2;32.6;26.37;21.686667;76.566667;
2012-07-31;4;8.2;31.396774;25.391613;20.509677;73.370968;
2012-08-31;0;0;32.654839;25.778065;20.167742;56.403226;
2012-09-30;0;0;33.683333;26.358;20.333333;55.325;
2012-10-31;1;.3;34.551613;27.11871;21.812903;57.112903;
2012-11-30;0;0;35.946667;27.974667;22.31;57.908333;
2012-12-31;3;7.6;35.925806;28.266452;23.225806;59.983871;
2013-01-31;3;26.9;35.803226;28.556774;23.506452;68.153226;
2013-02-28;4;20.4;35.864286;28.531429;23.875;63;
2013-03-31;7;42.4;36.16129;28.702581;24.019355;64.895161;
2013-04-30;6;105.8;34.463333;27.910667;23.78;71.066667;
2013-05-31;7;23;33.912903;27.475484;23.067742;66.766129;
2013-06-30;7;56.8;31.876667;26.24;22.226667;72.3;
2013-07-31;6;23.4;31.070968;25.579355;21.374194;66.935484;
2013-08-31;3;9.8;32.6;26.317419;21.851613;63.685484;
2013-09-30;2;2;33.446667;26.530667;22.043333;64.175;
2013-10-31;1;1;34.612903;27.473548;22.629032;63.516129;
2013-11-30;2;8;34.096667;27.412;22.873333;58.591667;
2013-12-31;3;81.5;34.045161;27.651613;23.090323;56.677419;
2014-01-31;null;9;34;27.714839;23.051613;60.596774;
2014-02-28;null;115;33.310714;27.022143;22.760714;63.866071;
2014-03-31;null;197.1;33.141935;26.832258;22.696774;70.395161;
2014-04-30;null;365.1;32.033333;26.165333;22.213333;78.266667;
2014-05-31;null;68.6;31.532258;25.877419;21.564516;72.669355;
2014-06-30;null;5.3;31.926667;26.032667;21.346667;66.964286;
2014-07-31;null;7.8;31.877419;25.723226;20.967742;59.354839;
2014-08-31;null;0;32.835484;25.998065;20.709677;53.887097;
2014-09-30;null;8;33.57;26.52;21.613333;57.316667;
2014-10-31;null;.4;34.090323;27.119355;22.293548;55.362903;
2014-11-30;null;5.2;34.93;27.435333;22.346667;54.941667;
2014-12-31;null;.5;34.693333;27.712667;22.767742;60.1;
2015-01-31;null;1.6;35.216129;28.132903;22.86129;58.612903;
2015-02-28;null;107.2;34.078571;27.417143;22.65;61.267857;
2015-03-31;null;176.3;33.064516;26.82;22.296774;68.758065;
2015-04-30;null;58;33.023333;26.629333;21.853333;75.666667;
2015-05-31;null;3.3;34.712903;27.734839;22.080645;58.306452;
2015-06-30;null;10.9;32.583333;26.166667;20.26;65.9;
2015-07-31;null;21.9;31.812903;25.360645;19.670968;66.566667;
2015-08-31;null;.2;33.064516;25.789032;19.070968;62.258065;
2015-09-30;null;null;null;null;null;null;
2015-10-31;null;0;35.248387;26.91871;19.229032;58.870968;
2015-11-30;null;0;36.163333;27.565333;18.98;56.6;
2015-12-31;null;4.5;35.332258;27.614194;20.06129;61.666667;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;54.5;33.631034;26.851724;19.317241;69.730769;
2016-03-31;null;74.5;35.215;27.524211;20.567742;null;
2016-04-30;null;80.3;null;null;19.966667;null;
2016-05-31;null;28.8;null;null;19.529032;null;
2016-06-30;null;24;null;null;18.62;null;
2016-07-31;null;0;null;null;17.880645;null;
2016-08-31;null;0;null;null;20.796774;null;
2016-09-30;null;0;null;null;21.636667;null;
2016-10-31;null;0;null;null;19.293548;null;
2016-11-30;null;0;null;null;19.383333;null;
2016-12-31;null;1;null;null;19.829167;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;32.5;35.210714;27.335714;19.632143;68.461538;
2017-03-31;null;177.3;32.770968;25.932258;19.103226;79.322581;
2017-04-30;null;130.1;32.66;26.068667;19.236667;75.192308;
2017-05-31;null;55.4;33.151613;26.656774;20.812903;72.580645;
2017-06-30;null;46;32.106667;26.09;20.986667;68.7;
2017-07-31;null;29.6;30.019355;24.792258;20.893548;71.387097;
2017-08-31;null;0;33.306452;26.408387;21.570968;64.677419;
2017-09-30;null;0;33.586667;26.590667;21.976667;64.1;
2017-10-31;null;null;34.677273;27.533636;23.022727;64.227273;
2017-11-30;null;0;35.47931;27.933103;23.082759;63.068966;
2017-12-31;null;3.9;35.316129;28.262581;23.377419;65.806452;
2018-01-31;null;null;null;null;null;null;
2018-02-28;10;128.3;32.510714;26.754286;22.714286;77.821429;
2018-03-31;10;131.4;33.319355;27.04129;22.677419;78.3;
2018-04-30;23;237.6;30.87;25.659333;22.883333;83.068966;
2018-05-31;6;24.2;31.26129;26.049032;22.780645;76.258065;

