Nome: AREIA
Codigo Estacao: 82696
Latitude: -6.97555554
Longitude: -35.71805554
Altitude: 571.75
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;16;114.7;28.187097;23.146452;20.712903;84.33871;
2008-02-29;6;4.7;30.075862;24.084828;21.031034;77.060345;
2008-03-31;25;307.3;29.135484;23.774194;21.019355;82.612903;
2008-04-30;22;149.5;26.796667;22.956;20.756667;87.55;
2008-05-31;22;190.5;25.754839;22.324516;20.216129;88.459677;
2008-06-30;23;216.9;23.965517;20.888;19.153333;88.766667;
2008-07-31;28;222.7;23.56129;20.200645;18.487097;89.564516;
2008-08-31;27;238.1;24.225806;20.386452;18.287097;88.274194;
2008-09-30;18;76.4;25.758621;21.369333;19.086667;82.766667;
2008-10-31;15;21.3;27.76129;22.352903;19.725806;78.870968;
2008-11-30;9;4.3;29.06;23.178;20.246667;75.875;
2008-12-31;8;13.6;29.709677;23.616129;20.596774;76.41129;
2009-01-31;15;48.9;29.63871;23.851613;20.883871;76.201613;
2009-02-28;16;171.5;27.414286;23.127143;20.75;85.348214;
2009-03-31;13;83.2;27.870968;23.547742;21.274194;85.346774;
2009-04-30;27;245.2;27.713333;23.516667;21.106667;88;
2009-05-31;31;271.4;26.051613;22.715484;20.687097;90.282258;
2009-06-30;23;212.2;24.753333;21.624667;19.583333;90.808333;
2009-07-31;27;319.6;24.212903;20.989032;18.854839;90.709677;
2009-08-31;28;183.4;24.877419;20.870323;18.532258;86.895161;
2009-09-30;15;40.4;26.186667;21.630667;19.133333;84.916667;
2009-10-31;3;3.6;28.567742;22.676774;19.409677;76.693548;
2009-11-30;10;13.6;29.046667;23.110667;19.833333;74.925;
2009-12-31;13;36.5;29.625806;23.732903;20.6;78.258065;
2010-01-31;19;125.4;27.825806;23.219355;20.670968;85.403226;
2010-02-28;16;45.1;28.714286;23.907143;21.278571;83.276786;
2010-03-31;11;97.8;30.793548;24.742581;21.512903;79.048387;
2010-04-30;16;137.2;28.24;23.869333;21.246667;84.841667;
2010-05-31;14;50.3;27.912903;23.350968;20.33871;83.379032;
2010-06-30;17;180.6;26.013333;22.168;19.586667;84.35;
2010-07-31;20;136.4;24.4;20.825161;18.448387;86.201613;
2010-08-31;22;105.5;24.225806;20.207097;17.519355;83.25;
2010-09-30;20;59.6;25.966667;20.948;17.973333;79.791667;
2010-10-31;5;15.4;28.941935;22.964516;19.5;76.129032;
2010-11-30;8;2.7;29.893333;23.348;19.726667;74.308333;
2010-12-31;10;64.4;29.332258;23.464516;20.196774;76.806452;
2011-01-31;17;140.7;28.206452;23.06;20.016129;82.903226;
2011-02-28;17;48.5;28.7;23.59;20.621429;81.107143;
2011-03-31;17;82.6;29.264516;24.025161;20.848387;80.983871;
2011-04-30;23;280.2;27.093333;23.069333;20.466667;87.266667;
2011-05-31;24;462.4;25.264516;22.106452;19.835484;90.467742;
2011-06-30;20;181.4;24.693333;21.314667;18.933333;89.133333;
2011-07-31;26;363;23.366667;20.178065;18.123333;90.854839;
2011-08-31;20;156.9;24.354839;20.524516;17.880645;86.282258;
2011-09-30;13;19.9;25.61;20.946;17.78;82.425;
