Nome: OURICURI
Codigo Estacao: 82753
Latitude: -7.87944443
Longitude: -40.09194444
Altitude: 462.01
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;4;29;33.43871;null;null;null;
2008-02-29;7;96.4;30.927586;null;null;null;
2008-03-31;18;272.3;29.896774;null;null;null;
2008-04-30;15;107.8;28.92;null;null;null;
2008-05-31;13;22.9;28.229032;null;null;null;
2008-06-30;2;.2;28.753333;null;null;null;
2008-07-31;8;17.2;28.26129;null;null;null;
2008-08-31;1;.8;30.632258;null;null;null;
2008-09-30;null;null;null;null;null;null;
2008-10-31;0;0;33.980645;null;null;null;
2008-11-30;2;1.5;35.856667;null;null;null;
2008-12-31;6;53.6;33.541935;null;null;null;
2009-01-31;7;100.3;33.025806;null;null;null;
2009-02-28;9;127.8;30.707143;null;null;null;
2009-03-31;7;203.1;30.787097;null;null;null;
2009-04-30;15;241.6;29.243333;null;null;null;
2009-05-31;19;88.2;27.680645;null;null;null;
2009-06-30;7;17.8;28.11;null;null;null;
2009-07-31;9;9.7;29.780645;23.526452;19.480645;66.919355;
2009-08-31;4;7.3;31.216129;24.723871;20.16129;59.169355;
2009-09-30;0;0;34.203333;27.248;21.13;49.166667;
2009-10-31;6;38.7;34.525806;28.089032;22.803226;50.83871;
2009-11-30;4;11.9;35.12;28.707333;23.013333;44.933333;
2009-12-31;10;178.4;33.106452;27.387097;22.819355;57.145161;
2010-01-31;11;179.7;30.612903;25.312903;21.406452;73.540323;
2010-02-28;8;21.6;33.125;27.032143;22.732143;64.446429;
2010-03-31;8;107.4;34.041935;27.716129;23.103226;62.572581;
2010-04-30;15;249.5;30.333333;25.403333;22.196667;77.333333;
2010-05-31;4;.9;31.83871;25.534194;21.125806;66.556452;
2010-06-30;9;19.3;29.496667;23.996;20.406667;69.175;
2010-07-31;5;6.3;29.764516;24.02;19.680645;60.5;
2010-08-31;3;2.2;30.490323;24.274194;19.583871;54.540323;
2010-09-30;4;3.8;32.05;25.48;20.203333;50.641667;
2010-10-31;4;36;34.422581;27.911613;22.429032;49.322581;
2010-11-30;0;0;35.313333;28.95;23.236667;44.458333;
2010-12-31;13;111.9;31.651613;26.254839;22.316129;66.08871;
2011-01-31;8;81.9;31.4;25.730323;21.480645;66.701613;
2011-02-28;11;95.7;31.55;25.988571;22.103571;70.080357;
2011-03-31;16;135.3;30.996774;25.412258;21.696774;76.467742;
2011-04-30;11;88.1;30.52;24.926;21.61;75.366667;
2011-05-31;8;167.7;28.225806;23.679355;20.558065;78.016129;
2011-06-30;6;11.9;29.183333;23.165333;19.203333;70.066667;
2011-07-31;6;11.2;29.358065;23.380645;18.883871;62.693548;
2011-08-31;4;26.4;31.512903;24.800645;19.016129;52.75;
2011-09-30;1;2.3;31.576667;25.160667;20;52.15;
2011-10-31;3;59.1;33.625806;27.490968;22.087097;54.879032;
2011-11-30;4;55.1;32.836667;27.144;22.46;59.533333;
2011-12-31;4;44.2;34.009677;27.754194;22.825806;55.66129;
2012-01-31;6;53.2;33.003226;27.24129;22.83871;59.629032;
2012-02-29;5;76.1;31.855172;26.251724;22.037931;63.982759;
2012-03-31;5;14.9;33.329032;27.146452;22.377419;58.403226;
2012-04-30;2;3.6;34.09;27.608;22.29;53.3;
2012-05-31;2;3.4;32.493548;26.691613;21.777419;53.362903;
2012-06-30;0;0;31.483333;25.834667;21.2;53.158333;
2012-07-31;7;12.6;29.948387;24.406452;19.764516;55.951613;
2012-08-31;1;2.2;30.332258;24.352903;19.451613;51.258065;
2012-09-30;1;1.4;32.573333;26.330667;20.383333;43.125;
2012-10-31;1;.5;33.693548;27.632903;21.296774;43.653226;
2012-11-30;5;25.3;35.12;29.290667;24.266667;47.558333;
2012-12-31;2;6.7;34.532258;29.205161;24.270968;47.370968;
2013-01-31;11;141.3;32.967742;27.71871;23.606452;59.290323;
2013-02-28;1;1.1;34.196429;28.747857;24.010714;48.482143;
2013-03-31;null;49.9;34.374194;28.765161;24.158065;54.846774;
2013-04-30;null;89;32.026667;26.915333;23.206667;64.266667;
2013-05-31;null;13.3;32.016129;26.701935;22.303226;56.927419;
2013-06-30;null;1.5;31.57;26.192667;21.976667;54.075;
2013-07-31;null;30.5;29.86129;24.622581;20.406452;57.653226;
2013-08-31;null;.3;30.774194;25.306452;20.467742;51.935484;
2013-09-30;null;0;32.983333;26.942;21.556667;47.266667;
2013-10-31;null;.4;34.164516;28.173548;22.919355;46.241935;
2013-11-30;null;2.7;33.663333;28.503333;23.65;49.383333;
2013-12-31;null;97.4;33.477419;27.865806;23.635484;57.983871;
2014-01-31;null;29.2;33.187097;27.839355;23.548387;55.629032;
2014-02-28;null;135.9;31.275;26.64;22.789286;65.517857;
2014-03-31;null;107.7;31.125806;25.961935;22.554839;71.5;
2014-04-30;null;78.7;31.073333;25.814;22.093333;71.591667;
2014-05-31;null;25.6;29.977419;24.890323;21.087097;68.862903;
2014-06-30;null;5.7;30.203333;25.011333;20.843333;59.183333;
2014-07-31;null;7.3;30.116129;24.691613;20.290323;55.427419;
2014-08-31;null;.4;30.629032;24.950323;20.145161;50.733871;
2014-09-30;null;.7;33.146667;27.060667;21.536667;45.425;
2014-10-31;null;11.1;33.345161;27.625161;22.448387;46.379032;
2014-11-30;null;23.3;33.55;28.142667;23.363333;51.541667;
2014-12-31;null;99.2;32.780645;27.253548;22.912903;57.266129;
2015-01-31;null;8.1;33.948387;28.142581;23.422581;49.951613;
2015-02-28;null;99;33.214286;27.657143;23.375;57.964286;
