Nome: CAROLINA
Codigo Estacao: 82765
Latitude: -7.33722221
Longitude: -47.45972222
Altitude: 182.94
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;241.8;31.390323;26.049677;21.954839;83.427419;
2008-02-29;19;170.1;31.610345;26.251724;22.251724;82.87931;
2008-03-31;26;387.8;31.080645;25.681935;21.867742;85.564516;
2008-04-30;22;356;31.513333;26.212;22.18;84.633333;
2008-05-31;9;77.1;32.41;26.736667;22.496667;79.183333;
2008-06-30;0;0;33.816667;26.554;20.273333;64.908333;
2008-07-31;1;.8;35.019355;27.043226;20.025806;56.104839;
2008-08-31;1;1.7;36.974194;28.452903;21.796774;52.806452;
2008-09-30;7;37;37.403333;29.774;23.603333;52.791667;
2008-10-31;6;77.8;36.212903;29.164516;23.564516;61.217742;
2008-11-30;17;213.7;32.87;27.204667;23.516667;78.3;
2008-12-31;19;122.7;31.906452;26.492903;23.051613;83.419355;
2009-01-31;17;199.1;32.467742;26.718065;22.948387;81.508065;
2009-02-28;17;215.7;32.032143;26.126429;22.839286;84.303571;
2009-03-31;22;236.1;31.951613;26.750968;23.396774;84.145161;
2009-04-30;25;373.3;31.25;26.375333;23.14;85.7;
2009-05-31;19;285.5;31.122581;26.201935;22.767742;85.008065;
2009-06-30;1;2.3;33.082759;27.033333;21.889655;72.825;
2009-07-31;1;7.3;35.293548;27.382581;20.587097;62.08871;
2009-08-31;1;10.9;36.532258;28.663871;21.554839;54.040323;
2009-09-30;5;62.9;36.526667;29.636667;23.97;60.316667;
2009-10-31;13;275.5;33.274194;27.338065;23.406452;80.266129;
2009-11-30;11;35.5;33.903333;28.09;23.84;77.62931;
2009-12-31;25;370.2;30.451613;25.598065;22.567742;89.024194;
2010-01-31;18;344.9;31.806452;26.336129;22.816129;85.459677;
2010-02-28;19;311.9;32.042857;26.697857;23.253571;86.75;
2010-03-31;18;199.3;32.664516;27.200645;23.619355;84.782258;
