Nome: BALSAS
Codigo Estacao: 82768
Latitude: -7.52944443
Longitude: -46.04638888
Altitude: 263.48
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;222.1;30.806452;25.58129;21.235484;81.024194;
2008-02-29;13;113.8;31.82963;26.049231;21.677778;76.824074;
2008-03-31;19;327.8;31.035484;25.220645;21.080645;82.774194;
2008-04-30;15;205.1;31.933333;26.262;21.866667;78.108333;
2008-05-31;4;39;32.5;26.814839;21.403226;69.419355;
2008-06-30;0;0;33.156667;26.000667;18.6;59.575;
2008-07-31;0;0;33.390323;26.17871;18.609677;52.798387;
2008-08-31;0;0;35.083871;27.872903;19.719355;47.467742;
2008-09-30;2;37.8;36.176667;29.336;21.523333;45.291667;
2008-10-31;9;32.1;36.016129;29.372903;21.809677;50.314516;
2008-11-30;14;308.7;32.566667;26.927333;22.21;73.666667;
2008-12-31;16;207;31.270968;26.012258;21.364516;77.346774;
2009-01-31;12;192.2;31.86129;26.327742;21.33871;75.862903;
2009-02-28;12;192.2;31.646429;25.792143;21.092857;77.571429;
2009-03-31;13;105.4;32.348387;26.297419;21.783871;78.854839;
2009-04-30;23;361.6;30.726667;25.634667;21.706667;83.508333;
2009-05-31;16;126.4;31.090323;25.765806;21.370968;79.016129;
2009-06-30;2;1.6;32.613333;26.421333;19.986667;63.758333;
2009-07-31;0;0;33.996774;27.002581;19.029032;52.266129;
2009-08-31;1;3.4;35.135484;28.045806;19.854839;48.217742;
2009-09-30;4;4.3;36.13;29.812667;22.4;48.333333;
2009-10-31;11;209.5;33.496774;27.673548;22.541935;68.701613;
2009-11-30;4;11.6;34.16;28.105333;22.166667;64.275;
2009-12-31;18;270.5;31.251613;25.990968;21.241935;78.604839;
2010-01-31;16;173.7;31.66129;26.167742;21.203226;77.282258;
2010-02-28;13;178.1;32.160714;26.783571;22.014286;79.875;
2010-03-31;15;47.7;32.841935;27.194839;22.345161;77.685484;
2010-04-30;14;128.2;32.913333;27.428;22.126667;74.85;
2010-05-31;3;23.8;34.445161;28.368387;21.996774;65.975806;
2010-06-30;1;3;33.793333;27.326667;20.64;59.525;
2010-07-31;0;0;34.464516;27.472903;20.13871;49.040323;
2010-08-31;0;0;35.641935;28.103871;20.222581;42.427419;
2010-09-30;0;0;36.82;30.067333;23.003333;40.825;
2010-10-31;10;194.5;34.725806;28.647742;23.422581;62.733871;
2010-11-30;8;91.5;33.766667;28.174667;23.32;66.658333;
2010-12-31;14;38.6;32.635484;27.301935;23.158065;72.233871;
2011-01-31;20;282.4;31.393548;26.047742;22.348387;79.008065;
2011-02-28;23;314.2;30.710714;25.160714;21.9;84.875;
2011-03-31;16;220.9;31.719355;26.180645;22.493548;79.540323;
2011-04-30;17;92.4;32.2;26.802;22.783333;76.95;
2011-05-31;6;53.4;32.958065;27.237419;22.351613;68.290323;
2011-06-30;0;0;34.133333;27.245333;20.68;60.491667;
2011-07-31;3;2;33.974194;26.905806;19.464516;57.282258;
2011-08-31;0;0;36.045161;28.729677;20.619355;50.217742;
2011-09-30;0;0;36.97;29.826667;21.503333;45.333333;
2011-10-31;10;143.5;34.86129;28.758065;23.509677;64.266129;
2011-11-30;16;169.8;31.07;26.097333;22.463333;80.766667;
2011-12-31;12;70.6;32.277419;26.815484;22.722581;76.967742;
2012-01-31;20;211.3;30.809677;25.449677;21.987097;82.991935;
2012-02-29;17;168.6;31.168966;25.534483;21.803448;81.982759;
2012-03-31;12;78.4;31.996774;26.357419;22.487097;80.016129;
2012-04-30;10;34.2;33.58;27.586;22.723333;74.375;
2012-05-31;4;31.5;33.948387;27.901935;22.267742;69.040323;
2012-06-30;1;12.8;34.316667;27.846;21.24;62.208333;
2012-07-31;0;0;35.229032;27.90129;19.8;52.354839;
2012-08-31;0;0;35.616129;28.567742;20.7;46.201613;
2012-09-30;1;1.2;37.3;30.379333;22.67;44.925;
2012-10-31;5;69.4;36.683871;30.671613;24.532258;54.25;
2012-11-30;19;254;32.046667;26.996;23.233333;79.325;
2012-12-31;13;91.7;32.6;27.235484;23.041935;74.459677;
2013-01-31;22;457.8;31.412903;26.289032;22.819355;82.862903;
2013-02-28;11;72.2;32.560714;27.197857;23.257143;77.767857;
2013-03-31;17;200.3;32.083871;26.862581;23.280645;82.508065;
2013-04-30;10;74.6;32.86;27.400667;23.39;76.875;
2013-05-31;6;64.2;32.770968;27.492903;22.732258;72.879032;
2013-06-30;3;4.5;33.65;27.574;21.506667;65.316667;
2013-07-31;1;2.6;34.619355;27.801935;20.803226;55.370968;
2013-08-31;null;0;36.209677;28.863226;21.064516;46.975806;
2013-09-30;3;12.7;37.206667;30.584;23.513333;49.566667;
2013-10-31;9;269.8;35.051613;28.932903;23.554839;70.612903;
2013-11-30;14;356.5;32.293333;26.738667;22.286667;82.875;
2013-12-31;14;157.1;32.551613;26.875484;22.967742;84.5;
2014-01-31;null;149.3;32.163333;26.603226;22.374194;84.596774;
2014-02-28;null;118.8;32.007143;26.310714;22.539286;87.482143;
2014-03-31;null;164.7;32.296774;26.686452;22.877419;87.508065;
2014-04-30;null;78.4;32.856667;27.126667;23.13;85.808333;
2014-05-31;null;12.2;33.848387;27.84;22.53871;78.41129;
2014-06-30;null;0;34.693333;28.058;21.536667;71;
