Nome: CAMPOS SALES
Codigo Estacao: 82777
Latitude: -7.07666666
Longitude: -40.38999999
Altitude: 586.06
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2019-03-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;72.3;31.4;25.762581;20.470968;69.774194;
2008-02-29;10;217.1;29.675862;23.801379;18.717241;80.862069;
2008-03-31;23;312.5;28.490323;23.110968;18.819355;88.741935;
2008-04-30;15;106.7;29.033333;23.470667;19.04;87.633333;
2008-05-31;7;14.3;28.76129;23.016774;18.290323;80.225806;
2008-06-30;0;0;28.873333;22.134;16.826667;74.966667;
2008-07-31;null;null;null;null;null;null;
2008-08-31;1;.8;31.012903;23.934194;18.064516;58.419355;
2008-09-30;0;0;33.746667;26.058;19.56;50.433333;
2008-10-31;0;0;34.56129;27.111613;20.612903;46.193548;
2008-11-30;1;.4;35.34;28.074483;21.468966;47.689655;
2008-12-31;7;72.6;33.380645;26.787586;21.432258;59.655172;
2009-01-31;7;78;32.870968;26.330968;20.73871;63.193548;
2009-02-28;16;120.9;29.6;24.048889;19.785714;83.384615;
2009-03-31;16;76;30.458065;24.285333;19.651613;85.033333;
2009-04-30;22;244.1;28.373333;23.31;19.173333;91;
2009-05-31;20;109.3;27.941935;23.007097;18.741935;87.677419;
2009-06-30;4;22.5;28.186667;22.318;17.34;81.266667;
2009-07-31;3;36.2;28.967742;22.542581;17.025806;72.548387;
2009-08-31;1;.8;30.109677;23.477419;17.722581;64;
2009-09-30;0;0;33.3;26.048;19.006667;50.866667;
2009-10-31;1;null;33.233333;26.771667;20.2;51.869565;
2009-11-30;4;9.9;34.066667;27.363333;20.353333;51.933333;
2009-12-31;8;86.2;32.212903;26.105161;20.23871;62.225806;
2010-01-31;9;67.5;30.63871;24.711613;19.187097;74.064516;
2010-02-28;5;69.1;32.085714;26.172857;20.585714;68.107143;
2010-03-31;8;177.1;32.645161;26.363226;20.503226;67.322581;
2010-04-30;13;236.8;29.7;24.444667;19.526667;86.566667;
2010-05-31;1;null;null;null;null;null;
2010-06-30;6;6;29.286667;23.352;18.266667;80;
2010-07-31;2;1.7;29.612903;23.423871;17.645161;71.677419;
2010-08-31;0;0;30.43871;23.881935;17.374194;65.677419;
2010-09-30;0;0;31.94;25.211333;18.286667;61.172414;
2010-10-31;6;53.7;33.329032;26.624516;19.903226;66.483871;
2010-11-30;0;0;33.773333;27.036;19.9;60.758621;
2010-12-31;14;201.2;29.767742;24.505806;19.058065;81.322581;
2011-01-31;13;86.3;29.690323;23.833548;18.354839;85.741935;
2011-02-28;17;106.4;28.085714;23.149286;18.392857;91.535714;
2011-03-31;11;240.2;29.025806;23.390323;18.341935;93.322581;
2011-04-30;10;56.5;29.446667;23.511333;18.093333;91.666667;
2011-05-31;7;55.3;28.193548;22.829032;17.864516;86.645161;
2011-06-30;3;4.9;29.193333;22.791333;16.933333;84.9;
2011-07-31;1;null;null;null;null;null;
2011-08-31;2;9.6;31.025806;23.909032;17.167742;73.354839;
2011-09-30;0;0;31.46;24.603333;17.733333;67.2;
2011-10-31;6;16.2;32.83871;26.04129;19.367742;71;
2011-11-30;6;52;31.073333;25.099333;18.993333;79.366667;
2011-12-31;3;15.2;32.548387;26.029032;19.212903;77.967742;
2012-01-31;7;16.8;31.832258;25.892258;20.154839;75.491935;
2012-02-29;12;169.4;30.337931;24.504138;19.048276;80.767241;
2012-03-31;13;118.2;30.093548;24.174194;18.548387;83.701613;
2012-04-30;2;2.1;32.136667;24.948667;18.306667;79.516667;
2012-05-31;2;1.6;32.119355;25.361935;18.977419;73.685484;
2012-06-30;4;7.6;31.42;24.733333;18.293333;73.383333;
2012-07-31;0;0;30.587097;24.440645;17.996774;70.306452;
2012-08-31;0;0;30.664516;24.123226;17.232258;62.16129;
2012-09-30;0;0;33.153333;26.242;18.623333;50.8;
2012-10-31;0;0;33.96129;27.279355;19.76129;53.112903;
2012-11-30;0;0;33.78;27.668;20.483333;58.825;
2012-12-31;6;15.5;33.574194;27.411613;20.954839;65.846774;
2013-01-31;10;151.3;31.458065;25.763871;19.716129;80.967742;
2013-02-28;6;28;32.214286;26.034286;20.092857;81.9375;
2013-03-31;11;84.1;32.403226;26.370323;20.309677;77.629032;
2013-04-30;9;81.4;30.12;24.453333;18.886667;81.575;
2013-05-31;6;9;31.190323;24.766452;18.458065;74.532258;
2013-06-30;3;2.2;31.436667;24.918667;18.513333;64.958333;
2013-07-31;8;14.4;30.53871;24.185806;17.529032;57.814516;
2013-08-31;null;0;31.996774;25.211613;18.341935;51.306452;
2013-09-30;1;2.4;33.77;26.616667;18.923333;46.533333;
2013-10-31;2;1.7;33.845161;27.193548;19.851613;53.427419;
2013-11-30;4;25.5;32.52;26.767333;20.04;65.975;
2013-12-31;6;40.7;32.16129;26.365806;20.032258;68.258065;
2014-01-31;1;41.7;32.274194;26.064516;19.787097;63.129032;
2014-02-28;null;57.2;30.064286;24.818571;19.382143;74.259259;
2014-03-31;null;137.1;29.570968;24.152258;18.877419;83.741935;
2014-04-30;null;59.3;29.893333;24.131333;18.473333;78.408333;
2014-05-31;null;6.6;30.612903;24.360645;18.316129;74.951613;
2014-06-30;null;4;30.39;24.25;17.753333;57.883333;
2014-07-31;null;14.8;30.487097;24.122581;17.303226;58.384615;
2014-08-31;null;0;31.345161;24.643226;17.445161;46.532258;
2014-09-30;null;3.2;33.26;26.370667;18.706667;43.041667;
2014-10-31;null;26.7;32.796774;26.46;19.312903;49.064516;
2014-11-30;null;92.8;32.496667;26.208;19.48;54.375;
2014-12-31;null;23;32.045161;26.163226;21;56.459677;
2015-01-31;null;19.7;33.212903;26.930968;21.245161;54.403226;
2015-02-28;null;74.8;31.414286;25.631429;20.767857;64.892857;
2015-03-31;null;195.2;30.43871;24.815484;20.096774;74.524194;
2015-04-30;null;41.6;30.646667;24.691333;19.596667;73.766667;
2015-05-31;null;89.1;30.354839;24.449032;19.751613;72.548387;
2015-06-30;null;17.1;30.34;24.17;19.053333;61.058333;
2015-07-31;null;18.1;30.341935;24.253548;18.877419;62.185484;
2015-08-31;null;0;32.564516;25.217419;18.851613;45.298387;
2015-09-30;null;1.5;34.673333;27.315333;20.306667;43.983333;
2015-10-31;null;9.7;34.729032;28.016774;21.083871;41.193548;
2015-11-30;null;10.4;35.126667;28.365333;21.386667;44.85;
2015-12-31;null;30.6;34.696774;28.258065;21.851613;51.459677;
2016-01-31;null;182.7;30.33871;25.352258;20.780645;72.443548;
2016-02-29;null;36.3;32.113793;null;null;68.04;
2016-03-31;null;49.1;33.235484;26.804762;22.919048;70.096774;
2016-04-30;null;8.4;32.94;26.899333;22.056522;70.266667;
2016-05-31;null;10;32.809677;26.856129;22.109677;62.548387;
2016-06-30;null;1.6;30.933333;25.177333;20.826667;67.066667;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;0;32.967742;26.217419;20.703226;57.967742;
2016-09-30;null;1.1;33.97;27.487333;21.946667;63.933333;
2016-10-31;null;11.7;34.670968;28.605161;22.922581;66.733333;
2016-11-30;null;.4;34.826667;28.938667;23.516667;69.1;
2016-12-31;null;54;33.258065;27.780645;23.225806;71.615385;
2017-01-31;null;100.7;32.541935;26.693548;22.658065;80.451613;
2017-02-28;null;103.3;29.935714;25.135714;21.589286;85.607143;
2017-03-31;null;90.7;29.490323;24.452258;21.296774;88.451613;
2017-04-30;null;48.6;31.2;25.409333;21.226667;77.8;
2017-05-31;null;15.9;31.625806;26.026452;21.954839;68.066667;
2017-06-30;null;16.4;30.033333;24.609333;20.926667;69;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;0;32.16129;25.637241;20.535484;82.703704;
2017-09-30;null;0;31.833333;25.800667;20.773333;61.413793;
2017-10-31;null;0;34.503226;28.227742;22.587097;53.107143;
2017-11-30;null;6.4;33.94;28.153103;22.92;60.689655;
2017-12-31;null;14.9;33.709677;27.957419;23.387097;61.517241;
2018-01-31;5;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;1;null;30.635294;24.449412;20.2;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;0;0;30.887097;24.594;20.006452;63.107143;
2018-08-31;0;0;32.903226;26.033548;20.503226;55.233333;
2018-09-30;0;0;34.22;27.582667;21.93;53.1;
2018-10-31;3;12.6;34.63871;28.137419;22.806452;58.321429;
2018-11-30;5;25.4;34.253333;28.396;23.373333;57.607143;
2018-12-31;9;165;30.331034;25.111429;21.324138;76.931034;
2019-01-31;5;21.6;31.596296;25.543704;21.088889;75;
2019-02-28;10;123.6;32.066667;26.045;22.041667;78.521739;
2019-03-31;15;207.2;30.757143;25.135714;21.5;84.705882;

