Nome: TRIUNFO
Codigo Estacao: 82789
Latitude: -7.82972221
Longitude: -38.12222221
Altitude: 1105
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2018-03-28
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;8;52.5;28.767742;23.132258;17.754839;65.709677;
2008-02-29;11;135.7;26.772414;21.9;18.093103;67.793103;
2008-03-31;22;387.2;25.864516;21.09871;18.096774;78.209677;
2008-04-30;22;387.8;24.353333;20.627333;17.96;83.483333;
2008-05-31;22;199.1;22.6;19.159355;16.748387;87.758065;
2008-06-30;22;75.1;21.75;17.726667;15.236667;89.983333;
2008-07-31;21;112.1;21.409677;17.147097;14.474194;87.798387;
2008-08-31;10;39;23.509677;18.258065;14.854839;79.927419;
2008-09-30;2;6;26.403333;20.352667;15.726667;62.616667;
2008-10-31;1;1.3;28.474194;21.926452;16.225806;54.096774;
2008-11-30;2;6.8;30.066667;23.760667;17.32;45.341667;
2008-12-31;2;25.8;29.116129;23.419355;17.745161;null;
2009-01-31;5;98.6;28.441935;22.892258;17.706452;64.645161;
2009-02-28;14;245;25.678571;21.267857;17.814286;77.366071;
2009-03-31;13;134.5;26.096774;21.664516;18.180645;84.387097;
2009-04-30;20;294.5;25.11;21.102;18.37;86.4;
2009-05-31;28;412;23.196774;19.682581;17.606452;91.032258;
2009-06-30;18;111;22.273333;18.622;16.413333;92.408333;
2009-07-31;13;63.1;23.3;18.662581;15.63871;84.564516;
2009-08-31;17;76.1;23.996774;18.779355;15.512903;82.233333;
2009-09-30;0;0;27.943333;21.409333;16.066667;61.666667;
2009-10-31;4;48.1;29.722581;22.967097;17.1;57.306452;
2009-11-30;6;13.1;30.11;23.364;17.266667;56.275;
2009-12-31;9;79;29.158065;22.919355;18.03871;null;
2010-01-31;16;156.1;27.009677;21.609677;17.674194;82;
2010-02-28;12;132.8;27.967857;22.354286;18.160714;74.0625;
2010-03-31;5;24.8;29.770968;23.569677;18.906452;65.951613;
2010-04-30;14;258.3;27.08;21.922;18.42;78.325;
2010-05-31;5;30.7;27.451613;21.974839;17.932258;68.677419;
2010-06-30;19;208.7;22.67;18.807333;16.23;87.216667;
2010-07-31;21;79.6;23.032258;18.001935;14.96129;84.330645;
2010-08-31;9;12.2;24.445161;18.232903;14.329032;74.548387;
2010-09-30;5;26.8;26.79;19.881333;14.816667;69.675;
2010-10-31;6;119;28.803226;22.174839;16.86129;65.185484;
2010-11-30;0;0;29.45;23.252;16.743333;53.041667;
2010-12-31;13;83.2;27.912903;22.107742;17.551613;null;
2011-01-31;15;215.2;27.487097;21.655484;17.070968;78.6;
2011-02-28;16;230.5;26.046429;21.216429;17.289286;79.723214;
2011-03-31;12;152.7;27.2;21.763871;17.577419;78.58871;
2011-04-30;19;225.2;25.64;20.777241;17.273333;82.551724;
2011-05-31;22;296.3;23.090323;19.192903;16.603226;90.83871;
2011-06-30;13;96.4;23.24;18.817333;15.653333;80.65;
2011-07-31;15;98.2;22.412903;17.717419;14.783871;83.419355;
2011-08-31;9;52.6;25.058065;19.017419;14.76129;70.032258;
2011-09-30;9;41.9;25.756667;19.196667;14.803333;70.591667;
2011-10-31;5;108.7;28.358065;22.019355;16.445161;58.040323;
2011-11-30;8;65.6;27.87;22.066;16.743333;59.975;
2011-12-31;1;12;29.432258;23.210968;17.245161;null;
2012-01-31;9;35.5;28.474194;22.456129;17.5;64.548387;
2012-02-29;7;106.5;27.931034;22.077241;17.148276;60.956897;
2012-03-31;7;28.5;28.348387;22.374839;17.348387;58.653226;
2012-04-30;6;37.7;28.636667;22.664667;17.4;54.45;
2012-05-31;11;45.1;27.303226;21.661935;16.780645;60.346774;
2012-06-30;6;17.6;25.74;20.298667;15.953333;66.25;
2012-07-31;8;32.4;24.509677;18.808387;14.412903;73.298387;
2012-08-31;6;40.6;24.693548;18.427742;13.787097;69.209677;
2012-09-30;2;2;27.746667;20.842667;14.643333;55.133333;
2012-10-31;1;1;28.929032;22.101935;15.432258;53.435484;
2012-11-30;2;2.8;30.593333;23.913333;16.943333;49.591667;
2012-12-31;2;12.8;30.209677;24.010323;17.603226;null;
2013-01-31;9;37;29.580645;23.723871;18.558065;62.533333;
2013-02-28;5;42.9;30.228571;23.855714;17.946429;53.160714;
2013-03-31;9;103.6;29.7;23.769677;18.551613;58.112903;
2013-04-30;16;225.9;26.89;21.94;18.21;71.825;
2013-05-31;12;78.5;25.435484;20.673548;17.46129;79.056452;
2013-06-30;13;42.3;24.913333;19.968;16.443333;null;
2013-07-31;16;112.9;23.387097;18.649677;15.393548;79.403226;
2013-08-31;10;25.3;24.693548;19.067742;15.035484;74.258065;
2013-09-30;1;1.4;27.886667;21.22;15.653333;null;
2013-10-31;4;17.7;29.241935;22.5;16.380645;57.895161;
2013-11-30;2;19.8;28.823333;22.776667;16.87;59.308333;
2013-12-31;7;97.8;28.841935;23.038065;17.429032;null;
2014-01-31;null;63.2;28.767742;22.658065;17.409677;63.961538;
2014-02-28;null;150.4;26.728571;21.560714;17.446429;70.6875;
2014-03-31;null;248.9;27.003226;21.672903;17.745161;80.24;
2014-04-30;null;189.6;26.083333;21.134;17.736667;80.9;
2014-05-31;null;147.3;24.296774;19.88;16.893548;84.233871;
2014-06-30;null;43.3;24.393333;19.255333;15.853333;80.041667;
2014-07-31;null;70.6;24.122581;18.867742;15.083871;null;
2014-08-31;null;40.2;24.787097;18.780645;14.56129;71.870968;
2014-09-30;null;37.8;27.526667;20.830667;15.51;62.608333;
2014-10-31;null;71;27.451613;21.166452;16.116129;66.58871;
2014-11-30;null;111.8;28.91;22.733333;16.956667;60.083333;
2014-12-31;null;8.8;28.9;22.705806;17.158065;null;
2015-01-31;null;29.2;29.86129;23.049032;17.483871;65.967742;
2015-02-28;null;94.8;28.875;22.672143;17.728571;66.946429;
2015-03-31;null;189.8;28.190323;22.276774;17.351613;70.241935;
2015-04-30;null;99.8;28.183333;22.191333;17.793333;72.516667;
2015-05-31;null;106.6;26.977419;21.642581;17.593548;70.41129;
2015-06-30;null;73.5;24.3125;19.2825;16.076667;81.270833;
2015-07-31;null;179.6;23.396774;18.68129;15.725806;84.645161;
2015-08-31;null;29.6;24.967742;19.223871;14.845161;69.25;
2015-09-30;null;2.2;28.766667;22.251333;15.866667;52.95;
2015-10-31;null;2.2;30.074194;23.135484;16.374194;53.064516;
2015-11-30;null;0;31.62;24.586;17.28;46.508333;
2015-12-31;null;63;30.174194;23.650968;17.390323;null;
2016-01-31;null;289.6;26.893548;21.443871;17.103226;82.193548;
2016-02-29;null;59.6;27.624138;21.984828;17.044828;69.482759;
2016-03-31;null;254.9;29.109677;23.161935;18.112903;69.177419;
2016-04-30;null;42.8;27.58;22.152667;17.626667;69.8;
2016-05-31;null;28.1;26.967742;21.541935;16.977419;69.645161;
2016-06-30;null;11.6;26.09;20.464;16.16;67.025;
2016-07-31;null;21.8;25.380645;19.46;14.903226;63.806452;
2016-08-31;null;1.1;27.219355;20.745806;15.016129;54.677419;
2016-09-30;null;14;28.943333;22.425333;16.003333;50.15;
2016-10-31;null;10.8;30.570968;23.688387;16.574194;49.072581;
2016-11-30;null;0;31.08;24.466667;17.303333;50.475;
2016-12-31;null;11.2;null;null;17.609677;null;
2017-01-31;null;45.2;null;null;17.719355;null;
2017-02-28;null;56.2;29.342857;23.642143;18.067857;57.723214;
2017-03-31;null;null;28.804348;22.637391;18.265217;68.25;
2017-04-30;null;214.6;25.888889;21.221481;17.822222;75.666667;
2017-05-31;null;120.6;25.12963;null;17.585185;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;168.2;19.93871;null;14.109677;null;
2017-08-31;null;12.4;24.56129;null;14.925806;null;
2017-09-30;null;41.2;25.436667;null;14.706667;null;
2017-10-31;null;0;29.051613;null;15.835484;null;
2017-11-30;null;12.6;30.855172;null;17.096667;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;6;67.6;29.006452;null;17.91;null;
2018-02-28;16;196.6;27.703571;null;17.971429;null;
2018-03-31;8;101.2;26.577778;null;18.048148;null;

