Nome: PATOS
Codigo Estacao: 82791
Latitude: -7.05361111
Longitude: -37.27388888
Altitude: 251.65
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;6;33.4;36.196774;28.825161;22.396774;61.806452;
2008-02-29;11;126.6;34.72069;27.773103;21.503448;68.413793;
2008-03-31;28;488.2;32.335484;25.966452;20.816129;82.483871;
2008-04-30;14;97.4;31.526667;25.918;20.813333;82.3;
2008-05-31;9;189.4;31.419355;25.632258;20.364516;79.766667;
2008-06-30;null;null;null;null;null;null;
2008-07-31;8;22.3;31.132258;24.88129;19.064516;66.133333;
2008-08-31;2;.7;32.803226;26.028387;19.322581;61.129032;
2008-09-30;1;6;34.623333;27.251333;19.703333;55.933333;
2008-10-31;0;0;36.064516;28.187742;20.693548;55.387097;
2008-11-30;2;2.7;36.806667;28.986667;21.003333;55.066667;
2008-12-31;2;92.6;36.151613;28.867097;21.177419;52.645161;
2009-01-31;9;91.2;35.548387;28.294194;21.093548;60.032258;
2009-02-28;10;167.7;32.978571;26.668571;20.771429;75.821429;
2009-03-31;17;300.1;33.2;26.560645;20.696774;79.833333;
2009-04-30;23;508.5;32.188889;25.857778;20.47037;85.703704;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;6;32.2;32.496774;25.325161;17.86129;65.333333;
2009-09-30;0;0;35.293333;27.103333;18.893333;56.866667;
2009-10-31;1;6.4;36.519355;28.382581;19.532258;55.193548;
2009-11-30;1;4.2;36.673333;28.506;20.03;55.833333;
2009-12-31;5;6.3;36.090323;28.53871;20.658065;59.258065;
2010-01-31;11;130;33.880645;27.009032;20.016129;71.806452;
2010-02-28;5;29.4;35.289286;28.297143;20.675;63.857143;
2010-03-31;10;102.5;36.603226;28.780645;20.770968;64.967742;
2010-04-30;12;49.1;34.896667;27.820667;20.493333;71.533333;
2010-05-31;5;9;36.158065;28.532258;20.290323;60.774194;
2010-06-30;9;53.3;32.99;26.574;21.313333;68.233333;
2010-07-31;3;1.3;33.187097;26.406452;20.632258;62.322581;
2010-08-31;1;.4;33.987097;26.572258;20.187097;54.330645;
2010-09-30;0;0;34.836667;27.245333;20.68;52.475;
2010-10-31;3;68.6;36.029032;28.531613;21;54;
2010-11-30;1;.5;36.696667;29.009333;21.286667;49.9;
