Nome: CAMPINA GRANDE
Codigo Estacao: 82795
Latitude: -7.22555554
Longitude: -35.90472222
Altitude: 546.27
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;9;52.5;30.441935;24.58129;21.122581;79.798387;
2008-02-29;3;11;31.737931;25.332414;21.682759;77.293103;
2008-03-31;16;247.1;30.825806;24.985161;21.66129;81.596774;
2008-04-30;15;75.9;28.203333;23.921333;21.166667;86.408333;
2008-05-31;22;163.9;27.270968;23.256774;20.564516;85.846774;
2008-06-30;21;97.8;25.626667;21.678667;18.923333;85.85;
2008-07-31;23;129.6;24.945161;20.888387;18.264516;86.322581;
2008-08-31;22;87.1;25.925806;21.214194;18.354839;83.58871;
2008-09-30;7;33.6;27.98;22.624;19.453333;77.591667;
2008-10-31;7;10.8;29.783871;23.643871;20.183871;72.903226;
2008-11-30;3;1.2;30.896667;24.353333;20.646667;71.55;
2008-12-31;5;7.8;31.245161;24.788387;21.096774;73.33871;
2009-01-31;3;44.1;31.2;24.83871;21.193548;77.153226;
2009-02-28;13;244.6;29;24.140714;21.375;83.169643;
2009-03-31;9;44.7;29.509677;24.592258;21.845161;82.693548;
2009-04-30;18;149.9;29.183333;24.423333;21.73;86.85;
2009-05-31;22;110.9;27.435484;23.617419;21.270968;87.5;
2009-06-30;16;137.5;26.32;22.449333;19.836667;87.35;
2009-07-31;22;150.5;25.890323;21.774194;19.46129;87.967742;
2009-08-31;19;138.6;26.341935;21.794194;19.2;84.717742;
2009-09-30;9;21.2;28.17;22.76;19.893333;80.3;
2009-10-31;2;.4;30.077419;23.664516;20.235484;75.612903;
2009-11-30;8;6.2;30.5;24.068;20.73;75.316667;
2009-12-31;6;19.1;31.009677;24.687742;21.445161;78.266129;
2010-01-31;12;78.3;29.896774;24.432903;21.687097;81.814516;
2010-02-28;10;14.3;30.746429;25.212143;22.160714;80.214286;
2010-03-31;6;21.2;32.554839;25.905161;22.43871;78.435484;
2010-04-30;14;95.6;30.406897;25.126;22.231034;81.091667;
2010-05-31;6;27.1;30.183871;24.649677;21.464516;80.306452;
2010-06-30;18;233.5;27.32;22.986;20.45;84.791667;
2010-07-31;18;42.1;25.587097;21.563226;18.987097;86.443548;
2010-08-31;20;85.9;25.867742;21.187742;18.187097;84.967742;
2010-09-30;14;48.3;27.653333;22.092;18.95;79.65;
2010-10-31;6;16.2;30.751613;24.209032;20.751613;75.814516;
2010-11-30;4;4;31.373333;24.484667;20.833333;71.966667;
2010-12-31;6;37.2;30.758065;24.613548;21.274194;74.935484;
2011-01-31;10;53.5;30.609677;24.396129;21.122581;79;
2011-02-28;9;139.8;30.553571;24.761429;21.65;79.910714;
2011-03-31;8;137.3;30.354839;24.816774;21.816129;80.782258;
