Nome: JOAO PESSOA
Codigo Estacao: 82798
Latitude: -7.09527777
Longitude: -34.8486111
Altitude: 9.67
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;10;80.6;30.787097;27.867097;24.71;72.080645;
2008-02-29;6;8.8;31.551724;28.426897;24.624138;69.431034;
2008-03-31;16;299.3;31.058065;27.874194;24.04;74.540323;
2008-04-30;20;313.5;30.493333;27.262667;23.173333;77.933333;
2008-05-31;24;335.9;29.974194;26.454194;22.763333;81.935484;
2008-06-30;21;397.4;28.88;25.31;21.543333;79.633333;
2008-07-31;24;294.1;28.193548;24.85871;21.648387;80.193548;
2008-08-31;22;326.4;28.529032;24.994839;20.896667;78.379032;
2008-09-30;15;86.8;29.49;26.198;22.733333;74.483333;
2008-10-31;16;44.9;30.012903;26.878;23.709677;72.583333;
2008-11-30;6;6.6;30.573333;27.59;24.868966;70.091667;
2008-12-31;12;60.2;30.748387;27.821935;24.812903;69.975806;
2009-01-31;6;57.7;31.045161;28.005806;25.093548;71.08871;
2009-02-28;17;260.1;30.560714;27.557857;24.235714;75.178571;
2009-03-31;17;138.8;31.216129;28.157419;24.332258;73.072581;
2009-04-30;24;547.4;30.72;27.380667;23.503333;80.158333;
2009-05-31;26;521.2;29.745161;26.392903;22.896774;84.951613;
2009-06-30;26;303.9;29.533333;25.784;22.02;84.5;
2009-07-31;28;419.8;28.82381;24.993333;20.974194;86.153226;
2009-08-31;23;127.9;29.509677;25.757419;21.032258;76.548387;
2009-09-30;9;77.1;29.923333;26.596;22.216667;73.383333;
2009-10-31;5;19.3;30.567742;27.272903;23.306452;68.766129;
2009-11-30;10;45.8;30.816667;27.491333;23.726667;69.316667;
2009-12-31;10;25.5;31.070968;27.754839;23.864516;73.782258;
2010-01-31;16;110.9;30.819355;27.684516;23.819355;78.008065;
2010-02-28;12;76.9;31.707143;28.435;24.675;74.598214;
2010-03-31;9;30.9;32.464516;28.870323;24.712903;72.766129;
2010-04-30;18;165.9;31.763333;28.59;25.62;77.425;
2010-05-31;15;111.7;31.493548;27.89871;23.845161;74.975806;
2010-06-30;18;256.3;30.273333;26.267333;22.131034;79.483333;
2010-07-31;20;222.4;29.196774;25.463871;22.103226;78.290323;
2010-08-31;23;189;28.977419;24.741333;21.003333;78.032258;
2010-09-30;19;92.4;29.19;25.914;22.748276;74.383333;
2010-10-31;4;16;30.480645;27.507097;25.06129;73.16129;
2010-11-30;7;10.1;31;27.964;25.806667;70.591667;
2010-12-31;10;38.5;31.2;28.133548;25.706452;73.419355;
2011-01-31;18;223.4;31.012903;27.805161;25.135484;75.709677;
2011-02-28;13;222;31.328571;28.271429;25.3;74.330357;
2011-03-31;13;66.2;31.896774;28.62129;25.26129;74.048387;
2011-04-30;24;428;30.517241;27.155333;24.131034;82.516667;
2011-05-31;26;484.7;29.964516;26.532258;23.916129;84.379032;
2011-06-30;22;248.7;29.226667;25.868;23.313793;82.333333;
2011-07-31;26;425.8;28.270968;24.959355;22.490323;83.120968;
2011-08-31;21;215.5;29.106452;25.407097;22.380645;78.475806;
2011-09-30;16;36.5;29.716667;26.332667;23.34;70.841667;
2011-10-31;14;9.6;30.206452;27.24;24.909677;71.91129;
2011-11-30;13;45.2;30.61;27.697333;25.41;71.508333;
2011-12-31;9;8.4;31.016129;28.06;25.987097;70.298387;
2012-01-31;15;206.4;30.564516;27.503871;25.232258;75.790323;
2012-02-29;14;141.3;30.806897;27.64069;24.906897;74.672414;
2012-03-31;13;71;31.254839;28.067333;24.976667;73.580645;
