Nome: TARAUACA
Codigo Estacao: 82807
Latitude: -8.16027777
Longitude: -70.7686111
Altitude: 172.27
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;21;259.8;30.670968;25.661935;22.545161;86.516129;
2008-02-29;18;196.5;30.855172;25.570345;22.541379;85.818966;
2008-03-31;22;251.5;30.077419;25.439355;22.493548;86.58871;
2008-04-30;16;256;30.62;25.556667;22.223333;86.291667;
2008-05-31;16;167.9;29.574194;24.208387;20.445161;85.556452;
2008-06-30;8;25.1;29.3;23.579333;19.23;83.52;
2008-07-31;6;46.7;32.522581;25.263871;20.029032;81.596774;
2008-08-31;6;52.8;34.051613;26.901935;21.625806;78.814516;
2008-09-30;6;221.4;33.286667;26.145333;21.04;80.45;
2008-10-31;15;173.5;32.683871;26.709032;22.829032;82.693548;
2008-11-30;17;130.2;31.773333;26.437333;23.35;84.791667;
2008-12-31;22;318;31.329032;25.990323;23.093548;87.225806;
2009-01-31;22;289.6;30.490323;25.902581;23.022581;85.645161;
2009-02-28;19;287.7;30.378571;25.706429;22.985714;86.339286;
2009-03-31;25;469.8;30.858065;26.086452;23.2;86.951613;
2009-04-30;21;205;30.72;25.897333;23.246667;87.266667;
2009-05-31;15;221.8;31.393548;26.013548;22.964516;86.282258;
2009-06-30;10;66.1;30.143333;24.878667;20.963333;84.125;
2009-07-31;10;37.8;31.587097;25.142581;20.551613;83.298387;
2009-08-31;7;72.4;33.058065;26.016129;21.070968;78.903226;
2009-09-30;6;91.9;33.67;26.804667;21.876667;77.716667;
2009-10-31;10;114.2;33.43871;27.219355;22.996774;79.193548;
2009-11-30;16;264.2;32.32;26.672;23.493333;85.633333;
2009-12-31;22;351.8;31.148387;25.75871;22.96129;88.572581;
2010-01-31;19;263.2;31.6;26.268387;22.716129;86.475806;
2010-02-28;14;102.5;31.971429;26.717857;23.117857;86.6875;
2010-03-31;16;137.8;32.270968;26.612258;23.041935;87.016129;
2010-04-30;12;105.8;33.066667;27.029333;22.81;83.033333;
2010-05-31;9;157;31.232258;25.447742;21.451613;84.403226;
2010-06-30;6;31.2;31.666667;25.728;20.873333;83.025;
2010-07-31;7;50.8;30.8;23.905161;18.377419;81.225806;
2010-08-31;2;45.6;34.264516;25.693548;18.674194;72.564516;
2010-09-30;8;73;33.77;26.775333;21.22;76.883333;
2010-10-31;13;222.8;33.955556;25.916842;21.367742;80.693548;
2010-11-30;17;247.2;32.259259;25.894815;21.3;84.808333;
2010-12-31;17;205.6;31.703226;25.639355;21.33871;85.612903;
2011-01-31;24;344.8;30.906452;25.512258;21.641935;86.419355;
2011-02-28;23;264.8;30.271429;25.314074;21.6;87.169643;
2011-03-31;25;394.2;30.690323;25.530968;21.480645;87.33871;
