Nome: PAULISTANA
Codigo Estacao: 82882
Latitude: -8.13222221
Longitude: -41.14305555
Altitude: 376
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;5;25.1;34.632258;28.870323;24.003226;52.975806;
2008-02-29;9;163.2;32.772414;27.343448;22.855172;62.094828;
2008-03-31;19;141.7;30.174194;25.252903;21.974194;81.83871;
2008-04-30;13;89.6;30.716667;25.415333;22.06;78.633333;
2008-05-31;1;.1;31.212903;25.980645;21.677419;63.903226;
2008-06-30;1;1;31.266667;25.499333;20.776667;56.225;
2008-07-31;0;0;30.529032;25.103226;20.419355;57.943548;
2008-08-31;0;0;32.56129;26.719355;21.370968;60.491935;
2008-09-30;0;0;34.78;28.576;22.613333;56.091667;
2008-10-31;0;0;35.690323;29.716129;23.890323;51.290323;
2008-11-30;3;16;36.966667;31.194667;25.606667;46.583333;
2008-12-31;10;99.6;33.464516;27.784516;23.554839;66.637097;
2009-01-31;9;73.5;33.677419;27.876129;23.212903;66.427419;
2009-02-28;12;152.1;31.371429;26.156429;22.335714;78.142857;
2009-03-31;14;161.3;32.348387;26.445161;22.167742;80.129032;
2009-04-30;15;154.1;30.633333;25.464;22.066667;85.025;
2009-05-31;7;67.8;30.03871;25.17871;21.848387;79.75;
2009-06-30;4;5.6;31.046667;25.536;21.446667;65.141667;
2009-07-31;0;0;31.993333;26.176;21.446667;54.258333;
2009-08-31;null;null;null;null;null;null;
2009-09-30;0;0;35.846667;29.384;23.133333;39.558333;
2009-10-31;6;56.6;35.277419;29.09871;23.954839;50.629032;
2009-11-30;1;6.6;35.973333;29.853333;24.533333;44.108333;
2009-12-31;9;56.4;34.058065;28.420645;23.787097;56.080645;
2010-01-31;11;92.9;32.503226;26.872258;22.509677;67.346774;
2010-02-28;7;29.3;34.778571;28.649286;24.278571;56.3125;
2010-03-31;9;113.7;34.516129;28.292903;23.774194;63.048387;
2010-04-30;10;73.2;32.113333;26.97;23.05;69.6;
2010-05-31;1;1;34.483871;28.463226;23.409677;52.83871;
2010-06-30;3;25.7;31.468966;26.136;21.803448;61.183333;
2010-07-31;2;3.5;30.819355;25.547097;20.987097;64.330645;
2010-08-31;null;null;null;null;null;null;
2010-09-30;0;0;33.65;27.686;21.773333;42.65;
2010-10-31;4;50.5;35.822581;29.719355;24.083871;43.895161;
2010-11-30;4;75;35.81;29.71;24.193333;46.933333;
2010-12-31;9;55.6;32.035484;26.749032;22.43871;65.120968;
2011-01-31;6;81.3;32.435484;26.741935;22.280645;64.862903;
2011-02-28;12;196.1;32.385714;26.525714;22.844444;70.383929;
2011-03-31;21;197.5;31.274194;25.60129;21.664516;79.959677;
2011-04-30;7;68.8;31.293333;25.779333;22.023333;73.025;
2011-05-31;5;57.3;30.522581;25.365161;21.587097;67.459677;
2011-06-30;null;null;null;null;null;null;
2011-07-31;0;0;31.432258;25.489677;20.274194;51.91129;
2011-08-31;2;.7;33.216129;26.938065;20.774194;41.919355;
2011-09-30;0;0;33.5;27.254;21.046667;42.091667;
2011-10-31;1;.8;35.145161;29.122581;23.380645;44.508065;
2011-11-30;7;30.7;34.116667;28.375333;23.626667;52.325;
2011-12-31;4;25.4;35.274194;29.210968;23.941935;47.330645;
2012-01-31;5;13.9;34.896774;28.98129;24.258065;48.733871;
2012-02-29;7;63.8;32.734483;27.14;22.468966;58.706897;
2012-03-31;5;43.7;34.7;28.463871;23.46;54.145161;
2012-04-30;0;0;35.66;29.577333;23.906667;43.516667;
2012-05-31;0;0;34.309677;28.347097;22.903226;47.298387;
2012-06-30;null;null;null;null;null;null;
2012-07-31;0;0;31.980645;26.232258;20.516129;50.362903;
2012-08-31;1;.8;32.074194;26.004516;20.148387;47.653226;
2012-09-30;0;0;34.323333;28.07;21.56;41.266667;
2012-10-31;0;0;35.596774;29.429032;22.690323;39.556452;
2012-11-30;4;21.8;35.826667;30.052;24.82;47.6;
2012-12-31;7;40.3;35.674194;29.834839;24.345161;46.935484;
2013-01-31;11;58.3;33.806452;28.273548;23.077419;57.903226;
2013-02-28;1;.2;35.810714;29.963571;24.307143;43.857143;
2013-03-31;11;144.8;35.222581;29.165161;23.919355;54.419355;
2013-04-30;7;71.2;32.72;27.494667;22.52;61.3;
2013-05-31;2;2;33.354839;27.79871;22.296774;53.66129;
2013-06-30;null;null;null;null;null;null;
2013-07-31;2;1.1;31.909677;26.530323;21.612903;54.709677;
2013-08-31;null;0;32.709677;27.170323;21.877419;53.137097;
2013-09-30;null;0;34.87;28.758;22.793333;43.441667;
2013-10-31;null;0;35.577419;29.765806;24.025806;42.701613;
2013-11-30;8;63.7;34.846667;29.21;24.016667;50.391667;
2013-12-31;13;116;33.154839;27.730323;23.709677;64.967742;
2014-01-31;null;null;null;null;null;null;
2014-02-28;null;231.5;32.310714;27.49;23.171429;66.321429;
2014-03-31;null;37.2;32.270968;27.23871;23.535484;73.258065;
2014-04-30;null;44.8;32.8;27.324667;23.126667;71.533333;
2014-05-31;null;8.6;32.322581;26.938065;22.451613;66.290323;
2014-06-30;null;0;32.213333;26.875333;22.063333;60.724138;
2014-07-31;null;0;31.832258;26.265806;21.387097;61.148148;
2014-08-31;null;0;32.619355;26.75871;21.303226;56.064516;
2014-09-30;null;0;34.903333;28.840667;22.886667;49.366667;
2014-10-31;null;.8;35.290323;29.487742;23.941935;49.483871;
2014-11-30;null;155.4;34.803333;29.11;24.28;59.9;
2014-12-31;null;57;32.95;27.622;23.593548;67.266667;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;71.6;33.75;27.710714;22.682143;68.111111;
2015-03-31;null;286;32.051613;26.486452;21.812903;76.548387;
2015-04-30;null;34.3;32.793333;26.568667;21.516667;78.333333;
2015-05-31;null;3.2;33.232258;27.407742;22.270968;67.266667;
2015-06-30;null;0;32.476667;26.634;21.053333;63.6;
2015-07-31;null;0;32.290323;26.614194;20.767742;59.83871;
2015-08-31;null;0;33.035484;26.78;20.387097;52.451613;
2015-09-30;null;0;35.693333;29.138667;22.24;45.366667;
2015-10-31;null;1;36.035484;29.977419;23.290323;48.096774;
2015-11-30;null;0;37.796667;31.446;24.773333;45.733333;
2015-12-31;null;2.6;36.987097;30.921935;24.980645;51.225806;
2016-01-31;null;null;null;null;null;null;
2016-02-29;null;4.6;32.862069;26.813103;21.331034;70.214286;
2016-03-31;null;40.8;34.719355;28.367097;23.216129;69;
2016-04-30;null;0;35.32;29.408;23.226667;54.655172;
2016-05-31;null;2.2;34.309677;28.371613;22.432258;52.870968;
2016-06-30;null;.7;33.043333;27.04;20.593333;55.2;
2016-07-31;null;0;32.412903;26.316774;19.709677;50.322581;
2016-08-31;null;0;33.629032;27.325806;20.470968;46.133333;
2016-09-30;null;3.4;34.906667;29.390667;24.853333;43.3;
2016-10-31;null;1.9;36.074194;30.309677;24.803226;41.967742;
2016-11-30;null;27.1;36.3;30.491333;25.446667;45.366667;
2016-12-31;null;110.3;34.941935;29.463871;25.035484;53.1;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;83.3;33.203571;27.716429;23.55;66.703704;
2017-03-31;null;58.5;34.264516;28.141935;23.574194;66.166667;
2017-04-30;null;39.2;34.036667;28.549333;23.856667;62.033333;
2017-05-31;null;.7;33.8;28.509677;23.683871;62.966667;
2017-06-30;null;0;31.923333;26.606667;21.7;74.466667;
2017-07-31;null;.8;30.077419;24.911613;19.912903;64.933333;
2017-08-31;null;1.1;32.922581;27.013548;21.158065;62.129032;
2017-09-30;null;0;32.76;26.697333;20.906667;64.25;
2017-10-31;null;0;35.716129;29.490323;23.148387;55.6;
2017-11-30;null;54.6;35.71;29.83;24.423333;64.758621;
2017-12-31;null;32.3;35.522581;29.703226;24.348387;67;
2018-01-31;10;61.2;34.225806;28.490323;23.341935;69.580645;
2018-02-28;16;138.9;32.035714;26.659286;22.703571;84.25;
2018-03-31;14;114.8;32.112903;26.69871;22.541935;83.214286;
2018-04-30;null;null;null;null;null;null;
2018-05-31;1;.9;32.351613;26.843226;21.722581;64.774194;
2018-06-30;0;0;32.09;26.391333;20.913333;60.233333;
2018-07-31;0;0;31.829032;26.200645;20.512903;58.62069;
2018-08-31;0;0;33.390323;27.430323;21.23871;57.483871;
2018-09-30;0;0;35.14;29.074;22.776667;54.8;
2018-10-31;7;54.4;35.596774;29.435484;23.493548;60.535714;
2018-11-30;2;25.2;35.573333;30.038;24.4;63.5;
2018-12-31;11;169.2;31.493548;26.156774;21.506452;78.464286;
2019-01-31;4;15.9;34.82963;28.826667;23.214815;67.269231;
2019-02-28;8;105.3;33.7875;27.589167;22.791667;82;
2019-03-31;8;120;32.073077;26.423846;21.538462;84.423077;
2019-04-30;null;null;null;null;null;null;
2019-05-31;4;32.8;33.666667;27.32963;21.640741;74.04;
2019-06-30;2;9.3;31.688;25.932;20.516;67;
2019-07-31;null;0;31.822222;25.865185;19.792593;67.086957;
2019-08-31;null;0;32.52963;26.340741;19.551852;64.444444;
2019-09-30;null;0;35.256522;28.670435;21.448;66.130435;
2019-10-31;2;25.8;35.814815;29.362222;22.411111;66.115385;
2019-11-30;3;24.4;36.3;30.429231;25.530769;68.75;
2019-12-31;2;48.3;36.365385;30.543846;26.980769;65.36;
2020-01-31;13;226.3;31.496296;26.960741;23.766667;88.076923;
2020-02-29;9;184.8;31.492;26.708;23.328;89.708333;
2020-03-31;11;null;30.81875;26.108235;22.983333;93.133333;
2020-04-30;null;null;null;null;null;null;
2020-05-31;null;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;3;null;null;null;null;null;
2021-11-30;7;37.4;34.357692;27.755385;21.630769;83.230769;
2021-12-31;7;57.8;33.280769;27.460769;21.822222;81.846154;
2022-01-31;null;null;null;null;null;null;
2022-02-28;7;199.3;32.379167;26.249167;20.15;88.541667;
2022-03-31;8;15.8;31.676;26.045833;20.307692;86.12;
2022-04-30;4;42.4;33.012;26.3592;20.084615;83.92;
2022-05-31;5;83.7;32.646154;26.390769;20.176923;80.346154;
2022-06-30;2;5.6;31.265385;25.433846;20.419231;80.692308;
2022-07-31;null;null;31.143478;25.430476;20.641667;75.916667;
2022-08-31;1;1;32.677778;26.28;20.948148;72.333333;
2022-09-30;1;1.5;35.196;28.4976;22.542308;68.4;
2022-10-31;4;86.8;35.842308;29.542308;24.438462;63.769231;
2022-11-30;7;195.8;31.919231;26.563077;22.896154;84.115385;
2022-12-31;5;24.7;32.346154;26.756923;22.603704;83.538462;

