Nome: CABROBO
Codigo Estacao: 82886
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.78
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;49.9;34.693333;28.769032;23.432258;49.064516;
2008-02-29;8;173.2;31.703448;26.51931;22.282759;66.862069;
2008-03-31;21;212.4;31.012903;25.755484;22.283871;77.333333;
2008-04-30;14;225.9;30.04;25.545333;22.48;77.2;
2008-05-31;13;13.1;29.948387;25.158065;22.154839;65.774194;
2008-06-30;4;3.2;29.488;24.468;21.144;58.666667;
2008-07-31;null;null;null;null;null;null;
2008-08-31;5;5.1;30.703226;25.076774;20.567742;62.266667;
2008-09-30;1;.6;32.533333;26.816;21.166667;52.366667;
2008-10-31;1;.7;34.193548;28.044516;22.264516;49.741935;
2008-11-30;0;0;36.34;30.297333;23.966667;39.133333;
2008-12-31;6;23.6;34.722581;28.972258;23.870968;51.096774;
2009-01-31;6;205.9;34.748387;28.759355;23.787097;54.451613;
2009-02-28;9;87.9;32.357143;26.991429;23.071429;70.464286;
2009-03-31;6;108.7;33.187097;27.223226;23.235484;70.451613;
2009-04-30;12;269.5;30.86;25.897333;22.873333;81.833333;
2009-05-31;18;70;28.877419;24.777419;22.083871;82.548387;
2009-06-30;null;null;null;null;null;null;
2009-07-31;6;4.1;30.56129;24.770667;20.477419;68.7;
2009-08-31;10;10;31.051613;25.177419;20.496774;66.8;
2009-09-30;1;13.6;33.986667;27.553333;21.68;51.607143;
2009-10-31;5;30.4;34.619355;28.790323;23.232258;50.83871;
2009-11-30;1;8;35.626667;29.436;23.606667;44.785714;
2009-12-31;6;33;34.825806;28.812;23.929032;54.258065;
2010-01-31;7;34.3;33.8;27.582581;22.870968;63.903226;
2010-02-28;5;64.4;34.921429;28.713571;23.764286;59.814815;
2010-03-31;9;50.6;34.825806;28.799355;24.003226;62.903226;
2010-04-30;6;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;5;3.8;31.7;25.609333;20.48;59.517241;
2010-10-31;6;106.8;34.406452;28.26;22.787097;53.354839;
2010-11-30;null;null;null;null;null;null;
2010-12-31;10;86.1;33.322581;27.507742;22.883871;61.166667;
2011-01-31;7;71.4;33.122581;27.159355;22.567742;63.580645;
2011-02-28;6;157.5;33.578571;27.683571;23.185714;64.428571;
2011-03-31;14;92.9;32.735484;26.805806;22.748387;73.096774;
2011-04-30;8;26.5;33.413333;27.256;22.673333;67.575;
2011-05-31;13;111.7;29.96129;25.107097;21.522581;69.774194;
2011-06-30;7;7.5;30.553333;24.919333;20.466667;60.383333;
2011-07-31;15;24.9;29.574194;23.914194;19.83871;64.783333;
2011-08-31;4;5.4;31.535484;25.208387;19.677419;52.177419;
2011-09-30;3;4.8;31.5;25.524667;20.433333;52;
2011-10-31;4;8.2;33.929032;28.069677;22.541935;51.959677;
2011-11-30;2;25.2;34.046667;28.293333;23.24;46.916667;
2011-12-31;1;50;34.935484;29.092903;23.651613;42.975806;
2012-01-31;3;11.5;34.490323;28.777419;23.754839;45.080645;
2012-02-29;4;117.7;33.110345;27.675172;22.786207;52.905172;
2012-03-31;3;16.8;34.309677;28.276774;23.006452;53.774194;
2012-04-30;0;0;34.243333;28.307333;22.913333;47.816667;
2012-05-31;2;11.8;32.570968;26.909677;22.174194;51.798387;
2012-06-30;3;3.4;31.36;26.004;21.286667;58.816667;
2012-07-31;7;15.5;29.716129;24.394194;20.064516;60.685484;
2012-08-31;9;8.7;30.264516;24.316774;19.63871;56.967742;
2012-09-30;2;1;32.226667;26.25;20.553333;49.308333;
2012-10-31;0;0;33.458065;27.562581;22;46.540323;
2012-11-30;3;7.9;35.826667;29.952;24.36;40.616667;
2012-12-31;1;.8;35.225806;29.644516;24.167742;41.919355;
2013-01-31;9;49.3;34.348387;28.844516;24.148387;50.451613;
2013-02-28;null;0;35.107143;29.517143;24.164286;43.044643;
2013-03-31;null;.8;35.535484;29.862581;24.812903;45.951613;
2013-04-30;null;57.9;33.876667;28.342;24;55.325;
2013-05-31;null;5;32.135484;26.849677;22.683871;58.66129;
2013-06-30;null;.8;31.56;26.332;22;60.525;
2013-07-31;null;14.1;30.2;24.863871;20.658065;60.733871;
2013-08-31;null;1.8;30.812903;25.316774;20.825806;56.548387;
2013-09-30;null;0;32.866667;26.957333;21.446667;50.958333;
2013-10-31;null;5.2;34.180645;28.200645;22.793548;45.056452;
2013-11-30;null;1.3;33.926667;28.573333;23.533333;45.208333;
2013-12-31;null;200;33.980645;28.372258;23.729032;52.419355;
2014-01-31;null;6.8;33.967742;28.520645;23.606452;46.854839;
2014-02-28;null;28.4;33.264286;27.944286;23.35;53.785714;
2014-03-31;null;12.6;33.916129;28.441935;23.96129;53.403226;
2014-04-30;null;48.7;32.493333;27.134667;23.173333;63.441667;
2014-05-31;null;19.9;31.196774;26.049032;22.058065;62.75;
2014-06-30;null;9;30.693333;25.5;21.3;64.155172;
2014-07-31;null;8.9;30.316129;24.808387;20.387097;58.701613;
2014-08-31;null;14.9;30.283871;24.725806;19.883871;56.798387;
2014-09-30;null;5.4;32.966667;26.944;21.5;51.366667;
2014-10-31;null;3;33.503226;27.669032;22.412903;48.024194;
2014-11-30;null;31.2;34.12;28.579333;23.666667;48.775;
2014-12-31;null;46.4;33.412903;28.034194;23.393548;52.58871;
2015-01-31;null;4;34.774194;29.256129;23.845161;42.508065;
2015-02-28;null;68;34.028571;28.241429;23.564286;53.366071;
2015-03-31;null;119.3;33.741935;28.390323;23.670968;53.903226;
2015-04-30;null;16.3;34.376667;28.580667;23.993333;51.691667;
2015-05-31;null;7.2;33.212903;27.644516;23.303226;55.580645;
2015-06-30;null;12.6;30.746667;25.465333;21.5;66.866667;
2015-07-31;null;22.4;30.548387;24.991613;20.948387;60.967742;
2015-08-31;null;1.2;31.690323;25.654839;20.503226;50.58871;
2015-09-30;null;.4;34.016667;27.804667;21.666667;42.558333;
2015-10-31;null;0;34.993548;28.827742;23.012903;41.41129;
2015-11-30;null;0;37.273333;30.88;24.553333;32.066667;
2015-12-31;null;16;35.909677;30.025161;24.490323;40.524194;
2016-01-31;null;216.3;32.393548;27.120645;23.56129;67.943548;
2016-02-29;null;38.2;33.37931;27.574483;22.896552;56.922414;
2016-03-31;null;81.8;35.245161;29.489677;24.309677;53.66129;
2016-04-30;null;1.6;34.213333;28.558667;23.68;52.175;
2016-05-31;null;180.2;32.822581;27.260645;22.664516;54.854839;
2016-06-30;null;24.4;30.846667;25.174667;20.793333;67.141667;
2016-07-31;null;3.6;30.877419;24.969677;19.96129;55.201613;
2016-08-31;null;2.6;31.851613;25.78129;19.993548;49.548387;
2016-09-30;null;.2;33.66;27.702667;22.073333;44.491667;
2016-10-31;null;1;35.23871;29.093548;23.309677;40.241935;
2016-11-30;null;.8;35.733333;29.745333;24.026667;39.65;
2016-12-31;null;50.4;35.412903;29.530968;24.354839;43.758065;
2017-01-31;null;0;35.180645;29.493548;24.141935;42.024194;
2017-02-28;null;94;34.492857;28.97;23.935714;50.768519;
2017-03-31;null;16.8;34.622581;29.148387;24.283871;50.158333;
2017-04-30;null;16.6;33.666667;28.292;23.833333;53.475;
2017-05-31;null;5.4;31.909677;26.897419;22.903226;58.951613;
2017-06-30;null;45;29.326667;24.548;21.026667;73.908333;
2017-07-31;null;25.8;27.980645;23.043226;19.109677;64.322581;
2017-08-31;null;0;30.913043;25.186957;20.335714;54.565217;
2017-09-30;null;13.8;30.906667;null;20.393333;null;
2017-10-31;null;.3;33.658065;null;22.167742;null;
2017-11-30;null;8.3;35.366667;null;24.213333;null;
2017-12-31;null;8.4;35.5;null;24.812903;null;
2018-01-31;6;48.8;34.270968;null;24.219355;null;
2018-02-28;13;209;32.682143;26.798333;23.407143;69.96875;
2018-03-31;2;38.8;33.058065;27.703871;23.735484;62.177419;
2018-04-30;1;null;null;null;null;null;
2018-05-31;3;1.2;31.548387;26.465161;21.993548;64.166667;
2018-06-30;1;.2;30.746667;25.396;20.666667;65.183333;
2018-07-31;1;.1;30.496774;24.955484;20.245161;64;
2018-08-31;0;0;31.793548;25.989032;20.516129;56.967742;
2018-09-30;0;0;33.333333;27.42;21.766667;55.266667;
2018-10-31;2;4.4;35.167742;29.213548;23.63871;52.354839;
2018-11-30;1;2;35.3;29.590667;24.213333;51.933333;
2018-12-31;9;82.7;33.283871;27.274194;22.832258;67.709677;
2019-01-31;3;.9;34.503226;28.987742;24.03871;55.322581;
2019-02-28;7;68.8;34.492857;28.664286;24.071429;63.035714;
2019-03-31;4;null;33.917647;28.02;23.4;60.470588;
2019-04-30;4;9.4;33.45;27.861667;23.725;61.782609;
2019-05-31;3;51;33.012903;27.467742;22.993548;56.645161;
2019-06-30;9;21.7;30.56;25.293333;21.5;67.758621;
2019-07-31;10;41.2;29.283871;24.154194;20.258065;69.28;
2019-08-31;3;1.5;30.470968;24.749032;20.058065;59.806452;
2019-09-30;0;0;33.26;27.241333;21.72;49.7;
2019-10-31;2;1.2;34.651613;28.678065;22.877419;44.645161;
2019-11-30;2;1.4;35.98;29.897333;24.006667;42.633333;
2019-12-31;2;40.4;35.548387;29.743871;24.309677;45.689655;
2020-01-31;7;86.2;34.355556;28.571111;23.837037;63.444444;
2020-02-29;10;148.6;32.808;27.532;23.432;72.08;
2020-03-31;12;93;32.161538;26.901538;23.376923;80.64;
2020-04-30;13;126.3;32.407692;26.773846;23.138462;77.673077;
2020-05-31;6;38.2;31.515385;26.247692;22.715385;74.846154;
2020-06-30;7;11;30.3;24.946154;20.915385;73.317308;
2020-07-31;3;1.6;30.207407;24.520741;19.785185;63.37037;
2020-08-31;3;1.3;31.192308;25.3496;20.148148;55.46875;
2020-09-30;null;0;32.8;26.770769;20.992308;49.490385;
2020-10-31;1;1.2;35.577778;29.4664;23.2;44.555556;
2020-11-30;8;50.2;33.384;27.570435;23;62.84;
2020-12-31;3;18.6;34.45;28.6752;23.644444;50.807692;
2021-01-31;3;28.2;33.232;28.0872;23.696;57.68;
2021-02-28;8;150.4;33.691667;27.866667;23.341667;65.291667;
2021-03-31;5;43;33.961538;27.830769;23.481481;61.153846;
2021-04-30;12;118.6;32.123077;26.8576;22.911111;71.538462;
2021-05-31;2;3.2;30.9;25.623077;21.846154;73.884615;
2021-06-30;1;8.4;31.125;25.241667;20.88;70.16;
2021-07-31;6;17.4;30.576923;24.876;20.576923;69.038462;
2021-08-31;2;3;31.084615;25.3175;20.256;58.730769;
2021-09-30;null;0;33.96;27.761667;21.96;51.72;
2021-10-31;2;20.4;35.1;29.1024;23.619231;51.076923;
2021-11-30;3;34.8;35.061538;29.320769;24.392308;55.307692;
2021-12-31;6;91.8;33.288462;28.0688;23.953846;67.730769;
2022-01-31;5;24.6;32.7;27.301538;23.130769;69.384615;
2022-02-28;4;32.6;33.725;28.101667;23.208333;62.333333;
2022-03-31;8;145.6;32.768;27.2264;23.281481;73;
2022-04-30;8;89.6;32.511538;26.805385;22.761538;71.230769;
2022-05-31;7;39.9;31.476923;26.113077;22.265385;72.192308;
2022-06-30;2;null;null;null;null;null;
2022-07-31;7;18;29.192308;23.593846;19.415385;74.115385;
2022-08-31;4;9.6;30.392593;24.351852;19.437037;60.407407;
2022-09-30;null;0;33.015385;26.423077;20.761538;51.384615;
2022-10-31;1;2.8;34.284615;28.204615;22.484615;48.653846;
2022-11-30;10;269.3;32.315385;27.0104;22.7;69.615385;
2022-12-31;6;101.9;32.888889;26.894074;22.362963;65.333333;

