Nome: ARCO VERDE
Codigo Estacao: 82890
Latitude: -8.4336111
Longitude: -37.05527777
Altitude: 683.91
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;null;null;null;null;null;null;
2008-02-29;10;88.4;32;25.053103;19.296552;66.275862;
2008-03-31;13;179.6;29.864286;24.158462;19.740741;76.888889;
2008-04-30;13;85.3;27.993333;23.124138;19.17;81.62069;
2008-05-31;23;154.3;25.864516;21.691613;18.429032;86.387097;
2008-06-30;17;54.5;24.773333;20.228276;17.09;87.066667;
2008-07-31;21;107.2;23.922581;19.487742;16.377419;84.83871;
2008-08-31;15;45.6;25.972414;20.368571;16.606897;83.586207;
2008-09-30;7;12.4;28.56;21.773333;16.56;74.6;
2008-10-31;6;5.7;31.141935;23.414194;17.641935;68.741935;
2008-11-30;0;0;33.213793;25.212143;18.403448;61.428571;
2008-12-31;4;21.2;32.931034;25.456552;19.193103;64.310345;
2009-01-31;null;null;null;null;null;null;
2009-02-28;10;89.3;30.118519;24.272593;19.374074;73.814815;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;25;256.9;26.571429;22.341429;19.535714;87.555556;
2009-06-30;16;78.7;25.14;21.126;18.21;89.233333;
2009-07-31;18;80.5;25.625806;20.751613;17.322581;86.419355;
2009-08-31;16;97.7;25.916129;20.748387;17.048387;85.766667;
2009-09-30;1;2.3;29.793333;22.726;17.49;74.733333;
2009-10-31;2;null;31.979167;24.530435;18.4875;67.916667;
2009-11-30;2;4.8;32.466667;24.82;18.84;67.533333;
2009-12-31;6;36.1;31.851613;25.002581;19.454839;70.903226;
2010-01-31;9;143.3;29.696774;23.786452;19.116129;78.806452;
2010-02-28;10;90.1;31.507143;24.747143;19.778571;75.928571;
2010-03-31;8;67.6;32.264516;25.52129;19.783871;73.366667;
2010-04-30;null;null;null;null;null;null;
2010-05-31;3;34.7;29.619355;23.547742;18.716129;82.258065;
2010-06-30;21;210.6;25.466667;21.088667;17.863333;89.733333;
2010-07-31;17;73.5;25.116129;20.384516;17.351613;87.225806;
2010-08-31;15;31.9;25.606452;20.027097;16.480645;82.483871;
2010-09-30;9;37.3;27.846667;21.422667;16.866667;75.896552;
2010-10-31;6;62.1;31.077419;23.931613;18.796774;71.032258;
2010-11-30;0;0;32.286667;24.754667;18.92;64.793103;
2010-12-31;4;31.2;31.587097;24.95871;19.783871;67.833333;
2011-01-31;8;36.2;31.451613;24.632258;19.570968;70.064516;
2011-02-28;10;58;31.335714;24.58;19.964286;72.785714;
2011-03-31;12;36.1;31.825806;24.967742;19.622581;71.16129;
2011-04-30;19;89;29.633333;23.772;19.833333;80.533333;
2011-05-31;18;229.8;26.096774;22.101935;19.583871;87.903226;
2011-06-30;null;null;null;null;null;null;
2011-07-31;17;78;24.832258;20.081333;17.080645;88.206897;
2011-08-31;10;39.2;27.451613;20.874839;16.196774;77;
2011-09-30;7;22.4;27.88;21.417333;17.16;78.241667;
2011-10-31;4;18.2;30.935484;23.72129;18.558065;74.258065;
2011-11-30;4;21.8;31.14;24.109333;19.226667;73.325;
2011-12-31;0;0;32.967742;25.283871;19.103226;65.830645;
2012-01-31;8;91.2;31.335484;24.530323;19.590323;70.225806;
2012-02-29;5;7.7;31.124138;24.329655;19.417241;71.474138;
2012-03-31;2;10;32.283871;24.929032;19.396774;68.104839;
2012-04-30;2;38.7;31.493333;24.566667;19;69.708333;
2012-05-31;6;43.7;30.425806;23.833548;18.745161;75.048387;
2012-06-30;7;27.3;28.233333;22.456667;18.396667;75;
2012-07-31;15;59.3;26.251613;20.709677;16.964516;86.169355;
2012-08-31;15;37.9;26.983871;20.848387;16.758065;81.862903;
2012-09-30;5;5.9;29.84;22.490667;17.083333;75.425;
2012-10-31;1;7.7;31.16129;23.752258;18.551613;72.854839;
2012-11-30;2;10.9;33.46;25.734667;19.506667;67.666667;
2012-12-31;1;.9;33.154839;25.644516;20.006452;68.556452;
2013-01-31;3;3.2;33.045161;26.118065;20.577419;66;
2013-02-28;2;1.4;33.335714;25.962857;20.528571;69.3125;
2013-03-31;1;17.4;33.23871;26.29871;21.177419;69.41129;
2013-04-30;12;98;31.46;25.350667;20.72;75.35;
2013-05-31;9;56.4;28.270968;22.952903;19.254839;82.862903;
2013-06-30;15;60.4;26.933333;21.869333;18.593333;82.8;
2013-07-31;20;117.1;25.151613;20.496774;17.387097;88.693548;
2013-08-31;13;31.4;26.619355;20.900645;17.116129;84.629032;
2013-09-30;4;11.9;29.84;22.48;17.56;76.25;
2013-10-31;4;20;31.625806;24.067097;18.712903;72.846774;
2013-11-30;3;9.8;31.455172;24.309333;19.18;74.408333;
2013-12-31;6;90.7;31.729032;25.141935;19.867742;72.072581;
2014-01-31;null;3;31.974194;24.885161;19.648387;71.548387;
2014-02-28;null;65.8;31.257143;24.647143;19.85;74.857143;
2014-03-31;null;17.6;31.864516;25.068387;20.209677;76.314516;
2014-04-30;null;86.3;30.49;24.463333;19.86;79.866667;
2014-05-31;null;129.4;26.877419;22.2;18.906452;88.241935;
2014-06-30;null;59.6;26.986667;21.464;17.813333;83.566667;
2014-07-31;null;55.9;26.8;20.973548;16.954839;86.096774;
2014-08-31;null;59.3;26.535484;20.623226;16.454839;84.475806;
2014-09-30;null;44.4;29.226667;22.415333;17.783333;80.558333;
2014-10-31;null;106.4;28.535484;22.514839;18.474194;81.741935;
2014-11-30;null;7.9;31.48;24.370667;18.92;77.108333;
2014-12-31;null;7.9;31.922581;24.72129;19.409677;75.225806;
2015-01-31;null;1.1;32.625;25.286897;19.721429;71.37931;
2015-02-28;null;70.9;31.385714;24.917143;19.914286;77.303571;
2015-03-31;null;35.7;32.270968;25.158065;20.051613;76.943548;
2015-04-30;null;10;32.973333;25.802667;19.946667;72.883333;
2015-05-31;null;20;31.129032;24.736129;19.987097;84.524194;
2015-06-30;null;67.2;27.306667;21.998;18.456667;90.5;
2015-07-31;null;91.3;25.648387;21.110968;18.212903;93.072581;
2015-08-31;null;28.5;27.196774;21.249677;16.932258;85.225806;
2015-09-30;null;15;30.95;23.305333;17.703333;79.516667;
2015-10-31;null;0;31.883871;24.423226;18.996774;78.83871;
2015-11-30;null;0;33.910714;26.016429;19.175862;66.892857;
