Nome: ALTO PARNAIBA
Codigo Estacao: 82970
Latitude: -9.10833333
Longitude: -45.9486111
Altitude: 285.05
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-24
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;18;102.7;31.848387;25.956129;21.925806;78.967742;
2008-02-29;25;208.9;31.968966;25.336552;21.168966;83.12069;
2008-03-31;25;417.1;30.687097;24.954194;21.009677;86.201613;
2008-04-30;15;140.9;31.986667;25.628;20.733333;80.516667;
2008-05-31;7;18.2;32.806452;25.866452;20.170968;70.822581;
2008-06-30;0;0;32.813333;24.354667;16.38;60.766667;
2008-07-31;0;0;33.06129;24.092903;16.074194;57.919355;
2008-08-31;0;0;null;null;17.464516;49.524194;
2008-09-30;0;0;null;null;20.24;49.175;
2008-10-31;6;24.2;null;null;22.280645;51.887097;
2008-11-30;15;141.6;null;null;21.913333;73.191667;
2008-12-31;22;213.9;null;null;22.003226;80.403226;
2009-01-31;19;125.1;null;null;21.712903;79.16129;
2009-02-28;21;305.3;null;null;21.85;84.696429;
2009-03-31;23;298.6;null;null;22.135484;83.991935;
2009-04-30;24;418.7;30.95;25.724;22.506667;84.541667;
2009-05-31;13;189.4;30.693548;25.291613;21.480645;80.177419;
2009-06-30;2;4.1;32.426667;25.290667;19.236667;68.816667;
2009-07-31;0;0;33.625806;24.773548;16.935484;62.548387;
2009-08-31;1;2.8;34.993548;26.09871;18.532258;57.032258;
2009-09-30;6;29.1;36.89;28.307333;21.226667;56.675;
2009-10-31;20;180.4;33.109677;26.900645;22.764516;75.951613;
2009-11-30;13;83.6;33.493333;27.338;22.686667;74.991667;
2009-12-31;20;210.9;31.66129;25.957419;22.274194;80.685484;
2010-01-31;19;195.4;31.683871;25.948387;22.064516;81.040323;
2010-02-28;16;116.5;33.007143;26.800714;22.896429;78.696429;
2010-03-31;17;225.4;33.074194;26.786452;22.945161;81.927419;
2010-04-30;13;187.8;32.71;26.802;22.226667;77.433333;
2010-05-31;6;43.3;34.612903;27.090968;21.390323;70.556452;
2010-06-30;0;0;33.713333;25.837333;19.476667;61.925;
2010-07-31;1;1.5;33.848387;25.243226;17.867742;55.330645;
2010-08-31;0;0;35.083871;25.259355;16.577419;49.209677;
2010-09-30;0;0;36.916667;27.967333;20.113333;43.041667;
2010-10-31;15;141.8;35.319355;27.905161;22.277419;65.306452;
2010-11-30;10;128.5;33.98;27.408;22.736667;71.733333;
2010-12-31;11;89.2;32.348387;26.520645;22.396774;75.959677;
2011-01-31;26;233.7;31.974194;25.86129;22.045161;80.120968;
2011-02-28;24;359;30.378571;24.689286;21.657143;86.392857;
2011-03-31;23;285.1;31.687097;25.720645;22.029032;83.596774;
2011-04-30;14;90;32.356667;26.074;21.763333;79.325;
2011-05-31;5;54.6;32.954839;25.952903;20.5;71.209677;
2011-06-30;0;0;33.693333;24.952;17.883333;62.808333;
2011-07-31;0;0;33.732258;24.734839;17.258065;57.137097;
2011-08-31;0;0;35.858065;26.021935;17.503226;52.064516;
2011-09-30;0;0;36.77;26.986667;18.473333;42.233333;
2011-10-31;14;156.9;34.722581;27.545161;22.225806;66.233871;
2011-11-30;18;221.4;30.82;25.782;21.963333;79.433333;
2011-12-31;17;153.8;32.4;26.373548;22.058065;77.879032;
2012-01-31;21;209.4;30.251613;25.171613;21.880645;82.137097;
2012-02-29;17;213.9;30.755172;25.104828;21.624138;83;
2012-03-31;21;172.8;32.16129;25.785806;21.793548;82.459677;
2012-04-30;8;54.5;33.633333;26.622;21.536667;75.408333;
2012-05-31;4;44.5;33.987097;26.219355;20.416129;68.814516;
2012-06-30;0;0;34.38;25.234667;17.863333;64.316667;
2012-07-31;0;0;34.793548;24.716774;16.306452;58.41129;
2012-08-31;0;0;34.93871;25.658065;17.803226;48.814516;
2012-09-30;0;0;37.46;27.838667;19.556667;45.95;
2012-10-31;4;26.8;38.035484;29.975333;23.490323;52.774194;
2012-11-30;21;245.3;32.673333;26.766667;23.206667;79.341667;
2012-12-31;15;151.7;33.735484;27.089677;22.454839;75.258065;
2013-01-31;21;286.7;31.645161;26.079355;22.516129;81.887097;
2013-02-28;10;47.8;33.342857;27.017143;22.703571;78.642857;
2013-03-31;1;190;33.045161;26.821935;22.83871;80.741935;
2013-04-30;null;101.7;32.536667;26.530667;22.403333;80.333333;
2013-05-31;null;46.5;33.380645;26.567742;21.664516;76.959677;
2013-06-30;null;21;34.136667;26.019333;19.983333;71.533333;
2013-07-31;null;0;34.509677;25.532903;18.096774;59.419355;
2013-08-31;null;0;35.951613;26.178065;17.348387;51.991935;
2013-09-30;null;9.2;37.583333;28.715862;20.86;46.891667;
2013-10-31;null;69.2;35.780645;28.670667;22.706452;57.927419;
2013-11-30;null;181.7;33.736667;27.097333;22.376667;71.283333;
2013-12-31;null;355.6;32.022581;26.361935;22.722581;78.830645;
2014-01-31;null;187.9;33.13871;26.5;21.806452;75.645161;
2014-02-28;null;108.1;32.067857;26.368571;22.564286;78.5625;
2014-03-31;null;222.9;32.174194;26.199355;22.322581;81.677419;
2014-04-30;null;111.2;32.983333;26.468667;22.09;79.058333;
2014-05-31;null;42.3;33.7;26.409677;21.080645;70.685484;
2014-06-30;null;0;33.88;25.314;18.35;65.65;
2014-07-31;null;.3;34.680645;25.9;18.212903;56.604839;
2014-08-31;null;0;35.722581;26.023871;17.803226;51.701613;
2014-09-30;null;1;37.38;28.615862;21.04;46.441667;
2014-10-31;null;19.9;36.587097;29.143226;23.1;52.677419;
2014-11-30;null;168.6;34.173333;27.878667;22.876667;68.758333;
2014-12-31;null;162.5;32.958065;26.906452;22.351613;72.233871;
2015-01-31;null;186.3;33.377419;26.805806;22.054839;74.41129;
2015-02-28;null;221.8;31.725;25.631429;22.007143;82.169643;
2015-03-31;null;256.3;31.73871;25.823871;22.267742;85.08871;
2015-04-30;null;161.1;32.426667;26.443333;22.783333;82.716667;
2015-05-31;null;42.9;33.267742;26.549032;21.954839;74.556452;
2015-06-30;null;0;33.92;25.665333;18.913333;64.608333;
2015-07-31;null;0;35.058065;26.163226;18.477419;56.766129;
2015-08-31;null;0;36.151613;26.071724;17.406452;51.314516;
2015-09-30;null;4.9;38.73;28.328276;19.553333;46.866667;
2015-10-31;null;16.6;38.46129;29.804667;22.648387;49.741935;
2015-11-30;null;121.2;35.443333;28.518;23.226667;66.066667;
2015-12-31;null;39.5;36.709677;28.896;23.277419;65.580645;
2016-01-31;null;504.3;31.103226;26.205161;23.096667;83.145161;
2016-02-29;null;36.7;34.572414;27.798621;22.217241;69.181034;
2016-03-31;null;200.3;34.145161;27.720645;23.516129;77.120968;
2016-04-30;null;24.5;34.123333;27.524828;22.56;72.05;
2016-05-31;null;6;35.516129;27.518065;21.209677;64.435484;
2016-06-30;null;38;34.49;26.27;19.976667;63.9;
2016-07-31;null;0;35.335484;25.460645;17.219355;53.370968;
2016-08-31;null;0;37.293548;27.213548;18.529032;46.943548;
2016-09-30;null;16.2;37.56;28.984;22.106667;49.091667;
2016-10-31;null;49.2;36.745161;29.115484;23.164516;57.395161;
2016-11-30;null;131.4;35.633333;28.547586;22.76;62.816667;
2016-12-31;null;175.7;33.951613;27.308276;21.283871;70.596774;
2017-01-31;null;205;32.780645;26.453333;21.303226;76.354839;
2017-02-28;null;243.3;31.260714;25.245926;20.621429;85.196429;
2017-03-31;null;219.3;32.883871;25.906452;20.006452;82.766129;
2017-04-30;null;205.1;33.61;26.736667;20.573333;76.841667;
2017-05-31;null;12;34.190323;26.685806;19.593548;69.451613;
2017-06-30;null;3.1;33.95;25.068667;16.356667;64.283333;
2017-07-31;null;0;32.925806;24.158065;15.66129;58.048387;
2017-08-31;null;0;36.56129;26.489677;17;52.233871;
2017-09-30;null;0;37.006667;28.554667;20.996667;42.775;
2017-10-31;null;3;38.422581;30.227742;22.3;43.016129;
2017-11-30;null;215.5;33.816667;27.618;23.083333;72.05;
2017-12-31;null;139.2;32.870968;26.673548;22.670968;76.854839;
2018-01-31;null;195.1;32.635484;26.027742;21.76129;78.008065;
2018-02-28;null;185.8;31.014286;25.695;22.332143;83.321429;
2018-03-31;null;290.1;32.087097;26.274839;22.503226;80.854839;
2018-04-30;null;108.7;32.496667;26.344;21.86;76.441667;
2018-05-31;null;0;34.125806;26.663871;20.464516;64.879032;
2018-06-30;null;0;33.863333;25.073333;17.29;59.858333;
2018-07-31;null;0;34.406452;24.655484;15.641935;54.209677;
2018-08-31;null;9.1;36;26.713548;18.496774;53.572581;
2018-09-30;null;4;37.34;28.866;20.936667;48.333333;
2018-10-31;null;123.7;35.554839;28.250968;22.616129;65.919355;
2018-11-30;null;150.2;33.283333;27.303333;23.156667;73.741667;
2018-12-31;null;178.3;32.570968;26.427097;22.077419;74.677419;
2019-01-31;null;101;32.580645;26.547097;22.245161;76.016129;
2019-02-28;null;202.1;31.996429;26.185714;22.003571;82.214286;
2019-03-31;null;228;32.53871;26.42;22.745161;81.935484;
2019-04-30;null;153.1;32.763333;26.71;22.446667;82.016667;
2019-05-31;null;75.3;33.620833;26.754167;21.45;75.645833;
2019-06-30;null;null;33.81;25.751;18.67;66.2375;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;null;null;null;null;null;null;
2019-11-30;null;null;null;null;null;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;null;null;null;null;null;
2020-02-29;null;null;null;null;null;null;
2020-03-31;19;257.9;32;26.306667;23.05;83.714286;
2020-04-30;11;93.3;33.047619;27.032381;22.828;75.309524;
2020-05-31;null;59.9;33.445455;27.134286;21.864;70.285714;
2020-06-30;2;10.2;33.066667;25.525;19.008;70.364583;
2020-07-31;0;0;34.196296;24.8688;17.114815;64.259259;
2020-08-31;1;1.3;35.741667;26.180833;17.34;57.375;
2020-09-30;0;0;37.784615;28.397692;19.046154;49.423077;
2020-10-31;8;67;37.644;28.5925;19.676;58.36;
2020-11-30;3;null;null;null;null;null;
2020-12-31;10;52;34.018519;27.006154;20.944444;77.222222;
2021-01-31;11;66.9;33.430769;26.508462;20.730769;82.115385;
2021-02-28;18;345.3;31.325;25.137391;20.983333;89.956522;
2021-03-31;9;88.1;33.05;26.013846;20.662963;83.666667;
2021-04-30;11;106.4;32.845833;25.9888;20.370833;85.916667;
2021-05-31;1;9.3;34.203846;25.6496;17.75;76.884615;
2021-06-30;null;0;34.765385;25.128;15.626923;71.730769;
2021-07-31;null;null;34.819048;24.644762;14.628571;65.904762;

