Nome: CARACOL
Codigo Estacao: 82976
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;10;110.5;31.754839;25.474839;20.096774;62.266129;
2008-02-29;14;143.8;31.386207;24.957241;19.965517;65.982759;
2008-03-31;24;313;28.780645;23.593548;19.658065;78.169355;
2008-04-30;11;105.7;28.74;23.389333;19.066667;76.466667;
2008-05-31;5;6.1;29.374194;22.904516;17.580645;65.814516;
2008-06-30;0;0;29.113333;21.522667;14.733333;59.433333;
2008-07-31;0;0;29.741935;22.109677;14.948387;56.951613;
2008-08-31;0;0;31.670968;23.990968;16.290323;48.725806;
2008-09-30;0;0;34.08;26.072;18.546667;44.991667;
2008-10-31;1;.6;34.903226;27.47871;19.696774;39.620968;
2008-11-30;7;120.3;33.706667;27.182667;20.7;47.591667;
2008-12-31;14;125.5;30;24.477419;19.870968;69.620968;
2009-01-31;12;244.2;29.258065;23.989677;19.283871;67.741935;
2009-02-28;9;99.2;29.357143;23.982857;19.242857;70.444444;
2009-03-31;7;131.3;30.329032;24.286452;19.541935;74.540323;
2009-04-30;16;177.9;28.58;23.766667;19.786667;83.075;
2009-05-31;14;81.8;28.36129;23.332903;19.722581;77.548387;
2009-06-30;0;0;29.266667;22.534667;17.08;66.366667;
2009-07-31;0;0;31.174194;22.637419;15.419355;56.774194;
2009-08-31;0;0;32.406452;24.397419;16.954839;48.586538;
2009-09-30;0;0;34.786667;26.488;18.54;47.04;
2009-10-31;11;173.1;32.393548;25.992258;20.548387;67.233333;
2009-11-30;1;6.2;32.96;26.117333;19.493333;60.633333;
2009-12-31;13;127.6;31.387097;24.974194;20.212903;78.387097;
2010-01-31;11;93.2;30.580645;24.525161;19.632258;79.774194;
2010-02-28;6;38.3;33.378571;26.681429;21.285714;70.714286;
2010-03-31;12;135.7;30.741935;25.011613;20.593548;72.032258;
2010-04-30;8;93.5;30.146667;24.410667;19.74;70.285714;
2010-05-31;1;5.4;33.225806;25.156129;18.303226;56.870968;
2010-06-30;null;null;null;null;null;null;
2010-07-31;0;0;31.116129;23.932903;17.406452;47.935484;
2010-08-31;0;0;32.16129;24.043871;16.225806;45.967742;
2010-09-30;0;0;33.573333;26.150667;18.88;44.413793;
2010-10-31;6;32.9;34.574194;27.210323;20.612903;55.258065;
2010-11-30;5;28.4;34.333333;27.321333;20.686667;55.034483;
2010-12-31;11;69.6;30.651613;24.892903;19.690323;72.419355;
2011-01-31;10;59;30.541935;24.775484;19.954839;73.774194;
2011-02-28;14;151.7;30.521429;24.461429;19.957143;76.678571;
2011-03-31;18;203.8;29.012903;23.72129;19.606452;83.466667;
2011-04-30;6;25.4;29.6;23.694667;19.333333;77.7;
2011-05-31;2;3.8;30.206452;23.802581;18.296774;70.967742;
2011-06-30;null;null;null;null;null;null;
2011-07-31;0;0;31.129032;23.232258;15.458065;60.833333;
2011-08-31;2;12.6;33.109677;24.341935;16.251613;57.516129;
2011-09-30;0;0;33.48;25.308;16.753333;56.482759;
2011-10-31;5;63.8;33.735484;26.797419;20.03871;66.290323;
2011-11-30;11;67.2;31.54;25.144;19.8;75.766667;
2011-12-31;4;38.2;33.683871;26.245161;19.419355;66.354839;
2012-01-31;10;43.6;32.567742;25.596129;19.909677;69.483871;
2012-02-29;11;45.3;32.241379;25.246897;19.227586;71.034483;
2012-03-31;4;5.2;34.890323;27.283871;20.245161;59.645161;
2012-04-30;0;0;35.366667;27.374667;19.473333;55.586207;
2012-05-31;0;0;34.16129;26.632258;18.948387;57.3;
2012-06-30;null;null;null;null;null;null;
2012-07-31;0;0;32.135484;24.685161;17.180645;63.741935;
2012-08-31;0;0;31.56129;24.220645;16.548387;63.322581;
2012-09-30;0;0;34.353333;26.553333;18.353333;58.8;
2012-10-31;0;0;35.43871;28.307097;20.63871;58.655172;
2012-11-30;11;75.2;32.5;26.18;20.713333;74.266667;
2012-12-31;3;28.2;33.993548;26.855484;19.845161;64.967742;
2013-01-31;16;182.2;31.741935;25.370323;20.206452;81.333333;
2013-02-28;1;.8;34.242857;27.198571;19.985714;63.035714;
2013-03-31;9;114.8;33.432258;26.516129;20.580645;75.290323;
2013-04-30;7;83.9;31.24;25.188;19.706667;71.933333;
2013-05-31;1;15.6;32.277419;25.369032;18.890323;64.3;
2013-06-30;null;null;null;null;null;null;
2013-07-31;1;1.8;32.03871;24.612903;16.851613;58.7;
2013-08-31;null;null;32.74;24.954;16.9;56.35;
2013-09-30;null;0;34.566667;26.936;19.066667;53.464286;
2013-10-31;3;50.6;34.748387;27.526452;20.064516;53.709677;
2013-11-30;9;111.4;33.433333;26.322667;19.466667;65.8;
2013-12-31;15;253.8;29.890323;24.52;19.245161;79.466667;
2014-01-31;null;1.4;32.554839;25.553548;18.432258;65.758621;
2014-02-28;null;110.6;31.621429;25.392857;19.664286;71.392857;
2014-03-31;null;81.6;30.696774;24.485161;19.03871;78.607143;
2014-04-30;null;185.4;30.373333;24.16;18.406667;77.793103;
2014-05-31;null;15.8;30.896774;23.80129;16.774194;68.225806;
2014-06-30;null;0;32.233333;24.086667;15.706667;60.535714;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;1.2;32.703226;24.565161;15.954839;54.903226;
2014-09-30;null;0;34.5;26.512;18.126667;55.310345;
2014-10-31;null;12.2;34.541935;27.385806;19.709677;58.903226;
2014-11-30;null;83.2;32.893333;26.162667;19.24;68.758621;
2014-12-31;null;87.3;30.651613;25.172;20.86;77.6;
2015-01-31;null;35.6;33.864516;26.861935;21.462069;65.870968;
2015-02-28;null;72;31.992857;25.399286;19.325;69.296296;
2015-03-31;null;51;31.677419;25.096774;18.929032;69.366667;
2015-04-30;null;101.7;32.88;25.669333;19.533333;69.517241;
2015-05-31;null;30.8;31.987097;25.184516;18.858065;64.037037;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;0;32.425806;25.098065;18.341935;54.482759;
2015-08-31;null;0;33.083871;25.396129;18.129032;49.533333;
2015-09-30;null;0;35.68;27.361333;18.38;44.433333;
2015-10-31;null;21.6;36.006452;28.504516;19.819355;46.83871;
2015-11-30;null;61.8;35.913333;28.396;20.346667;48.133333;
2015-12-31;null;4.4;36.167742;28.56;20.096774;43.9;
2016-01-31;null;295.7;29.632258;24.469677;19.406452;74.607143;
2016-02-29;null;34.6;31.648276;25.183448;18.02069;64.607143;
2016-03-31;null;19.2;34.651613;27.100645;19.309677;54.62069;
2016-04-30;null;6.9;34.88;27.001333;18.94;50.466667;
2016-05-31;null;0;34.219355;26.298065;17.845161;49.096774;
2016-06-30;null;null;null;null;null;null;
2016-07-31;null;null;null;null;null;null;
2016-08-31;null;null;null;null;null;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;null;null;null;null;null;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;null;null;null;null;null;null;
2017-01-31;null;null;null;null;null;null;
2017-02-28;null;null;null;null;null;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;null;null;null;null;null;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;null;null;null;null;null;null;
2017-09-30;null;0;32.906667;null;17.64;null;
2017-10-31;null;6.4;35.258065;null;20.025806;null;
2017-11-30;null;105.6;32.693333;null;19.326667;null;
2017-12-31;null;77.5;32.346667;null;19.086667;null;
2018-01-31;12;104.2;32.322581;null;18.451613;null;
2018-02-28;15;141.4;29.176923;null;18.607143;null;
2018-03-31;13;130.8;29.529032;null;18.329032;null;
2018-04-30;4;21.8;29.946667;null;16.98;null;
2018-05-31;0;0;31.774194;null;15.896774;null;
2018-06-30;0;0;31.7;null;14.22;null;
2018-07-31;0;0;31.722581;null;13.432258;null;
