Nome: REMANSO
Codigo Estacao: 82979
Latitude: -9.62583332
Longitude: -42.07722221
Altitude: 397.39
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-07-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;2;26.6;33.719355;28.161935;23.358065;66.024194;
2008-02-29;9;221.8;33.237931;27.836552;23.103448;69.155172;
2008-03-31;17;150.8;30.43871;25.969032;22.293548;81.943548;
2008-04-30;10;231;30.136667;25.810667;22.203333;83.258333;
2008-05-31;1;2.4;30.13871;26.127097;22.33871;72.975806;
2008-06-30;1;.3;29.526667;25.126667;21.053333;69.091667;
2008-07-31;0;0;29.254839;24.58129;20.603226;66.524194;
2008-08-31;0;0;30.874194;25.793548;21.406452;63.669355;
2008-09-30;0;0;32.686667;27.249333;22.513333;58.766667;
2008-10-31;0;0;34.209677;28.384516;23.277419;57.75;
2008-11-30;5;34.6;34.593333;29.464;24.576667;67.125;
2008-12-31;7;46.4;32.512903;27.432903;22.893548;73.346774;
2009-01-31;12;274.9;32.341935;27.221935;22.877419;75.991935;
2009-02-28;6;115.2;31.178571;26.682857;22.232143;77.464286;
2009-03-31;10;168.4;31.46129;26.684516;22.5;80.475806;
2009-04-30;13;185.3;29.373333;25.605333;22.253333;87.658333;
2009-05-31;3;31.2;29.519355;26.074839;22.883871;79.362903;
2009-06-30;1;2.7;29.92;25.653333;21.853333;74.725;
2009-07-31;0;0;30.5;25.9;21.964516;69.919355;
2009-08-31;0;0;31.054839;26.365806;22.341935;65.548387;
2009-09-30;0;0;33.37;28.260667;23.566667;60.316667;
2009-10-31;8;156.7;32.070968;27.735484;23.990323;71.75;
2009-11-30;0;0;32.9;28.196667;23.75;66.266667;
2009-12-31;9;49.6;31.964516;27.589032;23.7;74.532258;
2010-01-31;4;115.2;31.796774;27.262581;23.225806;75.669355;
2010-02-28;5;44.9;33.778571;28.81;25.064286;69.616071;
2010-03-31;9;148.7;31.813333;27.47871;23.383333;80.701613;
2010-04-30;9;104.1;31.1;27.138667;23.473333;78.841667;
2010-05-31;0;0;32.087097;27.700645;23.23871;71.064516;
2010-06-30;3;17.7;30.38;26.058667;22.306667;64.325;
2010-07-31;3;3.1;29.783871;25.150323;21.412903;60.685484;
2010-08-31;0;0;30.796774;25.173548;20.516129;54.669355;
2010-09-30;0;0;32.04;26.534;21.763333;50.925;
2010-10-31;7;28.9;34.174194;28.829032;24.296774;50.758065;
2010-11-30;3;5.9;34.426667;28.969333;24.3;50.708333;
2010-12-31;11;170.7;31.783871;26.879355;22.593548;67.129032;
2011-01-31;6;33.7;31.364516;26.943226;22.503226;67.177419;
2011-02-28;8;93.7;31.742857;27.257143;23.271429;67.517857;
2011-03-31;19;280.5;30.822581;26.017419;22.274194;79.83871;
2011-04-30;4;23.6;31.146667;26.966667;23.32;70.033333;
2011-05-31;1;3.2;30.719355;26.631613;22.964516;64.75;
2011-06-30;1;1.4;30.766667;25.839333;21.716667;62.541667;
2011-07-31;0;0;29.854839;25.318065;21.3;61.435484;
2011-08-31;1;.8;31.613333;26.300645;21.803333;55.516129;
2011-09-30;0;0;31.914815;26.435333;21.518519;51.975;
2011-10-31;4;72.4;32.829032;27.794839;23.574194;57.387097;
2011-11-30;4;72.9;31.313333;27.064;23.113793;62.141667;
2011-12-31;3;20.9;32.603226;27.871613;23.753333;57.790323;
2012-01-31;2;8.2;32.854839;28.182581;24.029032;56.951613;
2012-02-29;7;79.3;31.562069;27.343448;23.448276;62.112069;
2012-03-31;2;15.6;33.458065;28.755484;24.141935;55.354839;
2012-04-30;0;0;33.733333;28.911333;24.316667;52.525;
2012-05-31;0;0;32.235484;27.571613;23.464516;56.790323;
2012-06-30;0;0;31.133333;26.625333;22.86;57.2;
2012-07-31;0;0;30.564516;25.553548;21.325806;57.282258;
2012-08-31;0;0;30.687097;25.105161;20.335484;54.459677;
2012-09-30;0;0;32.962069;27.158;22.241379;47.775;
2012-10-31;0;0;34.332258;28.540645;23.290323;45.596774;
2012-11-30;9;106.4;32.86;27.922667;23.78;64.091667;
2012-12-31;3;null;34.147826;28.102727;23.231818;59.163043;
2013-01-31;7;47.4;33.003226;27.827097;23.954839;65.612903;
2013-02-28;0;0;35.139286;29.067143;24.575;55.366071;
2013-03-31;6;78.3;34.674194;28.956774;24.425806;58.685484;
2013-04-30;7;87.1;32.54;27.579333;23.596667;63.8;
2013-05-31;null;0;32.216129;27.134194;23.363333;61.120968;
2013-06-30;null;0;31.733333;26.642667;22.473333;59.291667;
2013-07-31;2;1.6;31.490323;25.731613;21.26129;58.58871;
2013-08-31;null;0;31.893548;25.888387;21.106452;57.951613;
2013-09-30;null;0;33.623333;27.086;22.186667;55.158333;
2013-10-31;3;9.8;34.629032;28.34129;23.506452;51.298387;
2013-11-30;7;68.7;33.311111;27.75;23.403333;57.3;
2013-12-31;13;219.9;30.183333;25.932;22.274194;74.669355;
2014-01-31;null;0;32.464516;27.567742;23.354839;60.903226;
2014-02-28;null;68.2;32.010714;27.470714;23.603571;64.553571;
2014-03-31;null;75.4;32.129032;27.423226;23.612903;67.5;
2014-04-30;null;173.7;30.576667;26.536;22.68;70.766667;
2014-05-31;null;.4;30.206452;26.190323;22.587097;65.927419;
2014-06-30;null;0;30.513333;25.531333;21.583333;63.008333;
2014-07-31;null;3.2;29.906452;25.122581;21.270968;62.201613;
2014-08-31;null;3.6;30.625806;25.275333;20.764516;58.201613;
2014-09-30;null;0;32.853333;26.851333;21.983333;56.033333;
2014-10-31;null;0;33.290323;27.707742;23.283871;55.145161;
2014-11-30;null;61.8;32.86;27.514667;23.193333;63.691667;
2014-12-31;null;151;31.183871;26.540645;22.66129;67.532258;
2015-01-31;null;1.3;33.580645;27.876129;23.332258;57.379032;
2015-02-28;null;37.5;32.971429;27.463571;23.507143;64.0625;
2015-03-31;4;26.8;33.522581;28.250323;23.716129;58.459677;
2015-04-30;null;81.4;33.053333;27.860667;23.436667;62.933333;
2015-05-31;null;.5;32.316129;27.114839;22.641935;59.379032;
2015-06-30;null;.1;31.366667;25.983333;21.503333;57.508333;
2015-07-31;null;1.8;31.425806;25.605161;20.709677;55.879032;
2015-08-31;null;0;31.841935;25.762581;20.822581;50.677419;
2015-09-30;null;0;34.513333;28.158;22.54;43.691667;
2015-10-31;null;.8;35.303226;29.290968;23.977419;44.846774;
2015-11-30;4;12.3;36.213333;30.343448;24.966667;45.283333;
2015-12-31;null;0;36.251613;30.425806;25.5;44.532258;
2016-01-31;null;398.5;30.474194;26.365806;22.867742;76.709677;
2016-02-29;null;45;31.548276;27.010345;22.924138;66.068966;
2016-03-31;null;7.3;32.877419;28.194194;24.345161;63.040323;
2016-04-30;null;0;33.163333;28.163448;24.196667;57.825;
2016-05-31;null;10;32.83871;27.304516;22.777419;57.177419;
2016-06-30;null;0;31.89;26.253333;21.68;54.766667;
2016-07-31;null;0;31.477419;25.249032;20.180645;54.967742;
2016-08-31;null;0;32.587097;26.324516;21.183871;48.733871;
2016-09-30;null;13.5;33.41;27.432;22.313333;48.091667;
2016-10-31;4;12.3;34.322581;28.585161;23.758065;47.919355;
2016-11-30;null;105.9;33.916667;28.248;23.393333;55.033333;
2016-12-31;null;9.8;33.722581;28.278065;23.812903;56.443548;
2017-01-31;null;8;35.24;29.687742;24.525806;50.540323;
2017-02-28;null;85.7;32.748148;27.711429;23.571429;64.830357;
2017-03-31;null;83.6;33.53871;27.939355;23.164516;62.709677;
2017-04-30;null;74.2;32.533333;27.556667;23.373333;62.858333;
2017-05-31;null;3.7;32.745161;27.405806;23.041935;56.693548;
2017-06-30;null;4.7;31.926667;26.222667;21.376667;57;
2017-07-31;0;0;29.893548;24.573548;19.422581;57.701613;
2017-08-31;null;0;32.358065;26.497419;21.193548;51.798387;
2017-09-30;null;0;31.673333;26.174;20.973333;54.075;
2017-10-31;null;0;34.483871;28.803226;23.103226;48.548387;
2017-11-30;3;21.7;34.62;29.088;23.92;56.325;
2017-12-31;null;22.1;34.633333;29.15871;24.277419;57.233871;
2018-01-31;null;27.9;33.870968;28.585161;23.874194;60.233871;
2018-02-28;null;197.1;30.932143;26.477143;22.742857;75.973214;
2018-03-31;null;258.7;30.435484;26.346452;22.512903;78.362903;
2018-04-30;5;25.1;30.013333;25.704667;21.933333;73.041667;
2018-05-31;null;0;31.258065;26.149032;21.554839;67.266129;
2018-06-30;null;0;30.826667;25.279333;20.786667;65.658333;
2018-07-31;null;0;30.922581;25.242581;20.448387;60.322581;
2018-08-31;null;0;32.235484;26.396129;21.319355;60.258065;
2018-09-30;null;0;33.55;27.876667;22.93;53.891667;
2018-10-31;2;26.7;34.641935;29.054194;24.280645;53.475806;
2018-11-30;2;4.5;33.846667;28.653333;24.373333;54.416667;
2018-12-31;10;125.7;31.525806;26.510323;22.303226;65.741935;
2019-01-31;null;0;34.632258;29.111613;24.174194;51.354839;
2019-02-28;9;95.3;33.525926;28.203571;23.503704;63.339286;
2019-03-31;null;106.8;32.051613;27.29871;23.103226;67.403226;
2019-04-30;7;40.7;32.02;27.492;23.453333;67.666667;
2019-05-31;null;.7;33.16129;28.139355;23.758065;58.177419;
2019-06-30;null;0;31.373333;26.406667;22.326667;56.358333;
2019-07-31;null;0;30.870968;25.888387;21.580645;56.564516;
2019-08-31;null;0;31.309677;25.788667;21.13;56.282258;
2019-09-30;null;0;33.56;27.754667;22.666667;52.975;
2019-10-31;null;0;34.425806;28.729677;23.935484;49.991935;
2019-11-30;null;9.2;35.033333;29.742667;24.84;46.7;
2019-12-31;null;16.9;35.153333;29.741333;24.83871;45.266667;
2020-01-31;null;106.8;31.496774;26.929032;22.880645;70.419355;
2020-02-29;null;75.3;31.724138;27.585;23.489286;66.974138;
2020-03-31;null;355.3;29.806452;25.965806;22.951613;81.427419;
2020-04-30;null;72.3;29.616667;26.402667;23.09;75.533333;
2020-05-31;null;3.1;29.735484;26.112903;22.412903;71.927419;
2020-06-30;2;11;29.653333;25.566;22;66.016667;
2020-07-31;2;2.4;29.8;25.277333;21.006452;62.209677;
2020-08-31;1;4.8;30.354839;25.603226;21.6;60.854839;
2020-09-30;null;0;32.073077;26.960833;22.4;60.375;
2020-10-31;3;61.2;33.718519;28.359259;23.718519;57.740741;
2020-11-30;null;205.3;30.291667;26.185;22.416;75.44;
2020-12-31;2;.6;32.140741;27.28;22.67037;68.115385;
2021-01-31;2;31.6;32.476923;27.410769;23.138462;68.68;
2021-02-28;11;null;31.016667;26.306957;22.608696;78.583333;
2021-03-31;6;null;32.158333;27.075;22.556522;69.814815;
2021-04-30;5;30.3;31.938462;27.241538;23.161538;73.153846;
2021-05-31;null;0;31.461538;26.591667;22.3;68.423077;
2021-06-30;1;7.9;30.915385;26.013077;21.676923;72.615385;
2021-07-31;1;null;30.47619;25.298;21;70.1;

