Nome: PETROLINA
Codigo Estacao: 82983
Latitude: -9.3886111
Longitude: -40.52333332
Altitude: 372.54
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;2;74.6;34.509677;null;null;42.830645;
2008-02-29;8;151.2;33.12069;27.8704;null;54.275862;
2008-03-31;16;275.2;31.364516;26.417419;21.86;66.951613;
2008-04-30;7;75.9;30.77;26.224;22.33;68.041667;
2008-05-31;3;3.1;30.525806;25.389677;20.887097;62.33871;
2008-06-30;3;5.7;29.653333;24.273333;18.98;58.308333;
2008-07-31;1;.2;28.835484;23.530968;18.358065;58.572581;
2008-08-31;0;0;30.93871;24.978065;19.190323;53.33871;
2008-09-30;0;0;32.863333;26.709333;20.05;46.65;
2008-10-31;0;0;34.187097;28.025806;21.045161;41.951613;
2008-11-30;0;0;35.58;29.631333;22.517241;38.183333;
2008-12-31;6;63.1;33.464516;27.939355;22.348387;51.919355;
2009-01-31;4;40.4;34.167742;28.189677;22.883871;50.443548;
2009-02-28;11;140.4;32.139286;27.005714;22.132143;62.196429;
2009-03-31;7;145.4;33.070968;27.771613;23.993548;61.927419;
2009-04-30;15;181.2;30.64;26.454667;23.48;71.85;
2009-05-31;11;59.3;29.077419;25.28;22.658065;70.346774;
2009-06-30;6;8.1;29.573333;24.852;21.466667;65.258333;
2009-07-31;2;3.4;30.293548;25.139355;20.951613;57.612903;
2009-08-31;3;3.4;31.093548;25.612903;21.080645;54.290323;
2009-09-30;0;0;34.076667;28.059333;22.496667;43.35;
2009-10-31;9;106.1;33.429032;28.216774;23.506452;52.645161;
2009-11-30;0;0;34.58;29.058;23.736667;44.975;
2009-12-31;9;60;33.867742;28.572903;24.216129;51.387097;
2010-01-31;7;28.3;33.490323;28.172258;23.609677;54.25;
2010-02-28;7;28.4;34.775;29.124286;24.489286;52.705357;
2010-03-31;6;26.8;34.26129;28.844516;24.670968;56.798387;
2010-04-30;7;84.2;32.133333;27.14;23.62;63.725;
2010-05-31;1;9.6;32.964516;27.554194;23.058065;54.354839;
2010-06-30;7;10.3;29.886667;25.110667;21.473333;62.108333;
2010-07-31;5;21.6;29.087097;24.18129;20.354839;62.919355;
2010-08-31;0;0;30.122581;24.372903;19.845161;54.548387;
2010-09-30;2;4;31.813333;25.936667;20.81;49.925;
2010-10-31;3;54;34.232258;28.524516;23.209677;46.241935;
2010-11-30;1;1.1;35.193103;29.590667;23.810345;41.983333;
2010-12-31;8;151.2;32.729032;27.589032;23.5;57.919355;
2011-01-31;6;62.2;32.403226;27.607097;23.174194;56.975806;
2011-02-28;7;66.4;33.260714;27.791429;23.489286;58.3125;
2011-03-31;12;63.5;32.677419;27.460645;23.548387;64.975806;
2011-04-30;10;47;32.523333;26.974;22.973333;62.333333;
2011-05-31;4;9.4;30.706452;25.969677;22.309677;64.419355;
2011-06-30;0;0;30.583333;25.364;21.01;58.458333;
2011-07-31;0;0;29.954839;24.785161;20.222581;55.056452;
2011-08-31;2;5.8;31.722581;26.01871;20.525806;52.379032;
2011-09-30;0;0;31.963333;26.262667;20.836667;51.991667;
2011-10-31;3;9.4;33.445161;27.99871;22.8;55.33871;
2011-11-30;3;8.5;33.41;28.149333;23.39;57.083333;
2011-12-31;2;10.7;34.719355;29.267742;23.993548;57.08871;
2012-01-31;2;28.9;34.467742;29.139355;24.009677;54.16129;
2012-02-29;6;85.2;32.972414;27.765517;22.972414;57.387931;
2012-03-31;1;.2;34.880645;29.295484;23.790323;46.467742;
2012-04-30;0;0;34.356667;28.836667;23.493333;46.133333;
2012-05-31;1;.4;32.348387;27.257419;22.803226;52.741935;
2012-06-30;3;2.3;31.52;26.326;21.6;53.45;
2012-07-31;2;1.2;30.122581;24.811613;20.276667;57.572581;
2012-08-31;2;1.8;30.316667;24.736129;19.85;52.75;
2012-09-30;0;0;32.703333;26.822667;21.103333;47.133333;
2012-10-31;0;0;33.83871;28.181935;22.180645;49.177419;
2012-11-30;4;19.3;34.733333;29.347333;24.65;52.983333;
2012-12-31;1;1.8;35.029032;29.672258;24.351613;48.637097;
2013-01-31;4;30;34.390323;29.404516;24.703226;59.129032;
2013-02-28;0;0;35.407143;30.150714;24.589286;45.089286;
2013-03-31;3;54.8;35.36129;30.306452;24.96129;48.008065;
2013-04-30;5;33.8;33.3;28.526;24.37;57.133333;
