Nome: PAULO AFONSO
Codigo Estacao: 82986
Latitude: -9.378106
Longitude: -38.226771
Altitude: 255.04
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2015-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;0;0;34.916129;27.945806;22.564516;58.846774;
2008-02-29;4;55;33.751724;27.915862;23.048276;62.922414;
2008-03-31;12;97;32.632258;27.002581;22.793548;69.774194;
2008-04-30;9;59.6;32.083333;26.839333;22.87;72.35;
2008-05-31;18;64.6;29.758065;25.043226;21.73871;77.741935;
2008-06-30;17;32.6;28.306667;23.234667;19.473333;77.441667;
2008-07-31;16;92.1;27.493548;22.455484;19.041935;78.717742;
2008-08-31;15;36.2;29.212903;23.530323;19.803226;73.201613;
2008-09-30;5;2.2;31.643333;25.338;20.626667;64.6;
2008-10-31;3;2.6;34.029032;26.691613;21.751613;61.145161;
2008-11-30;0;0;36.313333;29.624;24.096667;54.425;
2008-12-31;4;153.7;34.654839;28.339355;23.216129;59.024194;
2009-01-31;2;5.7;34.977419;29.638065;25.206452;58.725806;
2009-02-28;3;4.1;34.7;28.674286;24.357143;60.285714;
2009-03-31;2;8.1;35.96;30.308667;25.13871;55.080645;
2009-04-30;14;169.5;31.668;27.072;23.386667;70.4;
2009-05-31;24;188.4;28.464516;24.793548;22.254839;83.5;
2009-06-30;21;67.1;27.953333;23.690667;20.77;83.616667;
2009-07-31;19;37.1;28.064516;23.257419;20.154839;81.516129;
2009-08-31;20;54.3;28.670968;23.316774;19.777419;79.887097;
2009-09-30;3;1.7;32.453333;25.51;20.64;66.366667;
2009-10-31;4;72.8;34.36129;27.394839;21.632258;60.032258;
2009-11-30;1;5.3;35.19;27.779333;21.806667;54.566667;
2009-12-31;4;38.8;34.780645;27.927742;22.651613;59.766129;
2010-01-31;3;34.6;34.245161;27.7;22.474194;61.870968;
2010-02-28;7;36.5;35.121429;28.072143;23.017857;62.419643;
2010-03-31;8;54.9;34.980645;28.403226;23.412903;64.217742;
2010-04-30;10;147.9;31.923333;26.876;22.893333;73.875;
2010-05-31;6;59.4;31.06129;25.88;21.66129;74.645161;
2010-06-30;18;51.9;28.324138;23.762667;20.036667;79.766667;
2010-07-31;18;41.4;28.2;23.012258;19.303226;78.943548;
2010-08-31;17;32.5;28.86129;22.954839;18.806452;72.830645;
2010-09-30;10;28.2;30.536667;24.107333;19.516667;68.875;
2010-10-31;3;13.5;34.129032;27.040645;21.622581;62.346774;
2010-11-30;0;0;35.59;28.088667;22.243333;54.95;
2010-12-31;5;17.9;34.654839;27.883871;22.493548;60.508065;
2011-01-31;8;31.7;34.583871;27.674839;22.416129;60.064516;
2011-02-28;4;43;34.682143;27.697143;22.553571;63.0625;
2011-03-31;4;null;33.926316;28.074737;23.273684;66.052632;
2011-04-30;9;19.5;32.407692;26.47;22.226923;72.019231;
2011-05-31;14;51.4;29.470968;24.516129;20.506452;78.943548;
2011-06-30;9;15.4;29.8;24.089333;19.873333;73.516667;
2011-07-31;13;38.7;28.475;23.021667;19.470833;77.010417;
2011-08-31;5;null;29.994444;23.531111;18.9;68.444444;
2011-09-30;3;null;30.847059;24.236471;19.652941;66.029412;
2011-10-31;2;13;33.403226;26.710323;21.8;64.185484;
2011-11-30;1;2;33.573333;26.897333;21.853333;64.491667;
2011-12-31;0;0;35.519355;28.406452;22.716129;56.604839;
2012-01-31;0;0;35;27.998065;22.667742;57.645161;
2012-02-29;2;57.5;33.689655;27.382069;22.503448;62.448276;
2012-03-31;0;0;34.558065;27.758065;22.574194;59.475806;
2012-04-30;0;0;34.023333;27.526207;22.293103;59.37931;
2012-05-31;5;18.4;32.067742;26.454839;21.703226;64.943548;
2012-06-30;8;20.3;30.756667;25.288;21.2;68.541667;
2012-07-31;15;41;28.035484;23.20129;19.683871;77.016129;
2012-08-31;19;27.4;28.777419;23.177419;19.293548;73.258065;
2012-09-30;5;14.9;31.446667;24.915333;19.763333;63.25;
2012-10-31;2;1.6;32.477419;25.86;21.032258;62.758065;
2012-11-30;1;9.5;35.376667;28.39;22.876667;57.141667;
2012-12-31;0;0;35.232258;28.368387;23.125806;56.419355;
2013-01-31;5;50.7;34.354839;28.189032;23.358065;60.056452;
2013-02-28;0;0;34.639286;28.313571;23.25;55.892857;
2013-03-31;null;0;35.245161;28.938065;23.609677;55.548387;
2013-04-30;null;55.8;34.143333;27.95;23.21;61.883333;
2013-05-31;null;46.7;30.33871;25.493548;22.145161;76.516129;
2013-06-30;null;11.6;31.1;25.430345;21.466667;69.933333;
2013-07-31;null;80.4;28.570968;23.479355;20.380645;77.137097;
2013-08-31;null;21.2;29.835484;24.034839;20.132258;70.370968;
2013-09-30;null;2;32.956667;25.793333;20.666667;60.266667;
2013-10-31;null;59.7;33.003226;26.434839;21.583871;61.677419;
2013-11-30;null;0;33.293333;27.078667;22.033333;58.05;
2013-12-31;null;67.6;33.851613;28.016129;23;60.096774;
2014-01-31;null;7.6;33.919355;27.767742;22.454839;55.854839;
2014-02-28;null;20.2;33.7;27.657143;22.725;58.732143;
2014-03-31;null;38.7;33.541935;27.909032;23.36129;61.540323;
2014-04-30;null;53.8;32.323333;27.297333;23.35;68.116667;
2014-05-31;null;53.4;28.758065;24.730667;21.674194;78.3;
2014-06-30;null;31.6;29.913333;24.447333;20.79;73.533333;
2014-07-31;null;71.2;28.967742;23.696129;20.090323;73.387097;
2014-08-31;null;39.6;28.829032;23.466452;19.454839;71.153226;
2014-09-30;null;17.7;32.213333;25.243448;20.653333;64.383333;
2014-10-31;null;11.8;32.787097;26.105806;21.474194;62.774194;
2014-11-30;null;32.7;34.373333;27.583333;22.343333;58.391667;
2014-12-31;null;5.2;34.348387;27.647742;22.535484;59.653226;
2015-01-31;null;4.3;35.309677;28.17871;22.870968;60.016129;
2015-02-28;null;53.3;34.810714;28.26;23.3;59.857143;
2015-03-31;null;12.5;35.480645;28.764516;23.574194;55.959677;
2015-04-30;null;43.3;35.076667;28.680667;23.68;61.183333;

