Nome: ALTO DA BOA VISTA
Codigo Estacao: 83007
Latitude: -22.96583333
Longitude: -43.27916666
Altitude: 347.1
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;17;238.9;27.806452;null;19.564516;null;
2008-02-29;17;128.8;28.051724;null;19.97931;null;
2008-03-31;14;317.7;28.145161;null;19.66129;null;
2008-04-30;16;244.6;26.946667;null;18.76;null;
2008-05-31;10;297.5;23.909677;null;15.758065;null;
2008-06-30;11;140.6;22.93;null;15.423333;null;
2008-07-31;4;39.3;23.925806;null;13.703226;null;
2008-08-31;12;202.3;24.583871;null;16.151613;null;
2008-09-30;13;106.6;23.454167;null;15.572;null;
2008-10-31;null;null;null;null;null;null;
2008-11-30;null;null;null;null;null;null;
2008-12-31;null;null;null;null;null;null;
2009-01-31;null;null;null;null;null;null;
2009-02-28;null;null;null;null;null;null;
2009-03-31;null;null;null;null;null;null;
2009-04-30;null;null;null;null;null;null;
2009-05-31;null;null;null;null;null;null;
2009-06-30;null;null;null;null;null;null;
2009-07-31;null;null;null;null;null;null;
2009-08-31;11;129.9;24.054839;null;15.835484;null;
2009-09-30;9;167.3;26.093333;null;17.693333;null;
2009-10-31;14;418;25.283871;null;17.516129;null;
2009-11-30;9;157;30.586667;null;20.886667;null;
2009-12-31;16;415.5;28.916129;null;19.748387;null;
2010-01-31;8;174.9;31.76129;null;21.025806;null;
2010-02-28;6;151.5;32.342857;null;21.714286;null;
2010-03-31;15;478;29.8;null;20.558065;null;
2010-04-30;12;574.9;27.034483;null;18.6;null;
2010-05-31;8;112.3;25.070968;null;16.780645;null;
2010-06-30;9;114.8;23.43;null;14.196667;null;
2010-07-31;7;389.8;24.732258;null;15.922581;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;11;95.4;24.79;null;16.813333;null;
2010-10-31;11;223.4;24.454839;null;16.670968;null;
2010-11-30;18;174.7;25.663333;null;18.163333;null;
2010-12-31;14;206.8;28.612903;null;20.951613;null;
2011-01-31;11;140;30.703226;null;21.125806;null;
2011-02-28;4;38.4;31.964286;null;21.417857;null;
2011-03-31;17;178.8;26.43;null;20;null;
2011-04-30;8;331.8;27.486667;null;19.183333;null;
2011-05-31;14;225.9;23.454839;null;15.816129;null;
2011-06-30;7;92.9;22.61;null;14.226667;null;
2011-07-31;6;144.1;23.529032;null;14.577419;null;
2011-08-31;10;107.6;24.690323;null;15.909677;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;11;164.4;25.66129;null;17.741935;null;
2011-11-30;11;160.6;24.696667;null;16.95;null;
2011-12-31;15;234.1;27.683871;null;19.53871;null;
2012-01-31;14;197.4;28.080645;null;19.848387;null;
2012-02-29;5;22.2;31.175862;null;20.944828;null;
2012-03-31;11;244.9;29.096774;null;20.012903;null;
2012-04-30;10;124;26.603333;null;19.31;null;
2012-05-31;12;277.9;24.222581;null;16.325806;null;
2012-06-30;12;281.6;24.353333;null;17.293333;null;
2012-07-31;8;112.2;24.148387;null;16.158065;null;
2012-08-31;3;26.2;24.109677;null;15.693548;null;
2012-09-30;6;202.7;25.173333;null;16.606667;null;
2012-10-31;6;113.1;28.270968;null;18.635484;null;
2012-11-30;18;182.4;25.266667;null;18.64;null;
2012-12-31;7;43.7;31.912903;null;21.864516;null;
2013-01-31;21;582.1;27.864516;null;20.170968;null;
2013-02-28;7;96.2;30.721429;null;21.928571;null;
2013-03-31;19;448.6;27.658065;null;20.632258;null;
2013-04-30;8;140.6;25.82;null;18.16;null;
2013-05-31;11;315.2;24.296774;null;16.687097;null;
2013-06-30;8;91;24.18;null;16.92;null;
2013-07-31;12;353.5;22.645161;null;14.874194;null;
2013-08-31;8;105.9;24.070968;null;15.590323;null;
2013-09-30;10;205.9;25.03;null;16.683333;null;
2013-10-31;12;155.4;25.087097;null;17.76129;null;
2013-11-30;14;251.3;26.53;null;18.71;null;
2013-12-31;12;332.8;27.851613;null;20.203226;null;
2014-01-31;null;85.5;32.429032;null;21.554839;null;
2014-02-28;null;91.5;31.982143;null;21.864286;null;
2014-03-31;null;96.7;29.325806;null;20.848387;null;
2014-04-30;null;289.4;26.726667;null;18.533333;null;
2014-05-31;null;134.2;25.170968;null;16.803226;null;
2014-06-30;null;154.2;24.763333;null;16.833333;null;
2014-07-31;null;229.4;22.93871;null;15.625806;null;
2014-08-31;null;160.2;24.287097;null;15.316129;null;
2014-09-30;null;62.2;26.52;null;17.036667;null;
2014-10-31;null;55.5;27.674194;null;17.403226;null;
2014-11-30;null;106.3;27.16;null;19.003333;null;
2014-12-31;null;115.9;30.725806;null;20.690323;null;
2015-01-31;null;119.4;32.990323;null;21.932258;null;
2015-02-28;null;155.9;30.596429;null;21.414286;null;
2015-03-31;null;217.1;28.335484;null;20.419355;null;
2015-04-30;null;124.4;26.256667;null;18.763333;null;
2015-05-31;null;92.8;24.548387;null;16.977419;null;
2015-06-30;null;260.3;23.873333;null;16.496667;null;
2015-07-31;null;72.5;24.887097;null;16.909677;null;
