Nome: MUNIZ FREIRE
Codigo Estacao: 83013
Latitude: -20.46583333
Longitude: -41.41194444
Altitude: 530
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;110.3;28.332258;null;17.119355;null;
2008-02-29;11;193.8;30.624138;null;17.410345;null;
2008-03-31;14;179.2;30.083871;null;16.916129;null;
2008-04-30;10;208.1;29.69;null;16.163333;null;
2008-05-31;2;20.2;27.116129;null;12.325806;null;
2008-06-30;5;11.4;25.596667;null;11.98;null;
2008-07-31;4;33.4;25.935484;null;9.912903;null;
2008-08-31;3;15.1;28.341935;null;13.245161;null;
2008-09-30;10;80.5;27.59;null;14.14;null;
2008-10-31;7;45.2;28.76129;null;17.112903;null;
2008-11-30;27;446.7;26.656667;null;18.02;null;
2008-12-31;21;287.2;28.077419;null;18.448387;null;
2009-01-31;13;371.6;30.106452;null;19.596774;null;
2009-02-28;11;194.3;31.925;null;19.417857;null;
2009-03-31;17;265;31.06129;null;19.587097;null;
2009-04-30;15;243;28.073333;null;17.903333;null;
2009-05-31;6;16.1;27.467742;null;15.409677;null;
2009-06-30;2;21.4;24.573333;null;13.64;null;
2009-07-31;3;27.4;26.522581;null;13.835484;null;
2009-08-31;6;51.5;26.325806;null;14.419355;null;
2009-09-30;5;79.3;28.736667;null;17.113333;null;
2009-10-31;10;198.4;28.087097;null;17.709677;null;
2009-11-30;6;83.9;31.286667;null;19.253333;null;
2009-12-31;12;258.4;30.46129;null;19.503226;null;
2010-01-31;5;89.6;33.564516;null;19.370968;null;
2010-02-28;3;91.2;33.260714;null;19.289286;null;
2010-03-31;16;226.4;31.222581;null;18.864516;null;
2010-04-30;9;124.7;28.316667;null;16.286207;null;
2010-05-31;10;64.1;26.96129;null;14.535484;null;
2010-06-30;2;3.3;24.96;null;11.263333;null;
2010-07-31;3;34.6;25.719355;null;13.722581;null;
2010-08-31;1;10;26.703226;null;12.558065;null;
2010-09-30;3;10.7;28.12;null;15.356667;null;
2010-10-31;7;118.7;27.412903;null;17.816129;null;
2010-11-30;20;263;27.616667;null;19;null;
2010-12-31;15;342.2;31.419355;null;20.041935;null;
2011-01-31;7;97.2;32.051613;null;19.645161;null;
2011-02-28;8;108.3;33.196429;null;19.282143;null;
2011-03-31;22;364.9;28.5;null;19.306452;null;
2011-04-30;13;145.4;28.74;null;18.176667;null;
2011-05-31;4;16.7;26.225806;null;13.974194;null;
2011-06-30;5;26.3;25.07;null;13.023333;null;
2011-07-31;4;15.9;25.790323;null;12.06129;null;
2011-08-31;1;1;28.203226;null;14.183871;null;
2011-09-30;5;11.3;27.27;null;13.336667;null;
2011-10-31;14;96.9;26.819355;null;17.090323;null;
2011-11-30;16;259.1;26.723333;null;16.486667;null;
2011-12-31;19;322.7;27.66129;null;18.254839;null;
2012-01-31;12;129.5;29.496774;null;18.483871;null;
2012-02-29;4;26.4;32.237931;null;18.462069;null;
2012-03-31;11;99.3;30.8;null;18.593333;null;
2012-04-30;12;102.3;29.316667;null;17.606667;null;
2012-05-31;12;97;24.819355;null;14.993548;null;
2012-06-30;4;34.9;26.143333;null;15.026667;null;
2012-07-31;1;5;26.229032;null;13.193548;null;
2012-08-31;11;64.6;24.787097;null;13.477419;null;
2012-09-30;5;43.7;28.363333;null;14.623333;null;
2012-10-31;7;92.1;29.709677;null;17.03871;null;
2012-11-30;18;290.2;26.646667;null;17.456667;null;
2012-12-31;5;22.7;32.748387;null;20.696774;null;
2013-01-31;14;300.4;29.46129;null;19.690323;null;
2013-02-28;null;115.4;31.160714;null;19.735714;null;
2013-03-31;null;325;28.306452;null;19.764516;null;
2013-04-30;null;92.8;26.483333;null;16.966667;null;
2013-05-31;null;69.1;25.716129;null;15.03871;null;
2013-06-30;null;43.5;25.306667;null;15.233333;null;
2013-07-31;null;16.3;24.522581;null;14.732258;null;
2013-08-31;null;19.3;26.551613;null;13.951613;null;
2013-09-30;null;30.3;26.743333;null;16.196667;null;
2013-10-31;null;58.3;25.958065;null;16.551613;null;
2013-11-30;null;167.8;27.313333;null;18.506667;null;
2013-12-31;null;392.7;28.158065;null;19.86129;null;
2014-01-31;null;101.9;31.870968;null;19.280645;null;
2014-02-28;null;35.5;31.367857;null;18.825;null;
2014-03-31;null;125.1;28.674194;null;19.432258;null;
2014-04-30;null;200.1;27.806667;null;17.993333;null;
2014-05-31;null;20;25.770968;null;15.241935;null;
2014-06-30;null;16.2;25.073333;null;14.393333;null;
2014-07-31;null;37.8;23.306452;null;14.387097;null;
2014-08-31;null;21;25.587097;null;13.235484;null;
2014-09-30;null;17.9;28.173333;null;15.656667;null;
2014-10-31;null;195.4;27.864516;null;16.258065;null;
2014-11-30;null;226.5;27.763333;null;18.58;null;
2014-12-31;null;79.6;30.670968;null;19.570968;null;
2015-01-31;null;8;33.909677;null;20.880645;null;
2015-02-28;null;93.6;31.092857;null;20.564286;null;
2015-03-31;null;77.5;30.158065;null;19.741935;null;
2015-04-30;null;76.4;28.043333;null;17.823333;null;
2015-05-31;null;109.5;24.290323;null;15.354839;null;
2015-06-30;null;35.3;24.073333;null;14.36;null;
2015-07-31;null;5.1;24.641935;null;13.990323;null;
2015-08-31;null;0;25.929032;null;14.312903;null;
2015-09-30;null;54.9;29.373333;null;17.55;null;
2015-10-31;null;145.8;30.283871;null;18.654839;null;
2015-11-30;null;25.7;31.56;null;21.066667;null;
2015-12-31;null;202.5;31.712903;null;21.022581;null;
2016-01-31;null;185;29.751613;null;20.53871;null;
2016-02-29;null;45.4;33.265517;null;20.886207;null;
2016-03-31;null;88.7;31.383871;null;20.387097;null;
2016-04-30;null;6;30.806667;null;18.976667;null;
2016-05-31;null;9.3;27.56129;null;16.712903;null;
2016-06-30;null;45.7;23.516667;null;14.53;null;
2016-07-31;null;3.4;25.280645;null;14.309677;null;
2016-08-31;null;1.3;27.267742;null;15.367742;null;
2016-09-30;null;86.7;28.26;null;16.773333;null;
2016-10-31;null;115.9;27.319355;null;18.406452;null;
2016-11-30;null;286.3;27.856667;null;18.49;null;
2016-12-31;null;390.9;29.76129;null;18.654839;null;
2017-01-31;null;50;32.025806;null;20.412903;null;
2017-02-28;null;197.8;30.332143;null;19.439286;null;
2017-03-31;null;85.5;29.912903;null;18.877419;null;
2017-04-30;null;99.8;27.42;null;17.87;null;
2017-05-31;null;68.9;25.422581;null;15.758065;null;
2017-06-30;null;35.5;25.34;null;14.763333;null;
2017-07-31;null;16.7;22.225806;null;12.716129;null;
2017-08-31;null;2.7;24.916129;null;13.570968;null;
2017-09-30;null;19.8;28.076667;null;14.87;null;
2017-10-31;null;39.7;29.990323;null;18.483871;null;
2017-11-30;null;238.9;26.933333;null;18.573333;null;
2017-12-31;null;274;29.106452;null;18.86129;null;
2018-01-31;null;217.1;31.877419;null;19.732258;null;
2018-02-28;null;205.4;29.296429;null;19.65;null;
2018-03-31;null;264.2;30.796774;null;20.209677;null;
2018-04-30;null;181.5;27.17;null;18.47;null;
2018-05-31;null;106.7;25.425806;null;16.574194;null;
2018-06-30;null;4.1;25.366667;null;15.603333;null;
2018-07-31;null;8.9;26.132258;null;13.541935;null;
2018-08-31;null;48.4;24.874194;null;15.577419;null;
2018-09-30;null;25.5;27.216667;null;17.35;null;
2018-10-31;null;47.3;28.270968;null;18.96129;null;
2018-11-30;null;118.4;28.083333;null;19.116667;null;
2018-12-31;null;278.4;null;null;19.687097;null;
2019-01-31;null;8.7;null;null;20.616129;null;
2019-02-28;null;206.8;null;null;21.060714;null;
2019-03-31;null;197;null;null;20.164516;null;
2019-04-30;null;134.3;null;null;19.716667;null;
2019-05-31;null;38.6;null;null;17.845161;null;
2019-06-30;null;10.4;null;null;15.4;null;
2019-07-31;null;9.8;null;null;12.493548;null;
2019-08-31;null;34.6;null;null;13.766667;null;
2019-09-30;null;37.9;null;null;17.003448;null;
2019-10-31;null;4.5;null;null;18.13871;null;
2019-11-30;null;246;null;null;18.823333;null;
2019-12-31;null;null;null;null;null;null;
2020-01-31;null;523.2;30.480645;null;20.841935;null;
2020-02-29;null;235.2;30.734483;null;20.27931;null;
2020-03-31;null;137.1;28.151613;null;18.970968;null;
2020-04-30;null;65.1;26.173333;null;17.83;null;
2020-05-31;null;126.2;25.858065;null;14.883871;null;
2020-06-30;3;33.8;26.35;null;14.086667;null;
2020-07-31;3;24.9;25.874194;null;14.219355;null;
2020-08-31;6;22.8;25.741935;null;14.390323;null;
2020-09-30;4;23;31.18;null;16.9;null;
2020-10-31;15;211.8;28.767742;null;19.322581;null;
2020-11-30;null;89.4;27.82;null;18.933333;null;
2020-12-31;16;198.5;30.806452;null;20.422581;null;
2021-01-31;8;155.9;31.312903;null;19.883871;null;
2021-02-28;17;439.3;29.075;null;19.9;null;
2021-03-31;8;192.7;31.264516;null;18.848387;null;
2021-04-30;12;107;28.386667;null;null;null;
2021-05-31;8;31.7;27.035484;null;null;null;
2021-06-30;2;19.1;25.69;null;null;null;
2021-07-31;0;0;25.029032;null;null;null;
2021-08-31;8;23.1;26.177419;null;null;null;
2021-09-30;4;27.4;29.983333;null;null;null;
2021-10-31;21;242.4;25.909677;null;null;null;
2021-11-30;15;235.6;27.193333;null;null;null;
2021-12-31;15;159;28.396774;null;null;null;
2022-01-31;8;205.8;31.312903;null;21.129032;null;
2022-02-28;22;399.6;29.892857;null;20.467857;null;
2022-03-31;7;17.1;32.125806;null;19.206452;null;
2022-04-30;8;153.5;29.713333;null;18.286667;null;
2022-05-31;1;2.4;26.551613;null;15.319355;null;
2022-06-30;7;5.1;25.343333;null;13.18;null;
2022-07-31;1;.2;26.903226;null;14.090323;null;
2022-08-31;6;16.2;26.154839;null;14.909677;null;
2022-09-30;6;33.7;26.75;null;15.84;null;
2022-10-31;10;91.1;30.516129;null;18.812903;null;
2022-11-30;18;311.5;26.863333;null;17.79;null;
2022-12-31;18;288;28.416129;null;19.4;null;

