Nome: MARIA DA FE
Codigo Estacao: 83015
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.36
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2016-08-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;22;261.8;25.512903;19.239355;14.63871;81.822581;
2008-02-29;21;318.4;26.737931;19.561379;14.434483;82.948276;
2008-03-31;17;255.1;25.725806;18.353548;13.035484;82.032258;
2008-04-30;16;278.4;24.573333;17.577333;12.326667;84.983333;
2008-05-31;5;48.8;21.835484;13.469677;7.7;84.185484;
2008-06-30;7;31.6;20.99;13.242667;7.923333;86.516667;
2008-07-31;0;0;22.706452;11.122581;3.506452;77.532258;
2008-08-31;7;109.3;23.835484;14.798065;8.387097;77.475806;
2008-09-30;6;74.5;24.053333;15.061333;8.14;74.283333;
2008-10-31;11;82.5;25.812903;18.625806;13.03871;79.056452;
2008-11-30;21;298;25;18.269333;12.72;81.225;
2008-12-31;21;354.1;25.516129;18.948387;14.083871;82.266129;
2009-01-31;21;343.1;25.419355;19.455484;14.883871;83.887097;
2009-02-28;19;319.6;27.314286;20.167857;15.192857;82.6875;
2009-03-31;15;148.5;26.503226;19.770968;14.803226;84.137097;
2009-04-30;7;52.3;24.466667;16.359333;10.19;81.858333;
2009-05-31;7;95.7;22.951613;14.46129;8.36129;84.169355;
2009-06-30;7;54.3;20.366667;11.69;5.43;83.316667;
2009-07-31;8;66;22.090323;14.012903;8.348387;83.870968;
2009-08-31;6;83.3;23.048387;14.252258;7.967742;78.290323;
2009-09-30;13;146.2;25.17;17.514667;11.463333;79.925;
2009-10-31;14;176.2;26.041935;18.722581;12.880645;80.629032;
2009-11-30;17;232;28.026667;20.634667;15.34;80.741667;
2009-12-31;23;427;25.929032;20.009032;15.941935;83.895161;
2010-01-31;21;258.8;27.748387;20.871613;16.277419;81.620968;
2010-02-28;12;73.5;28.296429;20.735;15.35;79.321429;
2010-03-31;15;259.1;26.896774;19.61871;14.332258;81.685484;
2010-04-30;9;93.3;24.926667;16.906;11.17;80.416667;
2010-05-31;5;23.6;22.793548;14.089677;7.919355;80.443548;
