Nome: ITARANA
Codigo Estacao: 83034
Latitude: -19.87423
Longitude: -40.872959
Altitude: 232.75
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2013-11-29
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;15;194.7;31.109677;null;21.593548;null;
2008-02-29;13;191.8;32.841379;null;21.762069;null;
2008-03-31;15;179.4;32.509677;null;21.367742;null;
2008-04-30;9;72.9;32.08;null;21.426667;null;
2008-05-31;1;.5;29.925806;null;17.335484;null;
2008-06-30;1;11.8;28.813333;null;16.586667;null;
2008-07-31;1;6.8;28.541935;null;14.951613;null;
2008-08-31;0;0;30.383871;null;17.564516;null;
2008-09-30;4;35.1;29.806667;null;18.31;null;
2008-10-31;3;30;32.696774;null;20.935484;null;
2008-11-30;19;273.3;29.693333;null;21.186667;null;
2008-12-31;15;142.5;29.887097;null;21.264516;null;
2009-01-31;17;325.8;31.470968;null;21.996774;null;
2009-02-28;7;35.8;33.182143;null;22.335714;null;
2009-03-31;8;79.6;34.135484;null;22.290323;null;
2009-04-30;8;89.5;31.29;null;20.04;null;
2009-05-31;0;0;30.045161;null;17.609677;null;
2009-06-30;5;76.9;27.83;null;16.776667;null;
2009-07-31;4;16.8;28.477419;null;17.074194;null;
2009-08-31;5;25.7;28.880645;null;17.725806;null;
2009-09-30;5;13.4;31.55;null;20.706667;null;
2009-10-31;11;334.1;31.451613;null;21.196774;null;
2009-11-30;7;61.2;32.666667;null;21.47;null;
2009-12-31;14;243.2;32.245161;null;22.36129;null;
2010-01-31;2;22.8;35.451613;null;22.4;null;
2010-02-28;6;12.5;35.221429;null;22.428571;null;
2010-03-31;12;87.5;34.425806;null;22.767742;null;
2010-04-30;8;119.9;31.796667;null;20.043333;null;
2010-05-31;9;118;29.222581;null;18.287097;null;
2010-06-30;0;0;27.806667;null;14.79;null;
2010-07-31;5;19.6;27.932258;null;16.983871;null;
2010-08-31;1;2.5;28.893548;null;15.474194;null;
2010-09-30;2;4.6;30.443333;null;18.3;null;
2010-10-31;8;65.6;29.625806;null;20.309677;null;
2010-11-30;17;275.5;29.606667;null;21.053333;null;
2010-12-31;12;374;32.283871;null;22.245161;null;
2011-01-31;11;75.4;32.967742;null;21.770968;null;
2011-02-28;2;5.1;34.410714;null;22.064286;null;
2011-03-31;20;329.8;31.274194;null;21.790323;null;
2011-04-30;10;129.6;30.44;null;20.546667;null;
2011-05-31;1;6.8;29.135484;null;16.751613;null;
2011-06-30;2;31.1;27.8;null;16.466667;null;
2011-07-31;1;.5;27.767742;null;16.025806;null;
2011-08-31;1;1.6;30.183871;null;17.36129;null;
2011-09-30;2;8;29.356667;null;17.073333;null;
2011-10-31;14;148.4;28.412903;null;19.932258;null;
2011-11-30;18;209.1;28.053333;null;19.33;null;
2011-12-31;21;228.9;29.396774;null;21.396774;null;
2012-01-31;13;239.7;31.041935;null;21.751613;null;
2012-02-29;9;14.9;32.817241;null;20.672414;null;
2012-03-31;7;27.3;33.167742;null;21.122581;null;
2012-04-30;7;25.8;32.22;null;20.42;null;
2012-05-31;5;15.5;29.170968;null;18.074194;null;
2012-06-30;2;2.7;29.966667;null;18.79;null;
2012-07-31;1;4.8;29.36129;null;16.735484;null;
2012-08-31;11;45.9;28.512903;null;16.575;null;
2012-09-30;4;28.7;30.326667;null;18.566667;null;
2012-10-31;8;19.6;31.974194;null;19.851613;null;
2012-11-30;17;321.7;29.793333;null;21.083333;null;
2012-12-31;6;64.2;34.3;null;22.93871;null;
2013-01-31;18;234.7;32.690323;null;22.5;null;
2013-02-28;null;49;33.371429;null;22.021429;null;
2013-03-31;null;121.3;32.609677;null;22.245161;null;
2013-04-30;null;16;29.566667;null;19.746667;null;
2013-05-31;null;55.6;29.116129;null;17.867742;null;
2013-06-30;null;20.1;28.773333;null;17.783333;null;
2013-07-31;null;0;29.029032;null;17.767742;null;
2013-08-31;null;17;29.632258;null;16.825806;null;
2013-09-30;null;26;30.07;null;18.78;null;
2013-10-31;null;105;29.083871;null;19.690323;null;
2013-11-30;null;141.7;30.403333;null;20.683333;null;

