Nome: RIO BONITO
Codigo Estacao: 83048
Latitude: -22.7125
Longitude: -42.64666666
Altitude: 62
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2019-05-05
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;220.4;31.177419;null;21.380645;null;
2008-02-29;18;193;31.8;null;22.024138;null;
2008-03-31;17;253.4;31.641935;null;21.583871;null;
2008-04-30;15;239;30.2;null;20.793333;80.9;
2008-05-31;7;72.1;28.025806;null;17.319355;79.419355;
2008-06-30;9;49.3;26.59;null;16.544828;82.7;
2008-07-31;null;null;null;null;null;null;
2008-08-31;10;41.7;28.825806;null;17.387097;76.354839;
2008-09-30;16;111;null;null;17.343333;73.766667;
2008-10-31;15;120.5;29.548276;null;20.43871;75.516129;
2008-11-30;23;386.8;28.503333;null;20.396667;78.333333;
2008-12-31;19;199.2;29.358065;null;21.26129;76.258065;
2009-01-31;22;418.8;31.8;null;22.529032;null;
2009-02-28;9;151.2;33.946429;null;22.725;72;
2009-03-31;12;121.1;32.751613;null;22.464516;null;
2009-04-30;11;134.3;29.6;null;19.713793;null;
2009-05-31;7;38.3;28.877419;null;17.829032;null;
2009-06-30;9;73.5;26.28;null;15.623333;null;
2009-07-31;17;79.2;26.280645;null;16.993548;null;
2009-08-31;10;34;27.616129;null;17.096774;78.612903;
2009-09-30;null;null;null;null;null;null;
2009-10-31;21;229.2;28.796774;null;20.596774;null;
2009-11-30;10;282.4;34.063333;null;23.01;null;
2009-12-31;12;137.5;32.334615;null;22.303846;null;
2010-01-31;11;170;35.406452;null;23.241935;69.612903;
2010-02-28;8;111.5;35.810714;null;23.25;68.5;
2010-03-31;21;266.7;32.43871;null;22.180645;77.774194;
2010-04-30;17;251.4;29.67;null;20.336667;null;
2010-05-31;8;33.8;28.135484;null;18.196774;83.185185;
2010-06-30;8;49.3;26.323333;null;14.51;84.666667;
2010-07-31;null;null;null;null;null;null;
2010-08-31;8;17.3;27.470968;null;15.36129;73.933333;
2010-09-30;12;33.9;28.936667;null;18.056667;74.2;
2010-10-31;17;110.9;28.612903;null;18.735484;71.806452;
2010-11-30;17;142.4;29.403333;null;20.473333;73.633333;
2010-12-31;19;331.8;32.53871;null;23.083871;77.032258;
2011-01-31;12;118.4;34.025806;null;23.074194;74.483871;
2011-02-28;2;31.2;36.421429;null;23.007143;64.357143;
2011-03-31;null;null;null;null;null;null;
2011-04-30;12;150.6;31.02;null;20.686667;77.8;
2011-05-31;14;56.6;26.764516;null;16.935484;82.516129;
2011-06-30;7;42.2;26.28;null;15.353333;null;
2011-07-31;7;44.5;26.874194;null;15.170968;84.322581;
2011-08-31;7;27.9;28.887097;null;17;75.483871;
2011-09-30;7;26.8;27.573333;null;16.71;68.866667;
2011-10-31;12;118.7;29.458065;null;19.251613;74.354839;
2011-11-30;14;135.8;28.48;null;18.846667;72.566667;
2011-12-31;19;173;30.590323;null;21.364516;76.806452;
2012-01-31;14;217;31.27;null;21.364516;null;
2012-02-29;5;36.5;35.017241;null;21.817241;68.275862;
2012-03-31;14;164.4;33.612903;null;21.477419;72.258065;
2012-04-30;null;null;null;null;null;null;
