Nome: AVELAR (P.DO ALFERES)
Codigo Estacao: 83049
Latitude: -22.34749999
Longitude: -43.41777777
Altitude: 507
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;16;238.9;28.635484;22.734194;18.596774;78.201613;
2008-02-29;17;187.5;29.817241;23.224138;18.82069;81.525862;
2008-03-31;10;75.1;29.580645;22.573548;18.167742;79.096774;
2008-04-30;12;149.8;27.85;21.385333;17.043333;83.266667;
2008-05-31;5;9;25.577419;17.393548;12.090323;81.741935;
2008-06-30;5;7;24.016667;16.733333;11.98;82.85;
2008-07-31;1;1.3;25.751613;14.734839;6.935484;77.741935;
2008-08-31;6;29.3;26.903226;18.305161;12.222581;75.33871;
2008-09-30;7;28.8;25.82;18.286667;12.41;72.875;
2008-10-31;11;132.1;28.080645;21.604516;17.003226;76.282258;
2008-11-30;21;307.9;27.086667;21.317333;17.486667;81.825;
2008-12-31;19;208;27.567742;22.137419;18.487097;80.66129;
2009-01-31;18;286.3;29.148387;23.166452;19.651613;81.58871;
2009-02-28;13;181.6;31.121429;23.994286;19.546429;79.1875;
2009-03-31;12;98.2;30.177419;23.703871;19.690323;81.112903;
2009-04-30;5;33.8;27.48;20.638667;15.886667;80.383333;
2009-05-31;4;15.7;26.309677;18.390968;12.803226;80.612903;
2009-06-30;3;29.9;24.19;16.124667;10.446667;80.433333;
2009-07-31;7;34;24.63871;17.897419;13.187097;80.040323;
2009-08-31;5;6.3;25.422581;17.827742;12.170968;76.806452;
2009-09-30;6;65.9;28.826667;21.195333;16.006667;75.683333;
2009-10-31;15;196.2;27.464516;21.794839;17.970968;80.895161;
2009-11-30;14;365.4;31.266667;24.436667;19.85;76.466667;
2009-12-31;20;330.4;29.429032;23.415484;19.351613;81.008065;
2010-01-31;13;208.6;31.625806;24.525161;19.858065;77.991935;
2010-02-28;6;88.5;31.989286;24.296429;19.1;74.669643;
2010-03-31;14;223;30.23871;23.330968;18.967742;81.439655;
2010-04-30;8;74.6;27.47;20.68;16.213333;81.808333;
2010-05-31;3;11.6;25.674194;18.079355;12.7;82.637097;
2010-06-30;3;1.9;24.026667;14.784667;8.766667;81.875;
2010-07-31;5;47.7;25.354839;17.049032;11.764516;80.967742;
2010-08-31;0;0;26.067742;16.463871;9.822581;74.129032;
2010-09-30;6;29.1;27.423333;19.247333;13.613333;74.791667;
2010-10-31;10;92.4;27.183871;20.32;15.351613;76.258065;
2010-11-30;19;280.2;27.766667;21.85;18.023333;81.7;
2010-12-31;17;333.1;30.506452;24.241935;20.167742;81.225806;
2011-01-31;13;136.6;30.593548;24.176129;20.019355;80.516129;
2011-02-28;4;72.4;32.964286;24.55;19.017857;73.75;
2011-03-31;15;136.3;28.206452;22.725161;19.070968;83.620968;
2011-04-30;10;44.4;28.44;21.428667;16.9;82.358333;
2011-05-31;5;24.2;24.767742;17.407742;12.341935;81.967742;
2011-06-30;3;11.6;23.88;15.637333;10.046667;80.675;
2011-07-31;0;0;25.245161;15.849032;9.345161;79.717742;
2011-08-31;1;1.6;27.841935;18.570323;11.993548;72.072581;
2011-09-30;3;2.8;27.466667;18.454;11.913333;66.35;
2011-10-31;12;146.3;27.341935;20.934839;16.064516;73.620968;
2011-11-30;11;183;26.33;20.252;15.76;76.616667;
2011-12-31;16;349.7;28.393548;22.641935;18.790323;79.016129;
2012-01-31;14;257.7;28.487097;null;18.687097;null;
2012-02-29;6;139.5;31.151724;23.204828;17.72069;75.293103;
2012-03-31;7;113.9;30.035484;22.647742;17.777419;78.604839;
2012-04-30;9;82.2;28.236667;21.408667;17.153333;82.266667;
2012-05-31;7;67.5;24.819355;17.58129;12.529032;84.225806;
2012-06-30;5;77.1;25.336667;18.334667;13.89;85.383333;
2012-07-31;3;19.5;25.148387;16.403871;10.412903;82.33871;
2012-08-31;4;12.9;25.63871;16.524516;9.958065;78.91129;
2012-09-30;4;56.8;27.943333;19.214;12.973333;71.016667;
2012-10-31;4;43.9;30.580645;21.954194;15.864516;68.943548;
2012-11-30;14;121.3;27.94;21.535333;17.346667;79.325;
2012-12-31;10;176.3;32.658065;24.84129;19.858065;76.137097;
2013-01-31;15;235.2;28.987097;23.092903;19.483871;81.774194;
2013-02-28;7;130.8;31.239286;24.034286;19.346429;78.017857;
2013-03-31;15;256;29.116129;22.927097;19.319355;82.403226;
2013-04-30;7;64.6;26.493333;20.124;15.993333;81.675;
2013-05-31;7;38.6;25.435484;17.715484;12.232258;82.354839;
2013-06-30;2;null;null;null;null;null;
2013-07-31;null;null;null;null;null;null;
2013-08-31;null;null;24.784211;16.716842;10.626316;76.565789;
2013-09-30;null;107.4;26.25;18.674;13.393333;76.883333;
2013-10-31;null;90.7;26.241935;20.009032;15.577419;77.830645;
2013-11-30;null;170.6;27.716667;21.359333;17.1;80.8;
2013-12-31;null;132.9;29.367742;23.393548;19.612903;80.354839;
2014-01-31;null;88.2;32.832258;24.295484;18.112903;72.983871;
2014-02-28;null;58.2;32.553571;23.655;17.710714;71.321429;
2014-03-31;null;96.7;29.809677;22.41871;17.63871;80.322581;
2014-04-30;null;139.1;27.726667;20.812;16.423333;82.408333;
2014-05-31;null;53.5;26.1;17.794839;11.832258;82.056452;
2014-06-30;null;22.7;25.64;17.506;11.85;83.327586;
2014-07-31;null;32.5;23.93871;16.318065;11.454839;83.508065;
2014-08-31;null;5.6;25.635484;16.610968;10.383871;76.733871;
2014-09-30;null;12.3;28.516667;19.884;13.17;69.016667;
2014-10-31;null;27.2;29.9;21.309677;14.880645;66.774194;
2014-11-30;null;118.1;29.52;22.851333;17.733333;70.858333;
2014-12-31;null;86.2;31.232258;24.140645;18.809677;72.387097;
2015-01-31;null;104.8;33.474194;25.434839;18.851613;72.008065;
2015-02-28;null;135.2;30.939286;23.835714;19.142857;77.741071;
2015-03-31;null;131.7;29.516129;23.124516;18.958065;81.314516;
2015-04-30;null;62.4;27.71;21.12;16.806667;80.658333;
2015-05-31;null;12.8;25.209677;18.773548;14.058065;83.217742;
2015-06-30;null;17;24.866667;17.214667;11.646667;82.791667;
2015-07-31;null;1.1;26.077419;18.263871;13.035484;78.395161;
2015-08-31;null;7;26.716129;17.456774;10.777419;74.241935;
