Nome: GUARULHOS
Codigo Estacao: 83075
Latitude: -23.470981
Longitude: -46.533559
Altitude: 746.51
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2014-12-08
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;19;280.6;27.222581;22.107097;18.483871;78.604839;
2008-02-29;17;274.1;28.782759;23.055172;18.831034;77.586207;
2008-03-31;18;214.2;27.632258;22.54129;18.674194;76.951613;
2008-04-30;14;122.5;26.336667;21.346;17.263333;78.05;
2008-05-31;5;72.9;22.809677;17.715484;13.525806;76.467742;
2008-06-30;8;68.5;22.463333;17.073333;13.093333;79.85;
2008-07-31;0;0;23.993548;17.109032;11.816129;72.596774;
2008-08-31;8;81.3;24.977419;18.989032;14.467742;74.306452;
2008-09-30;8;37.6;23.603333;18.204;13.906667;74.116667;
2008-10-31;14;114.7;27.158065;21.143226;16.780645;75.516129;
2008-11-30;13;132.4;26.633333;21.047333;17.016667;76.083333;
2008-12-31;14;133.9;27.319355;21.463871;17.090323;75.306452;
2009-01-31;19;355.2;27.835484;22.675484;18.819355;77.467742;
2009-02-28;17;179.2;29.946429;24.130714;19.982143;77.0625;
2009-03-31;14;97.2;29.116129;23.73871;19.780645;74.556452;
2009-04-30;9;54.2;25.98;20.884;17.056667;75.858333;
2009-05-31;8;60.2;24.945161;19.464516;15.303226;76.725806;
2009-06-30;6;47.1;21.116667;15.876;11.71;76.975;
2009-07-31;14;160;21.522581;16.830968;13.306452;83.024194;
2009-08-31;7;82.2;24.558065;18.62;13.964516;71;
2009-09-30;13;214;25.123333;20.08;16.253333;78.066667;
2009-10-31;14;206.2;25.925806;20.474194;16.551613;78.443548;
2009-11-30;16;234.1;30.323333;24.520667;20.223333;74.233333;
2009-12-31;19;325.1;28.454839;22.94;19.070968;78.362903;
2010-01-31;27;423.6;29.929032;24.018065;19.983871;79.645161;
2010-02-28;15;205;31.385714;25.074286;20.310714;72.517857;
2010-03-31;15;151.4;29.109677;23.404516;19.151613;75.096774;
2010-04-30;11;111.7;25.98;20.958667;17.006667;75.95;
2010-05-31;7;43.3;23.870968;18.732903;14.806452;75.927419;
2010-06-30;4;13.2;22.48;16.586667;12.363333;76.541667;
2010-07-31;4;107.8;24.229032;18.361935;14.293548;75.814516;
2010-08-31;0;0;24.141935;17.614194;12.56129;70.766129;
2010-09-30;8;127.4;25.946667;19.888667;15.273333;73.991667;
2010-10-31;10;63.3;24.945161;19.040645;14.964516;77.290323;
2010-11-30;13;130.4;27.7;21.475333;16.973333;75.425;
2010-12-31;22;373.5;28.996774;23.367097;19.487097;80.266129;
2011-01-31;24;491.1;30.551613;24.423226;20.312903;81.016129;
2011-02-28;15;285.4;31.171429;24.977857;20.642857;77.9375;
2011-03-31;17;226.9;26.367742;22.122581;18.822581;84.508065;
2011-04-30;11;137.7;27.363333;21.907333;17.84;80.558333;
2011-05-31;7;25.2;23.032258;17.838065;14.141935;82.153226;
2011-06-30;4;63.4;21.84;15.869333;11.403333;83.125;
2011-07-31;3;4.5;23.419355;17.235484;12.893548;81.25;
2011-08-31;11;40.8;24.9;18.450968;13.76129;75.153226;
2011-09-30;3;6.6;25.763333;18.527333;13.516667;67.733333;
2011-10-31;12;149.2;26.554839;20.624516;16.3;73.540323;
2011-11-30;9;104.4;26.32;20.354;15.876667;73.283333;
2011-12-31;14;157.1;28.354839;22.689032;18.180645;71.782258;
2012-01-31;23;285;27.548387;21.864516;17.819355;78.153226;
2012-02-29;17;241.2;31.289655;24.877241;20.051724;72.060345;
2012-03-31;11;151.8;29.090323;22.877419;18.429032;73.467742;
2012-04-30;13;109.8;26.933333;21.6;17.88;77.991667;
2012-05-31;8;66;23;18.298065;14.525806;77.258065;
2012-06-30;11;208.9;22.35;17.885333;14.343333;82.033333;
2012-07-31;7;69.1;23.63871;17.511613;12.941935;72.274194;
2012-08-31;2;.7;25.367742;18.873548;14.067742;66.217742;
2012-09-30;5;19.9;27.33;20.356667;15.53;65.066667;
2012-10-31;11;111.2;29.73871;22.439355;17.483871;69.419355;
2012-11-30;12;83.6;26.936667;21.221333;17.3;74.841667;
2012-12-31;18;423.4;30.806452;24.947742;20.716129;74.758065;
2013-01-31;19;118.4;27.090323;22.374194;18.887097;77.91129;
2013-02-28;18;258.1;29.989286;23.767143;19.492857;74.017857;
2013-03-31;null;188.2;27.406452;22.425806;18.809677;76.991935;
2013-04-30;null;78.2;25.453333;20.32;16.423333;75.5;
2013-05-31;null;45.6;23.645161;18.722581;14.964516;76.016129;
2013-06-30;null;129.5;22.813333;18.263333;14.82;80.608333;
2013-07-31;null;94.9;21.770968;16.129677;12.006452;78.395161;
2013-08-31;null;8.2;24.9;17.750968;12.351613;67.201613;
2013-09-30;null;60.2;25.57;19.472667;14.836667;69.2;
2013-10-31;null;110.2;25.56129;20.176774;16.009677;72.532258;
2013-11-30;null;95.8;27.616667;21.989333;17.65;72.266667;
2013-12-31;null;124.8;29.545161;23.543226;19.390323;71.580645;
2014-01-31;null;137.9;32.880645;25.705806;20.512903;65.298387;
2014-02-28;null;157;32.375;26.072143;21.367857;62.821429;
2014-03-31;null;195.2;29.354839;23.400645;19.43871;75.016129;
2014-04-30;null;131.6;26.116667;21.241333;17.5;74.533333;
2014-05-31;null;39.1;23.364516;18.763226;14.854839;75.024194;
2014-06-30;null;4.4;22.9875;18.2048;14.433333;75.033333;
2014-07-31;null;35.5;21.941379;16.988966;13.2;74.104839;
2014-08-31;null;29.9;25.103226;18.345161;13.241935;68.25;
2014-09-30;null;66.8;27.503333;20.727333;15.883333;68.591667;
2014-10-31;null;24.3;29.064516;21.82129;16.616129;63.854839;
2014-11-30;null;158.8;27.75;21.907333;17.873333;73.716667;
2014-12-31;null;null;null;null;null;null;

