Nome: STa. R. DE CASSIA (IBIPETUBA)
Codigo Estacao: 83076
Latitude: -11.00277777
Longitude: -44.52499999
Altitude: 450.01
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2021-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;13;101.3;31.845161;26.070323;21.290323;55.798387;
2008-02-29;16;241.7;30.92069;25.443704;21.448276;62.974138;
2008-03-31;21;143.5;29.680645;24.797419;21.158065;69.419355;
2008-04-30;12;148.8;29.703333;24.586667;20.32;69.541667;
2008-05-31;1;1.8;30.567742;24.326452;18.532258;59.572581;
2008-06-30;0;0;30.476667;22.393333;14.62;52.158333;
2008-07-31;0;0;30.793548;22.283226;13.483871;45.524194;
2008-08-31;0;0;32.829032;24.590323;15.396774;41.241935;
2008-09-30;1;.2;35.473333;27.394667;19.19;38.408333;
2008-10-31;0;0;36.377419;29.097419;21.135484;33.322581;
2008-11-30;10;143.1;33.413333;27.472;22.32;53.433333;
2008-12-31;19;306.4;30.929032;25.422581;21.303226;66.83871;
2009-01-31;15;144;31.106452;25.550968;21.135484;67.379032;
2009-02-28;15;63.1;30.617857;25.380714;21.103571;69.044643;
2009-03-31;15;110.9;31.392857;25.4;21.141935;72.959677;
2009-04-30;15;104.6;null;null;21.136667;null;
2009-05-31;8;103.1;31.593548;24.683871;19.890323;null;
2009-06-30;2;25.8;31.583333;23.826667;17.24;null;
2009-07-31;null;0;33.089286;23.912857;15.014286;null;
2009-08-31;null;0;34.582759;25.681379;16.389655;null;
2009-09-30;null;0;37.489655;28.823448;20.341379;null;
2009-10-31;16;186.7;34.564516;27.783871;22.151613;null;
2009-11-30;7;15.2;35;27.826667;21.373333;null;
2009-12-31;17;179.4;32.893103;25.936552;21.175862;null;
2010-01-31;null;null;null;null;null;null;
2010-02-28;11;51.7;35.085185;27.761538;22.07037;null;
2010-03-31;18;265.7;33.367742;26.318;21.66129;60.578947;
2010-04-30;9;123;32.86;25.718;20.246667;72.875;
2010-05-31;1;1;34.945161;26.632258;19.664516;58.854839;
2010-06-30;0;0;33.546667;24.687333;16.506667;49.466667;
2010-07-31;1;.1;32.941935;24.63871;15.880645;46.330645;
2010-08-31;0;0;33.33871;24.14129;14.574194;42.516129;
2010-09-30;0;0;35.996667;27.11;18.86;40.083333;
2010-10-31;10;84.2;36.809677;28.345806;21.616129;50.612903;
2010-11-30;15;192.3;34.153333;26.754;21.42;67.391667;
2010-12-31;11;99.6;32.919355;25.963226;21.2;74.435484;
2011-01-31;15;153.4;32.454839;25.916774;21.241935;73.733871;
2011-02-28;15;118.2;31.639286;25.200714;21.028571;77.544643;
2011-03-31;19;247.1;31.890323;25.288387;20.709677;80.169355;
2011-04-30;8;7.6;32.033333;25.476;20.263333;71.883333;
2011-05-31;5;3.5;32.26129;25.091613;18.909677;62.540323;
2011-06-30;0;0;33.37;24.306667;15.683333;52.975;
2011-07-31;0;0;32.974194;23.649677;14.3;48.846774;
2011-08-31;0;0;35.274194;25.668387;16.2;41.435484;
2011-09-30;0;0;35.51;25.916667;16.606667;39.816667;
2011-10-31;11;204.2;35.641935;27.619355;21.519355;55.669355;
2011-11-30;13;223.3;31.366667;25.418667;20.506667;72.483333;
2011-12-31;12;197;32.512903;25.990968;20.280645;70.58871;
2012-01-31;13;70.8;32.43871;25.452903;20.416129;72.435484;
2012-02-29;12;86.6;33.22069;25.658621;20.162069;69.284483;
2012-03-31;6;4.2;35.219355;27.086452;20.967742;60.975806;
2012-04-30;5;71.6;35.9;27.134;20.343333;56.158333;
2012-05-31;1;5.2;null;null;19.335484;52.846774;
2012-06-30;0;0;null;null;16.573333;49.775;
2012-07-31;0;0;null;null;15.035484;47.653226;
2012-08-31;0;0;null;null;14.741935;45.25;
2012-09-30;0;0;null;null;18.146667;38.658333;
2012-10-31;5;21.4;36.661538;29.124615;21.074194;39.346774;
2012-11-30;24;236.7;32.206667;25.840667;21.316667;74.2;
2012-12-31;5;105.2;34.441935;27.341935;20.590323;54.540323;
2013-01-31;15;194.5;32.035484;25.928387;21.367742;71.395161;
2013-02-28;5;11.6;34.214286;27.227857;20.932143;60.651786;
2013-03-31;null;128.7;34.43871;26.975484;21.067742;62.725806;
2013-04-30;null;118.4;32.433333;25.98;20.613333;69.291667;
2013-05-31;null;41.6;33.241935;25.712903;19.280645;63.008065;
2013-06-30;null;0;33.723333;25.330667;17.76;54.808333;
2013-07-31;null;.2;33.358065;24.948387;16.33871;47.637097;
2013-08-31;null;0;34.012903;25.305161;16.422581;42.322581;
2013-09-30;null;.3;36.3;28.192;20.09;38.383333;
2013-10-31;null;20.1;36.370968;28.542581;21.316129;45.290323;
2013-11-30;null;258.8;34.13;27.289333;21.126667;57.158333;
2013-12-31;null;385.4;30.574194;24.825806;20.396774;79.241935;
2014-01-31;null;12.3;33.058065;26.356129;20.135484;62.846774;
2014-02-28;null;48.3;32.035714;25.732857;20.125;68.928571;
2014-03-31;null;130.6;31.690323;25.543871;20.1;75.33871;
2014-04-30;null;75.9;32.316667;25.621333;19.773333;70.758333;
2014-05-31;null;8.6;32.606452;25.344516;18.490323;60.879032;
2014-06-30;null;3.9;32.766667;24.516;15.733333;48.825;
2014-07-31;null;0;32.845161;24.682581;15.658065;47.112903;
2014-08-31;null;0;34.212903;25.243226;15.251613;39.080645;
2014-09-30;null;0;36.363333;27.934667;18.506667;36.475;
2014-10-31;null;36.6;36.164516;28.447097;20.032258;40.879032;
2014-11-30;null;216.8;34.566667;27.516;20.463333;59.091667;
2014-12-31;null;175.9;31.812903;25.384516;19.235484;68.201613;
2015-01-31;null;117;33.825806;26.558065;19.083871;58.895161;
2015-02-28;null;156.2;31.242857;24.907857;18.971429;71.973214;
2015-03-31;null;69.2;32.641935;25.838065;19.654839;65.83871;
2015-04-30;null;161.1;33.32;26.257333;20.1;71.258333;
2015-05-31;5;12.9;31.793548;25.050323;17.958065;64.040323;
2015-06-30;null;0;32.773333;24.506;15.173333;55.391667;
2015-07-31;null;0;33.396774;24.91871;15.212903;50.91129;
2015-08-31;null;0;34.277419;25.07871;14.325806;47.346774;
2015-09-30;0;0;37.696667;28.107333;16.813333;39.591667;
2015-10-31;null;34.1;37.877419;29.211613;19.716129;43.403226;
2015-11-30;10;132.9;36.596667;28.488966;20.3;49.641667;
2015-12-31;null;43.3;36.748387;28.198065;19.377419;49.895161;
2016-01-31;26;817.7;31.567742;25.038065;19.63871;81.596774;
2016-02-29;4;32.8;33.57931;26.231429;18.355172;60.431034;
2016-03-31;null;31.5;34.454839;27.297333;19.658065;58.033333;
2016-04-30;null;.3;34.643333;26.716667;17.81;52.525;
2016-05-31;null;0;34.619355;25.725161;15.848387;52.564516;
2016-06-30;null;0;33.866667;24.937333;14.86;53.983333;
2016-07-31;null;0;33.067742;23.62129;12.364516;50.419355;
2016-08-31;null;0;35.077419;26.209032;14.825806;45.306452;
2016-09-30;null;17.4;35.72;27.06;17.263333;48.633333;
2016-10-31;null;28.9;36.393548;28.115484;19.074194;46.814516;
2016-11-30;null;132.2;34.493333;27.266;18.99;56.916667;
2016-12-31;null;179.5;33.516129;26.076774;18.109677;61.935484;
2017-01-31;null;199.4;34.012903;26.372258;18.454839;64.870968;
2017-02-28;null;261.5;31.196429;24.742857;18.35;77.9375;
2017-03-31;null;139.3;32.119355;25.268387;18.4;72.935484;
2017-04-30;null;41.1;32.793333;25.715333;18.24;64.333333;
2017-05-31;null;1.1;34.287097;25.610323;16.241935;55.451613;
2017-06-30;null;.4;33.586667;24.436;13.473333;52.991667;
2017-07-31;null;0;31.354839;22.658065;11.696774;51.693548;
2017-08-31;null;0;34.603226;25.103871;13.73871;48.645161;
2017-09-30;null;0;34.486667;26.146667;16.29;47.4;
2017-10-31;null;0;37.864516;28.974194;18.329032;42.806452;
2017-11-30;null;69.7;34.16;26.729333;18.71;56.725;
2017-12-31;10;176.9;33.196774;26.013548;18.264516;62.717742;
2018-01-31;null;45.9;34.070968;26.112258;17.867742;59.129032;
2018-02-28;null;189.1;30.946429;24.597857;17.553571;73.5625;
2018-03-31;17;125.7;31.26129;24.932258;17.670968;73.814516;
2018-04-30;null;68.2;31.31;25.159333;16.826667;65.225;
2018-05-31;2;1;33.293548;25.332903;15.122581;53.217742;
2018-06-30;null;1;32.863333;23.485333;12.006667;51.475;
2018-07-31;null;0;32.996774;23.157419;10.767742;47.612903;
2018-08-31;null;14.4;35.045161;25.69871;13.970968;42.814516;
2018-09-30;null;0;36.94;27.702;16.313333;39.025;
2018-10-31;null;84.9;36.703226;28.427742;18.525806;48.016129;
2018-11-30;null;138.9;33.626667;26.418;18.013333;58.766667;
2018-12-31;null;187.1;31.73871;25.025161;17.132258;68.548387;
2019-01-31;3;48.2;35.074194;26.832903;17.164516;52.024194;
2019-02-28;12;174.8;33.033333;25.483704;17.407143;69.907407;
2019-03-31;17;183.2;32.429032;25.454839;17.654839;72.362903;
2019-04-30;null;61.9;32.77;26.096;17.376667;66.625;
2019-05-31;null;46.4;33.587097;25.613548;16.319355;62.153226;
2019-06-30;null;0;33.036667;23.964667;12.853333;52.2;
2019-07-31;null;0;33.848387;23.630968;11.951613;51.975806;
2019-08-31;null;0;34.567742;24.622581;12.516129;47.5;
2019-09-30;null;0;37.126667;27.257333;14.98;42.533333;
2019-10-31;null;37.2;37.49;28.694667;18.409677;43.008065;
2019-11-30;null;89.9;37.066667;28.618667;18.453333;47.541667;
2019-12-31;null;38.5;36.503226;27.997419;18.183871;52.145161;
2020-01-31;null;239.3;32.822581;25.581935;17.419355;71.741935;
2020-02-29;null;136.4;32.246429;25.226429;17.310345;74.794643;
2020-03-31;null;249.7;31.241935;24.688;17.046667;78.983871;
2020-04-30;null;48.6;32.46;25.151333;16.66;72.116667;
2020-05-31;null;6.4;32.813333;24.750667;15.232258;63.791667;
2020-06-30;0;0;32.913333;23.974667;12.283333;52.45;
2020-07-31;0;0;33.329032;23.807097;11.390323;48.16129;
2020-08-31;1;.3;34.719355;24.921935;12.080645;43.741935;
2020-09-30;1;.5;36.486667;27.126207;14.36;42;
2020-10-31;7;61.6;37.763333;28.108276;16.196667;42.933333;
2020-11-30;12;233.8;32.976667;24.898;15.796667;67.333333;
2020-12-31;4;81.9;34.509677;26.149032;16.006452;60.83871;
2021-01-31;10;87;35.016129;26.802581;16.96129;58.766129;
2021-02-28;19;324.9;31.939286;24.39;16.328571;80.6875;
2021-03-31;8;46.7;32.551613;24.953548;15.73871;70.290323;
2021-04-30;11;118.4;32.49;24.534667;15.496667;74.975;
2021-05-31;0;0;33.506452;24.384667;13.766667;54.096774;
2021-06-30;0;0;34.276667;24.938667;13.11;50.633333;
2021-07-31;0;0;33.993548;24.086452;10.974194;52.024194;
2021-08-31;0;0;34.109677;24.465161;11.558065;48.717742;
