Nome: SENHOR DO BONFIM
Codigo Estacao: 83088
Latitude: -10.443072
Longitude: -40.148244
Altitude: 532.09
Situacao: Desativada
Data Inicial: 2008-01-01
Data Final: 2011-07-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;3;1;33.409677;26.843871;20.770968;50.330645;
2008-02-29;9;101.5;32.248276;26.142857;20.982759;57.663793;
2008-03-31;15;256.2;31.454839;25.745806;21.425806;64.266129;
2008-04-30;16;115.2;29.886667;24.766;21.233333;71.616667;
2008-05-31;16;42.8;27.893548;22.884516;19.619355;74.266129;
2008-06-30;19;68.6;26.56;21.537333;18.173333;74.508333;
2008-07-31;16;55.2;25.212903;20.392258;17.251613;75.451613;
2008-08-31;20;32.2;27.593548;21.863226;17.548387;67.669355;
2008-09-30;8;10.1;30.033333;23.600667;18.546667;59.891667;
2008-10-31;6;10.7;32.345161;25.381935;19.903226;55.217742;
2008-11-30;1;null;34.195652;27.18;20.621739;46.23913;
2008-12-31;10;94.1;30.464516;24.888387;20.545161;null;
2009-01-31;10;77.8;31.951613;25.805161;20.609677;60.322581;
2009-02-28;11;66.6;31.365385;25.56;20.859259;63.086538;
2009-03-31;7;89;33.251613;27.175484;21.735484;null;
2009-04-30;11;151;29.203333;24.728667;21.466667;null;
2009-05-31;19;125.6;25.983871;22.367097;20.06129;null;
2009-06-30;18;85.2;25.406667;21.528667;19.046667;null;
2009-07-31;16;34.6;26.416129;21.738065;18.7;null;
2009-08-31;18;44.3;27.16129;22.020645;18.241935;null;
2009-09-30;5;8.3;31.66;25.020667;19.33;null;
2009-10-31;8;118.6;31.351613;25.351613;20.412903;null;
2009-11-30;1;.2;31.563333;25.547333;19.94;null;
2009-12-31;null;null;null;null;null;null;
2010-01-31;9;101.6;31.506452;25.474194;20.629032;null;
2010-02-28;7;52.3;32.625;26.741429;21.742857;null;
2010-03-31;11;112.2;31.43871;25.998065;21.590323;null;
2010-04-30;12;85.8;28.513333;24.024667;20.82;null;
2010-05-31;7;28.4;29.654839;24.393548;20.577419;null;
2010-06-30;18;136;26.23;21.885333;18.906667;null;
2010-07-31;28;162.4;24.403226;20.372258;18.029032;null;
2010-08-31;19;44.4;25.087097;20.342581;17.058065;null;
2010-09-30;18;54.6;27.916667;22.112;18;null;
2010-10-31;8;58.9;31.654839;25.467097;20.13871;null;
2010-11-30;0;0;32.413333;26.065333;20.096667;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;12;35.4;30.964516;25.189032;20.954839;null;
2011-02-28;9;64.5;32.114286;25.915;21.042857;null;
2011-03-31;14;103.2;30.93871;25.677419;21.596774;null;
2011-04-30;16;143.2;29.283333;24.311333;20.786667;null;
2011-05-31;17;113.2;26.241935;22.312903;19.654839;null;
2011-06-30;10;39.5;26.17;21.492667;18.196667;null;
2011-07-31;12;22.7;26.974194;21.547742;17.703226;null;

