Nome: MONTE SANTO
Codigo Estacao: 83090
Latitude: -10.44249999
Longitude: -39.33083332
Altitude: 465.84
Situacao: Fechada
Data Inicial: 2008-01-01
Data Final: 2020-04-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;1;1;34.06129;26.68;19.596774;68.583333;
2008-02-29;6;117.2;32.765517;26.447586;19.906897;71.836207;
2008-03-31;14;89.2;32.24;25.676774;20.213333;76.41129;
2008-04-30;9;35.2;31.196667;25.288;19.906667;78.741667;
2008-05-31;14;102.5;28.503226;23.174839;18.43871;85.443548;
2008-06-30;16;59;26.8;21.466;16.923333;87.575;
2008-07-31;19;46.8;25.925806;20.431613;15.932258;87.5;
2008-08-31;16;44.5;27.167742;21.531613;16.412903;83.645161;
2008-09-30;10;14.4;30.273333;23.478667;17.226667;75.608333;
2008-10-31;4;5.2;32.529032;24.951613;18.312903;74.483871;
2008-11-30;1;4.4;34.286667;26.746667;19.06;63.141667;
2008-12-31;9;94;32.770968;26.085806;19.319355;64.524194;
2009-01-31;4;23;33.63871;26.986452;19.774194;58.943548;
2009-02-28;4;63;32.860714;26.280714;19.703571;65.705357;
2009-03-31;3;19.8;34.690323;27.742581;20.312903;59.919355;
2009-04-30;12;151.4;31.453333;25.714667;19.783333;72.208333;
2009-05-31;20;74.3;27.558065;22.736774;18.209677;84.104839;
2009-06-30;18;41.7;27.01;22.025333;17.383333;84.766667;
2009-07-31;20;58.5;27.332258;21.796774;16.651613;81.951613;
2009-08-31;18;60.1;27.43871;21.525161;15.912903;82.733871;
2009-09-30;2;2.5;31.61;24.144;16.916667;68.541667;
2009-10-31;10;69.4;31.945161;25.147742;18.170968;68.725806;
2009-11-30;0;0;33.63;26.198;18.283333;64.933333;
2009-12-31;5;10.2;34.083871;26.861935;19.154839;63.467742;
2010-01-31;11;106.1;32.9;25.772258;18.835484;68.33871;
2010-02-28;8;24.7;33.553571;26.553571;19.582143;65.232143;
2010-03-31;10;91.6;33.641935;26.53871;19.470968;69.58871;
2010-04-30;17;140.9;29.996667;24.264;18.52;81.066667;
2010-05-31;7;14.5;30.796774;24.309032;18.229032;76.201613;
2010-06-30;20;85.7;26.733333;21.561333;16.44;86.891667;
2010-07-31;26;109.5;26.077419;20.767742;15.822581;88.193548;
2010-08-31;19;43.8;26.577419;20.563226;14.935484;85.943548;
