Nome: PROPRIA
Codigo Estacao: 83097
Latitude: -10.21388888
Longitude: -36.84222221
Altitude: 18.46
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;7;7;33.187097;27.174194;22.319355;72.645161;
2008-02-29;5;72.7;34.465517;27.93931;23.093103;72.336207;
2008-03-31;17;192.3;32.287097;27.496667;23.380645;80.346774;
2008-04-30;12;76.5;31.786667;26.885333;23.073333;82.216667;
2008-05-31;25;167.4;29.177419;25.112903;22.245161;86.596774;
2008-06-30;18;101.9;28.3;23.905333;20.753333;86.216667;
2008-07-31;20;134.6;27.4;23.091613;19.916129;86.491935;
2008-08-31;17;59.3;28.109677;23.350323;19.903226;85.733871;
2008-09-30;6;18;30.06;24.667333;20.336667;80.608333;
2008-10-31;4;6.8;31.829032;25.979355;20.987097;76.072581;
2008-11-30;1;2;33.696667;27.235333;22.043333;70.291667;
2008-12-31;2;10;34.196774;27.840645;22.73871;52.177419;
2009-01-31;4;18.6;34.393548;27.976129;22.648387;51.967742;
2009-02-28;8;54.3;33.067857;27.577857;22.975;58.794643;
2009-03-31;3;17.3;34.458065;28.309677;23.174194;55.854839;
2009-04-30;8;82.9;33.633333;28.067333;23.613333;60.908333;
2009-05-31;25;472;29.506452;25.625161;22.7;81.733871;
2009-06-30;19;158.2;29.18;25.03;21.693333;78.241667;
2009-07-31;21;146.5;28.641935;24.282581;21.019355;82.887097;
2009-08-31;25;186.9;28.329032;24.266452;20.858065;83.637097;
2009-09-30;11;30.9;30.33;25.109333;20.696667;77.241667;
2009-10-31;5;11.6;33.312903;27.195484;22.345161;69.104839;
2009-11-30;1;3.6;33.423333;27.336667;21.65;66.408333;
2009-12-31;4;38.1;33.903226;27.891613;22.822581;68.403226;
2010-01-31;13;43.7;33.232258;27.639355;22.693548;70.209677;
2010-02-28;14;33.3;33.4;27.989286;23.432143;71.607143;
2010-03-31;7;13;35.109677;28.970323;24.483871;68.080645;
2010-04-30;17;200.6;32.576667;27.632667;23.353333;76.9;
2010-05-31;16;103.3;31.151613;26.334194;22.425806;80.927419;
2010-06-30;23;231.8;28.953333;24.786667;21.526667;83.425;
2010-07-31;25;164.2;28.290323;23.921935;20.419355;82.387097;
2010-08-31;22;99.1;27.958065;23.370968;19.793548;83.322581;
2010-09-30;16;87.1;28.976667;24.030667;19.88;82.525;
2010-10-31;5;12.5;32.345161;26.391613;21.609677;78.282258;
2010-11-30;3;1.4;33.403333;27.114667;22.15;70.975;
2010-12-31;2;1.9;34.006452;27.852258;23.212903;70.879032;
2011-01-31;9;49.7;32.996774;27.456774;22.745161;73.137097;
2011-02-28;6;20.3;33.228571;27.58;22.835714;74.205357;
2011-03-31;6;7.7;35.180645;28.666452;23.590323;71.556452;
2011-04-30;21;273.1;31.82;26.892;22.96;81.916667;
2011-05-31;23;261.3;29.206452;25.449677;22.448387;87.314516;
2011-06-30;14;72.5;29.066667;24.302;20.836667;85.683333;
2011-07-31;24;155;27.748387;23.417419;20.032258;85.798387;
2011-08-31;15;67.6;29.1;23.683226;19.535484;80.959677;
2011-09-30;12;70.9;28.746667;23.796;19.786667;79.558333;
2011-10-31;7;32.9;31.522581;26.036774;21.76129;72.758065;
2011-11-30;8;79.4;31.94;26.457333;21.893333;69.7;
2011-12-31;3;9;33.687097;27.491613;22.603226;62.362903;
2012-01-31;5;7.7;33.158065;27.224516;22.735484;63.75;
2012-02-29;6;61.4;32.465517;27.134483;22.851724;65.198276;
2012-03-31;7;45.1;32.487097;26.954839;22.96129;66.241935;
2012-04-30;5;8.5;32.88;27.007333;22.906667;66.216667;
2012-05-31;9;73.1;31.680645;26.192258;22.506452;70.290323;
2012-06-30;16;110;29.663333;25.001333;22.486667;80.25;
2012-07-31;23;120;27.841935;23.510323;20.787097;81.75;
2012-08-31;19;98.4;28.235484;23.434839;20.003226;76.274194;
2012-09-30;11;52.6;29.6;24.419333;21.206667;76.15;
2012-10-31;10;41.4;30.132258;25.226452;22.025806;75.346774;
2012-11-30;2;7.4;33.97;27.418;22.466667;66.883333;
2012-12-31;3;7.4;33.712903;27.749677;23.232258;66.66129;
2013-01-31;5;44.8;34.206452;28.112903;23.512903;67.370968;
2013-02-28;2;6.1;34.017857;28.225;23.6;66.0625;
2013-03-31;2;27;34.429032;28.325161;23.703226;66.024194;
2013-04-30;12;127.2;33.336667;27.653333;23.636667;69.891667;
2013-05-31;14;117.5;30.445161;25.806452;22.541935;78.58871;
2013-06-30;14;108.5;29.873333;25.028;21.533333;77.575;
2013-07-31;22;203;28.496774;24.048387;20.841935;79.685484;
2013-08-31;17;79.3;28.551613;23.949032;20.6;79.419355;
2013-09-30;10;28.9;30.503333;24.928667;20.486667;73.016667;
2013-10-31;8;150.1;31.148387;25.841935;21.6;72.548387;
2013-11-30;4;17.8;31.666667;26.362;22.063333;70.475;
2013-12-31;6;51.3;34.048387;27.900645;23.532258;67.903226;
2014-01-31;null;7.3;33.545161;27.443871;22.396774;65.395161;
2014-02-28;null;37.6;33.042857;27.426429;22.803571;68.553571;
2014-03-31;null;37.7;33.441935;27.836129;23.3;68.258065;
2014-04-30;null;95.8;32.65;27.434667;23.506667;76.483333;
2014-05-31;null;195.4;29.970968;25.487742;22.022581;80.16129;
2014-06-30;null;93.4;29.553333;24.691333;21.203333;80.333333;
2014-07-31;null;153.6;28.412903;23.790968;20.245161;80.693548;
2014-08-31;null;71;28.687097;23.681935;19.541935;79.548387;
2014-09-30;null;63.2;30.086667;24.856;20.61;78.983333;
2014-10-31;null;124.4;30.222581;25.443871;21.316129;78.258065;
2014-11-30;null;17.6;32.836667;26.836667;22.403333;74.825;
2014-12-31;null;32.7;33.032258;27.189677;22.529032;73.935484;
2015-01-31;null;6.8;33.9;27.597419;22.267742;66.717742;
2015-02-28;null;45.6;33.753571;27.863571;23.121429;70.535714;
2015-03-31;null;40.5;34.112903;28.138065;23.241935;70.024194;
2015-04-30;null;37;34.46;28.262069;23.4;71.7;
2015-05-31;null;126.1;32.467742;26.991613;22.86129;77.596774;
2015-06-30;null;152;29.546667;24.990667;21.966667;84.266667;
2015-07-31;null;177;28.509677;24.685333;22.032258;82.717742;
2015-08-31;null;28.7;28.093548;25.262143;23.016129;74.145161;
2015-09-30;null;23.8;30.17;26.597333;23.556667;69.575;
2015-10-31;8;19.7;31.825806;27.67871;24.203226;65.241935;
2015-11-30;0;0;34.763333;28.517333;23.713333;62.5;
2015-12-31;null;4.6;34.190323;27.760645;22.554839;67.75;
2016-01-31;null;100.2;33.93871;28.16129;23.983871;71.830645;
2016-02-29;null;25.3;33.455172;27.997241;23.52069;71.017241;
2016-03-31;12;77.4;34;28.372903;24.103226;69.217742;
2016-04-30;null;58.2;32.356667;27.302;23.353333;73.341667;
2016-05-31;null;81.1;31.419355;26.436774;22.529032;76.056452;
2016-06-30;18;80.5;30.823333;25.366667;21.64;77.8;
2016-07-31;null;64.5;29.264516;24.291613;20.229032;77.548387;
2016-08-31;null;37.1;30.129032;24.456552;19.977419;75.540323;
2016-09-30;null;36;30.933333;25.378667;20.813333;72.375;
2016-10-31;null;13.3;33.319355;27.275484;22.641935;66.040323;
2016-11-30;null;1.2;33.776667;27.837333;23.186667;64.833333;
2016-12-31;null;21.3;34.474194;28.351613;23.73871;64.653226;
2017-01-31;null;2.7;34.16129;28.341935;23.63871;62.508065;
2017-02-28;null;6.6;34.285714;28.423571;23.6;63.964286;
2017-03-31;null;9.6;34.419355;28.627097;24.019355;66.451613;
2017-04-30;null;136.8;32.483333;27.778667;23.973333;73.058333;
2017-05-31;18;411.7;30.477419;26.246452;23.451613;79.024194;
2017-06-30;null;258.5;28.7;24.784667;21.966667;84.275;
2017-07-31;null;174;27.516129;23.412903;20.629032;82.282258;
2017-08-31;null;92.2;28.412903;23.784516;20.422581;81.75;
2017-09-30;null;135.6;28.533333;24.043333;20.78;80.95;
2017-10-31;null;22.1;30.503226;25.483871;21.348387;75.669355;
2017-11-30;2;.9;33.366667;27.347333;22.133333;68.15;
2017-12-31;3;5.1;34.625806;28.315484;23.567742;67.870968;
2018-01-31;null;16.3;34.335484;28.174839;23.522581;67.225806;
2018-02-28;null;66.5;34.064286;28.138571;23.985714;72.116071;
2018-03-31;null;42;34.212903;28.403871;24.064516;70.290323;
2018-04-30;9;45.6;32.036667;26.944;22.546667;73.308333;
2018-05-31;24;100;30.780645;25.673548;21.877419;80.233871;
2018-06-30;null;94.6;29.526667;24.355333;20.54;82.216667;
2018-07-31;16;66;28.764516;23.783333;20.26129;81.5;
2018-08-31;null;12.8;30.448387;24.492258;19.793548;74.258065;
2018-09-30;7;13.6;30.9;25.338667;20.693333;73.566667;
2018-10-31;null;1.2;33.322581;27.283226;22.593548;68.120968;
2018-11-30;null;10.9;32.98;27.472;23;69.741667;
2018-12-31;null;30.4;34.074194;27.981935;23.374194;68.306452;
2019-01-31;null;30.4;33.329032;27.796129;23.096774;69.298387;
2019-02-28;null;21.6;34.678571;28.903571;24.389286;71.589286;
2019-03-31;12;131.3;34.225806;28.49871;24.019355;75.951613;
2019-04-30;9;50.2;33.175;28.127333;23.95;77.1;
2019-05-31;null;51.7;32.422581;27.254194;23.022581;75.709677;
2019-06-30;null;126.7;29.493333;25.022667;21.546667;84.516667;
2019-07-31;null;154.5;28.848387;24.308387;21.041935;85.080645;
2019-08-31;null;52.1;29.174194;23.92129;19.977419;82.862903;
2019-09-30;null;31.6;31.131034;25.534483;20.713333;75.913793;
2019-10-31;null;4.6;33.048387;26.839333;21.693333;69.887097;
2019-11-30;null;0;34.393333;27.921333;22.936667;66.625;
2019-12-31;null;12.4;34.490323;28.410323;23.445161;64.669355;
2020-01-31;null;41.3;34.735484;28.670968;24.245161;68.032258;
2020-02-29;null;27.6;34.47931;28.968276;24.613793;70.465517;
2020-03-31;null;104.9;34.525806;28.77871;24.832258;73.975806;
2020-04-30;null;122.8;32.686667;27.841333;24.04;79.675;
2020-05-31;null;227.2;30.059259;27.154074;23.907143;79.740741;
2020-06-30;21;146.9;28.407692;25.972;23.44;81.048077;
2020-07-31;18;109.3;27.530769;25.249231;22.877778;78.009615;
2020-08-31;11;56;28.077778;25.4336;23.030769;75.953704;
2020-09-30;6;45.5;28.536;26.0888;23.407692;74.18;
2020-10-31;2;14;31.292308;27.796923;24.340741;66.134615;
2020-11-30;null;20.6;31.632;28.2352;24.264;65.66;
2020-12-31;1;.8;31.806452;28.405333;24.42;62.822581;
2021-01-31;4;18.5;32.367742;29.094194;24.587097;61.548387;
2021-02-28;3;8.4;33.7;29.859286;25.014286;58.455357;
2021-03-31;5;20.3;32.596774;29.190968;24.309677;62.443548;
2021-04-30;11;133.9;31.362069;28.257241;23.586667;69.37931;
2021-05-31;17;186.7;28.567742;25.937419;21.954839;77.459677;
2021-06-30;15;136.1;27.45;25.028276;21.653333;78.466667;
2021-07-31;20;118.1;26.935484;24.484516;20.232258;79.274194;
2021-08-31;16;111.6;26.967742;24.39871;20.029032;80.653226;
2021-09-30;4;17.4;29.99;26.486897;22.12;75.725;
2021-10-31;6;40.2;32.267742;28.333333;23.825806;70.91129;
2021-11-30;2;9;33.9;29.677778;24.463333;69.419643;
2021-12-31;7;141.8;33.374194;29.478;24.290323;71.903226;
2022-01-31;8;46.3;33;29.362;23.954839;72.41129;
2022-02-28;1;4.2;34.457143;30.572857;24.510714;66.758929;
2022-03-31;13;168.9;31.590323;28.374;22.929032;79.830645;
2022-04-30;8;140;31.406667;27.973333;22.58;78.75;
2022-05-31;18;351;29.129032;26.586897;22.022581;86.072581;
2022-06-30;24;218.4;26.596429;24.777143;20.716667;90.625;
2022-07-31;23;195.9;null;null;19.864516;null;
2022-08-31;21;127.6;null;null;19.987097;null;
2022-09-30;8;49.5;null;null;21.046667;null;
2022-10-31;3;7.6;null;null;23.190323;null;
2022-11-30;7;146.6;null;null;24.57;null;
2022-12-31;7;58.5;null;null;25.335714;null;

