Nome: BARRA
Codigo Estacao: 83179
Latitude: -11.084858
Longitude: -43.138998
Altitude: 407.5
Situacao: Operante
Data Inicial: 2008-01-01
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);
2008-01-31;5;20.6;34.670968;27.598065;21.503226;55.919355;
2008-02-29;10;150.4;33.434483;26.885517;21.982759;61.301724;
2008-03-31;9;107.6;31.580645;25.906452;21.519355;67.25;
2008-04-30;8;187.5;31.286667;25.494667;20.826667;64.658333;
2008-05-31;2;3.8;31.774194;25.355484;19.319355;57.725806;
2008-06-30;0;0;31.296667;23.564;15.843333;57.925;
2008-07-31;0;0;31.477419;23.414194;15.206452;51.959677;
2008-08-31;0;0;33;25.23871;17.196774;45.362903;
2008-09-30;0;0;35.25;27.780667;20.756667;42.425;
2008-10-31;0;0;36.219355;29.270968;23.306452;43.129032;
2008-11-30;8;64.4;34.97;28.561333;23.28;53.783333;
2008-12-31;17;200.9;32.641935;26.061935;21.570968;68.814516;
2009-01-31;7;66.4;33.416129;26.982581;21.703226;60.774194;
2009-02-28;8;69.9;33.435714;27.193571;21.928571;58.008929;
2009-03-31;10;167.7;33.154839;26.910968;22.2;64.032258;
2009-04-30;12;164.5;30.986667;25.664;21.94;71.175;
2009-05-31;5;9.4;30.877419;25.086452;20.516129;65.5;
2009-06-30;1;35;31.736667;24.529333;17.64;61.925;
2009-07-31;1;.3;32.66129;24.750323;16.841935;52.516129;
2009-08-31;0;0;33.609677;25.976129;18.141935;47.016129;
2009-09-30;0;0;36.166667;28.781333;21.67;40.708333;
2009-10-31;6;136.7;34.683871;28.175484;22.548387;55.685484;
2009-11-30;1;22.8;34.996667;28.385333;21.62;49.433333;
2009-12-31;12;143.5;32.883871;26.580645;21.9;68.274194;
2010-01-31;6;41.4;33.996774;27.132903;21.587097;59.66129;
2010-02-28;6;36.9;35.046429;28.260714;22.785714;54.9375;
2010-03-31;11;208;33.551613;26.854839;21.93871;64.491935;
2010-04-30;9;126.5;32.853333;26.394;21.5;64.491667;
2010-05-31;1;3;34.245161;26.953548;20.245161;53.887097;
2010-06-30;0;0;33.35;25.988;20.58;53.558333;
2010-07-31;2;1.6;32.396774;24.93871;18.054839;49.354839;
2010-08-31;0;0;32.887097;25.096129;17.148387;45.008065;
2010-09-30;0;0;34.463333;27.25;20.086667;41.308333;
2010-10-31;7;66.1;36.074194;29.090968;22.906452;46.040323;
2010-11-30;6;43.4;34.853333;28.170667;22.433333;54.316667;
2010-12-31;13;181.5;33.13871;26.690323;21.154839;63.209677;
2011-01-31;6;133.3;32.458065;26.550323;21.419355;64.306452;
2011-02-28;11;158.2;33.442857;27.025;22.046429;64.625;
2011-03-31;18;281.5;31.216129;25.86129;21.767742;72.104839;
2011-04-30;10;53.1;32.036667;26.05;21.176667;65.3;
2011-05-31;0;0;32.33871;25.736774;19.487097;57;
2011-06-30;0;0;33.163333;25.078;17.286667;53.441667;
2011-07-31;0;0;31.945161;23.963226;15.948387;50.975806;
2011-08-31;1;.5;33.951613;25.910968;18.090323;45.645161;
2011-09-30;0;0;34.273333;26.349333;18.773333;41.008333;
2011-10-31;5;32.1;34.806452;28.162581;22.332258;51.491935;
2011-11-30;8;34.3;32.903333;26.798;21.686667;58.958333;
2011-12-31;7;88.5;34.177419;27.5;21.477419;58.209677;
2012-01-31;6;36.6;34.125806;27.954839;22.622581;53.403226;
2012-02-29;8;30.7;33.87931;27.284138;22.075862;58.267241;
2012-03-31;3;69.9;35.729032;29.044516;22.635484;51.822581;
2012-04-30;1;.3;35.746667;28.628667;21.863333;46.425;
2012-05-31;1;4;34.319355;27.348387;20.951613;51.282258;
2012-06-30;0;0;33.796667;26.452;19.126667;51.2;
2012-07-31;0;0;32.822581;25.205806;17.325806;null;
2012-08-31;0;0;32.406452;25.069677;17.329032;null;
2012-09-30;0;0;35.276667;27.714667;20.076667;null;
2012-10-31;0;0;36.406452;29.390968;22.477419;null;
2012-11-30;11;119.5;32.78;27.165333;22.663333;null;
2012-12-31;6;27.8;35.56129;28.723871;22.012903;null;
2013-01-31;12;133.8;33.625806;27.559355;22.796774;null;
2013-02-28;1;1.2;36.242857;29.562857;23.010714;null;
2013-03-31;null;null;null;null;null;null;
2013-04-30;7;86.8;33.69;27.913103;22.583333;null;
2013-05-31;1;1.4;34.432258;27.849032;21.358065;null;
2013-06-30;null;0;33.76;26.825333;19.906667;null;
2013-07-31;null;0;33.174194;25.848387;18.274194;null;
2013-08-31;null;0;33.954839;26.532903;18.751613;null;
2013-09-30;null;0;35.28;28.478667;21.586667;null;
2013-10-31;2;23;35.819355;29.260645;23.177419;null;
2013-11-30;8;138.7;34.61;28.483333;22.87;null;
2013-12-31;17;330.4;31.087097;25.919355;21.745161;null;
2014-01-31;2;30.6;33.719355;27.567097;21.616129;null;
2014-02-28;null;53.2;33.078571;27.080714;21.667857;null;
2014-03-31;null;null;null;null;null;null;
2014-04-30;null;97.3;32.716667;26.683333;21.226667;null;
2014-05-31;null;23;32.790323;26.159333;19.84;null;
2014-06-30;null;0;32.816667;25.325333;17.766667;null;
2014-07-31;null;0;32.580645;25.306;18.1;null;
2014-08-31;null;0;33.76129;26.06129;18.154839;null;
2014-09-30;null;0;35.516667;28.154;20.576667;null;
2014-10-31;null;2.4;35.596774;28.763226;22.129032;null;
2014-11-30;null;86.7;34.546667;28.041333;22.673333;null;
2014-12-31;null;122.2;33.319355;26.81931;21.941935;null;
2015-01-31;null;11.1;35.716129;28.697241;22.075862;null;
2015-02-28;null;65.8;33.646429;27.075;22.085714;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;78.6;34.43;27.851333;22.75;null;
2015-05-31;null;19.6;33.625806;26.737419;20.712903;null;
2015-06-30;null;0;33.136667;26.025333;19.24;null;
2015-07-31;null;0;33.158065;25.950323;18.764516;null;
2015-08-31;null;0;33.712903;26.323871;18.725806;null;
2015-09-30;null;0;36.793333;29.048667;21.123333;null;
2015-10-31;null;21.1;37.445161;30.200645;23.006452;null;
2015-11-30;null;93;37.333333;30.573333;23.976667;null;
2015-12-31;null;3.3;37.403226;30.38;23.819355;null;
2016-01-31;null;412.8;31.558065;26.206;22.570968;null;
2016-02-29;null;19.6;34.268966;27.796552;21.651724;null;
2016-03-31;null;null;null;null;null;null;
2016-04-30;1;4.6;35.536667;28.558621;21.59;null;
2016-05-31;null;6.4;34.835484;27.675484;20.732258;null;
2016-06-30;null;0;33.853333;26.652;19.493333;null;
2016-07-31;null;0;33.154839;25.470323;17.525806;null;
2016-08-31;null;0;34.66129;27.189032;19.46129;null;
2016-09-30;null;20.2;35.25;28.234667;21.276667;null;
2016-10-31;null;17.3;35.858065;29.356129;23.212903;null;
2016-11-30;null;126.7;34.68;28.272;22.503333;null;
2016-12-31;8;93;34.464516;28.413548;22.887097;null;
2017-01-31;null;17.5;36.190323;29.483871;23.480645;null;
2017-02-28;null;94.5;33.957143;27.823571;23.210714;null;
2017-03-31;null;null;null;null;null;null;
2017-04-30;null;53.2;34.123333;27.722069;22.113333;null;
2017-05-31;null;0;34.987097;28.033548;21.158065;null;
2017-06-30;null;0;33.89;26.596;19.116667;null;
2017-07-31;0;0;31.854839;24.54;16.725806;null;
2017-08-31;null;0;34.696774;26.728387;18.567742;null;
2017-09-30;null;0;34.013333;27.215333;20.133333;null;
2017-10-31;null;0;36.993548;29.996774;22.919355;null;
2017-11-30;null;69.2;34.473333;28.468;22.703333;null;
2017-12-31;null;189.8;34.148387;28.18;22.580645;null;
2018-01-31;null;44.1;35.725806;28.753548;23.129032;null;
2018-02-28;null;137.5;32.082143;26.653333;22.217857;null;
2018-03-31;null;null;null;null;null;null;
2018-04-30;null;35.5;33.65;27.016;21.003333;null;
2018-05-31;null;.7;33.954839;26.957419;19.509677;null;
2018-06-30;null;0;33.086667;25.998667;18.036667;null;
2018-07-31;null;0;33.377419;25.341935;16.33871;null;
2018-08-31;null;0;34.793548;27.527742;19.874194;null;
2018-09-30;null;0;35.993333;29.076667;21.716667;null;
2018-10-31;null;75.1;36.964516;30.184516;23.622581;null;
2018-11-30;null;15.4;35.743333;29.568667;23.523333;null;
2018-12-31;null;157.8;null;null;21.248387;null;
2019-01-31;null;7.9;null;null;22.287097;null;
2019-02-28;null;96.7;null;null;22.739286;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;71.5;null;null;21.913333;null;
2019-05-31;null;13.5;null;null;21.132258;null;
2019-06-30;null;0;null;null;18.886667;null;
2019-07-31;null;0;null;null;17.71;null;
